"Date","LFHUADMACAM647S"
1999-03-01,476100
1999-04-01,485200
1999-05-01,463600
1999-06-01,458900
1999-07-01,451500
1999-08-01,463000
1999-09-01,458900
1999-10-01,438500
1999-11-01,420500
1999-12-01,397200
2000-01-01,409700
2000-02-01,399900
2000-03-01,400100
2000-04-01,397400
2000-05-01,393000
2000-06-01,413900
2000-07-01,394100
2000-08-01,418300
2000-09-01,412000
2000-10-01,405300
2000-11-01,421300
2000-12-01,405400
2001-01-01,424500
2001-02-01,425800
2001-03-01,444400
2001-04-01,445500
2001-05-01,447600
2001-06-01,456500
2001-07-01,427700
2001-08-01,449000
2001-09-01,449600
2001-10-01,460600
2001-11-01,470900
2001-12-01,542200
2002-01-01,547900
2002-02-01,525400
2002-03-01,506200
2002-04-01,497300
2002-05-01,504800
2002-06-01,481700
2002-07-01,497600
2002-08-01,476200
2002-09-01,494800
2002-10-01,488900
2002-11-01,473600
2002-12-01,499800
2003-01-01,480400
2003-02-01,487100
2003-03-01,481700
2003-04-01,489000
2003-05-01,509700
2003-06-01,501300
2003-07-01,512500
2003-08-01,534200
2003-09-01,513400
2003-10-01,502500
2003-11-01,484800
2003-12-01,464700
2004-01-01,467000
2004-02-01,478900
2004-03-01,483100
2004-04-01,471700
2004-05-01,456300
2004-06-01,483000
2004-07-01,446500
2004-08-01,431000
2004-09-01,443600
2004-10-01,444400
2004-11-01,462800
2004-12-01,474000
2005-01-01,453000
2005-02-01,455700
2005-03-01,451000
2005-04-01,458000
2005-05-01,452600
2005-06-01,433100
2005-07-01,439900
2005-08-01,444400
2005-09-01,430700
2005-10-01,431800
2005-11-01,432500
2005-12-01,423000
2006-01-01,448700
2006-02-01,444100
2006-03-01,431700
2006-04-01,421200
2006-05-01,424100
2006-06-01,414500
2006-07-01,437200
2006-08-01,438300
2006-09-01,450400
2006-10-01,438000
2006-11-01,453900
2006-12-01,449000
2007-01-01,436500
2007-02-01,439200
2007-03-01,439100
2007-04-01,441500
2007-05-01,430400
2007-06-01,432200
2007-07-01,413000
2007-08-01,415600
2007-09-01,401700
2007-10-01,428700
2007-11-01,422100
2007-12-01,438200
2008-01-01,437000
2008-02-01,421900
2008-03-01,443300
2008-04-01,434100
2008-05-01,423300
2008-06-01,441900
2008-07-01,449500
2008-08-01,440100
2008-09-01,462000
2008-10-01,465100
2008-11-01,492400
2008-12-01,512100
2009-01-01,577200
2009-02-01,638800
2009-03-01,653700
2009-04-01,668300
2009-05-01,680300
2009-06-01,693900
2009-07-01,687100
2009-08-01,692700
2009-09-01,687700
2009-10-01,673900
2009-11-01,661500
2009-12-01,665400
2010-01-01,640300
2010-02-01,641300
2010-03-01,623000
2010-04-01,614900
2010-05-01,637700
2010-06-01,615600
2010-07-01,631100
2010-08-01,624200
2010-09-01,613400
2010-10-01,587100
2010-11-01,584500
2010-12-01,586300
2011-01-01,575700
2011-02-01,588100
2011-03-01,583000
2011-04-01,582900
2011-05-01,567900
2011-06-01,561200
2011-07-01,537300
2011-08-01,537900
2011-09-01,537000
2011-10-01,531300
2011-11-01,544300
2011-12-01,562600
2012-01-01,563600
2012-02-01,540900
2012-03-01,541800
2012-04-01,547700
2012-05-01,544800
2012-06-01,535000
2012-07-01,544400
2012-08-01,546600
2012-09-01,539900
2012-10-01,561200
2012-11-01,551000
2012-12-01,523400
2013-01-01,529300
2013-02-01,511300
2013-03-01,530200
2013-04-01,532300
2013-05-01,535200
2013-06-01,539500
2013-07-01,543900
2013-08-01,537300
2013-09-01,538900
2013-10-01,547500
2013-11-01,546900
2013-12-01,569800
2014-01-01,550800
2014-02-01,557800
2014-03-01,545100
2014-04-01,544800
2014-05-01,547500
2014-06-01,554800
2014-07-01,558600
2014-08-01,532600
2014-09-01,525000
2014-10-01,520600
2014-11-01,505100
2014-12-01,492200
2015-01-01,518800
2015-02-01,532400
2015-03-01,530300
2015-04-01,527800
2015-05-01,547200
2015-06-01,545900
2015-07-01,550500
2015-08-01,566600
2015-09-01,566000
2015-10-01,550000
2015-11-01,589200
2015-12-01,591000
2016-01-01,603800
2016-02-01,611600
2016-03-01,595900
2016-04-01,594300
2016-05-01,563200
2016-06-01,557900
2016-07-01,559600
2016-08-01,576300
2016-09-01,577900
2016-10-01,583900
2016-11-01,568500
2016-12-01,579100
2017-01-01,542900
2017-02-01,533100
2017-03-01,548300
2017-04-01,534700
2017-05-01,550400
2017-06-01,535600
2017-07-01,504600
2017-08-01,490200
2017-09-01,527900
2017-10-01,523300
2017-11-01,494600
2017-12-01,490000
2018-01-01,467100
2018-02-01,467900
2018-03-01,463900
2018-04-01,464900
2018-05-01,461700
2018-06-01,458100
2018-07-01,471100
2018-08-01,480400
2018-09-01,468200
2018-10-01,447700
2018-11-01,457500
2018-12-01,453400
2019-01-01,477800
2019-02-01,484700
2019-03-01,479100
2019-04-01,481800
2019-05-01,460900
2019-06-01,465100
2019-07-01,460700
2019-08-01,469000
2019-09-01,420600
2019-10-01,435700
2019-11-01,474500
2019-12-01,452300
2020-01-01,451300
2020-02-01,463800
2020-03-01,579300
2020-04-01,989100
2020-05-01,1034300
2020-06-01,884500
2020-07-01,843600
2020-08-01,781600
2020-09-01,759500
2020-10-01,735500
2020-11-01,693500
2020-12-01,695300
2021-01-01,690100
2021-02-01,640600
2021-03-01,624400
2021-04-01,617400
2021-05-01,648400
2021-06-01,671300
2021-07-01,649400
2021-08-01,622500
2021-09-01,621700
2021-10-01,581100
2021-11-01,529200
2021-12-01,475500
2022-01-01,498600
2022-02-01,450500
2022-03-01,425100
2022-04-01,415800
2022-05-01,425800
2022-06-01,391200
2022-07-01,394900
2022-08-01,432300
2022-09-01,415700
2022-10-01,401200
2022-11-01,409600
2022-12-01,406100
2023-01-01,414200
2023-02-01,406200
2023-03-01,422600
2023-04-01,424000
2023-05-01,415200
2023-06-01,419700
2023-07-01,441700
2023-08-01,439000
2023-09-01,480500
2023-10-01,487600
2023-11-01,487900
