"Date","FAUTOSA"
1967-01-01,52.4
1967-02-01,57.5
1967-03-01,61.7
1967-04-01,62.2
1967-05-01,65.2
1967-06-01,65.5
1967-07-01,67.7
1967-08-01,68
1967-09-01,66.8
1967-10-01,67.1
1967-11-01,70.9
1967-12-01,74.2
1968-01-01,79.7
1968-02-01,82.9
1968-03-01,83.7
1968-04-01,80.5
1968-05-01,81.3
1968-06-01,83.5
1968-07-01,85.3
1968-08-01,84.6
1968-09-01,100.8
1968-10-01,90.1
1968-11-01,88.2
1968-12-01,89.2
1969-01-01,93.2
1969-02-01,72.7
1969-03-01,85.5
1969-04-01,94.5
1969-05-01,97.3
1969-06-01,90.5
1969-07-01,88.9
1969-08-01,94.2
1969-09-01,96.5
1969-10-01,102.8
1969-11-01,103.4
1969-12-01,97.9
1970-01-01,94.1
1970-02-01,99.2
1970-03-01,95.8
1970-04-01,99.1
1970-05-01,107.2
1970-06-01,107.7
1970-07-01,110.8
1970-08-01,104.7
1970-09-01,91.7
1970-10-01,124
1970-11-01,117.9
1970-12-01,131
1971-01-01,125
1971-02-01,126.4
1971-03-01,133.1
1971-04-01,138.7
1971-05-01,134.1
1971-06-01,139.5
1971-07-01,140
1971-08-01,145
1971-09-01,128.5
1971-10-01,122.4
1971-11-01,122.8
1971-12-01,110.5
1972-01-01,127.1
1972-02-01,123.1
1972-03-01,128
1972-04-01,123.3
1972-05-01,128.1
1972-06-01,128.8
1972-07-01,129.8
1972-08-01,133.2
1972-09-01,140.2
1972-10-01,142.7
1972-11-01,155.2
1972-12-01,161.2
1973-01-01,151.4
1973-02-01,159.4
1973-03-01,160
1973-04-01,156.7
1973-05-01,149.3
1973-06-01,158.3
1973-07-01,144.2
1973-08-01,129.5
1973-09-01,124.8
1973-10-01,122.7
1973-11-01,156.9
1973-12-01,148.3
1974-01-01,139.1
1974-02-01,126.6
1974-03-01,116.6
1974-04-01,104.9
1974-05-01,101.1
1974-06-01,104.3
1974-07-01,110.3
1974-08-01,123
1974-09-01,137.4
1974-10-01,131.8
1974-11-01,121.4
1974-12-01,95.4
1975-01-01,130.9
1975-02-01,162.4
1975-03-01,134.5
1975-04-01,130.9
1975-05-01,121.2
1975-06-01,140.3
1975-07-01,141.8
1975-08-01,135.3
1975-09-01,132.9
1975-10-01,122.3
1975-11-01,114.2
1975-12-01,120.2
1976-01-01,107.3
1976-02-01,117.4
1976-03-01,115.7
1976-04-01,114.4
1976-05-01,114.6
1976-06-01,112.8
1976-07-01,119.4
1976-08-01,127
1976-09-01,141
1976-10-01,154.9
1976-11-01,146.1
1976-12-01,131.4
1977-01-01,147.6
1977-02-01,155.4
1977-03-01,158.5
1977-04-01,192.7
1977-05-01,195.8
1977-06-01,179
1977-07-01,181.6
1977-08-01,178
1977-09-01,173.9
1977-10-01,162.7
1977-11-01,173.1
1977-12-01,176.5
1978-01-01,168.8
1978-02-01,158.9
1978-03-01,166.1
1978-04-01,169.6
1978-05-01,168
1978-06-01,172.4
1978-07-01,164.7
1978-08-01,173.6
1978-09-01,172.5
1978-10-01,168.5
1978-11-01,164
1978-12-01,153
1979-01-01,161.4
1979-02-01,174.5
1979-03-01,215
1979-04-01,209.6
1979-05-01,213.5
1979-06-01,193.7
1979-07-01,190.4
1979-08-01,185
1979-09-01,185.8
1979-10-01,189.1
1979-11-01,199.3
1979-12-01,211.4
1980-01-01,248.4
1980-02-01,217.9
1980-03-01,198.7
1980-04-01,181.9
1980-05-01,168.8
1980-06-01,183
1980-07-01,208.5
1980-08-01,185.6
1980-09-01,194.1
1980-10-01,204.8
1980-11-01,203.7
1980-12-01,205.1
1981-01-01,206.7
1981-02-01,219.6
1981-03-01,212.6
1981-04-01,196
1981-05-01,189.5
1981-06-01,191.4
1981-07-01,194.8
1981-08-01,187.3
1981-09-01,177.3
1981-10-01,179.2
1981-11-01,183.9
1981-12-01,187.3
1982-01-01,203.9
1982-02-01,172.3
1982-03-01,168.7
1982-04-01,154.6
1982-05-01,168.9
1982-06-01,181.8
1982-07-01,182.9
1982-08-01,182.4
1982-09-01,188.8
1982-10-01,198.4
1982-11-01,209.8
1982-12-01,208.7
1983-01-01,207
1983-02-01,182
1983-03-01,184
1983-04-01,182.1
1983-05-01,187.3
1983-06-01,211.8
1983-07-01,205.7
1983-08-01,192.8
1983-09-01,177.2
1983-10-01,229.1
1983-11-01,211.6
1983-12-01,215
1984-01-01,212.7
1984-02-01,194.2
1984-03-01,190.3
1984-04-01,187.3
1984-05-01,212.3
1984-06-01,208.2
1984-07-01,194.6
1984-08-01,198.5
1984-09-01,198.6
1984-10-01,215.4
1984-11-01,212.1
1984-12-01,214.5
1985-01-01,209.5
1985-02-01,210.9
1985-03-01,197.1
1985-04-01,205.7
1985-05-01,237.7
1985-06-01,231.4
1985-07-01,236.6
1985-08-01,235.7
1985-09-01,242.4
1985-10-01,251.5
1985-11-01,254.7
1985-12-01,260.5
1986-01-01,247.1
1986-02-01,246.8
1986-03-01,245.8
1986-04-01,263.2
1986-05-01,260.9
1986-06-01,249.4
1986-07-01,268.8
1986-08-01,269.4
1986-09-01,294.3
1986-10-01,263.2
1986-11-01,273.7
1986-12-01,308.1
1987-01-01,210.3
1987-02-01,251.7
1987-03-01,244.7
1987-04-01,245.2
1987-05-01,234.2
1987-06-01,258.2
1987-07-01,270.5
1987-08-01,291.3
1987-09-01,285.2
1987-10-01,267.6
1987-11-01,260.8
1987-12-01,270.3
1988-01-01,260.8
1988-02-01,263.6
1988-03-01,253.9
1988-04-01,257.6
1988-05-01,250.1
1988-06-01,254.4
1988-07-01,242.2
1988-08-01,249.1
1988-09-01,242.4
1988-10-01,243.5
1988-11-01,240.9
1988-12-01,247.7
1989-01-01,227.5
1989-02-01,227
1989-03-01,230.3
1989-04-01,252.9
1989-05-01,233.4
1989-06-01,226.6
1989-07-01,223.8
1989-08-01,244.6
1989-09-01,221
1989-10-01,216.3
1989-11-01,205.2
1989-12-01,190.1
1990-01-01,219.5
1990-02-01,216.5
1990-03-01,219.1
1990-04-01,211.6
1990-05-01,203.1
1990-06-01,206.4
1990-07-01,197
1990-08-01,192.9
1990-09-01,187.6
1990-10-01,185.6
1990-11-01,186.2
1990-12-01,177.8
1991-01-01,147.5
1991-02-01,168.6
1991-03-01,186.3
1991-04-01,178.6
1991-05-01,173.9
1991-06-01,170.3
1991-07-01,174.2
1991-08-01,169.9
1991-09-01,176.9
1991-10-01,169.5
1991-11-01,163.9
1991-12-01,158.5
1992-01-01,167.8
1992-02-01,177.7
1992-03-01,168.5
1992-04-01,160.7
1992-05-01,163.9
1992-06-01,172.4
1992-07-01,149
1992-08-01,151.9
1992-09-01,155.2
1992-10-01,157.4
1992-11-01,154.6
1992-12-01,158.7
1993-01-01,151.7
1993-02-01,148.7
1993-03-01,140.7
1993-04-01,160.7
1993-05-01,161.4
1993-06-01,147.1
1993-07-01,153.7
1993-08-01,142.2
1993-09-01,144.6
1993-10-01,145.8
1993-11-01,143.4
1993-12-01,143.8
1994-01-01,143.4
1994-02-01,145.9
1994-03-01,150.7
1994-04-01,156.1
1994-05-01,141.3
1994-06-01,146.1
1994-07-01,152.4
1994-08-01,154.9
1994-09-01,141.1
1994-10-01,140.4
1994-11-01,132
1994-12-01,130.8
1995-01-01,129.9
1995-02-01,133.4
1995-03-01,130.4
1995-04-01,127.3
1995-05-01,136
1995-06-01,135.2
1995-07-01,122.3
1995-08-01,125.8
1995-09-01,121.6
1995-10-01,115.7
1995-11-01,113.2
1995-12-01,115.3
1996-01-01,100.9
1996-02-01,103.3
1996-03-01,112.6
1996-04-01,103.1
1996-05-01,105.6
1996-06-01,108.5
1996-07-01,101.1
1996-08-01,109.8
1996-09-01,108.6
1996-10-01,104.8
1996-11-01,108.3
1996-12-01,105.7
1997-01-01,111.8
1997-02-01,109.8
1997-03-01,116.2
1997-04-01,104.8
1997-05-01,104
1997-06-01,107.6
1997-07-01,112.1
1997-08-01,121.1
1997-09-01,115.2
1997-10-01,113.5
1997-11-01,112.5
1997-12-01,127.4
1998-01-01,104.3
1998-02-01,117.1
1998-03-01,112.9
1998-04-01,111.4
1998-05-01,116.2
1998-06-01,113.3
1998-07-01,116
1998-08-01,120.2
1998-09-01,102.9
1998-10-01,119.6
1998-11-01,116.3
1998-12-01,129.7
1999-01-01,120.9
1999-02-01,128.7
1999-03-01,130.2
1999-04-01,132.8
1999-05-01,148.5
1999-06-01,140.5
1999-07-01,147.5
1999-08-01,141.5
1999-09-01,142.7
1999-10-01,172.4
1999-11-01,159.5
1999-12-01,154
2000-01-01,168.5
2000-02-01,171.9
2000-03-01,164
2000-04-01,169.1
2000-05-01,169.4
2000-06-01,169.2
2000-07-01,168.3
2000-08-01,161.6
2000-09-01,173.1
2000-10-01,172.2
2000-11-01,160.9
2000-12-01,168
2001-01-01,170.2
2001-02-01,166.8
2001-03-01,164.6
2001-04-01,176.5
2001-05-01,169.4
2001-06-01,172
2001-07-01,168.6
2001-08-01,172.6
2001-09-01,162.3
2001-10-01,206.1
2001-11-01,184.3
2001-12-01,184.4
2002-01-01,189.9
2002-02-01,188.5
2002-03-01,187.5
2002-04-01,186.2
2002-05-01,177.4
2002-06-01,182.1
2002-07-01,192.7
2002-08-01,185.9
2002-09-01,191.6
2002-10-01,169.2
2002-11-01,186.9
2002-12-01,187.7
2003-01-01,191.2
2003-02-01,181
2003-03-01,179
2003-04-01,169.1
2003-05-01,164.8
2003-06-01,170.1
2003-07-01,171
2003-08-01,175.6
2003-09-01,174.7
2003-10-01,162.9
2003-11-01,177.9
2003-12-01,165.7
2004-01-01,157.8
2004-02-01,178.4
2004-03-01,179.7
2004-04-01,178.5
2004-05-01,185.5
2004-06-01,175.7
2004-07-01,165.9
2004-08-01,170.5
2004-09-01,175
2004-10-01,201.7
2004-11-01,189.6
2004-12-01,190.6
2005-01-01,174.3
2005-02-01,183.8
2005-03-01,182.2
2005-04-01,187.8
2005-05-01,179.7
2005-06-01,182.9
2005-07-01,186.4
2005-08-01,184.1
2005-09-01,188.9
2005-10-01,183.2
2005-11-01,176.1
2005-12-01,177.5
2006-01-01,180.3
2006-02-01,171.4
2006-03-01,176.8
2006-04-01,194.9
2006-05-01,197.4
2006-06-01,195.4
2006-07-01,211.2
2006-08-01,201.4
2006-09-01,199
2006-10-01,197.5
2006-11-01,200.2
2006-12-01,219
2007-01-01,204
2007-02-01,202.5
2007-03-01,202
2007-04-01,196.5
2007-05-01,202.7
2007-06-01,192.3
2007-07-01,187.7
2007-08-01,184.7
2007-09-01,195.5
2007-10-01,197.5
2007-11-01,199.9
2007-12-01,199.9
2008-01-01,188.8
2008-02-01,194.4
2008-03-01,211.2
2008-04-01,220.1
2008-05-01,235.1
2008-06-01,234.3
2008-07-01,211.2
2008-08-01,191.2
2008-09-01,161.7
2008-10-01,153.3
2008-11-01,143.3
2008-12-01,133.7
2009-01-01,139.4
2009-02-01,141.5
2009-03-01,147.1
2009-04-01,135.3
2009-05-01,145.8
2009-06-01,150.9
2009-07-01,174.7
2009-08-01,231.3
2009-09-01,140.6
2009-10-01,146.9
2009-11-01,145.4
2009-12-01,144.2
2010-01-01,149.5
2010-02-01,138.1
2010-03-01,140.4
2010-04-01,139
2010-05-01,147.7
2010-06-01,153
2010-07-01,157.3
2010-08-01,167.5
2010-09-01,163
2010-10-01,167.5
2010-11-01,159
2010-12-01,162.3
2011-01-01,157.252
2011-02-01,165.677
2011-03-01,174.9
2011-04-01,177.059
2011-05-01,165.385
2011-06-01,155.666
2011-07-01,154.779
2011-08-01,148.216
2011-09-01,152.901
2011-10-01,164.148
2011-11-01,165.128
2011-12-01,165.785
2012-01-01,179.05
2012-02-01,196.629
2012-03-01,181.148
2012-04-01,183.505
2012-05-01,166.383
2012-06-01,166.245
2012-07-01,167.829
2012-08-01,163.464
2012-09-01,179.923
2012-10-01,179.271
2012-11-01,184.608
2012-12-01,177.269
2013-01-01,178.378
2013-02-01,181.23
2013-03-01,167.562
2013-04-01,168.554
2013-05-01,172.405
2013-06-01,177.145
2013-07-01,183.327
2013-08-01,190.676
2013-09-01,183.004
2013-10-01,180.278
2013-11-01,184.1
2013-12-01,186.518
2014-01-01,172.252
2014-02-01,175.658
2014-03-01,183.128
2014-04-01,180.087
2014-05-01,184.321
2014-06-01,184.694
2014-07-01,182.969
2014-08-01,175.835
2014-09-01,164.676
2014-10-01,162.054
2014-11-01,158.648
2014-12-01,173.799
2015-01-01,160.668
2015-02-01,161.277
2015-03-01,177.773
2015-04-01,164.222
2015-05-01,163.875
2015-06-01,164.816
2015-07-01,156.935
2015-08-01,162.896
2015-09-01,160.42
2015-10-01,157.374
2015-11-01,156.038
2015-12-01,147.063
2016-01-01,145.149
2016-02-01,147.985
2016-03-01,146.466
2016-04-01,149.273
2016-05-01,147.531
2016-06-01,146.296
2016-07-01,143.515
2016-08-01,141.251
2016-09-01,143.257
2016-10-01,140.55
2016-11-01,142.626
2016-12-01,143.871
2017-01-01,136.825
2017-02-01,131.82
2017-03-01,126.32
2017-04-01,119.786
2017-05-01,116.267
2017-06-01,111.976
2017-07-01,118.058
2017-08-01,120.891
2017-09-01,130.309
2017-10-01,127.993
2017-11-01,130.152
2017-12-01,125.841
2018-01-01,107.552
2018-02-01,107.346
2018-03-01,106.448
2018-04-01,104.122
2018-05-01,107.153
2018-06-01,99.682
2018-07-01,95.098
2018-08-01,95.823
2018-09-01,104.058
2018-10-01,99.22
2018-11-01,99.316
2018-12-01,97.575
2019-01-01,96.156
2019-02-01,93.842
2019-03-01,99.61
2019-04-01,101.056
2019-05-01,103.128
2019-06-01,109.029
2019-07-01,103.086
2019-08-01,98.58
2019-09-01,94.214
2019-10-01,95.832
2019-11-01,91.856
2019-12-01,89.395
2020-01-01,85.288
2020-02-01,86.849
2020-03-01,54.252
2020-04-01,41.176
2020-05-01,66.702
2020-06-01,69.464
2020-07-01,71.557
2020-08-01,67.839
2020-09-01,74.373
2020-10-01,75.061
2020-11-01,72.545
2020-12-01,76.943
2021-01-01,86.977
2021-02-01,86.113
2021-03-01,98.524
2021-04-01,104.141
2021-05-01,100.527
2021-06-01,93.7
2021-07-01,87.433
2021-08-01,78.492
2021-09-01,73.444
2021-10-01,56.026
2021-11-01,52.223
2021-12-01,56.733
2022-01-01,70.615
2022-02-01,67.478
2022-03-01,62.882
2022-04-01,70.919
2022-05-01,68.071
2022-06-01,61.443
2022-07-01,65.335
2022-08-01,70.357
2022-09-01,69.526
2022-10-01,69.589
2022-11-01,71.128
2022-12-01,67.892
2023-01-01,73.921
2023-02-01,70.264
2023-03-01,69.595
2023-04-01,73.106
2023-05-01,69.249
2023-06-01,67.208
2023-07-01,69.023
2023-08-01,68.501
2023-09-01,73.713
2023-10-01,64.702
2023-11-01,69.081
