"Date","XTNTVA01CAM664S"
1960-01-01,6048232.15550643
1960-02-01,8422361.52983659
1960-03-01,537730.220900714
1960-04-01,-59452479.3768907
1960-05-01,-7422215.40193385
1960-06-01,-15365857.1113427
1960-07-01,13345669.893638
1960-08-01,9059132.9016999
1960-09-01,-7706153.31187671
1960-10-01,21132817.5916921
1960-11-01,-26792664.2798061
1960-12-01,-28533681.4631925
1961-01-01,14617332.843266
1961-02-01,-1893403.7570858
1961-03-01,12063365.0937899
1961-04-01,66793825.566194
1961-05-01,-56719026.0078375
1961-06-01,22480564.3680441
1961-07-01,43111024.8603963
1961-08-01,7564038.76536602
1961-09-01,39312185.9686315
1961-10-01,-6057703.58356094
1961-11-01,-15874288.5977256
1961-12-01,17936878.3839549
1962-01-01,1276957.46750426
1962-02-01,-1565793.29008633
1962-03-01,-29515125.5885384
1962-04-01,14620385.0886171
1962-05-01,-16918569.3449246
1962-06-01,24821397.2141889
1962-07-01,-26434774.5010586
1962-08-01,7953925.09080565
1962-09-01,-10273907.9745554
1962-10-01,45707041.754615
1962-11-01,45833904.8734829
1962-12-01,39707962.0437441
1963-01-01,33559824.6424941
1963-02-01,32000322.4686685
1963-03-01,49204781.2036593
1963-04-01,36710223.7276871
1963-05-01,52981284.6900351
1963-06-01,28199274.6852879
1963-07-01,-261614.794177413
1963-08-01,8401679.25470519
1963-09-01,24165975.5305282
1963-10-01,22867624.5761223
1963-11-01,68775670.9151397
1963-12-01,66276524.7896017
1964-01-01,62231298.8579418
1964-02-01,65162904.513446
1964-03-01,50193140.1267241
1964-04-01,35054990.45223
1964-05-01,17138347.9208543
1964-06-01,126598449.726739
1964-07-01,111311159.550836
1964-08-01,102659952.47075
1964-09-01,99424288.6797084
1964-10-01,56961020.3067683
1964-11-01,43946491.9426529
1964-12-01,50289481.659814
1965-01-01,22167075.9152739
1965-02-01,15161664.1701736
1965-03-01,9091953.88049841
1965-04-01,26473312.9950725
1965-05-01,21653567.9803222
1965-06-01,-29602306.8869584
1965-07-01,22991926.1188757
1965-08-01,14192885.5231819
1965-09-01,-35936958.241299
1965-10-01,31862451.3295374
1965-11-01,39763282.1570826
1965-12-01,-1592027.4716121
1966-01-01,45514749.0435956
1966-02-01,25239608.2456678
1966-03-01,-6662812.07224941
1966-04-01,18262112.4482852
1966-05-01,-5851156.45317757
1966-06-01,-5882639.59118736
1966-07-01,14003879.6782594
1966-08-01,109926836.099533
1966-09-01,48185092.3427633
1966-10-01,-21332974.5545837
1966-11-01,35854166.3617183
1966-12-01,28428586.4658806
1967-01-01,105136825.624589
1967-02-01,54102928.9745643
1967-03-01,8740939.94919801
1967-04-01,19711547.7513808
1967-05-01,30934779.7904456
1967-06-01,70279508.748759
1967-07-01,2741156.01544893
1967-08-01,46029392.3698434
1967-09-01,-36148664.7600259
1967-10-01,68100547.0125568
1967-11-01,85789767.1621081
1967-12-01,86490347.5391602
1968-01-01,68409309.7261199
1968-02-01,31948664.6937662
1968-03-01,136063187.007287
1968-04-01,108535593.384574
1968-05-01,134935278.007441
1968-06-01,147662926.918167
1968-07-01,129556328.559398
1968-08-01,141989489.977771
1968-09-01,126371283.774665
1968-10-01,117460870.825873
1968-11-01,78486778.6746294
1968-12-01,96242124.0007391
1969-01-01,58880692.1314633
1969-02-01,46311732.1705759
1969-03-01,103737639.929738
1969-04-01,50920882.7158334
1969-05-01,65073593.5165577
1969-06-01,27591610.2662017
1969-07-01,35117295.8123922
1969-08-01,46662983.2943821
1969-09-01,62866217.393204
1969-10-01,79177086.0200904
1969-11-01,46459580.0740445
1969-12-01,113742751.549028
1970-01-01,331596920.62194
1970-02-01,178105206.59699
1970-03-01,135584517.692001
1970-04-01,226328280.814308
