"Date","CANCPGRSE01GYM"
1962-01-01,1.51515151515152
1962-02-01,1.51515151515152
1962-03-01,1.51515151515152
1962-04-01,1.51515151515152
1962-05-01,0.751879699248121
1962-06-01,1.50375939849624
1962-07-01,2.25563909774436
1962-08-01,2.25563909774436
1962-09-01,1.49253731343284
1962-10-01,1.49253731343284
1962-11-01,1.49253731343284
1962-12-01,1.49253731343284
1963-01-01,2.23880597014924
1963-02-01,2.23880597014924
1963-03-01,2.23880597014924
1963-04-01,2.23880597014924
1963-05-01,2.98507462686567
1963-06-01,2.22222222222222
1963-07-01,1.47058823529412
1963-08-01,1.47058823529412
1963-09-01,1.47058823529412
1963-10-01,1.47058823529412
1963-11-01,2.20588235294118
1963-12-01,2.20588235294118
1964-01-01,1.45985401459856
1964-02-01,2.18978102189783
1964-03-01,2.18978102189783
1964-04-01,2.91970802919708
1964-05-01,2.89855072463766
1964-06-01,2.89855072463766
1964-07-01,2.89855072463766
1964-08-01,2.89855072463766
1964-09-01,2.89855072463766
1964-10-01,2.89855072463766
1964-11-01,2.15827338129495
1964-12-01,2.87769784172662
1965-01-01,4.31654676258991
1965-02-01,3.57142857142855
1965-03-01,3.57142857142855
1965-04-01,3.54609929078014
1965-05-01,3.52112676056338
1965-06-01,3.52112676056338
1965-07-01,3.52112676056338
1965-08-01,3.52112676056338
1965-09-01,3.52112676056338
1965-10-01,4.22535211267608
1965-11-01,4.92957746478874
1965-12-01,4.19580419580418
1966-01-01,2.75862068965518
1966-02-01,3.44827586206897
1966-03-01,4.13793103448276
1966-04-01,3.42465753424658
1966-05-01,2.72108843537415
1966-06-01,2.72108843537415
1966-07-01,3.40136054421769
1966-08-01,3.40136054421769
1966-09-01,3.40136054421769
1966-10-01,3.37837837837836
1966-11-01,3.35570469798658
1966-12-01,3.35570469798658
1967-01-01,4.0268456375839
1967-02-01,4
1967-03-01,3.3112582781457
1967-04-01,5.29801324503312
1967-05-01,5.29801324503312
1967-06-01,5.96026490066226
1967-07-01,5.92105263157895
1967-08-01,5.92105263157895
1967-09-01,5.92105263157895
1967-10-01,6.53594771241831
1967-11-01,5.84415584415585
1967-12-01,5.84415584415585
1968-01-01,5.80645161290321
1968-02-01,5.12820512820512
1968-03-01,5.76923076923078
1968-04-01,4.40251572327044
1968-05-01,5.66037735849057
1968-06-01,5.62499999999999
1968-07-01,4.96894409937887
1968-08-01,4.96894409937887
1968-09-01,5.59006211180125
1968-10-01,4.9079754601227
1968-11-01,5.52147239263802
1968-12-01,5.52147239263802
1969-01-01,5.4878048780488
1969-02-01,6.09756097560976
1969-03-01,6.66666666666667
1969-04-01,7.22891566265061
1969-05-01,6.54761904761904
1969-06-01,6.50887573964498
1969-07-01,7.10059171597635
1969-08-01,7.10059171597635
1969-09-01,7.05882352941176
1969-10-01,7.01754385964913
1969-11-01,6.39534883720932
1969-12-01,6.97674418604652
1970-01-01,6.93641618497109
1970-02-01,6.89655172413795
1970-03-01,6.24999999999999
1970-04-01,5.61797752808988
1970-05-01,6.14525139664805
1970-06-01,5.55555555555556
1970-07-01,4.97237569060772
1970-08-01,5.52486187845304
1970-09-01,4.94505494505496
1970-10-01,5.46448087431693
1970-11-01,5.46448087431693
1970-12-01,5.43478260869564
1971-01-01,5.40540540540541
1971-02-01,5.37634408602149
1971-03-01,4.81283422459893
1971-04-01,5.31914893617022
1971-05-01,4.21052631578948
1971-06-01,4.21052631578948
1971-07-01,4.73684210526315
1971-08-01,4.71204188481674
1971-09-01,5.23560209424083
1971-10-01,5.18134715025907
1971-11-01,5.69948186528496
1971-12-01,5.15463917525774
1972-01-01,5.12820512820513
1972-02-01,4.59183673469388
1972-03-01,5.10204081632654
1972-04-01,4.54545454545454
1972-05-01,5.05050505050505
1972-06-01,5.55555555555555
1972-07-01,5.52763819095478
1972-08-01,5.99999999999999
1972-09-01,5.47263681592039
1972-10-01,4.4334975369458
1972-11-01,5.3921568627451
1972-12-01,5.3921568627451
1973-01-01,5.85365853658536
1973-02-01,5.85365853658536
1973-03-01,5.82524271844659
1973-04-01,6.28019323671498
1973-05-01,6.25
1973-06-01,5.74162679425839
1973-07-01,6.1904761904762
1973-08-01,6.13207547169812
1973-09-01,6.60377358490567
1973-10-01,7.07547169811321
1973-11-01,5.58139534883722
1973-12-01,6.51162790697674
1974-01-01,5.99078341013826
1974-02-01,6.91244239631336
1974-03-01,6.88073394495414
1974-04-01,6.81818181818182
1974-05-01,7.23981900452487
1974-06-01,8.14479638009048
1974-07-01,8.5201793721973
1974-08-01,8.44444444444444
1974-09-01,8.40707964601769
1974-10-01,8.81057268722466
1974-11-01,9.69162995594714
1974-12-01,9.60698689956333
1975-01-01,9.56521739130434
1975-02-01,10.3448275862069
1975-03-01,10.3004291845494
1975-04-01,10.6382978723404
1975-05-01,10.126582278481
1975-06-01,10.4602510460251
1975-07-01,9.50413223140497
1975-08-01,10.655737704918
1975-09-01,11.0204081632653
1975-10-01,12.1457489878543
1975-11-01,12.0481927710843
1975-12-01,11.9521912350598
1976-01-01,12.6984126984127
1976-02-01,12.109375
1976-03-01,12.84046692607
1976-04-01,12.3076923076923
1976-05-01,12.6436781609195
1976-06-01,12.1212121212121
1976-07-01,12.8301886792453
1976-08-01,12.2222222222222
1976-09-01,11.7647058823529
1976-10-01,11.5523465703971
1976-11-01,11.4695340501792
1976-12-01,11.3879003558719
1977-01-01,10.5633802816902
1977-02-01,10.4529616724739
1977-03-01,10
1977-04-01,9.93150684931508
1977-05-01,9.52380952380953
1977-06-01,9.45945945945945
