"Date","CANLOCOCIORSTSAM"
2002-01-01,111.16775533579
2002-02-01,118.910307445676
2002-03-01,123.880834777702
2002-04-01,123.116138241555
2002-05-01,125.505814904271
2002-06-01,126.079337229916
2002-07-01,118.910307445676
2002-08-01,114.704476649797
2002-09-01,118.814720391402
2002-10-01,111.358929444339
2002-11-01,111.932451769984
2002-12-01,111.16775533579
2003-01-01,120.535287572244
2003-02-01,108.395730455978
2003-03-01,106.292815058038
2003-04-01,118.241198065756
2003-05-01,118.910307445676
2003-06-01,109.256014046399
2003-07-01,111.358929444339
2003-08-01,110.403058799643
2003-09-01,116.616217939188
2003-10-01,117.189740366787
2003-11-01,121.013222843615
2003-12-01,114.704476649797
2004-01-01,123.59407361488
2004-02-01,117.285327421061
2004-03-01,119.961765144646
2004-04-01,119.866178090371
2004-05-01,110.116297636821
2004-06-01,108.204556347429
2004-07-01,116.138282667817
2004-08-01,115.277999077395
2004-09-01,118.814720391402
2004-10-01,114.513302541248
2004-11-01,116.425043830639
2004-12-01,117.572088583883
2005-01-01,123.020551187281
2005-02-01,118.527959228579
2005-03-01,122.16026759686
2005-04-01,116.616217939188
2005-05-01,120.822048735067
2005-06-01,119.101481554224
2005-07-01,121.49115821694
2005-08-01,111.645690607161
2005-09-01,95.2047156305461
2005-10-01,100.939939468134
2005-11-01,115.755934348766
2005-12-01,110.403058799643
2006-01-01,126.270511440418
2006-02-01,123.020551187281
2006-03-01,121.013222843615
2006-04-01,125.314640795722
2006-05-01,117.95443680098
2006-06-01,125.696989012819
2006-07-01,118.527959228579
2006-08-01,116.90297910201
2006-09-01,117.094153210559
2006-10-01,120.43970051797
2006-11-01,116.807392047736
2006-12-01,121.10880989789
2007-01-01,127.704317356485
2007-02-01,122.638202970184
2007-03-01,122.255854753087
2007-04-01,121.299984108392
2007-05-01,120.535287572244
2007-06-01,120.05735219892
2007-07-01,121.10880989789
2007-08-01,123.785247723428
2007-09-01,125.027879530946
2007-10-01,120.43970051797
2007-11-01,124.167595940525
2007-12-01,116.425043830639
2008-01-01,115.755934348766
2008-02-01,117.189740366787
2008-03-01,112.88832241468
2008-04-01,108.204556347429
2008-05-01,94.0576708671067
2008-06-01,81.0578301706141
2008-07-01,84.1166162234446
2008-08-01,88.7047952873974
2008-09-01,95.3003026950156
2008-10-01,72.7417556127392
2008-11-01,67.8668153553777
2008-12-01,61.2713079477596
2009-01-01,66.2418352695906
2009-02-01,63.9477457427119
2009-03-01,66.146248205121
2009-04-01,73.1241038706174
2009-05-01,82.3004620087184
2009-06-01,85.0724868579449
2009-07-01,85.7415963092318
2009-08-01,96.1605862650463
2009-09-01,100.748765339194
2009-10-01,99.8884817589684
2009-11-01,93.1973872868807
2009-12-01,97.5943922320897
2010-01-01,113.939780113649
2010-02-01,104.476660822921
2010-03-01,108.969252781623
2010-04-01,100.462004145786
2010-05-01,104.954596196246
2010-06-01,99.0281981889378
2010-07-01,94.3444320605154
2010-08-01,93.5797355447589
2010-09-01,92.0503425234413
2010-10-01,93.9620838026372
2010-11-01,98.6458499310595
2010-12-01,95.5870638884243
2011-01-01,103.903138395323
2011-02-01,105.336944413343
2011-03-01,98.7414369955291
2011-04-01,103.425203123951
2011-05-01,100.939939468134
2011-06-01,97.9767404797726
2011-07-01,95.873825081833
2011-08-01,88.1312729005801
2011-09-01,88.5136211584583
2011-10-01,84.6901386000667
2011-11-01,90.1386012442455
2011-12-01,82.4916361376575
2012-01-01,87.1754022660799
2012-02-01,88.7047952873974
2012-03-01,93.770909673698
2012-04-01,88.5136211584583
2012-05-01,95.3003026950156
2012-06-01,88.800382351867
2012-07-01,90.7121236310629
2012-08-01,89.1827306097452
2012-09-01,96.9252827808028
2012-10-01,95.6826509528939
2012-11-01,94.7267803081983
2012-12-01,91.8591683945022
2013-01-01,97.8811534153031
2013-02-01,95.3003026950156
2013-03-01,94.9179544371374
2013-04-01,89.1827306097452
2013-05-01,95.2047156305461
2013-06-01,98.3590887376508
2013-07-01,97.4032181031506
2013-08-01,99.8884817589684
2013-09-01,107.344272757008
2013-10-01,104.859009040018
2013-11-01,102.756093642078
2013-12-01,94.9179544371374
2014-01-01,95.9694121463026
2014-02-01,100.462004145786
2014-03-01,104.381073768647
2014-04-01,105.910466738988
2014-05-01,102.94726785258
2014-06-01,102.469332479256
2014-07-01,101.322287715816
2014-08-01,104.285486714373
2014-09-01,103.711964286774
2014-10-01,99.0281981889378
2014-11-01,97.5943922320897
2014-12-01,104.859009040018
2015-01-01,107.690202289706
2015-02-01,96.2440422063956
2015-03-01,109.09017495852
2015-04-01,95.3264612955295
2015-05-01,100.424133022563
2015-06-01,103.380782624243
2015-07-01,99.2006918080751
2015-08-01,92.4717651283906
2015-09-01,91.1463704793619
2015-10-01,95.9381819027735
2015-11-01,103.788596362405
2015-12-01,91.5541842175246
2016-01-01,80.6451667216725
2016-02-01,84.2135369305961
2016-03-01,92.7776254320126
2016-04-01,95.1225544264481
2016-05-01,102.463201713377
2016-06-01,100.424133022563
2016-07-01,105.317897880515
2016-08-01,102.157341409755
2016-09-01,103.686642927865
2016-10-01,97.365529986343
2016-11-01,103.380782624243
2016-12-01,104.50227040419
2017-01-01,102.361248278836
2017-02-01,111.333150518415
2017-03-01,112.454638298363
2017-04-01,110.109709303927
2017-05-01,113.474172643769
2017-06-01,112.250731429281
2017-07-01,114.289800120095
2017-08-01,122.446074883349
2017-09-01,113.168312340147
2017-10-01,117.450356590856
2017-11-01,121.834354276105
