"Date","CANSLRTCR03MLM"
1960-01-01,27279
1960-02-01,34257
1960-03-01,43348
1960-04-01,50125
1960-05-01,50789
1960-06-01,50747
1960-07-01,33920
1960-08-01,29265
1960-09-01,26173
1960-10-01,33473
1960-11-01,36603
1960-12-01,31792
1961-01-01,27505
1961-02-01,30277
1961-03-01,38916
1961-04-01,44210
1961-05-01,50438
1961-06-01,46040
1961-07-01,39492
1961-08-01,31139
1961-09-01,23552
1961-10-01,31550
1961-11-01,42574
1961-12-01,31626
1962-01-01,36295
1962-02-01,33497
1962-03-01,50572
1962-04-01,54995
1962-05-01,65275
1962-06-01,52162
1962-07-01,38861
1962-08-01,28312
1962-09-01,19348
1962-10-01,40912
1962-11-01,43339
1962-12-01,38997
1963-01-01,36904
1963-02-01,39143
1963-03-01,47817
1963-04-01,63538
1963-05-01,64047
1963-06-01,58754
1963-07-01,41124
1963-08-01,29142
1963-09-01,26121
1963-10-01,50160
1963-11-01,54622
1963-12-01,46415
1964-01-01,44721
1964-02-01,46713
1964-03-01,60512
1964-04-01,68102
1964-05-01,70455
1964-06-01,63360
1964-07-01,50266
1964-08-01,37415
1964-09-01,38332
1964-10-01,51433
1964-11-01,46428
1964-12-01,39022
1965-01-01,43922
1965-02-01,47203
1965-03-01,65954
1965-04-01,75765
1965-05-01,76897
1965-06-01,73914
1965-07-01,55388
1965-08-01,47777
1965-09-01,36927
1965-10-01,59925
1965-11-01,64703
1965-12-01,60341
1966-01-01,47767
1966-02-01,51066
1966-03-01,79882
1966-04-01,66184
1966-05-01,63520
1966-06-01,65408
1966-07-01,51038
1966-08-01,51419
1966-09-01,44443
1966-10-01,58213
1966-11-01,59897
1966-12-01,55983
1967-01-01,45475
1967-02-01,45276
1967-03-01,68381
1967-04-01,65852
1967-05-01,81259
1967-06-01,75157
1967-07-01,47889
1967-08-01,45822
1967-09-01,43556
1967-10-01,55609
1967-11-01,55065
1967-12-01,50094
1968-01-01,48928
1968-02-01,50165
1968-03-01,67145
1968-04-01,66549
1968-05-01,81060
1968-06-01,70326
1968-07-01,61478
1968-08-01,53728
1968-09-01,47382
1968-10-01,73526
1968-11-01,64119
1968-12-01,57509
1969-01-01,51137
1969-02-01,57465
1969-03-01,71277
1969-04-01,77176
1969-05-01,78168
1969-06-01,72407
1969-07-01,56258
1969-08-01,45768
1969-09-01,62185
1969-10-01,73314
1969-11-01,64470
1969-12-01,51178
1970-01-01,40480
1970-02-01,41762
1970-03-01,58806
1970-04-01,64517
1970-05-01,67217
1970-06-01,68693
1970-07-01,53491
1970-08-01,43912
1970-09-01,48295
1970-10-01,66611
1970-11-01,47646
1970-12-01,38930
1971-01-01,34626
1971-02-01,46263
1971-03-01,69277
1971-04-01,81273
1971-05-01,84888
1971-06-01,78487
1971-07-01,61205
1971-08-01,50504
1971-09-01,66639
1971-10-01,81466
1971-11-01,69927
1971-12-01,56207
1972-01-01,46028
1972-02-01,54519
1972-03-01,73862
1972-04-01,77971
1972-05-01,103483
1972-06-01,90342
1972-07-01,65536
1972-08-01,57657
1972-09-01,62264
1972-10-01,90972
1972-11-01,78166
1972-12-01,58159
1973-01-01,58462
1973-02-01,67292
1973-03-01,104081
1973-04-01,104782
1973-05-01,104071
1973-06-01,99697
1973-07-01,72366
1973-08-01,66943
1973-09-01,66004
1973-10-01,90965
1973-11-01,78259
1973-12-01,57906
1974-01-01,66167
1974-02-01,66651
1974-03-01,79274
1974-04-01,94013
1974-05-01,115752
1974-06-01,97908
1974-07-01,84788
1974-08-01,77473
1974-09-01,63862
1974-10-01,84176
1974-11-01,62694
1974-12-01,50039
1975-01-01,53848
1975-02-01,70235
1975-03-01,75334
1975-04-01,91616
1975-05-01,99483
1975-06-01,98609
1975-07-01,84330
1975-08-01,73110
1975-09-01,65202
1975-10-01,103824
1975-11-01,86908
