"Date","IRSTCI01CAM156N"
1975-01-01,6.4643
1975-02-01,6.6071
1975-03-01,6.4821
1975-04-01,7.1786
1975-05-01,6.5
1975-06-01,6.8036
1975-07-01,7.2679
1975-08-01,7.8393
1975-09-01,7.6964
1975-10-01,8.3929
1975-11-01,8.5
1975-12-01,9.2321
1976-01-01,9.1429
1976-02-01,9.1429
1976-03-01,9.6071
1976-04-01,9
1976-05-01,8.6786
1976-06-01,9.3571
1976-07-01,9.3929
1976-08-01,9.1071
1976-09-01,9.5714
1976-10-01,9.3393
1976-11-01,9.0179
1976-12-01,8.4471
1977-01-01,8.5179
1977-02-01,8.0179
1977-03-01,7.4643
1977-04-01,7.8571
1977-05-01,6.0357
1977-06-01,7.25
1977-07-01,7.375
1977-08-01,7.3571
1977-09-01,6.5536
1977-10-01,7
1977-11-01,7.4643
1977-12-01,5.8757
1978-01-01,6.5893
1978-02-01,7.1429
1978-03-01,6.8214
1978-04-01,6.75
1978-05-01,7.9471
1978-06-01,7.0179
1978-07-01,7.6257
1978-08-01,7.4643
1978-09-01,8.5714
1978-10-01,8.9643
1978-11-01,8.6786
1978-12-01,6.6071
1979-01-01,11.9643
1979-02-01,10.5
1979-03-01,12.625
1979-04-01,10.1786
1979-05-01,10.6429
1979-06-01,10.375
1979-07-01,11.2143
1979-08-01,10.2321
1979-09-01,8.4643
1979-10-01,13.5357
1979-11-01,11.7857
1979-12-01,13.2143
1980-01-01,13.6786
1980-02-01,8.6429
1980-03-01,11.3571
1980-04-01,19.3571
1980-05-01,17.25
1980-06-01,14.9286
1980-07-01,10.7857
1980-08-01,9.6607
1980-09-01,8.9286
1980-10-01,13.8929
1980-11-01,11.9107
1980-12-01,18.9643
1981-01-01,18.2857
1981-02-01,14.7857
1981-03-01,18.7679
1981-04-01,16.9471
1981-05-01,15.8571
1981-06-01,19.2857
1981-07-01,21.4107
1981-08-01,21.5714
1981-09-01,19.75
1981-10-01,19.25
1981-11-01,18.9286
1981-12-01,12.8214
1982-01-01,14.5536
1982-02-01,12.8757
1982-03-01,15.5357
1982-04-01,15.1429
1982-05-01,15.6429
1982-06-01,14.9657
1982-07-01,17.1271
1982-08-01,16.4657
1982-09-01,14.0757
1982-10-01,13.6443
1982-11-01,11.86
