"Date","LFACTTMACAM647S"
1960-01-01,4721861.04526901
1960-02-01,4735480.75227379
1960-03-01,4733458.36780362
1960-04-01,4750707.32147239
1960-05-01,4753443.0201839
1960-06-01,4740644.15293762
1960-07-01,4749700.36462285
1960-08-01,4756994.78980451
1960-09-01,4766628.70854674
1960-10-01,4777203.79617302
1960-11-01,4785195.22355006
1960-12-01,4774386.21180373
1961-01-01,4793936.34979198
1961-02-01,4782476.48518739
1961-03-01,4781495.5701497
1961-04-01,4787431.92911542
1961-05-01,4790252.75333437
1961-06-01,4759239.51231836
1961-07-01,4774414.02046666
1961-08-01,4774517.02223847
1961-09-01,4783069.25134152
1961-10-01,4783240.87731971
1961-11-01,4781526.68899681
1961-12-01,4788054.24912958
1962-01-01,4786195.70833759
1962-02-01,4822308.37799444
1962-03-01,4814481.42225068
1962-04-01,4811478.39186105
1962-05-01,4819624.59180709
1962-06-01,4828803.40092322
1962-07-01,4820290.18037313
1962-08-01,4825386.03525151
1962-09-01,4819163.4925974
1962-10-01,4804735.12638724
1962-11-01,4824484.38769653
1962-12-01,4840854.36981115
1963-01-01,4844146.6656106
1963-02-01,4854455.81485769
1963-03-01,4862550.78600758
1963-04-01,4870437.82469778
1963-05-01,4858995.33217526
1963-06-01,4873336.28889626
1963-07-01,4880925.46917363
1963-08-01,4882218.16467494
1963-09-01,4889898.33604104
1963-10-01,4904825.40123257
1963-11-01,4909841.61164667
1963-12-01,4908170.64866245
1964-01-01,4919449.52710558
1964-02-01,4924822.29582518
1964-03-01,4928438.75868082
1964-04-01,4935553.61768063
1964-05-01,4950371.04667281
1964-06-01,4954898.77858248
1964-07-01,4978417.86018206
1964-08-01,4987250.83707564
1964-09-01,4987804.56616753
1964-10-01,4986743.82716315
1964-11-01,4995409.35371507
1964-12-01,4978821.20987051
1965-01-01,5033000
1965-02-01,5039000
1965-03-01,5050000
1965-04-01,5039000
1965-05-01,5045000
1965-06-01,5052000
1965-07-01,5066000
1965-08-01,5076000
1965-09-01,5061000
1965-10-01,5053000
1965-11-01,5099000
1965-12-01,5137000
1966-01-01,5108000
1966-02-01,5153000
1966-03-01,5137000
1966-04-01,5143000
1966-05-01,5114000
1966-06-01,5076000
1966-07-01,5138000
1966-08-01,5147000
1966-09-01,5161000
1966-10-01,5172000
1966-11-01,5189000
1966-12-01,5220000
1967-01-01,5240000
1967-02-01,5230000
1967-03-01,5255000
1967-04-01,5238000
1967-05-01,5256000
1967-06-01,5215000
1967-07-01,5277000
1967-08-01,5290000
1967-09-01,5280000
1967-10-01,5270000
1967-11-01,5286000
1967-12-01,5300000
1968-01-01,5277000
1968-02-01,5293000
1968-03-01,5285000
1968-04-01,5328000
1968-05-01,5320000
1968-06-01,5370000
1968-07-01,5366000
1968-08-01,5373000
1968-09-01,5376000
1968-10-01,5396000
1968-11-01,5415000
1968-12-01,5421000
1969-01-01,5455000
1969-02-01,5454000
1969-03-01,5466000
1969-04-01,5476000
1969-05-01,5481000
1969-06-01,5463000
1969-07-01,5453000
1969-08-01,5455000
1969-09-01,5445000
1969-10-01,5460000
1969-11-01,5483000
1969-12-01,5507000
1970-01-01,5493000
1970-02-01,5516000
1970-03-01,5512000
1970-04-01,5520000
1970-05-01,5558000
1970-06-01,5581000
1970-07-01,5593000
1970-08-01,5608000
1970-09-01,5625000
1970-10-01,5633000
1970-11-01,5643000
1970-12-01,5626000
1971-01-01,5622000
1971-02-01,5618000
1971-03-01,5598000
1971-04-01,5599000
1971-05-01,5643000
1971-06-01,5664000
1971-07-01,5688000
1971-08-01,5691000
1971-09-01,5704000
1971-10-01,5714000
1971-11-01,5720000
1971-12-01,5726000
1972-01-01,5733000
1972-02-01,5742000
1972-03-01,5781000
1972-04-01,5774000
1972-05-01,5784000
1972-06-01,5799000
1972-07-01,5829000
1972-08-01,5819000
1972-09-01,5813000
1972-10-01,5829000
1972-11-01,5832000
1972-12-01,5849000
1973-01-01,5873000
1973-02-01,5888000
1973-03-01,5925000
1973-04-01,5965000
1973-05-01,5951000
1973-06-01,5989000
1973-07-01,5962000
1973-08-01,5973000
1973-09-01,5970000
1973-10-01,6030000
1973-11-01,6039000
1973-12-01,6071000
1974-01-01,6097000
1974-02-01,6126000
1974-03-01,6114000
1974-04-01,6153000
1974-05-01,6129000
1974-06-01,6103000
1974-07-01,6143000
1974-08-01,6196000
1974-09-01,6199000
1974-10-01,6200000
1974-11-01,6234000
1974-12-01,6249000
1975-01-01,6217000
1975-02-01,6222000
1975-03-01,6231000
1975-04-01,6244000
1975-05-01,6296000
1975-06-01,6323000
1975-07-01,6312000
1975-08-01,6320000
1975-09-01,6318000
1975-10-01,6335000
1975-11-01,6347000
1975-12-01,6367000
1976-01-01,6504300
1976-02-01,6513100
1976-03-01,6515300
1976-04-01,6547300
1976-05-01,6528000
1976-06-01,6540200
1976-07-01,6581700
1976-08-01,6547800
1976-09-01,6552600
1976-10-01,6577000
1976-11-01,6595900
1976-12-01,6621900
1977-01-01,6631200
1977-02-01,6649000
1977-03-01,6640600
1977-04-01,6656800
1977-05-01,6657300
1977-06-01,6661900
1977-07-01,6682300
1977-08-01,6699800
1977-09-01,6703700
1977-10-01,6709600
1977-11-01,6735900
1977-12-01,6745000
1978-01-01,6724100
1978-02-01,6767500
1978-03-01,6798100
1978-04-01,6801200
1978-05-01,6813400
1978-06-01,6845400
1978-07-01,6850800
1978-08-01,6879400
1978-09-01,6870300
1978-10-01,6890300
1978-11-01,6909500
1978-12-01,6914400
1979-01-01,6955400
1979-02-01,6940900
1979-03-01,6964100
1979-04-01,6986500
1979-05-01,7001800
1979-06-01,6989700
1979-07-01,6993300
1979-08-01,6994400
1979-09-01,7010500
1979-10-01,7036200
1979-11-01,7054200
1979-12-01,7074500
1980-01-01,7092300
1980-02-01,7128400
1980-03-01,7108400
1980-04-01,7119700
1980-05-01,7096500
1980-06-01,7120600
1980-07-01,7104400
1980-08-01,7125400
1980-09-01,7149200
1980-10-01,7153900
1980-11-01,7191000
1980-12-01,7209100
1981-01-01,7254500
1981-02-01,7278700
1981-03-01,7284700
1981-04-01,7280300
1981-05-01,7270100
1981-06-01,7265500
1981-07-01,7245000
1981-08-01,7235500
1981-09-01,7286900
1981-10-01,7277900
1981-11-01,7264000
1981-12-01,7284200
1982-01-01,7250100
1982-02-01,7241700
1982-03-01,7249700
1982-04-01,7241700
1982-05-01,7254100
1982-06-01,7259200
1982-07-01,7288700
1982-08-01,7252900
1982-09-01,7281000
1982-10-01,7299300
1982-11-01,7255900
1982-12-01,7263500
1983-01-01,7235300
1983-02-01,7246900
1983-03-01,7262400
1983-04-01,7293400
1983-05-01,7318700
1983-06-01,7357900
1983-07-01,7349500
1983-08-01,7361600
1983-09-01,7362700
1983-10-01,7327700
1983-11-01,7332500
1983-12-01,7338400
1984-01-01,7324100
1984-02-01,7333900
1984-03-01,7336200
1984-04-01,7354900
1984-05-01,7396700
1984-06-01,7418900
1984-07-01,7422500
1984-08-01,7421800
1984-09-01,7471600
1984-10-01,7435100
1984-11-01,7410700
1984-12-01,7416500
1985-01-01,7428700
1985-02-01,7425900
1985-03-01,7471500
1985-04-01,7463900
1985-05-01,7478900
1985-06-01,7495900
1985-07-01,7498600
1985-08-01,7500900
1985-09-01,7469500
1985-10-01,7505500
1985-11-01,7531500
1985-12-01,7546200
1986-01-01,7553400
1986-02-01,7558000
1986-03-01,7565900
1986-04-01,7600900
1986-05-01,7574900
1986-06-01,7585600
1986-07-01,7582800
1986-08-01,7593900
1986-09-01,7603400
1986-10-01,7596400
1986-11-01,7612800
1986-12-01,7626600
1987-01-01,7623000
1987-02-01,7636400
1987-03-01,7648500
1987-04-01,7657900
1987-05-01,7670000
1987-06-01,7675400
1987-07-01,7666900
1987-08-01,7678000
1987-09-01,7691200
1987-10-01,7713300
1987-11-01,7713800
1987-12-01,7743800
1988-01-01,7759700
1988-02-01,7749500
1988-03-01,7758700
1988-04-01,7745300
1988-05-01,7745000
1988-06-01,7723600
1988-07-01,7741000
1988-08-01,7740700
1988-09-01,7750900
1988-10-01,7760500
1988-11-01,7774100
1988-12-01,7792100
1989-01-01,7831100
1989-02-01,7857000
1989-03-01,7883900
1989-04-01,7879300
1989-05-01,7866500
1989-06-01,7869700
1989-07-01,7855800
1989-08-01,7863700
1989-09-01,7870200
1989-10-01,7856300
1989-11-01,7891200
1989-12-01,7899100
1990-01-01,7946400
1990-02-01,7937900
1990-03-01,7908500
1990-04-01,7928300
1990-05-01,7908100
1990-06-01,7892600
1990-07-01,7913100
1990-08-01,7923300
1990-09-01,7954200
1990-10-01,7940200
1990-11-01,7929700
1990-12-01,7934500
1991-01-01,7923100
1991-02-01,7928100
1991-03-01,7910200
1991-04-01,7927100
1991-05-01,7931200
1991-06-01,7950000
1991-07-01,7945700
1991-08-01,7949600
1991-09-01,7921900
1991-10-01,7920600
1991-11-01,7899300
1991-12-01,7887800
1992-01-01,7872700
1992-02-01,7853400
1992-03-01,7889800
1992-04-01,7863800
1992-05-01,7907400
1992-06-01,7940300
1992-07-01,7931700
1992-08-01,7944600
1992-09-01,7945300
1992-10-01,7929100
1992-11-01,7965200
1992-12-01,7928800
1993-01-01,7914200
1993-02-01,7899800
1993-03-01,7922100
1993-04-01,7934500
1993-05-01,7944000
1993-06-01,7971400
1993-07-01,7974100
1993-08-01,7945600
1993-09-01,7983500
1993-10-01,7937800
1993-11-01,7962000
1993-12-01,7954800
1994-01-01,7971600
1994-02-01,7978000
1994-03-01,7944400
1994-04-01,7994500
1994-05-01,8009500
1994-06-01,7995300
1994-07-01,8015200
1994-08-01,8031100
1994-09-01,8063000
1994-10-01,8025800
1994-11-01,8075400
1994-12-01,8028600
1995-01-01,8038700
1995-02-01,8029500
1995-03-01,8064700
1995-04-01,8043100
1995-05-01,8039100
1995-06-01,8039800
1995-07-01,8055100
1995-08-01,8056300
1995-09-01,8038500
1995-10-01,8057500
1995-11-01,8034700
1995-12-01,8079600
1996-01-01,8104300
1996-02-01,8112300
1996-03-01,8099600
1996-04-01,8095600
1996-05-01,8098100
1996-06-01,8130400
1996-07-01,8150200
1996-08-01,8125000
1996-09-01,8124000
1996-10-01,8137300
1996-11-01,8152600
1996-12-01,8158300
1997-01-01,8167400
1997-02-01,8181600
1997-03-01,8170500
1997-04-01,8160600
1997-05-01,8217800
1997-06-01,8210000
1997-07-01,8231100
1997-08-01,8270600
1997-09-01,8290100
1997-10-01,8301500
1997-11-01,8308000
1997-12-01,8293200
1998-01-01,8293400
1998-02-01,8289100
1998-03-01,8280400
1998-04-01,8288600
1998-05-01,8304900
1998-06-01,8327000
1998-07-01,8350100
1998-08-01,8339400
1998-09-01,8356800
1998-10-01,8347700
1998-11-01,8374500
1998-12-01,8373900
1999-01-01,8394400
1999-02-01,8392800
1999-03-01,8406100
1999-04-01,8456000
1999-05-01,8449400
1999-06-01,8428500
1999-07-01,8453600
1999-08-01,8455800
1999-09-01,8498900
1999-10-01,8497700
1999-11-01,8497800
1999-12-01,8524800
2000-01-01,8532600
2000-02-01,8526500
2000-03-01,8542400
2000-04-01,8557800
2000-05-01,8536600
2000-06-01,8539400
2000-07-01,8540800
2000-08-01,8576800
2000-09-01,8592200
2000-10-01,8601700
2000-11-01,8628100
2000-12-01,8651900
2001-01-01,8628100
2001-02-01,8648300
2001-03-01,8655300
2001-04-01,8674100
2001-05-01,8665600
2001-06-01,8684100
2001-07-01,8665000
2001-08-01,8688200
2001-09-01,8682900
2001-10-01,8708000
2001-11-01,8715200
2001-12-01,8765200
2002-01-01,8789200
2002-02-01,8808200
2002-03-01,8839800
2002-04-01,8837100
2002-05-01,8886100
2002-06-01,8891300
2002-07-01,8914700
2002-08-01,8928000
2002-09-01,8937700
2002-10-01,8938300
2002-11-01,8962900
2002-12-01,9004500
2003-01-01,8998400
2003-02-01,9034800
2003-03-01,9013500
2003-04-01,9036600
2003-05-01,9045500
2003-06-01,9048200
2003-07-01,9073000
2003-08-01,9070300
2003-09-01,9085200
2003-10-01,9090100
2003-11-01,9106900
2003-12-01,9098400
2004-01-01,9111300
2004-02-01,9102000
2004-03-01,9120700
2004-04-01,9132400
2004-05-01,9119700
2004-06-01,9138400
2004-07-01,9137600
2004-08-01,9141800
2004-09-01,9164900
2004-10-01,9187400
2004-11-01,9196700
2004-12-01,9213600
2005-01-01,9195400
2005-02-01,9200500
2005-03-01,9199300
2005-04-01,9187000
2005-05-01,9223600
2005-06-01,9218200
2005-07-01,9250200
2005-08-01,9260400
2005-09-01,9239700
2005-10-01,9254400
2005-11-01,9240100
2005-12-01,9252900
2006-01-01,9273100
2006-02-01,9290300
2006-03-01,9309100
2006-04-01,9309800
2006-05-01,9329200
2006-06-01,9324000
2006-07-01,9344200
2006-08-01,9368300
2006-09-01,9390900
2006-10-01,9366300
2006-11-01,9384800
2006-12-01,9395800
2007-01-01,9430300
2007-02-01,9429400
2007-03-01,9419700
2007-04-01,9435700
2007-05-01,9436500
2007-06-01,9461800
2007-07-01,9463100
2007-08-01,9461000
2007-09-01,9464900
2007-10-01,9509500
2007-11-01,9536500
2007-12-01,9556300
2008-01-01,9587400
2008-02-01,9578100
2008-03-01,9607200
2008-04-01,9614500
2008-05-01,9583700
2008-06-01,9599600
2008-07-01,9586600
2008-08-01,9600000
2008-09-01,9663300
2008-10-01,9680500
2008-11-01,9660900
2008-12-01,9650200
2009-01-01,9643500
2009-02-01,9670600
2009-03-01,9666700
2009-04-01,9646100
