"Date","LFIN24TTCAM647N"
1976-01-01,1843800
1976-02-01,1839800
1976-03-01,1811300
1976-04-01,1805700
1976-05-01,1647800
1976-06-01,1427100
1976-07-01,1161200
1976-08-01,1290400
1976-09-01,1760200
1976-10-01,1769300
1976-11-01,1772700
1976-12-01,1772500
1977-01-01,1823800
1977-02-01,1801500
1977-03-01,1790400
1977-04-01,1780300
1977-05-01,1597600
1977-06-01,1436200
1977-07-01,1140500
1977-08-01,1244200
1977-09-01,1728300
1977-10-01,1730900
1977-11-01,1747900
1977-12-01,1777800
1978-01-01,1851100
1978-02-01,1812600
1978-03-01,1761800
1978-04-01,1776900
1978-05-01,1579900
1978-06-01,1399700
1978-07-01,1099600
1978-08-01,1200500
1978-09-01,1696200
1978-10-01,1689900
1978-11-01,1692300
1978-12-01,1709800
1979-01-01,1769100
1979-02-01,1749900
1979-03-01,1706800
1979-04-01,1685300
1979-05-01,1509000
1979-06-01,1339300
1979-07-01,1068200
1979-08-01,1128600
1979-09-01,1619700
1979-10-01,1582400
1979-11-01,1614100
1979-12-01,1643800
1980-01-01,1687000
1980-02-01,1696400
1980-03-01,1639900
1980-04-01,1637000
1980-05-01,1484000
1980-06-01,1194100
1980-07-01,1032400
1980-08-01,1098400
1980-09-01,1585900
1980-10-01,1581900
1980-11-01,1619600
1980-12-01,1645200
1981-01-01,1668200
1981-02-01,1644400
1981-03-01,1597000
1981-04-01,1621100
1981-05-01,1406200
1981-06-01,1151400
1981-07-01,975200
1981-08-01,1065600
1981-09-01,1550400
1981-10-01,1572100
1981-11-01,1605000
1981-12-01,1643500
1982-01-01,1717200
1982-02-01,1713500
1982-03-01,1650800
1982-04-01,1669800
1982-05-01,1501200
1982-06-01,1283800
1982-07-01,1040200
1982-08-01,1198700
1982-09-01,1652300
1982-10-01,1621100
1982-11-01,1661600
1982-12-01,1661600
1983-01-01,1718400
1983-02-01,1697000
1983-03-01,1625200
1983-04-01,1658300
1983-05-01,1438800
1983-06-01,1237300
1983-07-01,1003000
1983-08-01,1102900
1983-09-01,1578500
1983-10-01,1596400
1983-11-01,1614500
1983-12-01,1624400
1984-01-01,1701200
1984-02-01,1652800
1984-03-01,1608200
1984-04-01,1602500
1984-05-01,1363200
1984-06-01,1222100
1984-07-01,958100
1984-08-01,1071400
1984-09-01,1523200
1984-10-01,1531200
1984-11-01,1553500
1984-12-01,1576800
1985-01-01,1643500
1985-02-01,1618000
1985-03-01,1532500
1985-04-01,1547400
1985-05-01,1334400
1985-06-01,1171000
1985-07-01,922300
1985-08-01,995400
1985-09-01,1494300
1985-10-01,1466900
1985-11-01,1476200
1985-12-01,1490200
1986-01-01,1536700
1986-02-01,1512200
1986-03-01,1476500
1986-04-01,1440100
1986-05-01,1253600
1986-06-01,1009800
1986-07-01,827500
1986-08-01,927200
1986-09-01,1433000
1986-10-01,1429000
1986-11-01,1446200
1986-12-01,1466500
1987-01-01,1502800
1987-02-01,1457800
1987-03-01,1407200
1987-04-01,1426800
1987-05-01,1206700
1987-06-01,1002300
1987-07-01,783000
1987-08-01,860800
1987-09-01,1370700
1987-10-01,1324500
1987-11-01,1339200
1987-12-01,1354800
1988-01-01,1412500
1988-02-01,1404900
1988-03-01,1351000
1988-04-01,1372700
1988-05-01,1111700
1988-06-01,1018600
1988-07-01,727500
1988-08-01,837900
1988-09-01,1305700
1988-10-01,1288500
1988-11-01,1301300
1988-12-01,1324100
1989-01-01,1318100
1989-02-01,1322600
1989-03-01,1289000
1989-04-01,1301400
1989-05-01,1075400
1989-06-01,952000
1989-07-01,685400
1989-08-01,773700
1989-09-01,1275400
1989-10-01,1257200
1989-11-01,1270100
1989-12-01,1284200
1990-01-01,1316000
1990-02-01,1304900
1990-03-01,1312100
1990-04-01,1315300
1990-05-01,1118700
1990-06-01,995500
1990-07-01,733800
1990-08-01,832700
1990-09-01,1293700
1990-10-01,1284500
1990-11-01,1322100
1990-12-01,1339500
1991-01-01,1400600
1991-02-01,1380600
1991-03-01,1367200
1991-04-01,1389500
1991-05-01,1155800
1991-06-01,1037600
1991-07-01,760900
1991-08-01,884500
1991-09-01,1369900
1991-10-01,1358000
1991-11-01,1395000
1991-12-01,1414500
1992-01-01,1476800
1992-02-01,1464700
1992-03-01,1425000
1992-04-01,1469900
1992-05-01,1249700
1992-06-01,1062200
1992-07-01,856700
1992-08-01,948500
1992-09-01,1438300
1992-10-01,1452700
1992-11-01,1452800
1992-12-01,1478100
1993-01-01,1571000
1993-02-01,1551800
1993-03-01,1486100
1993-04-01,1525000
1993-05-01,1325100
1993-06-01,1139200
1993-07-01,910300
1993-08-01,1065200
1993-09-01,1494900
1993-10-01,1505700
1993-11-01,1489700
1993-12-01,1514900
1994-01-01,1582900
1994-02-01,1543400
1994-03-01,1536200
1994-04-01,1578100
1994-05-01,1309400
1994-06-01,1194900
1994-07-01,947200
1994-08-01,1072900
1994-09-01,1494600
1994-10-01,1512000
1994-11-01,1509600
1994-12-01,1551900
1995-01-01,1594600
1995-02-01,1593600
1995-03-01,1560100
1995-04-01,1581300
1995-05-01,1349900
1995-06-01,1203800
1995-07-01,957800
1995-08-01,1098700
1995-09-01,1569000
1995-10-01,1548100
1995-11-01,1592700
1995-12-01,1585000
1996-01-01,1654400
1996-02-01,1609000
1996-03-01,1618100
1996-04-01,1621600
1996-05-01,1396900
1996-06-01,1262400
1996-07-01,1028400
1996-08-01,1142400
1996-09-01,1584800
1996-10-01,1594400
1996-11-01,1593200
1996-12-01,1640100
1997-01-01,1672100
1997-02-01,1668400
1997-03-01,1676000
1997-04-01,1681700
1997-05-01,1465700
1997-06-01,1263800
1997-07-01,1074600
1997-08-01,1157100
1997-09-01,1617000
1997-10-01,1632800
1997-11-01,1639800
1997-12-01,1681900
1998-01-01,1727800
1998-02-01,1724100
1998-03-01,1710600
1998-04-01,1687200
1998-05-01,1460000
1998-06-01,1298700
1998-07-01,1062000
1998-08-01,1158500
1998-09-01,1582800
1998-10-01,1608200
1998-11-01,1593700
1998-12-01,1607200
1999-01-01,1651700
1999-02-01,1653300
1999-03-01,1639900
1999-04-01,1601800
1999-05-01,1378300
1999-06-01,1270600
1999-07-01,1006200
1999-08-01,1165500
1999-09-01,1538300
1999-10-01,1554700
1999-11-01,1576800
1999-12-01,1586300
2000-01-01,1664100
2000-02-01,1638600
2000-03-01,1624600
2000-04-01,1613600
2000-05-01,1369100
2000-06-01,1290500
2000-07-01,1005400
2000-08-01,1106100
2000-09-01,1502300
2000-10-01,1503800
2000-11-01,1529400
2000-12-01,1534700
2001-01-01,1618400
2001-02-01,1618800
2001-03-01,1608400
2001-04-01,1585000
2001-05-01,1373500
2001-06-01,1295400
2001-07-01,1016600
2001-08-01,1119100
2001-09-01,1546600
2001-10-01,1562100
2001-11-01,1550700
2001-12-01,1572600
2002-01-01,1595500
2002-02-01,1600000
2002-03-01,1570900
2002-04-01,1566400
2002-05-01,1300500
2002-06-01,1228700
2002-07-01,924800
2002-08-01,996600
2002-09-01,1476800
2002-10-01,1477500
2002-11-01,1474000
2002-12-01,1500800
2003-01-01,1553100
2003-02-01,1530000
2003-03-01,1529600
2003-04-01,1520100
2003-05-01,1275400
2003-06-01,1164900
2003-07-01,910900
2003-08-01,1004600
2003-09-01,1470200
2003-10-01,1489500
2003-11-01,1493200
2003-12-01,1513500
2004-01-01,1577300
2004-02-01,1587500
2004-03-01,1582500
2004-04-01,1564500
2004-05-01,1302800
2004-06-01,1198200
2004-07-01,932300
2004-08-01,1077700
2004-09-01,1494000
2004-10-01,1499900
2004-11-01,1516400
2004-12-01,1550600
2005-01-01,1633500
2005-02-01,1626800
2005-03-01,1650000
2005-04-01,1649800
2005-05-01,1341200
2005-06-01,1283900
2005-07-01,1001200
2005-08-01,1125700
2005-09-01,1575900
2005-10-01,1556700
2005-11-01,1577300
2005-12-01,1582900
2006-01-01,1614500
2006-02-01,1610100
2006-03-01,1579400
2006-04-01,1605200
2006-05-01,1308700
2006-06-01,1240400
2006-07-01,954800
2006-08-01,1070200
2006-09-01,1537500
2006-10-01,1525500
2006-11-01,1527200
2006-12-01,1562200
2007-01-01,1594600
2007-02-01,1594200
2007-03-01,1571500
2007-04-01,1569800
2007-05-01,1279800
2007-06-01,1206300
2007-07-01,927100
2007-08-01,1045500
2007-09-01,1521500
2007-10-01,1497800
2007-11-01,1498500
