"Date","LRINTTTTCAM156N"
1976-01-01,40.1444304668771
1976-02-01,40.0147999052806
1976-03-01,39.7248784751959
1976-04-01,39.4427616769008
1976-05-01,38.3746567811807
1976-06-01,37.0010793814675
1976-07-01,35.573439466214
1976-08-01,36.2214150568779
1976-09-01,38.6017581495127
1976-10-01,38.7368041249112
1976-11-01,38.9509278733862
1976-12-01,39.2189394422819
1977-01-01,39.8978611049992
1977-02-01,39.5107037174034
1977-03-01,39.2340052282
1977-04-01,39.1020064866609
1977-05-01,37.7444075864805
1977-06-01,36.8309273024711
1977-07-01,35.4906185886048
1977-08-01,35.8608186398705
1977-09-01,38.2363521129173
1977-10-01,38.2894541805868
1977-11-01,38.5888714956596
1977-12-01,38.9528670819881
1978-01-01,39.765653814509
1978-02-01,39.1828434510222
1978-03-01,38.4313858580374
1978-04-01,38.4968571573793
1978-05-01,37.0192090904992
1978-06-01,35.8660475587449
1978-07-01,34.4351393884892
1978-08-01,34.697381118018
1978-09-01,37.0954640434269
1978-10-01,37.1061935021928
1978-11-01,37.3391277147198
1978-12-01,37.7284922994539
1979-01-01,38.2355889166073
1979-02-01,38.035810574181
1979-03-01,37.4047284657189
1979-04-01,37.275381913084
1979-05-01,36.0678776343527
1979-06-01,35.0704380973427
1979-07-01,33.7669714449579
1979-08-01,33.9560826808506
1979-09-01,36.4426534135266
1979-10-01,36.1576868210249
1979-11-01,36.5117884219291
1979-12-01,37.0650521226441
1980-01-01,37.3274229032804
1980-02-01,37.2072995247024
1980-03-01,36.714034581662
1980-04-01,36.5912091135775
1980-05-01,35.5665238379346
1980-06-01,34.0162714286488
1980-07-01,33.4407143359044
1980-08-01,33.5646823897674
1980-09-01,35.775694893342
1980-10-01,35.7953903665654
1980-11-01,36.1242708434046
1980-12-01,36.6665593854934
1981-01-01,36.9144913720156
1981-02-01,36.4261039752735
1981-03-01,35.9028037383178
1981-04-01,36.0471255846698
1981-05-01,34.5471686053944
1981-06-01,33.0121609477776
1981-07-01,32.5497902172181
1981-08-01,32.8433894708925
1981-09-01,34.7416423032922
1981-10-01,34.9712236304776
1981-11-01,35.489324830534
1981-12-01,36.1657440487184
1982-01-01,37.0541148696005
1982-02-01,36.9272223011625
1982-03-01,36.1990569657848
1982-04-01,36.4073591800731
1982-05-01,35.157302958313
1982-06-01,33.9957687916968
1982-07-01,33.0293946860434
1982-08-01,33.7869606101766
1982-09-01,35.9686888454012
1982-10-01,35.8344801701489
1982-11-01,36.2921997781631
1982-12-01,36.6105521625587
1983-01-01,37.2268008023197
1983-02-01,36.9127760620767
1983-03-01,36.0226288689195
1983-04-01,36.0677987173776
1983-05-01,34.6552428847119
1983-06-01,33.5114878660223
1983-07-01,32.7733392551889
1983-08-01,33.1056823340074
1983-09-01,35.279537033697
1983-10-01,35.5340245672924
1983-11-01,35.9643483493368
1983-12-01,36.2569493685195
1984-01-01,37.0889512772215
1984-02-01,36.5632465575048
1984-03-01,35.9287448397374
1984-04-01,35.9521763153048
1984-05-01,34.3123776620483
1984-06-01,33.4873509815434
1984-07-01,32.5797946934425
1984-08-01,32.9128627323117
1984-09-01,34.6337069044493
1984-10-01,34.922022732356
1984-11-01,35.251758372902
1984-12-01,35.8221374355644
1985-01-01,36.2527811706511
1985-02-01,36.0040711746656
1985-03-01,35.114461336099
1985-04-01,35.1359818892943
1985-05-01,33.8820738048362
1985-06-01,33.040491812373
1985-07-01,32.0832745662993
1985-08-01,32.3381707660722
1985-09-01,34.5273811857056
1985-10-01,34.4162135839471
1985-11-01,34.5062087504263
1985-12-01,34.9650770109529
1986-01-01,35.3662442696134
1986-02-01,35.1552577628881
1986-03-01,34.637211997682
1986-04-01,34.4313991607331
1986-05-01,33.4695769635282
1986-06-01,32.2168900217049
1986-07-01,31.6822425258258
1986-08-01,31.9754528062809
1986-09-01,34.1483389668985
1986-10-01,34.2069245951066
1986-11-01,34.5151333488573
1986-12-01,34.9395622345639
1987-01-01,35.3438515127093
1987-02-01,35.0488428829648
1987-03-01,34.3763105052568
1987-04-01,34.3969166925416
1987-05-01,33.0896290278906
1987-06-01,31.9820838577722
1987-07-01,31.3551663506969
1987-08-01,31.5981080974997
1987-09-01,33.6299446793706
1987-10-01,33.5124947989329
1987-11-01,33.8918149675034
1987-12-01,34.120613081482
1988-01-01,34.7101428055482
1988-02-01,34.4457554069076
1988-03-01,33.9551875304433
1988-04-01,34.0598328029352
1988-05-01,32.5480248227467
1988-06-01,31.8902912621359
1988-07-01,30.942197652992
1988-08-01,31.2158602254678
1988-09-01,33.2543233764663
1988-10-01,33.235879692272
1988-11-01,33.6052871687675
1988-12-01,33.9612722756758
1989-01-01,34.0522369010408
1989-02-01,33.9142484590994
1989-03-01,33.3615311409538
1989-04-01,33.4738479561364
1989-05-01,32.1301525509862
1989-06-01,31.4648278504046
1989-07-01,30.6914166005032
1989-08-01,30.8674285659705
1989-09-01,32.9680970825622
1989-10-01,33.0281609633412
1989-11-01,33.2721130513394
1989-12-01,33.6307161428008
1990-01-01,33.8920933323839
1990-02-01,33.7895645410656
1990-03-01,33.8288448328951
1990-04-01,33.611601167306
1990-05-01,32.3840340103921
1990-06-01,31.6419389078901
1990-07-01,30.7825988668635
1990-08-01,30.9952495178966
1990-09-01,32.9105361068831
1990-10-01,32.9288086615503
1990-11-01,33.4829565421108
1990-12-01,34.0210238601155
1991-01-01,34.5361234324389
1991-02-01,34.3449151671911
1991-03-01,33.9310196886746
1991-04-01,34.1007087046816
1991-05-01,32.7895079527486
1991-06-01,31.9520442953893
