"Date","LFEM25FECAM647N"
1976-01-01,2043500
1976-02-01,2063300
1976-03-01,2092600
1976-04-01,2093300
1976-05-01,2114800
1976-06-01,2122900
1976-07-01,2084400
1976-08-01,2077000
1976-09-01,2144300
1976-10-01,2178700
1976-11-01,2186600
1976-12-01,2181400
1977-01-01,2129500
1977-02-01,2174200
1977-03-01,2193100
1977-04-01,2194000
1977-05-01,2222400
1977-06-01,2222500
1977-07-01,2160400
1977-08-01,2156500
1977-09-01,2229300
1977-10-01,2245200
1977-11-01,2239200
1977-12-01,2251700
1978-01-01,2215300
1978-02-01,2254300
1978-03-01,2293000
1978-04-01,2306300
1978-05-01,2338400
1978-06-01,2337800
1978-07-01,2310200
1978-08-01,2315100
1978-09-01,2398900
1978-10-01,2429000
1978-11-01,2426200
1978-12-01,2428800
1979-01-01,2390700
1979-02-01,2424200
1979-03-01,2438600
1979-04-01,2448800
1979-05-01,2469100
1979-06-01,2468700
1979-07-01,2450800
1979-08-01,2470000
1979-09-01,2519000
1979-10-01,2557500
1979-11-01,2576300
1979-12-01,2568400
1980-01-01,2556000
1980-02-01,2575000
1980-03-01,2603400
1980-04-01,2628600
1980-05-01,2633000
1980-06-01,2636300
1980-07-01,2601600
1980-08-01,2615800
1980-09-01,2702000
1980-10-01,2736800
1980-11-01,2726800
1980-12-01,2715900
1981-01-01,2700200
1981-02-01,2753100
1981-03-01,2777500
1981-04-01,2787600
1981-05-01,2828000
1981-06-01,2838700
1981-07-01,2779700
1981-08-01,2790700
1981-09-01,2876700
1981-10-01,2897900
1981-11-01,2891000
1981-12-01,2860900
1982-01-01,2840900
1982-02-01,2856700
1982-03-01,2875500
1982-04-01,2857000
1982-05-01,2884000
1982-06-01,2878400
1982-07-01,2825000
1982-08-01,2819600
1982-09-01,2884400
1982-10-01,2890800
1982-11-01,2880500
1982-12-01,2870800
1983-01-01,2839200
1983-02-01,2874900
1983-03-01,2916500
1983-04-01,2952500
1983-05-01,2995300
1983-06-01,3011300
1983-07-01,2971400
1983-08-01,2972400
1983-09-01,3065000
1983-10-01,3068400
1983-11-01,3068900
1983-12-01,3055200
1984-01-01,3009500
1984-02-01,3050600
1984-03-01,3070700
1984-04-01,3080000
1984-05-01,3124000
1984-06-01,3133000
1984-07-01,3084700
1984-08-01,3091700
1984-09-01,3187200
1984-10-01,3193600
1984-11-01,3206300
1984-12-01,3201400
1985-01-01,3199200
1985-02-01,3219600
1985-03-01,3246300
1985-04-01,3268300
1985-05-01,3304500
1985-06-01,3303900
1985-07-01,3253300
1985-08-01,3264100
1985-09-01,3374300
1985-10-01,3385500
1985-11-01,3383500
1985-12-01,3399600
1986-01-01,3394400
1986-02-01,3428200
1986-03-01,3453400
1986-04-01,3470800
1986-05-01,3488300
1986-06-01,3476500
1986-07-01,3416700
1986-08-01,3433900
1986-09-01,3542900
1986-10-01,3568200
1986-11-01,3559900
1986-12-01,3548800
1987-01-01,3519100
