"Date","LFEM64TTCAM647S"
1976-01-01,9465600
1976-02-01,9492200
1976-03-01,9533200
1976-04-01,9572600
1976-05-01,9567900
1976-06-01,9577300
1976-07-01,9584400
1976-08-01,9607600
1976-09-01,9632900
1976-10-01,9612200
1976-11-01,9663100
1976-12-01,9704700
1977-01-01,9716100
1977-02-01,9715200
1977-03-01,9711100
1977-04-01,9737800
1977-05-01,9753400
1977-06-01,9737000
1977-07-01,9737100
1977-08-01,9761000
1977-09-01,9780700
1977-10-01,9801400
1977-11-01,9818300
1977-12-01,9846400
1978-01-01,9863700
1978-02-01,9907200
1978-03-01,9938800
1978-04-01,9968000
1978-05-01,9988100
1978-06-01,10041900
1978-07-01,10097300
1978-08-01,10120500
1978-09-01,10145700
1978-10-01,10202900
1978-11-01,10226500
1978-12-01,10264000
1979-01-01,10322000
1979-02-01,10322200
1979-03-01,10369700
1979-04-01,10390200
1979-05-01,10446900
1979-06-01,10480700
1979-07-01,10540900
1979-08-01,10584300
1979-09-01,10588300
1979-10-01,10633300
1979-11-01,10670800
1979-12-01,10683000
1980-01-01,10714500
1980-02-01,10719300
1980-03-01,10726800
1980-04-01,10759500
1980-05-01,10728600
1980-06-01,10775900
1980-07-01,10778800
1980-08-01,10820200
1980-09-01,10877800
1980-10-01,10916200
1980-11-01,10954500
1980-12-01,10968700
1981-01-01,11027200
1981-02-01,11107700
1981-03-01,11100900
1981-04-01,11133800
1981-05-01,11179200
1981-06-01,11215400
1981-07-01,11193300
1981-08-01,11212100
1981-09-01,11156100
1981-10-01,11130600
1981-11-01,11125700
1981-12-01,11063800
1982-01-01,11036400
1982-02-01,10998100
1982-03-01,10972200
1982-04-01,10896300
1982-05-01,10853100
1982-06-01,10765000
1982-07-01,10702600
1982-08-01,10646700
1982-09-01,10634800
1982-10-01,10622700
1982-11-01,10608700
1982-12-01,10621600
1983-01-01,10644900
1983-02-01,10660000
1983-03-01,10715700
1983-04-01,10757200
1983-05-01,10782100
1983-06-01,10851300
1983-07-01,10903000
1983-08-01,10957100
1983-09-01,11013000
1983-10-01,11002900
1983-11-01,11011000
1983-12-01,11029600
1984-01-01,11004100
1984-02-01,11038600
1984-03-01,11037300
1984-04-01,11021700
1984-05-01,11073100
1984-06-01,11146300
1984-07-01,11181900
1984-08-01,11174400
