"Date","LFINTTMACAM647S"
2009-12-01,3769124.17820602
2010-01-01,3795342.51755353
2010-02-01,3809131.84189565
2010-03-01,3813375.57806861
2010-04-01,3805036.02725545
2010-05-01,3813111.17514024
2010-06-01,3819402.82588668
2010-07-01,3804559.20966278
2010-08-01,3797636.58370598
2010-09-01,3817928.29874756
2010-10-01,3862672.56216261
2010-11-01,3842849.5284966
2010-12-01,3840552.1985125
2011-01-01,3833619.28730397
2011-02-01,3836922.95265021
2011-03-01,3831258.23782188
2011-04-01,3841599.73954134
2011-05-01,3874415.95397216
2011-06-01,3856339.42282224
2011-07-01,3871936.49411142
2011-08-01,3892651.70698649
2011-09-01,3889014.91190199
2011-10-01,3900919.52718258
2011-11-01,3920612.8722407
2011-12-01,3931925.94578781
2012-01-01,3945123.86100371
2012-02-01,3960164.19619324
2012-03-01,3957422.38604071
2012-04-01,3925651.9346086
2012-05-01,3919042.92778943
2012-06-01,3953970.43532413
2012-07-01,3960898.44012354
2012-08-01,3944811.02942147
2012-09-01,3940483.94338672
2012-10-01,3944300.37907621
2012-11-01,3964075.73932873
2012-12-01,3968527.10017532
2013-01-01,3981166.57354379
2013-02-01,3988234.95209199
2013-03-01,4002778.39140552
2013-04-01,3994140.69750653
2013-05-01,3979924.2795146
2013-06-01,4007958.85180696
2013-07-01,4015006.8917817
2013-08-01,4027031.36925474
2013-09-01,4048532.30105781
2013-10-01,4044326.02172022
2013-11-01,4044505.17552188
2013-12-01,4054710.29900586
2014-01-01,4058774.30626575
2014-02-01,4077612.79969555
2014-03-01,4077934.20726883
2014-04-01,4116181.11137495
2014-05-01,4131505.97937989
2014-06-01,4121947.7190878
2014-07-01,4129309.87193724
2014-08-01,4144091.78365752
2014-09-01,4131090.71496263
2014-10-01,4139494.4009607
2014-11-01,4162812.04767093
2014-12-01,4146571.24058029
2015-01-01,4159291.74791509
2015-02-01,4139672.79666209
2015-03-01,4162944.74264846
2015-04-01,4160545.26082758
2015-05-01,4150232.34944062
2015-06-01,4142348.18089815
2015-07-01,4149268.55177524
2015-08-01,4135882.10124744
2015-09-01,4158237.6835558
2015-10-01,4162647.22203506
2015-11-01,4193414.68248237
2015-12-01,4199348.76093746
2016-01-01,4216980.85094995
2016-02-01,4190797.3065834
2016-03-01,4233904.40956856
2016-04-01,4235135.53141031
2016-05-01,4264686.4025199
2016-06-01,4290557.08293932
2016-07-01,4300494.73124355
2016-08-01,4286009.35284659
2016-09-01,4283887.80247935
2016-10-01,4294225.81310379
2016-11-01,4294457.8959669
2016-12-01,4297831.47553092
2017-01-01,4268567.72353691
2017-02-01,4299409.41844886
2017-03-01,4284991.96894544
2017-04-01,4313563.90104859
2017-05-01,4290034.5140999
2017-06-01,4314110.40677657
2017-07-01,4320912.92793301
2017-08-01,4321734.97288679
2017-09-01,4342451.51765542
2017-10-01,4323452.26388096
2017-11-01,4326876.82120656
2017-12-01,4326374.66946231
2018-01-01,4367546.996715
2018-02-01,4401530.62384989
2018-03-01,4398124.54252878
2018-04-01,4420157.8745834
2018-05-01,4437642.13761949
2018-06-01,4417768.75409178
2018-07-01,4437447.29947514
2018-08-01,4488985.43167746
2018-09-01,4475011.28879532
2018-10-01,4485071.953852
2018-11-01,4451148.45999026
2018-12-01,4466986.17251808
2019-01-01,4433574.39165551
2019-02-01,4444738.96137125
2019-03-01,4450748.66625177
2019-04-01,4427905.35001991
2019-05-01,4445073.1104995
2019-06-01,4469885.64086454
2019-07-01,4470911.76561358
2019-08-01,4450526.57581148
2019-09-01,4506891.97960128
2019-10-01,4525964.79795114
2019-11-01,4543765.93335475
2019-12-01,4550659.19971878
2020-01-01,4573184.91780531
2020-02-01,4554448.71825342
2020-03-01,4849762.71134895
2020-04-01,5353415.22755318
2020-05-01,5116160.46360937
2020-06-01,4786803.98536238
2020-07-01,4726907.06870364
2020-08-01,4695110.51650225
2020-09-01,4639025.51870534
2020-10-01,4632334.3416019
2020-11-01,4663920.84919615
2020-12-01,4664274.12097981
2021-01-01,4672677.65349595
2021-02-01,4668480.11201108
2021-03-01,4633472.3431268
2021-04-01,4685263.91917167
2021-05-01,4703058.81797526
2021-06-01,4656992.23442591
2021-07-01,4656687.66570747
2021-08-01,4682332.97920227
2021-09-01,4660846.82622755
2021-10-01,4697918.54385958
2021-11-01,4669470.35401611
2021-12-01,4686895.94404204
2022-01-01,4750695.72593702
2022-02-01,4716596.50255092
2022-03-01,4760470.10295221
2022-04-01,4737140.52629996
2022-05-01,4753804.34276904
2022-06-01,4826337.98932424
2022-07-01,4823780.70089831
2022-08-01,4803698.80376651
2022-09-01,4831632.44394814
2022-10-01,4831473.46328723
2022-11-01,4830086.84168689
2022-12-01,4837347.41850525
2023-01-01,4787728.40754001
2023-02-01,4848675.94981979
2023-03-01,4855085.95195298
2023-04-01,4864017.26901933
2023-05-01,4865729.90401382
2023-06-01,4849210.25697818
2023-07-01,4887241.17537064
2023-08-01,4910418.19991874
2023-09-01,4910623.96203227
2023-10-01,4894971.97666884
2023-11-01,4923533.86401878
