"Date","LFINTTTTCAM647S"
1995-01-01,7828087.48862576
1995-02-01,7887911.28951642
1995-03-01,7855219.58753907
1995-04-01,7950226.10722463
1995-05-01,7955774.69508424
1995-06-01,7978166.67637726
1995-07-01,7966795.30403553
1995-08-01,8003703.31015111
1995-09-01,8034118.61686841
1995-10-01,8030260.50209032
1995-11-01,8104553.59729725
1995-12-01,8057506.2249027
1996-01-01,8040156.28798501
1996-02-01,8039023.04196151
1996-03-01,8080674.16877527
1996-04-01,8102977.20150924
1996-05-01,8132310.1534154
1996-06-01,8107155.25947987
1996-07-01,8105831.32179683
1996-08-01,8143419.9251299
1996-09-01,8132084.8372739
1996-10-01,8148003.54878395
1996-11-01,8157425.20908746
1996-12-01,8169836.43988864
1997-01-01,8164814.09633907
1997-02-01,8161905.42049844
1997-03-01,8186410.14072161
1997-04-01,8179821.6027885
1997-05-01,8168176.90172328
1997-06-01,8133250.28749268
1997-07-01,8190908.6066557
1997-08-01,8145049.76527315
1997-09-01,8156312.36716444
1997-10-01,8151508.03022083
1997-11-01,8162345.18572801
1997-12-01,8216877.39241719
1998-01-01,8211495.81080472
1998-02-01,8203303.87482119
1998-03-01,8222263.1136068
1998-04-01,8209647.64514802
1998-05-01,8229202.66203739
1998-06-01,8204534.79969655
1998-07-01,8204393.78477197
1998-08-01,8211259.81199739
1998-09-01,8172127.52761766
1998-10-01,8195434.24558746
1998-11-01,8181283.93778738
1998-12-01,8176043.45621092
1999-01-01,8180390.5252557
1999-02-01,8186914.82758727
1999-03-01,8208896.92784142
1999-04-01,8129966.70161171
1999-05-01,8158754.21115049
1999-06-01,8200765.67318078
1999-07-01,8173563.06216124
1999-08-01,8212483.1989347
1999-09-01,8207042.29016976
1999-10-01,8226913.3254241
1999-11-01,8260153.49593799
1999-12-01,8248255.40849842
2000-01-01,8266269.7737728
2000-02-01,8226567.66933477
2000-03-01,8235254.02512757
2000-04-01,8250040.32893904
2000-05-01,8253180.70478054
2000-06-01,8269931.78031727
2000-07-01,8268748.50930195
2000-08-01,8250252.50384761
2000-09-01,8247170.11778862
2000-10-01,8233673.5000545
2000-11-01,8242132.67126184
2000-12-01,8251233.88663614
2001-01-01,8269656.51312565
2001-02-01,8295368.46910106
2001-03-01,8289112.17754373
2001-04-01,8281606.66136353
2001-05-01,8310097.26890008
2001-06-01,8344037.11403775
2001-07-01,8365907.67943796
2001-08-01,8356740.21103532
2001-09-01,8368244.36872718
2001-10-01,8366471.55699624
2001-11-01,8351287.41415743
2001-12-01,8327644.7506601
2002-01-01,8274207.56422155
2002-02-01,8306719.86445578
2002-03-01,8263649.50048639
2002-04-01,8264921.36026416
2002-05-01,8233062.09355132
2002-06-01,8239515.19998626
2002-07-01,8194586.3387161
2002-08-01,8154414.19773718
2002-09-01,8157276.33831931
2002-10-01,8167220.49319356
2002-11-01,8147265.33457691
2002-12-01,8123713.08660404
2003-01-01,8147233.48770731
2003-02-01,8118520.1842923
2003-03-01,8137727.4442959
2003-04-01,8142641.98524234
2003-05-01,8138447.68529282
2003-06-01,8126714.2573336
2003-07-01,8135240.9522447
2003-08-01,8123844.23980122
2003-09-01,8133108.2930977
2003-10-01,8154868.55657274
2003-11-01,8150851.6002447
2003-12-01,8156096.82851364
2004-01-01,8198179.22979316
2004-02-01,8222173.5743739
2004-03-01,8239596.02193994
2004-04-01,8235091.86656672
2004-05-01,8245758.41166537
2004-06-01,8222225.63417624
2004-07-01,8265195.96464766
2004-08-01,8308935.00046901
2004-09-01,8312327.18192182
2004-10-01,8308158.06626842
2004-11-01,8290571.12175892
2004-12-01,8318442.20152391
2005-01-01,8387858.79439692
2005-02-01,8373772.18436687
2005-03-01,8428005.84833455
2005-04-01,8449628.38537288
2005-05-01,8430795.87129806
2005-06-01,8461937.83454594
2005-07-01,8471633.16668195
2005-08-01,8472080.78067399
2005-09-01,8506566.3111533
2005-10-01,8493118.1836416
2005-11-01,8547726.74940023
2005-12-01,8546319.09695105
2006-01-01,8508191.83850205
2006-02-01,8554574.80036571
2006-03-01,8548967.65265335
2006-04-01,8552494.65087995
2006-05-01,8534429.42442825
2006-06-01,8574553.32867819
2006-07-01,8534537.44494578
2006-08-01,8599067.06018891
2006-09-01,8602477.24868202
2006-10-01,8625987.24048928
2006-11-01,8617372.93671422
2006-12-01,8614936.559373
2007-01-01,8584581.37762852
2007-02-01,8606235.34293836
2007-03-01,8593591.85183251
2007-04-01,8627405.39349184
2007-05-01,8639580.16766725
2007-06-01,8637245.49499561
2007-07-01,8608610.17925161
2007-08-01,8625029.15556293
2007-09-01,8631883.50939121
2007-10-01,8610616.42689489
2007-11-01,8603918.6248831
2007-12-01,8621937.69801948
2008-01-01,8638258.11772536
2008-02-01,8635555.28330176
2008-03-01,8643585.32594992
2008-04-01,8677025.67917388
2008-05-01,8671343.00406266
