"Date","LFHUTTMACAM647N"
1960-01-01,479000
1960-02-01,532000
1960-03-01,546000
1960-04-01,491000
1960-05-01,365000
1960-06-01,259000
1960-07-01,275000
1960-08-01,293000
1960-09-01,266000
1960-10-01,304000
1960-11-01,360000
1960-12-01,462000
1961-01-01,603000
1961-02-01,638000
1961-03-01,627000
1961-04-01,547000
1961-05-01,394000
1961-06-01,307000
1961-07-01,288000
1961-08-01,264000
1961-09-01,247000
1961-10-01,259000
1961-11-01,289000
1961-12-01,353000
1962-01-01,474000
1962-02-01,510000
1962-03-01,499000
1962-04-01,426000
1962-05-01,283000
1962-06-01,241000
1962-07-01,245000
1962-08-01,227000
1962-09-01,207000
1962-10-01,226000
1962-11-01,277000
1962-12-01,357000
1963-01-01,467000
1963-02-01,473000
1963-03-01,485000
1963-04-01,403000
1963-05-01,292000
1963-06-01,239000
1963-07-01,231000
1963-08-01,211000
1963-09-01,192000
1963-10-01,207000
1963-11-01,244000
1963-12-01,294000
1964-01-01,395000
1964-02-01,402000
1964-03-01,395000
1964-04-01,345000
1964-05-01,234000
1964-06-01,211000
1964-07-01,203000
1964-08-01,185000
1964-09-01,161000
1964-10-01,197000
1964-11-01,201000
1964-12-01,234000
1965-01-01,337000
1965-02-01,337000
1965-03-01,324000
1965-04-01,311000
1965-05-01,212000
1965-06-01,192000
1965-07-01,182000
1965-08-01,162000
1965-09-01,130000
1965-10-01,126000
1965-11-01,168000
1965-12-01,202000
1966-01-01,234000
1966-02-01,223000
1966-03-01,219000
1966-04-01,186000
1966-05-01,153000
1966-06-01,143000
1966-07-01,169000
1966-08-01,148000
1966-09-01,132000
1966-10-01,122000
1966-11-01,158000
1966-12-01,176000
1967-01-01,245000
1967-02-01,242000
1967-03-01,254000
1967-04-01,225000
1967-05-01,189000
1967-06-01,177000
1967-07-01,196000
1967-08-01,166000
1967-09-01,140000
1967-10-01,169000
1967-11-01,199000
1967-12-01,235000
1968-01-01,299000
1968-02-01,303000
1968-03-01,317000
1968-04-01,269000
1968-05-01,230000
1968-06-01,243000
1968-07-01,253000
1968-08-01,204000
1968-09-01,167000
1968-10-01,183000
1968-11-01,227000
1968-12-01,240000
1969-01-01,282000
1969-02-01,281000
1969-03-01,276000
1969-04-01,254000
1969-05-01,229000
1969-06-01,230000
1969-07-01,235000
1969-08-01,201000
1969-09-01,170000
1969-10-01,195000
1969-11-01,227000
1969-12-01,242000
1970-01-01,294000
1970-02-01,311000
1970-03-01,340000
1970-04-01,331000
1970-05-01,319000
1970-06-01,328000
1970-07-01,345000
1970-08-01,293000
1970-09-01,260000
1970-10-01,265000
1970-11-01,309000
1970-12-01,343000
1971-01-01,409000
1971-02-01,394000
1971-03-01,397000
1971-04-01,385000
1971-05-01,322000
1971-06-01,330000
1971-07-01,344000
1971-08-01,290000
1971-09-01,273000
1971-10-01,267000
1971-11-01,317000
1971-12-01,331000
1972-01-01,385000
1972-02-01,354000
1972-03-01,370000
1972-04-01,342000
1972-05-01,319000
1972-06-01,334000
1972-07-01,357000
1972-08-01,319000
1972-09-01,285000
1972-10-01,296000
1972-11-01,321000
1972-12-01,363000
1973-01-01,387000
1973-02-01,358000
1973-03-01,341000
1973-04-01,305000
1973-05-01,266000
1973-06-01,277000
1973-07-01,280000
1973-08-01,253000
1973-09-01,242000
1973-10-01,240000
1973-11-01,282000
1973-12-01,305000
1974-01-01,351000
1974-02-01,344000
1974-03-01,328000
1974-04-01,305000
1974-05-01,287000
1974-06-01,253000
1974-07-01,277000
1974-08-01,254000
1974-09-01,239000
1974-10-01,247000
1974-11-01,285000
1974-12-01,349000
1975-01-01,458000
1975-02-01,439000
1975-03-01,448000
1975-04-01,419000
1975-05-01,386000
1975-06-01,374000
1975-07-01,377000
1975-08-01,359000
1975-09-01,336000
1975-10-01,331000
1975-11-01,361000
1975-12-01,402000
1976-01-01,495300
1976-02-01,488600
1976-03-01,471900
1976-04-01,463900
1976-05-01,407600
1976-06-01,394300
1976-07-01,431900
1976-08-01,359500
1976-09-01,323400
1976-10-01,366900
1976-11-01,393200
1976-12-01,447500
1977-01-01,536900
1977-02-01,560000
1977-03-01,569800
1977-04-01,551200
1977-05-01,479700
1977-06-01,455600
1977-07-01,489800
1977-08-01,437800
1977-09-01,419500
1977-10-01,412000
1977-11-01,462600
1977-12-01,523600
1978-01-01,594000
1978-02-01,603400
1978-03-01,632700
1978-04-01,618400
1978-05-01,536000
1978-06-01,492700
1978-07-01,506600
1978-08-01,463600
1978-09-01,429800
1978-10-01,417500
1978-11-01,463100
1978-12-01,508900
1979-01-01,596100
1979-02-01,589000
1979-03-01,594600
1979-04-01,573700
1979-05-01,488100
1979-06-01,427200
1979-07-01,411200
1979-08-01,383100
1979-09-01,357000
1979-10-01,381000
1979-11-01,423300
1979-12-01,464400
1980-01-01,567700
1980-02-01,568900
1980-03-01,585800
1980-04-01,570800
1980-05-01,523600
1980-06-01,497400
1980-07-01,481300
1980-08-01,447700
1980-09-01,405500
1980-10-01,415800
1980-11-01,449800
1980-12-01,489000
1981-01-01,575100
1981-02-01,564300
1981-03-01,605000
1981-04-01,537500
1981-05-01,501000
1981-06-01,476400
1981-07-01,468700
1981-08-01,421600
1981-09-01,468600
1981-10-01,492400
1981-11-01,521600
1981-12-01,616800
1982-01-01,703400
1982-02-01,707700
1982-03-01,785000
1982-04-01,783500
1982-05-01,766700
1982-06-01,788600
1982-07-01,853800
1982-08-01,825500
1982-09-01,808800
1982-10-01,865300
1982-11-01,911300
1982-12-01,980100
1983-01-01,1049500
1983-02-01,1043200
1983-03-01,1082000
1983-04-01,1031500
1983-05-01,951000
1983-06-01,904800
1983-07-01,878900
1983-08-01,813200
1983-09-01,729500
1983-10-01,731100
1983-11-01,788600
1983-12-01,838400
1984-01-01,919200
1984-02-01,919600
1984-03-01,969500
1984-04-01,934900
1984-05-01,886400
1984-06-01,801300
1984-07-01,775700
1984-08-01,767400
1984-09-01,756300
1984-10-01,736900
1984-11-01,810200
1984-12-01,809300
1985-01-01,904200
1985-02-01,888700
1985-03-01,957500
1985-04-01,871900
1985-05-01,788600
1985-06-01,753400
1985-07-01,730000
1985-08-01,698500
1985-09-01,640500
1985-10-01,685900
1985-11-01,724900
1985-12-01,745100
1986-01-01,816200
1986-02-01,822100
1986-03-01,844200
1986-04-01,787300
1986-05-01,718700
1986-06-01,686100
1986-07-01,689400
1986-08-01,659100
1986-09-01,617800
1986-10-01,613600
1986-11-01,663400
1986-12-01,706400
1987-01-01,791600
1987-02-01,797200
1987-03-01,824600
1987-04-01,748200
1987-05-01,666500
1987-06-01,615100
1987-07-01,618700
1987-08-01,575600
1987-09-01,531700
1987-10-01,535800
1987-11-01,561600
1987-12-01,592500
1988-01-01,664500
1988-02-01,654700
1988-03-01,679500
1988-04-01,637500
1988-05-01,584700
1988-06-01,522900
1988-07-01,552800
1988-08-01,512800
1988-09-01,491500
1988-10-01,512900
1988-11-01,532400
1988-12-01,566600
1989-01-01,647000
1989-02-01,659300
1989-03-01,682500
1989-04-01,659000
1989-05-01,587900
1989-06-01,540900
1989-07-01,562000
1989-08-01,505200
1989-09-01,472800
1989-10-01,487500
1989-11-01,564700
1989-12-01,596300
1990-01-01,705400
1990-02-01,682100
1990-03-01,666400
1990-04-01,645400
1990-05-01,617300
1990-06-01,559200
1990-07-01,600400
1990-08-01,597400
1990-09-01,576000
1990-10-01,619000
1990-11-01,716100
1990-12-01,777300
1991-01-01,891700
1991-02-01,955200
1991-03-01,996400
1991-04-01,925900
1991-05-01,868500
1991-06-01,827900
1991-07-01,847400
1991-08-01,811100
1991-09-01,729200
1991-10-01,751500
1991-11-01,826200
1991-12-01,860900
1992-01-01,960900
1992-02-01,989500
1992-03-01,1064800
1992-04-01,978100
1992-05-01,949200
1992-06-01,941200
1992-07-01,944700
1992-08-01,924200
1992-09-01,840400
1992-10-01,859400
1992-11-01,975900
1992-12-01,976300
1993-01-01,1021500
1993-02-01,1012800
1993-03-01,1072500
1993-04-01,1025600
1993-05-01,974000
1993-06-01,947000
1993-07-01,969500
1993-08-01,882700
1993-09-01,827200
1993-10-01,824500
1993-11-01,891300
1993-12-01,940900
1994-01-01,1044100
1994-02-01,1039400
1994-03-01,1008400
1994-04-01,990400
1994-05-01,896700
1994-06-01,822800
1994-07-01,850100
1994-08-01,795800
1994-09-01,725300
1994-10-01,724600
1994-11-01,767800
1994-12-01,803600
1995-01-01,883500
1995-02-01,868700
1995-03-01,906400
1995-04-01,860700
1995-05-01,815000
1995-06-01,758800
1995-07-01,822100
1995-08-01,741000
1995-09-01,645400
1995-10-01,687300
1995-11-01,703500
1995-12-01,771400
1996-01-01,889300
1996-02-01,891300
1996-03-01,893800
1996-04-01,840100
1996-05-01,806000
1996-06-01,780600
1996-07-01,796200
1996-08-01,717600
1996-09-01,691000
