"Date","MANMNM01CAM657S"
1955-02-01,0.401785714285702
1955-03-01,0.489106269453112
1955-04-01,0.884955752212388
1955-05-01,0.855263157894735
1955-06-01,1.26114372689715
1955-07-01,1.05217951470906
1955-08-01,0.552486187845281
1955-09-01,-0.14792899408284
1955-10-01,0.0423280423280422
1955-11-01,0.803892532261496
1955-12-01,-1.63693599160547
1956-01-01,-1.1521228931086
1956-02-01,1.85624865098208
1956-03-01,-0.593346047891501
1956-04-01,0.405030910253676
1956-05-01,0.254777070063694
1956-06-01,-0.211774671749258
1956-07-01,-0.169779286926995
1956-08-01,0.488945578231292
1956-09-01,-1.22699386503067
1956-10-01,0.128507174983936
1956-11-01,-1.15508021390374
1956-12-01,0.973815191516986
1957-01-01,-0.728675525075009
1957-02-01,-0.539723661485318
1957-03-01,-1.32407206425005
1957-04-01,0.79190497140343
1957-05-01,0
1957-06-01,1.74596246180707
1957-07-01,-1.39425139425139
1957-08-01,-0.696106156188817
1957-09-01,-0.854326396495069
1957-10-01,1.72337604949182
1957-11-01,0.608166811468287
1957-12-01,1.03626943005181
1958-01-01,0.598290598290597
1958-02-01,0.679694137638062
1958-03-01,1.60337552742618
1958-04-01,2.09717607973419
1958-05-01,0.345739271913788
1958-06-01,1.47952979327118
1958-07-01,1.37807070101857
1958-08-01,1.81245074862096
1958-09-01,1.72213622291023
1958-10-01,1.36960243484875
1958-11-01,-0.769375117282791
1958-12-01,-0.018910741301059
1959-01-01,-0.435029317193114
1959-02-01,-0.246960486322188
1959-03-01,-0.323747857550923
1959-04-01,-0.955292319449769
1959-05-01,-0.0385802469135802
1959-06-01,-0.270165959089154
1959-07-01,0.34829721362229
1959-08-01,-0.48206710374084
1959-09-01,-0.348769618291028
1959-10-01,-0.991639121135522
1959-11-01,0.510604870384917
1959-12-01,-0.488472059398201
1960-01-01,0.628313371293932
1960-02-01,0.0975609756097559
1960-03-01,0.311890838206627
1960-04-01,0.991061018266613
1960-05-01,0.269386184337117
1960-06-01,1.07464977931301
1960-07-01,-1.08220998670972
1960-08-01,0.403071017274471
1960-09-01,1.58669470464538
1960-10-01,0.545728264960481
1960-11-01,-0.112296462661426
1960-12-01,0.206108300543376
1961-01-01,0.878833208676158
1961-02-01,1.05653382761814
1961-03-01,0.458547322083656
1961-04-01,-1.58846083622421
1961-05-01,0.500927643784767
1961-06-01,0.276906036551596
1961-07-01,1.25184094256261
1961-08-01,1.74545454545454
1961-09-01,-0.696926375982861
1961-10-01,0.143962569731869
1961-11-01,1.83288409703506
1961-12-01,0.299982353979177
1962-01-01,-0.985221674876845
1962-02-01,0.177683013503909
1962-03-01,-0.195104647037956
1962-04-01,0.177714590367869
1962-05-01,0.461238247294659
1962-06-01,-0.123609394313968
1962-07-01,-0.777934936350776
1962-08-01,-0.302922309337134
1962-09-01,2.25201072386059
1962-10-01,1.55567208529979
1962-11-01,0.309810671256454
1962-12-01,1.25257378174329
1963-01-01,-0.16946280291476
1963-02-01,-0.135800373451027
1963-03-01,0.135985041645419
1963-04-01,1.86725513495162
1963-05-01,1.68305282452926
1963-06-01,-0.835791543756144
1963-07-01,0.611469178648156
1963-08-01,-0.969119579500672
1963-09-01,1.02836291258917
1963-10-01,0.0820883270398948
1963-11-01,0.180446194225721
1963-12-01,0.0982479122318486
1964-01-01,1.70129232782596
1964-02-01,-0.257358854753096
1964-03-01,1.51588453475246
1964-04-01,0.158856235107243
1964-05-01,0.237906423473433
1964-06-01,0.553797468354413
1964-07-01,-0.28324154209284
1964-08-01,0.362947767082215
1964-09-01,-0.0786163522012577
1964-10-01,0.550747442958299
1964-11-01,-0.0782472613458527
1964-12-01,1.84808144087705
1965-01-01,-0.215285252960156
1965-02-01,0.554785020804437
1965-03-01,0.888888888888887
1965-04-01,0.911438553850826
1965-05-01,0.556977269306035
1965-06-01,1.27245508982036
1965-07-01,0.517368810051736
1965-08-01,1.54411764705882
1965-09-01,-1.23099203475741
1965-10-01,-0.146627565982419
1965-11-01,1.23348017621147
1965-12-01,0.52219321148825
1966-01-01,0.36075036075036
1966-02-01,1.12149532710279
1966-03-01,0.753590217545868
1966-04-01,0.324583686141687
1966-05-01,0.745533830355885
1966-06-01,-0.279251605696732
1966-07-01,0.532063847661718
1966-08-01,0.292479108635097
1966-09-01,0.499930565199277
1966-10-01,1.45087743540141
1966-11-01,1.3075456278943
1966-12-01,0.255445012100026
1967-01-01,1.31420142148318
1967-02-01,2.50165453342157
1967-03-01,1.16219008264463
1967-04-01,0.536124585141689
1967-05-01,0.355510411376345
1967-06-01,-0.328947368421052
1967-07-01,0.050774308200038
1967-08-01,0.0507485409794594
1967-09-01,1.74993659650012
1967-10-01,1.39581256231306
1967-11-01,-1.05703048180924
1967-12-01,-0.173913043478273
1968-01-01,1.20706819313092
1968-02-01,-0.639370466002716
1968-03-01,-1.08897413686424
1968-04-01,0.475415988990366
1968-05-01,0.124517494707994
1968-06-01,0.0994901131700159
1968-07-01,2.31084606783451
1968-08-01,3.23011536126291
1968-09-01,-0.55287613221975
1968-10-01,0.248403122782126
1968-11-01,1.33333333333333
1968-12-01,0.256171401956217
1969-01-01,1.98606271777003
1969-02-01,-1.09326955927571
1969-03-01,1.05929763960852
1969-04-01,1.16212828984847
1969-05-01,1.01362766077261
1969-06-01,-0.479429144832199
1969-07-01,-0.425722608111124
1969-08-01,-0.990099009900999
1969-09-01,0.261363636363636
1969-10-01,1.28074351127734
1969-11-01,-0.861683079677707
1969-12-01,0.304774805282763
1970-01-01,-0.258834121089354
1970-02-01,1.01545752002708
