"Date","LFAC25FECAM647N"
1997-02-01,5084700
1997-03-01,5106600
1997-04-01,5135300
1997-05-01,5164700
1997-06-01,5176300
1997-07-01,5111300
1997-08-01,5166000
1997-09-01,5208700
1997-10-01,5229300
1997-11-01,5215300
1997-12-01,5180600
1998-01-01,5188600
1998-02-01,5205600
1998-03-01,5217800
1998-04-01,5232500
1998-05-01,5253400
1998-06-01,5250200
1998-07-01,5186600
1998-08-01,5234100
1998-09-01,5281900
1998-10-01,5268800
1998-11-01,5269300
1998-12-01,5269900
1999-01-01,5261300
1999-02-01,5276200
1999-03-01,5281500
1999-04-01,5314200
1999-05-01,5341400
1999-06-01,5346100
1999-07-01,5285700
1999-08-01,5351100
1999-09-01,5352200
1999-10-01,5351500
1999-11-01,5336500
1999-12-01,5312600
2000-01-01,5297700
2000-02-01,5334800
2000-03-01,5360900
2000-04-01,5370900
2000-05-01,5390800
2000-06-01,5406200
2000-07-01,5326100
2000-08-01,5382900
2000-09-01,5416800
2000-10-01,5431800
2000-11-01,5427600
2000-12-01,5418000
2001-01-01,5409600
2001-02-01,5420000
2001-03-01,5440900
2001-04-01,5472100
2001-05-01,5508100
2001-06-01,5493600
2001-07-01,5413200
2001-08-01,5480700
2001-09-01,5489700
2001-10-01,5486200
2001-11-01,5485900
2001-12-01,5476200
2002-01-01,5489100
2002-02-01,5500900
2002-03-01,5533900
2002-04-01,5565800
2002-05-01,5593000
2002-06-01,5617700
2002-07-01,5545200
2002-08-01,5596800
2002-09-01,5658700
2002-10-01,5629000
2002-11-01,5620400
2002-12-01,5618500
2003-01-01,5582000
2003-02-01,5592700
2003-03-01,5603400
2003-04-01,5619700
2003-05-01,5658400
2003-06-01,5669000
2003-07-01,5598700
2003-08-01,5668800
2003-09-01,5705300
2003-10-01,5710500
2003-11-01,5697500
2003-12-01,5696100
2004-01-01,5659300
2004-02-01,5680900
2004-03-01,5691400
2004-04-01,5710400
2004-05-01,5733000
2004-06-01,5756600
2004-07-01,5639400
2004-08-01,5705800
2004-09-01,5712300
2004-10-01,5705800
2004-11-01,5725600
2004-12-01,5710200
2005-01-01,5692600
2005-02-01,5707600
2005-03-01,5697500
2005-04-01,5694400
2005-05-01,5702500
2005-06-01,5729300
2005-07-01,5622300
2005-08-01,5703800
2005-09-01,5720000
2005-10-01,5729800
2005-11-01,5710200
2005-12-01,5704400
2006-01-01,5720800
2006-02-01,5694100
2006-03-01,5697400
2006-04-01,5751100
2006-05-01,5759600
2006-06-01,5773200
2006-07-01,5679900
2006-08-01,5722500
2006-09-01,5751600
2006-10-01,5772700
2006-11-01,5768200
2006-12-01,5784500
2007-01-01,5790300
2007-02-01,5787100
2007-03-01,5811200
2007-04-01,5799900
2007-05-01,5825100
2007-06-01,5835300
2007-07-01,5764400
2007-08-01,5833000
2007-09-01,5857300
2007-10-01,5847300
2007-11-01,5847200
2007-12-01,5822000
2008-01-01,5793400
2008-02-01,5814900
2008-03-01,5795100
2008-04-01,5800900
2008-05-01,5856300
2008-06-01,5844500
2008-07-01,5776500
2008-08-01,5869400
2008-09-01,5873900
2008-10-01,5885200
2008-11-01,5879200
2008-12-01,5895800
2009-01-01,5855900
2009-02-01,5872500
2009-03-01,5888400
2009-04-01,5894000
2009-05-01,5921700
2009-06-01,5906800
2009-07-01,5806500
2009-08-01,5910700
2009-09-01,5938300
2009-10-01,5921000
2009-11-01,5961000
2009-12-01,5912000
2010-01-01,5920400
2010-02-01,5921100
2010-03-01,5928100
2010-04-01,5944000
2010-05-01,5960100
2010-06-01,5978900
2010-07-01,5894200
2010-08-01,6000700
2010-09-01,5972000
2010-10-01,5949400
2010-11-01,5945400
2010-12-01,5909800
2011-01-01,5938700
2011-02-01,5936700
2011-03-01,5923200
2011-04-01,5948300
2011-05-01,5926900
2011-06-01,5969500
2011-07-01,5875500
2011-08-01,5992200
2011-09-01,5983100
2011-10-01,5974900
2011-11-01,5969600
2011-12-01,5935300
2012-01-01,5949200
2012-02-01,5943800
2012-03-01,5930700
2012-04-01,5982900
2012-05-01,6001600
2012-06-01,5997000
2012-07-01,5920600
2012-08-01,6018600
2012-09-01,6025600
2012-10-01,6028000
2012-11-01,6040400
2012-12-01,6019700
2013-01-01,5996900
2013-02-01,6004100
2013-03-01,5997100
2013-04-01,6003700
2013-05-01,6026400
2013-06-01,6034400
2013-07-01,5970300
2013-08-01,6066000
2013-09-01,6057700
2013-10-01,6042900
2013-11-01,6031300
2013-12-01,6019900
2014-01-01,5978500
2014-02-01,5970400
2014-03-01,5986400
2014-04-01,5972100
2014-05-01,6003700
2014-06-01,5987600
2014-07-01,5923000
2014-08-01,5985400
2014-09-01,5988200
2014-10-01,6000200
2014-11-01,6005800
2014-12-01,5963100
2015-01-01,5961900
2015-02-01,5961000
2015-03-01,5984700
2015-04-01,5991100
2015-05-01,6008000
2015-06-01,6009400
2015-07-01,5939700
2015-08-01,6013800
2015-09-01,6018600
2015-10-01,5977400
2015-11-01,6001900
2015-12-01,5990900
2016-01-01,5988500
2016-02-01,5958100
2016-03-01,5981200
2016-04-01,6016300
2016-05-01,6038200
2016-06-01,6030500
2016-07-01,5929600
2016-08-01,5990400
2016-09-01,5987800
2016-10-01,5989600
2016-11-01,5999900
2016-12-01,6029400
2017-01-01,6044100
2017-02-01,6050300
2017-03-01,6058000
2017-04-01,6062800
2017-05-01,6087200
2017-06-01,6105400
2017-07-01,6029400
2017-08-01,6085900
2017-09-01,6076600
2017-10-01,6069800
2017-11-01,6048900
2017-12-01,6051300
2018-01-01,6022100
2018-02-01,6054000
2018-03-01,6072600
2018-04-01,6084400
2018-05-01,6110200
2018-06-01,6135100
2018-07-01,6077300
2018-08-01,6165700
2018-09-01,6171000
2018-10-01,6173000
2018-11-01,6163100
2018-12-01,6192700
2019-01-01,6161800
2019-02-01,6189200
2019-03-01,6162100
2019-04-01,6205000
2019-05-01,6202800
2019-06-01,6222700
2019-07-01,6131400
2019-08-01,6183800
2019-09-01,6230900
2019-10-01,6229400
2019-11-01,6233200
2019-12-01,6235600
2020-01-01,6231400
2020-02-01,6208700
2020-03-01,6059400
2020-04-01,5792300
2020-05-01,5920900
2020-06-01,6123500
2020-07-01,6081900
2020-08-01,6175600
2020-09-01,6252900
2020-10-01,6270000
2020-11-01,6266500
2020-12-01,6235000
2021-01-01,6219800
2021-02-01,6240300
2021-03-01,6256200
2021-04-01,6249900
2021-05-01,6246900
2021-06-01,6259500
2021-07-01,6204500
2021-08-01,6293700
2021-09-01,6352400
2021-10-01,6347300
2021-11-01,6367000
2021-12-01,6375200
2022-01-01,6352200
2022-02-01,6391200
2022-03-01,6397500
2022-04-01,6425500
2022-05-01,6466500
2022-06-01,6461800
2022-07-01,6339100
2022-08-01,6441700
2022-09-01,6450500
2022-10-01,6483600
2022-11-01,6479700
2022-12-01,6478900
2023-01-01,6503200
2023-02-01,6528000
2023-03-01,6548300
2023-04-01,6546100
2023-05-01,6599700
2023-06-01,6619200
2023-07-01,6543600
2023-08-01,6631000
2023-09-01,6645400
2023-10-01,6661800
2023-11-01,6672400
