"Date","LFEAINTTCAM647N"
1976-01-01,2025400
1976-02-01,2030700
1976-03-01,2071200
1976-04-01,2059700
1976-05-01,2119100
1976-06-01,2187700
1976-07-01,2241300
1976-08-01,2245900
1976-09-01,2187400
1976-10-01,2156700
1976-11-01,2144600
1976-12-01,2090600
1977-01-01,2054200
1977-02-01,2053100
1977-03-01,2041600
1977-04-01,2037900
1977-05-01,2088100
1977-06-01,2132300
1977-07-01,2120200
1977-08-01,2163300
1977-09-01,2139300
1977-10-01,2108300
1977-11-01,2113400
1977-12-01,2077200
1978-01-01,2019700
1978-02-01,2045400
1978-03-01,2070400
1978-04-01,2092100
1978-05-01,2172900
1978-06-01,2244000
1978-07-01,2279400
1978-08-01,2315600
1978-09-01,2234300
1978-10-01,2244700
1978-11-01,2255000
1978-12-01,2235300
1979-01-01,2190200
1979-02-01,2204800
1979-03-01,2217700
1979-04-01,2231600
1979-05-01,2258700
1979-06-01,2325200
1979-07-01,2408000
1979-08-01,2440700
1979-09-01,2365700
1979-10-01,2378800
1979-11-01,2351500
1979-12-01,2321900
1980-01-01,2267000
1980-02-01,2290300
1980-03-01,2322100
1980-04-01,2317300
1980-05-01,2364700
1980-06-01,2470900
1980-07-01,2477700
1980-08-01,2476200
1980-09-01,2428600
1980-10-01,2432400
1980-11-01,2380200
1980-12-01,2336500
1981-01-01,2284300
1981-02-01,2321000
1981-03-01,2338400
1981-04-01,2340800
1981-05-01,2435700
1981-06-01,2474000
1981-07-01,2536200
1981-08-01,2552100
1981-09-01,2466700
1981-10-01,2427500
1981-11-01,2393800
1981-12-01,2275000
1982-01-01,2204200
1982-02-01,2215600
1982-03-01,2207600
1982-04-01,2173700
1982-05-01,2211400
1982-06-01,2229100
1982-07-01,2246700
1982-08-01,2245200
1982-09-01,2150600
1982-10-01,2115900
1982-11-01,2054200
1982-12-01,2005100
1983-01-01,1965700
1983-02-01,1972300
1983-03-01,2002600
1983-04-01,1994000
1983-05-01,2082100
1983-06-01,2137600
1983-07-01,2194100
1983-08-01,2222700
1983-09-01,2186600
1983-10-01,2171700
1983-11-01,2156200
1983-12-01,2113300
1984-01-01,2048400
1984-02-01,2095200
1984-03-01,2111300
1984-04-01,2132100
