"Date","LFAC55FECAM647N"
1976-01-01,302500
1976-02-01,304600
1976-03-01,302500
1976-04-01,308100
1976-05-01,310100
1976-06-01,308600
1976-07-01,313100
1976-08-01,324100
1976-09-01,329800
1976-10-01,325100
1976-11-01,317700
1976-12-01,321600
1977-01-01,319900
1977-02-01,314800
1977-03-01,315700
1977-04-01,318900
1977-05-01,318300
1977-06-01,313600
1977-07-01,317000
1977-08-01,322200
1977-09-01,330400
1977-10-01,334200
1977-11-01,328600
1977-12-01,321600
1978-01-01,314400
1978-02-01,315200
1978-03-01,315200
1978-04-01,322100
1978-05-01,322900
1978-06-01,326000
1978-07-01,329500
1978-08-01,333300
1978-09-01,337200
1978-10-01,336500
1978-11-01,337700
1978-12-01,335200
1979-01-01,341800
1979-02-01,351200
1979-03-01,358100
1979-04-01,358900
1979-05-01,355800
1979-06-01,361900
1979-07-01,353200
1979-08-01,347800
1979-09-01,356800
1979-10-01,357500
1979-11-01,357400
1979-12-01,354200
1980-01-01,360800
1980-02-01,357700
1980-03-01,361100
1980-04-01,356000
1980-05-01,367100
1980-06-01,358100
1980-07-01,355600
1980-08-01,347500
1980-09-01,351300
1980-10-01,362000
1980-11-01,357900
1980-12-01,356800
1981-01-01,347200
1981-02-01,355800
1981-03-01,359300
1981-04-01,360200
1981-05-01,366300
1981-06-01,366100
1981-07-01,360800
1981-08-01,366500
1981-09-01,381800
1981-10-01,370300
1981-11-01,373300
1981-12-01,371900
1982-01-01,373100
1982-02-01,374000
1982-03-01,373400
1982-04-01,378700
1982-05-01,383100
1982-06-01,372800
1982-07-01,367700
1982-08-01,373100
1982-09-01,377800
1982-10-01,380400
1982-11-01,387900
1982-12-01,379300
1983-01-01,377800
1983-02-01,378000
1983-03-01,384700
1983-04-01,387700
1983-05-01,383700
1983-06-01,381400
1983-07-01,369000
1983-08-01,376600
1983-09-01,386300
1983-10-01,393100
1983-11-01,388000
1983-12-01,389500
1984-01-01,390000
1984-02-01,384000
1984-03-01,397700
1984-04-01,388900
1984-05-01,383500
1984-06-01,380000
1984-07-01,376500
1984-08-01,373800
1984-09-01,385500
1984-10-01,388900
1984-11-01,389800
1984-12-01,389400
1985-01-01,392200
1985-02-01,404200
1985-03-01,407000
1985-04-01,413000
1985-05-01,402900
1985-06-01,401000
1985-07-01,394300
1985-08-01,390900
1985-09-01,396100
1985-10-01,399800
1985-11-01,406300
1985-12-01,402700
1986-01-01,390600
1986-02-01,396000
1986-03-01,401100
1986-04-01,396700
1986-05-01,406300
1986-06-01,397200
1986-07-01,393700
1986-08-01,390900
1986-09-01,397000
1986-10-01,398800
1986-11-01,399800
1986-12-01,399700
1987-01-01,399700
1987-02-01,405100
1987-03-01,409600
1987-04-01,425500
1987-05-01,420900
1987-06-01,407600
1987-07-01,407900
1987-08-01,406800
1987-09-01,423000
1987-10-01,423100
1987-11-01,415300
1987-12-01,424300
1988-01-01,420800
1988-02-01,420700
1988-03-01,417300
1988-04-01,421700
1988-05-01,427300
1988-06-01,413700
1988-07-01,408300
1988-08-01,412900
1988-09-01,433800
1988-10-01,420400
1988-11-01,410900
1988-12-01,415400
1989-01-01,413600
1989-02-01,416000
1989-03-01,411200
1989-04-01,415000
1989-05-01,408800
1989-06-01,411800
1989-07-01,398100
1989-08-01,394600
1989-09-01,413700
1989-10-01,415900
1989-11-01,417600
1989-12-01,416400
1990-01-01,420200
1990-02-01,406900
1990-03-01,415300
1990-04-01,424800
1990-05-01,424200
1990-06-01,423400
1990-07-01,418800
1990-08-01,426300
1990-09-01,430900
1990-10-01,431400
1990-11-01,424500
1990-12-01,428000
1991-01-01,415700
1991-02-01,421200
1991-03-01,428800
1991-04-01,429400
1991-05-01,424200
1991-06-01,433600
1991-07-01,422500
1991-08-01,429000
1991-09-01,438000
1991-10-01,436900
1991-11-01,428200
1991-12-01,422600
1992-01-01,429000
1992-02-01,419100
1992-03-01,417900
1992-04-01,421700
1992-05-01,423500
1992-06-01,427300
1992-07-01,421700
1992-08-01,440400
1992-09-01,444000
1992-10-01,451300
1992-11-01,454500
1992-12-01,442400
1993-01-01,432100
1993-02-01,444100
1993-03-01,442900
1993-04-01,453000
1993-05-01,442100
1993-06-01,436900
1993-07-01,432800
1993-08-01,427900
1993-09-01,434600
1993-10-01,438800
1993-11-01,440900
1993-12-01,424000
1994-01-01,429300
1994-02-01,439800
1994-03-01,458400
1994-04-01,468500
1994-05-01,469100
1994-06-01,474200
1994-07-01,451900
1994-08-01,466100
1994-09-01,462900
1994-10-01,458900
1994-11-01,451200
1994-12-01,445500
1995-01-01,460900
1995-02-01,450100
1995-03-01,451600
1995-04-01,444300
1995-05-01,443200
1995-06-01,453300
