"Date","LFEM55TTCAM647N"
1976-01-01,933500
1976-02-01,935300
1976-03-01,945700
1976-04-01,963100
1976-05-01,969800
1976-06-01,983000
1976-07-01,985200
1976-08-01,997700
1976-09-01,1004200
1976-10-01,999200
1976-11-01,986700
1976-12-01,981500
1977-01-01,962900
1977-02-01,951900
1977-03-01,960700
1977-04-01,959200
1977-05-01,982100
1977-06-01,978400
1977-07-01,984900
1977-08-01,990200
1977-09-01,997800
1977-10-01,1003000
1977-11-01,987100
1977-12-01,970700
1978-01-01,952500
1978-02-01,959600
1978-03-01,962600
1978-04-01,968600
1978-05-01,993900
1978-06-01,1001500
1978-07-01,1002600
1978-08-01,1013900
1978-09-01,1021800
1978-10-01,1018300
1978-11-01,1013900
1978-12-01,1002400
1979-01-01,1004400
1979-02-01,1017300
1979-03-01,1023400
1979-04-01,1036400
1979-05-01,1051000
1979-06-01,1060400
1979-07-01,1049700
1979-08-01,1044200
1979-09-01,1049900
1979-10-01,1047300
1979-11-01,1045300
1979-12-01,1029000
1980-01-01,1033600
1980-02-01,1033900
1980-03-01,1035200
1980-04-01,1034300
1980-05-01,1061800
1980-06-01,1060300
1980-07-01,1063600
1980-08-01,1055800
1980-09-01,1063700
1980-10-01,1070100
1980-11-01,1059600
1980-12-01,1046800
1981-01-01,1028600
1981-02-01,1046900
1981-03-01,1048600
1981-04-01,1046000
1981-05-01,1073700
1981-06-01,1072300
1981-07-01,1070900
1981-08-01,1085000
1981-09-01,1103100
1981-10-01,1096500
1981-11-01,1088300
1981-12-01,1069600
1982-01-01,1051400
1982-02-01,1049600
1982-03-01,1045600
1982-04-01,1051600
1982-05-01,1068600
1982-06-01,1064200
1982-07-01,1052000
1982-08-01,1055800
1982-09-01,1059000
1982-10-01,1054000
1982-11-01,1045100
1982-12-01,1037000
1983-01-01,1021600
1983-02-01,1025600
1983-03-01,1028300
1983-04-01,1046000
1983-05-01,1060100
1983-06-01,1058300
1983-07-01,1046400
1983-08-01,1056700
1983-09-01,1073900
1983-10-01,1079100
1983-11-01,1058700
1983-12-01,1050400
1984-01-01,1047100
1984-02-01,1055000
1984-03-01,1069600
1984-04-01,1059000
1984-05-01,1070400
1984-06-01,1082600
1984-07-01,1061600
1984-08-01,1054500
1984-09-01,1063700
1984-10-01,1072800
1984-11-01,1055600
1984-12-01,1043200
1985-01-01,1045000
1985-02-01,1053500
1985-03-01,1054900
1985-04-01,1057500
1985-05-01,1069400
1985-06-01,1081700
1985-07-01,1077700
1985-08-01,1068200
1985-09-01,1076200
1985-10-01,1080900
1985-11-01,1089200
1985-12-01,1073400
1986-01-01,1058900
1986-02-01,1061900
1986-03-01,1068500
1986-04-01,1072700
1986-05-01,1088700
1986-06-01,1088800
1986-07-01,1084300
1986-08-01,1058000
1986-09-01,1071300
1986-10-01,1073000
1986-11-01,1065800
1986-12-01,1051200
1987-01-01,1043100
1987-02-01,1064100
1987-03-01,1062900
1987-04-01,1073600
1987-05-01,1084800
1987-06-01,1069900
1987-07-01,1074800
1987-08-01,1073200
1987-09-01,1101700
1987-10-01,1097200
1987-11-01,1087300
1987-12-01,1089800
1988-01-01,1069200
1988-02-01,1073400
1988-03-01,1074000
1988-04-01,1087000
1988-05-01,1106500
1988-06-01,1107300
1988-07-01,1098600
1988-08-01,1104300
1988-09-01,1128800
1988-10-01,1122200
1988-11-01,1092200
1988-12-01,1088400
1989-01-01,1087000
1989-02-01,1088900
1989-03-01,1087300
1989-04-01,1088200
1989-05-01,1094400
1989-06-01,1108000
1989-07-01,1071300
1989-08-01,1074100
1989-09-01,1108700
1989-10-01,1106500
1989-11-01,1096300
1989-12-01,1091600
1990-01-01,1090100
1990-02-01,1082000
1990-03-01,1081900
1990-04-01,1097700
1990-05-01,1098400
1990-06-01,1111000
1990-07-01,1102000
1990-08-01,1108000
1990-09-01,1131100
1990-10-01,1116000
1990-11-01,1090200
1990-12-01,1075400
1991-01-01,1049500
1991-02-01,1045200
1991-03-01,1052400
1991-04-01,1059200
1991-05-01,1063100
1991-06-01,1077300
1991-07-01,1067700
1991-08-01,1069300
1991-09-01,1087600
1991-10-01,1086600
1991-11-01,1063400
1991-12-01,1039000
1992-01-01,1027100
1992-02-01,1026500
1992-03-01,1015600
1992-04-01,1026300
1992-05-01,1051400
1992-06-01,1059600
1992-07-01,1046500
1992-08-01,1054100
1992-09-01,1076100
1992-10-01,1083100
1992-11-01,1066000
1992-12-01,1050200
1993-01-01,1037800
1993-02-01,1042700
1993-03-01,1047800
1993-04-01,1051700
1993-05-01,1033900
1993-06-01,1045900
1993-07-01,1043500
1993-08-01,1033200
1993-09-01,1040700
1993-10-01,1035200
1993-11-01,1036900
1993-12-01,1007600
1994-01-01,1002600
1994-02-01,1020000
1994-03-01,1039400
1994-04-01,1060200
1994-05-01,1074600
1994-06-01,1093800
1994-07-01,1064600
1994-08-01,1078500
1994-09-01,1095700
1994-10-01,1093200
1994-11-01,1081700
1994-12-01,1069300
1995-01-01,1053100
1995-02-01,1061800
1995-03-01,1065300
1995-04-01,1047300
1995-05-01,1060000
1995-06-01,1069500
1995-07-01,1055500
1995-08-01,1065900
1995-09-01,1082800
1995-10-01,1084500
1995-11-01,1067300
1995-12-01,1056100
1996-01-01,1047600
1996-02-01,1064000
1996-03-01,1072200
1996-04-01,1069800
1996-05-01,1094200
1996-06-01,1114500
1996-07-01,1100200
1996-08-01,1102700
1996-09-01,1097100
1996-10-01,1096900
1996-11-01,1092000
1996-12-01,1078900
1997-01-01,1067000
1997-02-01,1098600
1997-03-01,1111100
1997-04-01,1117000
1997-05-01,1132800
1997-06-01,1153600
1997-07-01,1129000
1997-08-01,1145600
1997-09-01,1149400
1997-10-01,1159800
1997-11-01,1153300
1997-12-01,1152500
1998-01-01,1130400
1998-02-01,1157000
1998-03-01,1152900
1998-04-01,1142300
1998-05-01,1162900
1998-06-01,1190400
1998-07-01,1182000
1998-08-01,1189000
1998-09-01,1227800
1998-10-01,1221700
1998-11-01,1215700
1998-12-01,1198500
1999-01-01,1199800
1999-02-01,1198700
1999-03-01,1204200
1999-04-01,1240300
1999-05-01,1248000
1999-06-01,1262600
1999-07-01,1249000
1999-08-01,1262800
1999-09-01,1294400
1999-10-01,1298400
1999-11-01,1295100
1999-12-01,1305800
2000-01-01,1300300
2000-02-01,1303400
2000-03-01,1298700
2000-04-01,1314900
2000-05-01,1332800
2000-06-01,1332500
2000-07-01,1316400
2000-08-01,1339800
2000-09-01,1341400
2000-10-01,1352600
2000-11-01,1360600
2000-12-01,1369400
2001-01-01,1323300
2001-02-01,1335300
2001-03-01,1369300
2001-04-01,1372000
2001-05-01,1381200
2001-06-01,1397100
2001-07-01,1376400
2001-08-01,1389200
2001-09-01,1417700
2001-10-01,1419100
2001-11-01,1409200
2001-12-01,1436700
2002-01-01,1436200
2002-02-01,1444100
2002-03-01,1455000
2002-04-01,1478000
2002-05-01,1496700
2002-06-01,1517700
2002-07-01,1499400
2002-08-01,1532300
2002-09-01,1570200
2002-10-01,1594500
2002-11-01,1610000
2002-12-01,1619200
2003-01-01,1622300
2003-02-01,1633800
2003-03-01,1644700
2003-04-01,1658800
2003-05-01,1682800
