"Date","LFIN64FECAM647N"
1997-02-01,3255300
1997-03-01,3233100
1997-04-01,3217100
1997-05-01,3107500
1997-06-01,3004700
1997-07-01,3004800
1997-08-01,2981200
1997-09-01,3161100
1997-10-01,3159700
1997-11-01,3171300
1997-12-01,3236800
1998-01-01,3251800
1998-02-01,3212900
1998-03-01,3193100
1998-04-01,3182500
1998-05-01,3066600
1998-06-01,3004200
1998-07-01,2968400
1998-08-01,2955400
1998-09-01,3078900
1998-10-01,3095800
1998-11-01,3100900
1998-12-01,3115900
1999-01-01,3163300
1999-02-01,3158300
1999-03-01,3154300
1999-04-01,3099300
1999-05-01,2981100
1999-06-01,2950300
1999-07-01,2903700
1999-08-01,2906100
1999-09-01,3076800
1999-10-01,3102800
1999-11-01,3125400
1999-12-01,3144900
2000-01-01,3193900
2000-02-01,3132100
2000-03-01,3118300
2000-04-01,3122400
2000-05-01,2988000
2000-06-01,2936400
2000-07-01,2902800
2000-08-01,2871700
2000-09-01,3029800
2000-10-01,3017500
2000-11-01,3040800
2000-12-01,3071400
2001-01-01,3122900
2001-02-01,3129500
2001-03-01,3100400
2001-04-01,3078400
2001-05-01,2960100
2001-06-01,2937600
2001-07-01,2911100
2001-08-01,2901600
2001-09-01,3072300
2001-10-01,3086500
2001-11-01,3065200
2001-12-01,3075100
2002-01-01,3102400
2002-02-01,3110000
2002-03-01,3072400
2002-04-01,3043000
2002-05-01,2897200
2002-06-01,2839100
2002-07-01,2796600
2002-08-01,2738300
2002-09-01,2906600
2002-10-01,2905300
2002-11-01,2902900
2002-12-01,2910000
2003-01-01,2975800
2003-02-01,2950600
2003-03-01,2938600
2003-04-01,2934900
2003-05-01,2785800
2003-06-01,2739000
2003-07-01,2720000
2003-08-01,2674800
2003-09-01,2850500
2003-10-01,2860600
2003-11-01,2860100
2003-12-01,2854500
2004-01-01,2948200
2004-02-01,2941300
2004-03-01,2941200
2004-04-01,2923400
2004-05-01,2767600
2004-06-01,2711800
2004-07-01,2737900
2004-08-01,2732200
2004-09-01,2912300
2004-10-01,2914600
2004-11-01,2898200
2004-12-01,2938200
2005-01-01,3008000
2005-02-01,2987000
2005-03-01,3018600
2005-04-01,3010400
2005-05-01,2861700
2005-06-01,2829200
2005-07-01,2853100
2005-08-01,2805700
2005-09-01,2991800
2005-10-01,2968100
2005-11-01,3003300
2005-12-01,3009100
2006-01-01,3017100
2006-02-01,3035200
2006-03-01,3025800
2006-04-01,2988900
2006-05-01,2831700
2006-06-01,2808800
2006-07-01,2786700
2006-08-01,2805700
2006-09-01,2993100
2006-10-01,2974700
2006-11-01,2984700
2006-12-01,2979400
2007-01-01,3006300
2007-02-01,2991100
2007-03-01,2953200
2007-04-01,2975100
2007-05-01,2828400
2007-06-01,2796200
2007-07-01,2766900
2007-08-01,2727600
2007-09-01,2903400
2007-10-01,2900600
2007-11-01,2921000
2007-12-01,2952200
2008-01-01,3011300
2008-02-01,2971000
2008-03-01,2989600
2008-04-01,2986700
2008-05-01,2812100
2008-06-01,2801600
2008-07-01,2832200
2008-08-01,2777400
2008-09-01,2973300
2008-10-01,2938800
2008-11-01,2963400
2008-12-01,2953600
2009-01-01,3040300
2009-02-01,3004800
2009-03-01,2977300
2009-04-01,2967900
2009-05-01,2813000
2009-06-01,2799000
2009-07-01,2835700
2009-08-01,2760000
2009-09-01,2976600
2009-10-01,3011600
2009-11-01,2962900
2009-12-01,3027700
2010-01-01,3046400
2010-02-01,3043300
2010-03-01,3039600
2010-04-01,3013300
2010-05-01,2874200
2010-06-01,2808700
2010-07-01,2833200
2010-08-01,2767800
2010-09-01,2995400
2010-10-01,3001500
2010-11-01,3034000
2010-12-01,3066500
2011-01-01,3051900
2011-02-01,3043500
2011-03-01,3070800
2011-04-01,3027400
2011-05-01,2906200
2011-06-01,2869700
2011-07-01,2895400
2011-08-01,2825000
2011-09-01,3059000
2011-10-01,3069100
2011-11-01,3065900
2011-12-01,3100800
2012-01-01,3106800
2012-02-01,3105000
2012-03-01,3082600
2012-04-01,3006200
2012-05-01,2895900
2012-06-01,2888700
2012-07-01,2904600
2012-08-01,2798400
2012-09-01,2996700
2012-10-01,3002900
2012-11-01,2994800
2012-12-01,2996600
2013-01-01,3034500
2013-02-01,2981700
2013-03-01,3006600
2013-04-01,3006800
2013-05-01,2875300
2013-06-01,2836000
2013-07-01,2852000
2013-08-01,2774600
2013-09-01,2991300
2013-10-01,3002900
2013-11-01,3028900
2013-12-01,3052100
2014-01-01,3107400
2014-02-01,3094600
2014-03-01,3096700
2014-04-01,3074400
2014-05-01,2908900
2014-06-01,2878200
2014-07-01,2901600
2014-08-01,2882500
2014-09-01,3064300
2014-10-01,3076600
2014-11-01,3070300
2014-12-01,3125000
2015-01-01,3155700
2015-02-01,3122600
2015-03-01,3064400
2015-04-01,3079600
2015-05-01,2938300
2015-06-01,2916100
2015-07-01,2940200
2015-08-01,2867400
2015-09-01,3055000
2015-10-01,3068100
2015-11-01,3079900
2015-12-01,3088200
2016-01-01,3130400
2016-02-01,3128300
2016-03-01,3079400
2016-04-01,3051600
2016-05-01,2920300
2016-06-01,2900000
2016-07-01,2945500
2016-08-01,2909300
2016-09-01,3084000
2016-10-01,3059600
2016-11-01,3096600
2016-12-01,3076900
2017-01-01,3077900
2017-02-01,3083000
2017-03-01,3067900
2017-04-01,3073000
2017-05-01,2902200
2017-06-01,2826600
2017-07-01,2866200
2017-08-01,2849900
2017-09-01,3052500
2017-10-01,3022200
2017-11-01,3041600
2017-12-01,3038800
2018-01-01,3137100
2018-02-01,3116900
2018-03-01,3097400
2018-04-01,3097900
2018-05-01,2941100
2018-06-01,2878500
2018-07-01,2881500
2018-08-01,2789300
2018-09-01,3001400
2018-10-01,3004700
2018-11-01,3027600
2018-12-01,3027400
2019-01-01,3100700
2019-02-01,3063700
2019-03-01,3069800
2019-04-01,3005800
2019-05-01,2892300
2019-06-01,2811000
2019-07-01,2871100
2019-08-01,2811600
2019-09-01,2955800
2019-10-01,2959800
2019-11-01,2966200
2019-12-01,2993000
2020-01-01,3048100
2020-02-01,3045400
2020-03-01,3392700
2020-04-01,3908800
2020-05-01,3576100
2020-06-01,3112800
2020-07-01,3047100
2020-08-01,2910500
2020-09-01,3039800
2020-10-01,3002900
2020-11-01,3027600
2020-12-01,3067400
2021-01-01,3166300
2021-02-01,3094300
2021-03-01,3051300
2021-04-01,3079900
2021-05-01,2946700
2021-06-01,2810600
2021-07-01,2832700
2021-08-01,2733300
2021-09-01,2859000
2021-10-01,2883500
2021-11-01,2888000
2021-12-01,2894700
2022-01-01,2992000
2022-02-01,2925900
2022-03-01,2902200
2022-04-01,2913300
2022-05-01,2737900
2022-06-01,2742900
2022-07-01,2808300
2022-08-01,2765000
2022-09-01,2946100
2022-10-01,2883500
2022-11-01,2914200
2022-12-01,2914600
2023-01-01,2905600
2023-02-01,2867900
2023-03-01,2866400
2023-04-01,2894800
2023-05-01,2751700
2023-06-01,2714900
2023-07-01,2740500
2023-08-01,2743400
2023-09-01,2953800
2023-10-01,2962700
2023-11-01,2993500
