"Date","LFESEETTCAM647N"
1969-12-01,6720000
1970-01-01,6664000
1970-02-01,6682000
1970-03-01,6693000
1970-04-01,6819000
1970-05-01,7031000
1970-06-01,7214000
1970-07-01,7311000
1970-08-01,7296000
1970-09-01,7066000
1970-10-01,7116000
1970-11-01,7113000
1970-12-01,7038000
1971-01-01,6844000
1971-02-01,6858000
1971-03-01,6816000
1971-04-01,6853000
1971-05-01,7143000
1971-06-01,7359000
1971-07-01,7528000
1971-08-01,7498000
1971-09-01,7265000
1971-10-01,7374000
1971-11-01,7313000
1971-12-01,7324000
1972-01-01,7079000
1972-02-01,7111000
1972-03-01,7173000
1972-04-01,7219000
1972-05-01,7424000
1972-06-01,7629000
1972-07-01,7818000
1972-08-01,7782000
1972-09-01,7476000
1972-10-01,7536000
1972-11-01,7589000
1972-12-01,7579000
1973-01-01,7360000
1973-02-01,7478000
1973-03-01,7544000
1973-04-01,7671000
1973-05-01,7884000
1973-06-01,8191000
1973-07-01,8244000
1973-08-01,8255000
1973-09-01,7918000
1973-10-01,8049000
1973-11-01,8050000
1973-12-01,8033000
1974-01-01,7810000
1974-02-01,7843000
1974-03-01,7856000
1974-04-01,7998000
1974-05-01,8189000
1974-06-01,8436000
1974-07-01,8640000
1974-08-01,8677000
1974-09-01,8281000
1974-10-01,8332000
1974-11-01,8331000
1974-12-01,8297000
1975-01-01,7981000
1975-02-01,8018000
1975-03-01,8029000
1975-04-01,8103000
1975-05-01,8392000
1975-06-01,8646000
1975-07-01,8783000
1975-08-01,8748000
1975-09-01,8446000
1975-10-01,8489000
1975-11-01,8459000
1975-12-01,8408000
1976-01-01,8148900
1976-02-01,8204900
1976-03-01,8291200
1976-04-01,8330200
1976-05-01,8561900
1976-06-01,8802600
1976-07-01,8967600
1976-08-01,8967500
1976-09-01,8658300
1976-10-01,8647500
1976-11-01,8609800
1976-12-01,8559800
1977-01-01,8339700
1977-02-01,8376100
1977-03-01,8414900
1977-04-01,8447300
1977-05-01,8761200
1977-06-01,8928300
1977-07-01,9121200
1977-08-01,9124600
1977-09-01,8774400
1977-10-01,8795300
1977-11-01,8731100
1977-12-01,8668600
1978-01-01,8459500
1978-02-01,8541100
1978-03-01,8624900
1978-04-01,8657500
1978-05-01,8948100
1978-06-01,9176700
