"Date","LFAC25FECAM647S"
1976-01-01,2222600
1976-02-01,2223100
1976-03-01,2223100
1976-04-01,2244000
1976-05-01,2250600
1976-06-01,2260700
1976-07-01,2287200
1976-08-01,2292000
1976-09-01,2289300
1976-10-01,2306000
1976-11-01,2324100
1976-12-01,2328500
1977-01-01,2340100
1977-02-01,2353100
1977-03-01,2357100
1977-04-01,2366900
1977-05-01,2379400
1977-06-01,2390600
1977-07-01,2374600
1977-08-01,2390600
1977-09-01,2398900
1977-10-01,2413500
1977-11-01,2416600
1977-12-01,2443900
1978-01-01,2451300
1978-02-01,2468200
1978-03-01,2493900
1978-04-01,2503300
1978-05-01,2531700
1978-06-01,2538200
1978-07-01,2563700
1978-08-01,2574700
1978-09-01,2588200
1978-10-01,2602100
1978-11-01,2614400
1978-12-01,2631100
1979-01-01,2636700
1979-02-01,2637800
1979-03-01,2637900
1979-04-01,2645600
1979-05-01,2645800
1979-06-01,2653200
1979-07-01,2683400
1979-08-01,2701000
1979-09-01,2686700
1979-10-01,2725700
1979-11-01,2737500
1979-12-01,2746900
1980-01-01,2771800
1980-02-01,2784200
1980-03-01,2793600
1980-04-01,2825300
1980-05-01,2814800
1980-06-01,2818500
1980-07-01,2830800
1980-08-01,2859400
1980-09-01,2866800
1980-10-01,2887700
1980-11-01,2888600
1980-12-01,2897100
1981-01-01,2932800
1981-02-01,2968600
1981-03-01,2972200
1981-04-01,2981100
1981-05-01,3000500
1981-06-01,3025700
1981-07-01,3024000
1981-08-01,3044900
1981-09-01,3084800
1981-10-01,3116400
1981-11-01,3114000
1981-12-01,3104800
1982-01-01,3096800
1982-02-01,3111900
1982-03-01,3123000
1982-04-01,3120700
1982-05-01,3137000
1982-06-01,3149100
1982-07-01,3166400
1982-08-01,3161500
1982-09-01,3160500
1982-10-01,3183700
1982-11-01,3195700
1982-12-01,3220400
1983-01-01,3225000
1983-02-01,3240100
1983-03-01,3261200
1983-04-01,3292000
1983-05-01,3305900
1983-06-01,3325000
1983-07-01,3338900
1983-08-01,3335900
1983-09-01,3347800
1983-10-01,3353900
1983-11-01,3362800
1983-12-01,3381700
1984-01-01,3378500
1984-02-01,3405000
1984-03-01,3409900
1984-04-01,3418000
1984-05-01,3452900
1984-06-01,3465900
1984-07-01,3478900
1984-08-01,3491900
1984-09-01,3538400
1984-10-01,3532000
1984-11-01,3554500
1984-12-01,3560300
1985-01-01,3560200
1985-02-01,3583100
1985-03-01,3601300
1985-04-01,3616200
1985-05-01,3635500
1985-06-01,3637400
1985-07-01,3657100
1985-08-01,3672500
1985-09-01,3690000
1985-10-01,3699300
1985-11-01,3727100
1985-12-01,3742200
1986-01-01,3759100
1986-02-01,3774900
1986-03-01,3786600
1986-04-01,3802400
1986-05-01,3783400
1986-06-01,3793900
1986-07-01,3818100
1986-08-01,3834700
1986-09-01,3839900
1986-10-01,3870400
1986-11-01,3876900
1986-12-01,3883900
1987-01-01,3905400
1987-02-01,3913100
1987-03-01,3934400
1987-04-01,3947000
1987-05-01,3958000
1987-06-01,3985800
1987-07-01,3993800
1987-08-01,3996000
1987-09-01,4019900
1987-10-01,4033600
1987-11-01,4049700
1987-12-01,4072800
1988-01-01,4085600
1988-02-01,4118900
1988-03-01,4124500
1988-04-01,4141100
1988-05-01,4150400
1988-06-01,4195400
1988-07-01,4196700
1988-08-01,4214700
1988-09-01,4210000
1988-10-01,4244000
1988-11-01,4261900
1988-12-01,4257300
1989-01-01,4282500
1989-02-01,4295600
1989-03-01,4327000
1989-04-01,4337100
1989-05-01,4352300
1989-06-01,4334800
1989-07-01,4360800
1989-08-01,4384200
1989-09-01,4408600
1989-10-01,4411500
1989-11-01,4439400
1989-12-01,4464900
1990-01-01,4480100
1990-02-01,4500100
1990-03-01,4478400
1990-04-01,4507500
1990-05-01,4523300
1990-06-01,4534300
1990-07-01,4540600
1990-08-01,4554100
1990-09-01,4576400
1990-10-01,4584600
1990-11-01,4596200
1990-12-01,4586000
1991-01-01,4607200
1991-02-01,4613900
1991-03-01,4637700
1991-04-01,4652100
1991-05-01,4651200
1991-06-01,4674800
1991-07-01,4677800
1991-08-01,4689600
1991-09-01,4663200
1991-10-01,4681300
1991-11-01,4674900
1991-12-01,4671600
1992-01-01,4664800
1992-02-01,4688400
1992-03-01,4687600
1992-04-01,4685000
1992-05-01,4689100
1992-06-01,4705400
1992-07-01,4712900
1992-08-01,4702800
1992-09-01,4699600
1992-10-01,4704800
1992-11-01,4762000
1992-12-01,4756100
1993-01-01,4751700
1993-02-01,4748900
1993-03-01,4759300
1993-04-01,4780100
1993-05-01,4808100
1993-06-01,4825700
1993-07-01,4816400
1993-08-01,4818600
1993-09-01,4841100
1993-10-01,4833200
1993-11-01,4837200
1993-12-01,4845900
1994-01-01,4834900
1994-02-01,4815600
1994-03-01,4802900
1994-04-01,4826700
1994-05-01,4845200
1994-06-01,4846400
1994-07-01,4859100
1994-08-01,4877000
1994-09-01,4897800
1994-10-01,4909300
1994-11-01,4911400
1994-12-01,4930300
1995-01-01,4927100
1995-02-01,4951600
1995-03-01,4971200
1995-04-01,4934700
1995-05-01,4942000
1995-06-01,4945000
1995-07-01,4946800
1995-08-01,4955200
1995-09-01,4969100
1995-10-01,4966400
1995-11-01,4958800
1995-12-01,4974700
1996-01-01,4989700
1996-02-01,5010100
1996-03-01,5016800
1996-04-01,5006900
1996-05-01,5004600
1996-06-01,5035300
1996-07-01,5049600
1996-08-01,5048500
1996-09-01,5080800
1996-10-01,5075900
1996-11-01,5080500
1996-12-01,5100200
1997-01-01,5107000
1997-02-01,5097800
1997-03-01,5109600
1997-04-01,5140300
1997-05-01,5146000
1997-06-01,5157600
1997-07-01,5156300
1997-08-01,5172900
1997-09-01,5175800
1997-10-01,5199900
1997-11-01,5207500
1997-12-01,5189800
1998-01-01,5215900
1998-02-01,5221600
1998-03-01,5226300
1998-04-01,5231100
1998-05-01,5229800
