"Date","LFEM64FECAM647N"
1976-01-01,3402100
1976-02-01,3432800
1976-03-01,3483100
1976-04-01,3494600
1976-05-01,3577700
1976-06-01,3652800
1976-07-01,3705800
1976-08-01,3695700
1976-09-01,3589400
1976-10-01,3618500
1976-11-01,3619200
1976-12-01,3631300
1977-01-01,3539900
1977-02-01,3577800
1977-03-01,3612300
1977-04-01,3618900
1977-05-01,3705800
1977-06-01,3755300
1977-07-01,3808500
1977-08-01,3787100
1977-09-01,3694700
1977-10-01,3719900
1977-11-01,3706200
1977-12-01,3716800
1978-01-01,3634800
1978-02-01,3691800
1978-03-01,3741000
1978-04-01,3763500
1978-05-01,3838300
1978-06-01,3909500
1978-07-01,4001100
1978-08-01,3991500
1978-09-01,3904600
1978-10-01,3951700
1978-11-01,3946700
1978-12-01,3951100
1979-01-01,3875200
1979-02-01,3939600
1979-03-01,3986000
1979-04-01,3996400
1979-05-01,4072000
1979-06-01,4136700
1979-07-01,4231700
1979-08-01,4234500
1979-09-01,4117400
1979-10-01,4180100
1979-11-01,4192600
1979-12-01,4186500
1980-01-01,4131100
1980-02-01,4146700
1980-03-01,4200800
1980-04-01,4231800
1980-05-01,4290100
1980-06-01,4377000
1980-07-01,4421800
1980-08-01,4413000
1980-09-01,4334700
1980-10-01,4376300
1980-11-01,4360600
1980-12-01,4343600
1981-01-01,4292700
1981-02-01,4370900
1981-03-01,4399700
1981-04-01,4418400
1981-05-01,4549300
1981-06-01,4649700
1981-07-01,4660200
1981-08-01,4652700
1981-09-01,4536400
1981-10-01,4545700
1981-11-01,4526200
1981-12-01,4489600
1982-01-01,4415800
1982-02-01,4431500
1982-03-01,4457600
1982-04-01,4441400
1982-05-01,4507000
1982-06-01,4551600
1982-07-01,4564500
1982-08-01,4523500
1982-09-01,4414200
1982-10-01,4430900
1982-11-01,4417100
1982-12-01,4409500
1983-01-01,4333000
1983-02-01,4374800
1983-03-01,4435000
1983-04-01,4468500
1983-05-01,4566400
1983-06-01,4662300
1983-07-01,4710300
1983-08-01,4697200
1983-09-01,4603300
1983-10-01,4627200
1983-11-01,4612800
1983-12-01,4609600
1984-01-01,4506800
1984-02-01,4567300
1984-03-01,4607600
1984-04-01,4603900
1984-05-01,4716600
1984-06-01,4778600
1984-07-01,4829700
1984-08-01,4805200
1984-09-01,4712600
1984-10-01,4732100
1984-11-01,4751900
1984-12-01,4760700
1985-01-01,4706300
1985-02-01,4748000
1985-03-01,4789000
1985-04-01,4807600
1985-05-01,4910000
1985-06-01,4961300
1985-07-01,5018400
1985-08-01,5016600
1985-09-01,4928700
