"Date","LFAC24TTCAM647S"
1976-01-01,2849400
1976-02-01,2857100
1976-03-01,2862700
1976-04-01,2878900
1976-05-01,2888700
1976-06-01,2902800
1976-07-01,2920400
1976-08-01,2902900
1976-09-01,2896200
1976-10-01,2902800
1976-11-01,2919700
1976-12-01,2947700
1977-01-01,2961600
1977-02-01,2972300
1977-03-01,2955100
1977-04-01,2978600
1977-05-01,2968800
1977-06-01,2962400
1977-07-01,2996400
1977-08-01,3007000
1977-09-01,3003700
1977-10-01,3010900
1977-11-01,3011700
1977-12-01,3004700
1978-01-01,2994400
1978-02-01,3019700
1978-03-01,3039400
1978-04-01,3041700
1978-05-01,3047600
1978-06-01,3058900
1978-07-01,3081400
1978-08-01,3090100
1978-09-01,3087000
1978-10-01,3097300
1978-11-01,3119100
1978-12-01,3129600
1979-01-01,3141300
1979-02-01,3136300
1979-03-01,3142800
1979-04-01,3163000
1979-05-01,3160700
1979-06-01,3160400
1979-07-01,3168900
1979-08-01,3180300
1979-09-01,3195800
1979-10-01,3230500
1979-11-01,3230900
1979-12-01,3237200
1980-01-01,3241300
1980-02-01,3240600
1980-03-01,3251400
1980-04-01,3258400
1980-05-01,3228700
1980-06-01,3270600
1980-07-01,3233900
1980-08-01,3236700
1980-09-01,3264400
1980-10-01,3259000
1980-11-01,3254100
1980-12-01,3259600
1981-01-01,3296800
1981-02-01,3315200
1981-03-01,3299800
1981-04-01,3293000
1981-05-01,3313400
1981-06-01,3321500
1981-07-01,3282800
1981-08-01,3252900
1981-09-01,3292900
1981-10-01,3253900
1981-11-01,3248900
1981-12-01,3229500
1982-01-01,3206600
1982-02-01,3189600
1982-03-01,3181700
1982-04-01,3183900
1982-05-01,3158500
1982-06-01,3146900
1982-07-01,3168800
1982-08-01,3138300
1982-09-01,3144200
1982-10-01,3155700
1982-11-01,3127700
1982-12-01,3137700
1983-01-01,3123400
1983-02-01,3114700
1983-03-01,3111800
1983-04-01,3112900
1983-05-01,3098500
1983-06-01,3127100
1983-07-01,3118400
1983-08-01,3140000
1983-09-01,3123000
1983-10-01,3091900
1983-11-01,3087100
1983-12-01,3086500
1984-01-01,3069900
1984-02-01,3077200
1984-03-01,3060800
1984-04-01,3072300
1984-05-01,3093000
1984-06-01,3084400
1984-07-01,3094500
1984-08-01,3067500
1984-09-01,3091600
1984-10-01,3060500
1984-11-01,3050700
1984-12-01,3046300
1985-01-01,3016700
1985-02-01,3025300
1985-03-01,3054600
1985-04-01,3047300
1985-05-01,3035500
1985-06-01,3061300
1985-07-01,3037700
1985-08-01,3047500
1985-09-01,3033400
1985-10-01,3043500
1985-11-01,3044400
1985-12-01,3047600
1986-01-01,3045200
1986-02-01,3043400
1986-03-01,3031300
1986-04-01,3077400
1986-05-01,3034400
1986-06-01,3063900
