"Date","XTIMVA01CAM664S"
1960-01-01,454723178.884119
1960-02-01,501693341.726184
1960-03-01,460386663.803689
1960-04-01,467729662.958133
1960-05-01,450522054.950085
1960-06-01,453320256.978611
1960-07-01,445270933.422458
1960-08-01,449516765.711364
1960-09-01,446334214.39334
1960-10-01,432639094.628131
1960-11-01,465212770.764781
1960-12-01,460001237.33933
1961-01-01,465120834.918938
1961-02-01,460826224.609625
1961-03-01,454209688.890959
1961-04-01,443107818.844774
1961-05-01,463004496.30415
1961-06-01,464713604.387548
1961-07-01,472338356.66247
1961-08-01,495762702.78136
1961-09-01,497742462.714138
1961-10-01,520995733.960511
1961-11-01,514624351.156921
1961-12-01,522718570.767966
1962-01-01,513106305.858746
1962-02-01,526723274.319661
1962-03-01,543281918.185948
1962-04-01,489160185.667401
1962-05-01,553540519.595533
1962-06-01,511175678.561475
1962-07-01,551891896.467791
1962-08-01,536311714.207577
1962-09-01,516087785.383109
1962-10-01,519196019.663586
1962-11-01,506772267.049711
1962-12-01,472187368.863939
1963-01-01,528326143.408574
1963-02-01,509786034.837663
1963-03-01,510119276.626613
1963-04-01,523215283.258186
1963-05-01,527259614.074099
1963-06-01,526777433.544604
1963-07-01,555811303.978374
1963-08-01,559475989.800105
1963-09-01,576441968.374007
1963-10-01,569561592.827672
1963-11-01,582481785.657725
1963-12-01,575648603.170135
1964-01-01,598754465.535512
1964-02-01,598744295.778545
1964-03-01,586339221.413065
1964-04-01,668037769.057456
1964-05-01,610979204.155582
1964-06-01,625608393.801863
1964-07-01,615348196.715274
1964-08-01,626547734.663886
1964-09-01,630096940.35919
1964-10-01,611684117.511717
1964-11-01,633156133.803262
1964-12-01,652268915.320404
1965-01-01,628930346.24999
1965-02-01,652239751.081212
1965-03-01,716269742.746611
1965-04-01,662056003.383118
1965-05-01,677031344.98409
1965-06-01,727764139.607253
1965-07-01,732557975.338366
1965-08-01,717730676.404868
1965-09-01,741548351.646514
1965-10-01,763030586.467156
1965-11-01,811288889.463241
1965-12-01,788196532.826699
1966-01-01,776726369.775884
1966-02-01,783956031.48031
1966-03-01,816952257.218214
1966-04-01,797831783.538158
1966-05-01,835654749.258968
1966-06-01,826274397.864484
1966-07-01,834268775.938179
1966-08-01,874272687.731453
1966-09-01,846695545.874702
1966-10-01,921228312.117691
1966-11-01,879695603.696716
1966-12-01,895561753.816698
1967-01-01,922014604.085298
