"Date","LFIN64TTCAM647N"
1976-01-01,5112500
1976-02-01,5099200
1976-03-01,5053900
1976-04-01,5016300
1976-05-01,4836000
1976-06-01,4606800
1976-07-01,4367800
1976-08-01,4485800
1976-09-01,4910200
1976-10-01,4932600
1976-11-01,4971800
1976-12-01,5020100
1977-01-01,5143800
1977-02-01,5089700
1977-03-01,5042700
1977-04-01,5030700
1977-05-01,4806600
1977-06-01,4656400
1977-07-01,4425600
1977-08-01,4497500
1977-09-01,4919900
1977-10-01,4928200
1977-11-01,4984700
1977-12-01,5051700
1978-01-01,5204900
1978-02-01,5112600
1978-03-01,4987200
1978-04-01,5003300
1978-05-01,4749300
1978-06-01,4552800
1978-07-01,4294300
1978-08-01,4352700
1978-09-01,4784100
1978-10-01,4794100
1978-11-01,4830800
1978-12-01,4904600
1979-01-01,5004700
1979-02-01,4973000
1979-03-01,4868400
1979-04-01,4853900
1979-05-01,4641700
1979-06-01,4466000
1979-07-01,4234400
1979-08-01,4272000
1979-09-01,4727500
1979-10-01,4679200
1979-11-01,4745300
1979-12-01,4857600
1980-01-01,4904900
1980-02-01,4896300
1980-03-01,4810700
1980-04-01,4795600
1980-05-01,4609900
1980-06-01,4330300
1980-07-01,4221800
1980-08-01,4247500
1980-09-01,4670400
1980-10-01,4674900
1980-11-01,4744600
1980-12-01,4844100
1981-01-01,4897900
1981-02-01,4813400
1981-03-01,4722100
1981-04-01,4750500
1981-05-01,4477300
1981-06-01,4193100
1981-07-01,4097600
1981-08-01,4157200
1981-09-01,4527900
1981-10-01,4574200
1981-11-01,4675200
1981-12-01,4809300
1982-01-01,4974900
1982-02-01,4959000
1982-03-01,4825700
1982-04-01,4871200
1982-05-01,4638200
1982-06-01,4419300
1982-07-01,4238900
1982-08-01,4392000
1982-09-01,4805700
1982-10-01,4783500
1982-11-01,4871400
1982-12-01,4935100
1983-01-01,5054300
1983-02-01,4999500
1983-03-01,4831800
1983-04-01,4847200
1983-05-01,4572900
1983-06-01,4349200
1983-07-01,4201700
1983-08-01,4273900
1983-09-01,4702100
1983-10-01,4755200
1983-11-01,4836600
1983-12-01,4902700
1984-01-01,5064400
1984-02-01,4964400
1984-03-01,4843400
1984-04-01,4855300
1984-05-01,4533500
1984-06-01,4369700
1984-07-01,4191900
1984-08-01,4266700
1984-09-01,4609900
1984-10-01,4657100
1984-11-01,4723400
1984-12-01,4835900
1985-01-01,4917300
1985-02-01,4863800
1985-03-01,4689700
1985-04-01,4701000
1985-05-01,4449200
1985-06-01,4287800
1985-07-01,4097700
1985-08-01,4147800
1985-09-01,4592500
1985-10-01,4578400
1985-11-01,4598500
1985-12-01,4682300
1986-01-01,4751900
1986-02-01,4711600
1986-03-01,4599500
1986-04-01,4558000
1986-05-01,4368600
1986-06-01,4114100
1986-07-01,3996100
1986-08-01,4062700
1986-09-01,4516200
1986-10-01,4528600
1986-11-01,4587700
1986-12-01,4669600
1987-01-01,4749000
1987-02-01,4682300
1987-03-01,4536100
1987-04-01,4542000
1987-05-01,4288700
1987-06-01,4069500
1987-07-01,3939600
1987-08-01,3993600
1987-09-01,4415100
1987-10-01,4392500
1987-11-01,4464800
1987-12-01,4501800
1988-01-01,4631300
1988-02-01,4574800
1988-03-01,4472900
1988-04-01,4494200
1988-05-01,4174600
1988-06-01,4045600
1988-07-01,3850400
1988-08-01,3904500
1988-09-01,4340900
1988-10-01,4330600
1988-11-01,4417600
1988-12-01,4491200
1989-01-01,4508200
1989-02-01,4487400
1989-03-01,4372000
1989-04-01,4395200
1989-05-01,4117900
1989-06-01,3977900
1989-07-01,3811700
1989-08-01,3842600
1989-09-01,4279400
1989-10-01,4293500
1989-11-01,4348300
1989-12-01,4433600
1990-01-01,4498700
1990-02-01,4482900
1990-03-01,4488800
1990-04-01,4444700
1990-05-01,4190000
1990-06-01,4023900
1990-07-01,3830300
1990-08-01,3879300
1990-09-01,4294900
1990-10-01,4300100
1990-11-01,4420300
1990-12-01,4534700
1991-01-01,4651300
1991-02-01,4604900
1991-03-01,4519600
1991-04-01,4559600
1991-05-01,4282100
1991-06-01,4105300
1991-07-01,3926000
1991-08-01,4e+06
1991-09-01,4498400
1991-10-01,4492600
1991-11-01,4626400
1991-12-01,4768000
1992-01-01,4901100
1992-02-01,4859100
1992-03-01,4759200
1992-04-01,4855600
1992-05-01,4552300
1992-06-01,4303700
1992-07-01,4167400
1992-08-01,4247600
1992-09-01,4706600
1992-10-01,4723400
1992-11-01,4692800
1992-12-01,4842400
1993-01-01,5032700
1993-02-01,4990400
1993-03-01,4859200
1993-04-01,4903100
1993-05-01,4622100
1993-06-01,4376800
1993-07-01,4224100
1993-08-01,4355700
1993-09-01,4763500
1993-10-01,4829200
1993-11-01,4858300
1993-12-01,4966100
1994-01-01,5116500
1994-02-01,5069900
1994-03-01,5041200
1994-04-01,5020300
1994-05-01,4675300
1994-06-01,4539500
1994-07-01,4350900
1994-08-01,4405800
1994-09-01,4812200
1994-10-01,4860200
1994-11-01,4905800
1994-12-01,5014300
1995-01-01,5100600
1995-02-01,5115400
1995-03-01,5007700
1995-04-01,5110300
1995-05-01,4796700
1995-06-01,4622300
1995-07-01,4437900
1995-08-01,4530100
1995-09-01,4990700
1995-10-01,5001500
1995-11-01,5135800
1995-12-01,5169500
1996-01-01,5248700
1996-02-01,5211700
1996-03-01,5189400
1996-04-01,5204600
1996-05-01,4913800
1996-06-01,4702000
1996-07-01,4513200
1996-08-01,4594400
1996-09-01,5012900
1996-10-01,5044500
1996-11-01,5111100
1996-12-01,5199700
1997-01-01,5292600
1997-02-01,5253000
1997-03-01,5232300
1997-04-01,5207800
1997-05-01,4887600
1997-06-01,4676500
1997-07-01,4555900
1997-08-01,4553700
1997-09-01,4979000
1997-10-01,4996100
1997-11-01,5051800
1997-12-01,5196300
1998-01-01,5288300
1998-02-01,5238100
1998-03-01,5215000
1998-04-01,5173900
1998-05-01,4888300
1998-06-01,4695300
1998-07-01,4521700
1998-08-01,4572500
1998-09-01,4945600
1998-10-01,4994000
1998-11-01,5023800
1998-12-01,5090200
1999-01-01,5196900
1999-02-01,5171800
1999-03-01,5147200
1999-04-01,5009200
1999-05-01,4739600
1999-06-01,4644000
1999-07-01,4451500
1999-08-01,4520400
1999-09-01,4916500
1999-10-01,4954900
1999-11-01,5025200
1999-12-01,5088800
2000-01-01,5226700
2000-02-01,5135500
2000-03-01,5113000
2000-04-01,5078000
2000-05-01,4761700
2000-06-01,4658500
2000-07-01,4479900
2000-08-01,4490000
2000-09-01,4906900
2000-10-01,4899700
2000-11-01,4953700
2000-12-01,5023200
2001-01-01,5153700
2001-02-01,5132100
2001-03-01,5089400
2001-04-01,5035600
2001-05-01,4744300
2001-06-01,4671400
2001-07-01,4541500
2001-08-01,4558300
2001-09-01,5002100
2001-10-01,5020400
2001-11-01,5037600
2001-12-01,5070900
2002-01-01,5114900
2002-02-01,5114100
2002-03-01,5038200
2002-04-01,4997500
2002-05-01,4635100
2002-06-01,4529900
2002-07-01,4329600
2002-08-01,4312300
2002-09-01,4736200
2002-10-01,4759900
2002-11-01,4781000
2002-12-01,4824700
2003-01-01,4957500
2003-02-01,4885100
2003-03-01,4886300
2003-04-01,4845500
2003-05-01,4497800
2003-06-01,4389500
2003-07-01,4236900
2003-08-01,4236900
2003-09-01,4681400
2003-10-01,4708300
2003-11-01,4736300
2003-12-01,4805900
2004-01-01,4951400
2004-02-01,4943100
2004-03-01,4931100
2004-04-01,4868800
2004-05-01,4539300
2004-06-01,4395600
2004-07-01,4317600
2004-08-01,4363400
2004-09-01,4795200
2004-10-01,4783200
2004-11-01,4806300
2004-12-01,4909000
2005-01-01,5070300
2005-02-01,5029000
2005-03-01,5054200
2005-04-01,5043300
2005-05-01,4669500
2005-06-01,4594400
2005-07-01,4479000
2005-08-01,4471400
2005-09-01,4937100
2005-10-01,4918900
2005-11-01,5015900
2005-12-01,5072100
2006-01-01,5127800
2006-02-01,5146300
2006-03-01,5098400
2006-04-01,5045700
2006-05-01,4666300
2006-06-01,4604700
2006-07-01,4431000
2006-08-01,4491700
2006-09-01,4930100
2006-10-01,4954600
2006-11-01,4984400
2006-12-01,5033500
2007-01-01,5101300
2007-02-01,5098800
2007-03-01,5048700
2007-04-01,5014200
2007-05-01,4674800
2007-06-01,4579100
2007-07-01,4426900
2007-08-01,4453100
2007-09-01,4900300
2007-10-01,4877500
2007-11-01,4905300
2007-12-01,4982400
2008-01-01,5098400
2008-02-01,5077100
2008-03-01,5029500
2008-04-01,5003200
2008-05-01,4664300
2008-06-01,4567000
2008-07-01,4526600
2008-08-01,4509600
2008-09-01,4925000
2008-10-01,4899200
2008-11-01,4954800
2008-12-01,5044400
2009-01-01,5201500
2009-02-01,5151400
2009-03-01,5105800
2009-04-01,5065300
2009-05-01,4730800
2009-06-01,4675800
2009-07-01,4610700
2009-08-01,4610200
2009-09-01,5110900
2009-10-01,5136200
2009-11-01,5084100
2009-12-01,5228000
2010-01-01,5346700
2010-02-01,5333700
2010-03-01,5297800
2010-04-01,5199400
2010-05-01,4867700
2010-06-01,4755300
2010-07-01,4654200
2010-08-01,4618400
2010-09-01,5111100
2010-10-01,5182800
2010-11-01,5204200
2010-12-01,5289700
2011-01-01,5337000
2011-02-01,5313900
2011-03-01,5295300
2011-04-01,5190900
2011-05-01,4904500
2011-06-01,4808200
2011-07-01,4737300
2011-08-01,4705800
2011-09-01,5180600
2011-10-01,5223600
2011-11-01,5264900
2011-12-01,5352400
2012-01-01,5436800
2012-02-01,5433300
2012-03-01,5374200
2012-04-01,5197200
2012-05-01,4868900
2012-06-01,4857400
2012-07-01,4776400
2012-08-01,4666400
2012-09-01,5099100
2012-10-01,5122700
2012-11-01,5155200
2012-12-01,5190900
2013-01-01,5319800
2013-02-01,5258500
2013-03-01,5273800
2013-04-01,5192100
2013-05-01,4835100
2013-06-01,4778900
2013-07-01,4709300
2013-08-01,4661200
2013-09-01,5153100
2013-10-01,5158500
2013-11-01,5223100
2013-12-01,5302600
2014-01-01,5423500
2014-02-01,5393800
2014-03-01,5367000
2014-04-01,5339100
2014-05-01,4959400
2014-06-01,4877800
2014-07-01,4803600
2014-08-01,4823900
2014-09-01,5220400
2014-10-01,5243400
2014-11-01,5294100
2014-12-01,5367400
2015-01-01,5472500
2015-02-01,5377200
2015-03-01,5322200
2015-04-01,5303800
2015-05-01,4933300
2015-06-01,4864100
2015-07-01,4785600
2015-08-01,4720800
2015-09-01,5166400
2015-10-01,5200100
2015-11-01,5278400
2015-12-01,5311000
2016-01-01,5424700
2016-02-01,5371800
2016-03-01,5331900
2016-04-01,5263300
2016-05-01,4944300
2016-06-01,4913000
2016-07-01,4880100
2016-08-01,4823200
2016-09-01,5238900
2016-10-01,5217800
2016-11-01,5281700
2016-12-01,5306600
2017-01-01,5324000
2017-02-01,5353900
2017-03-01,5281800
2017-04-01,5290600
2017-05-01,4894500
2017-06-01,4800900
2017-07-01,4755300
2017-08-01,4748700
2017-09-01,5222400
2017-10-01,5169500
2017-11-01,5203300
2017-12-01,5252100
2018-01-01,5446900
2018-02-01,5427200
2018-03-01,5362800
2018-04-01,5350600
2018-05-01,5005100
2018-06-01,4848600
2018-07-01,4780900
2018-08-01,4735900
2018-09-01,5176400
2018-10-01,5188400
2018-11-01,5204600
2018-12-01,5277000
2019-01-01,5378400
2019-02-01,5328900
2019-03-01,5306300
2019-04-01,5186400
2019-05-01,4887000
2019-06-01,4769200
2019-07-01,4739300
2019-08-01,4678100
2019-09-01,5099200
2019-10-01,5152500
2019-11-01,5179700
2019-12-01,5281900
2020-01-01,5412200
2020-02-01,5339200
2020-03-01,5915000
2020-04-01,6887200
2020-05-01,6105200
2020-06-01,5245100
2020-07-01,5028200
2020-08-01,4880700
2020-09-01,5190900
2020-10-01,5144900
2020-11-01,5240600
2020-12-01,5333500
2021-01-01,5517000
2021-02-01,5402900
2021-03-01,5261000
2021-04-01,5315600
2021-05-01,5018800
2021-06-01,4753600
2021-07-01,4673300
2021-08-01,4621500
2021-09-01,4946500
2021-10-01,5017600
2021-11-01,5009300
2021-12-01,5079000
2022-01-01,5304800
2022-02-01,5156200
2022-03-01,5134400
2022-04-01,5082500
