"Date","LFIN25MACAM647N"
1976-01-01,276100
1976-02-01,269000
1976-03-01,270200
1976-04-01,249200
1976-05-01,219900
1976-06-01,200600
1976-07-01,200600
1976-08-01,205300
1976-09-01,218600
1976-10-01,228500
1976-11-01,250600
1976-12-01,276200
1977-01-01,313800
1977-02-01,297700
1977-03-01,282800
1977-04-01,271700
1977-05-01,234500
1977-06-01,229500
1977-07-01,229100
1977-08-01,223900
1977-09-01,225800
1977-10-01,237600
1977-11-01,255600
1977-12-01,276400
1978-01-01,309100
1978-02-01,298400
1978-03-01,273200
1978-04-01,265300
1978-05-01,231500
1978-06-01,202000
1978-07-01,215500
1978-08-01,202900
1978-09-01,214100
1978-10-01,222800
1978-11-01,242300
1978-12-01,276700
1979-01-01,292700
1979-02-01,308000
1979-03-01,274700
1979-04-01,276600
1979-05-01,231600
1979-06-01,214400
1979-07-01,207600
1979-08-01,207000
1979-09-01,210800
1979-10-01,226900
1979-11-01,247000
1979-12-01,291300
1980-01-01,310400
1980-02-01,302600
1980-03-01,300700
1980-04-01,290400
1980-05-01,259900
1980-06-01,232000
1980-07-01,239800
1980-08-01,228300
1980-09-01,231200
1980-10-01,252900
1980-11-01,248900
1980-12-01,286000
1981-01-01,309300
1981-02-01,302800
1981-03-01,279100
1981-04-01,268900
1981-05-01,241500
1981-06-01,208400
1981-07-01,217900
1981-08-01,221200
1981-09-01,233100
1981-10-01,252700
1981-11-01,290400
1981-12-01,324200
1982-01-01,366500
1982-02-01,368500
1982-03-01,328900
1982-04-01,335100
1982-05-01,298400
1982-06-01,274500
1982-07-01,271600
1982-08-01,287300
1982-09-01,305200
1982-10-01,306100
1982-11-01,340900
1982-12-01,373000
1983-01-01,405700
1983-02-01,396200
1983-03-01,350900
1983-04-01,357100
1983-05-01,305600
1983-06-01,274300
1983-07-01,278600
1983-08-01,280400
1983-09-01,301700
1983-10-01,321500
1983-11-01,352400
1983-12-01,389400
1984-01-01,434700
1984-02-01,421400
1984-03-01,392200
1984-04-01,384800
1984-05-01,334300
1984-06-01,307900
1984-07-01,305100
1984-08-01,292000
1984-09-01,297500
1984-10-01,322400
1984-11-01,349400
1984-12-01,391000
1985-01-01,399600
1985-02-01,397100
1985-03-01,365100
1985-04-01,357000
1985-05-01,322000
1985-06-01,305200
1985-07-01,301200
1985-08-01,306500
1985-09-01,333600
1985-10-01,343600
1985-11-01,359300
1985-12-01,396100
1986-01-01,399600
1986-02-01,407900
1986-03-01,377500
1986-04-01,361200
1986-05-01,338100
1986-06-01,306500
1986-07-01,303100
1986-08-01,294500
1986-09-01,313100
1986-10-01,335200
1986-11-01,349800
1986-12-01,380200
1987-01-01,418400
1987-02-01,416700
1987-03-01,376300
1987-04-01,364100
1987-05-01,324500
1987-06-01,290400
1987-07-01,308400
1987-08-01,296400
1987-09-01,314100
1987-10-01,326900
1987-11-01,362300
1987-12-01,386800
1988-01-01,420000
1988-02-01,415600
1988-03-01,395900
1988-04-01,393600
1988-05-01,337400
1988-06-01,325400
1988-07-01,331900
1988-08-01,327600
1988-09-01,351200
1988-10-01,360500
1988-11-01,402000
1988-12-01,420400
1989-01-01,450300
1989-02-01,442100
1989-03-01,411000
1989-04-01,408700
1989-05-01,343500
1989-06-01,313000
1989-07-01,317100
1989-08-01,304400
1989-09-01,338500
1989-10-01,368300
1989-11-01,398500
1989-12-01,454800
1990-01-01,486000
1990-02-01,490700
1990-03-01,481100
1990-04-01,447600
1990-05-01,395600
1990-06-01,359300
1990-07-01,338900
1990-08-01,334400
1990-09-01,363800
1990-10-01,378500
1990-11-01,429400
1990-12-01,476000
1991-01-01,507800
1991-02-01,491500
1991-03-01,479700
1991-04-01,478300
1991-05-01,429100
1991-06-01,396100
1991-07-01,407700
1991-08-01,405000
1991-09-01,440000
1991-10-01,457900
1991-11-01,498800
1991-12-01,562600
1992-01-01,598500
1992-02-01,597000
1992-03-01,557600
1992-04-01,580300
1992-05-01,525100
1992-06-01,476800
1992-07-01,474600
1992-08-01,482500
1992-09-01,504300
1992-10-01,517500
1992-11-01,514300
1992-12-01,575800
1993-01-01,623500
1993-02-01,617600
1993-03-01,583000
1993-04-01,579900
1993-05-01,526700
1993-06-01,470000
1993-07-01,469300
1993-08-01,482000
1993-09-01,498400
1993-10-01,530200
1993-11-01,555300
1993-12-01,589100
1994-01-01,622800
1994-02-01,634400
1994-03-01,632500
1994-04-01,592000
1994-05-01,540000
1994-06-01,520600
1994-07-01,493500
1994-08-01,489300
1994-09-01,515000
1994-10-01,542700
1994-11-01,556600
1994-12-01,605000
1995-01-01,644100
1995-02-01,666200
1995-03-01,622600
1995-04-01,629900
1995-05-01,559800
1995-06-01,539400
1995-07-01,522100
1995-08-01,523500
