"Date","CANURTOTMDSMEI"
1955-01-01,265
1955-02-01,260
1955-03-01,271
1955-04-01,252
1955-05-01,250
1955-06-01,243
1955-07-01,240
1955-08-01,213
1955-09-01,232
1955-10-01,225
1955-11-01,214
1955-12-01,211
1956-01-01,214
1956-02-01,220
1956-03-01,206
1956-04-01,203
1956-05-01,195
1956-06-01,184
1956-07-01,172
1956-08-01,175
1956-09-01,180
1956-10-01,160
1956-11-01,180
1956-12-01,201
1957-01-01,223
1957-02-01,230
1957-03-01,244
1957-04-01,251
1957-05-01,233
1957-06-01,256
1957-07-01,276
1957-08-01,290
1957-09-01,331
1957-10-01,320
1957-11-01,379
1957-12-01,396
1958-01-01,397
1958-02-01,397
1958-03-01,417
1958-04-01,421
1958-05-01,432
1958-06-01,487
1958-07-01,463
1958-08-01,465
1958-09-01,434
1958-10-01,462
1958-11-01,444
1958-12-01,433
1959-01-01,401
1959-02-01,383
1959-03-01,370
1959-04-01,361
1959-05-01,392
1959-06-01,349
1959-07-01,345
1959-08-01,368
1959-09-01,338
1959-10-01,345
1959-11-01,366
1959-12-01,377
1960-01-01,385
1960-02-01,407
1960-03-01,415
1960-04-01,433
1960-05-01,460
1960-06-01,428
1960-07-01,456
1960-08-01,491
1960-09-01,484
1960-10-01,498
1960-11-01,490
1960-12-01,492
1961-01-01,493
1961-02-01,494
1961-03-01,489
1961-04-01,495
1961-05-01,500
1961-06-01,484
1961-07-01,470
1961-08-01,440
1961-09-01,449
1961-10-01,424
1961-11-01,399
1961-12-01,391
1962-01-01,391
1962-02-01,408
1962-03-01,396
1962-04-01,392
1962-05-01,368
1962-06-01,380
1962-07-01,396
1962-08-01,377
1962-09-01,377
1962-10-01,377
1962-11-01,394
1962-12-01,401
1963-01-01,392
1963-02-01,388
1963-03-01,396
1963-04-01,380
1963-05-01,381
1963-06-01,371
1963-07-01,365
1963-08-01,360
1963-09-01,364
1963-10-01,353
1963-11-01,350
1963-12-01,341
1964-01-01,339
1964-02-01,337
1964-03-01,334
1964-04-01,335
1964-05-01,320
1964-06-01,330
1964-07-01,317
1964-08-01,320
1964-09-01,314
1964-10-01,339
1964-11-01,298
1964-12-01,284
1965-01-01,299
1965-02-01,291
1965-03-01,288
1965-04-01,312
1965-05-01,286
1965-06-01,290
1965-07-01,282
1965-08-01,269
1965-09-01,255
1965-10-01,225
1965-11-01,256
1965-12-01,255
1966-01-01,252
1966-02-01,252
1966-03-01,248
1966-04-01,239
1966-05-01,236
1966-06-01,217
1966-07-01,243
1966-08-01,264
1966-09-01,272
1966-10-01,247
1966-11-01,265
1966-12-01,263
1967-01-01,275
