"Date","CANURMALEMDSMEI"
1956-01-01,188.2423
1956-02-01,190.122
1956-03-01,180.2239
1956-04-01,177.2424
1956-05-01,171.087
1956-06-01,158.8064
1956-07-01,146.4785
1956-08-01,149.3439
1956-09-01,158.17
1956-10-01,142.184
1956-11-01,150.8553
1956-12-01,171.7901
1957-01-01,196.6174
1957-02-01,203.0448
1957-03-01,213.9732
1957-04-01,219.8099
1957-05-01,208.2657
1957-06-01,229.467
1957-07-01,247.6253
1957-08-01,259.8599
1957-09-01,291.4948
1957-10-01,291.6833
1957-11-01,324.2871
1957-12-01,343.3278
1958-01-01,347.2253
1958-02-01,350.2984
1958-03-01,363.5164
1958-04-01,368.5544
1958-05-01,378.7115
1958-06-01,433.5561
1958-07-01,405.6187
1958-08-01,405.5677
1958-09-01,386.8802
1958-10-01,410.7811
1958-11-01,381.6798
1958-12-01,373.5986
1959-01-01,354.7424
1959-02-01,336.1987
1959-03-01,326.1682
1959-04-01,317.967
1959-05-01,345.8559
1959-06-01,305.5523
1959-07-01,297.6348
1959-08-01,310.8859
1959-09-01,297.7654
1959-10-01,295.4755
1959-11-01,317.6949
1959-12-01,322.7474
1960-01-01,334.2423
1960-02-01,352.7113
1960-03-01,362.8228
1960-04-01,376.6274
1960-05-01,396.3143
1960-06-01,366.9298
1960-07-01,403.8271
1960-08-01,422.0983
1960-09-01,422.0228
1960-10-01,433.8735
1960-11-01,424.97
1960-12-01,426.5515
1961-01-01,425.5654
1961-02-01,425.8028
1961-03-01,420.969
1961-04-01,424.373
1961-05-01,426.6919
1961-06-01,422.2723
1961-07-01,405.4062
1961-08-01,379.6228
1961-09-01,384.8735
1961-10-01,367.3492
1961-11-01,343.0497
1961-12-01,330.0551
1962-01-01,336.1546
1962-02-01,343.1191
1962-03-01,337.1064
1962-04-01,333.8029
1962-05-01,310.3139
1962-06-01,322.7403
1962-07-01,331.2328
1962-08-01,323.6658
1962-09-01,319.5904
1962-10-01,317.0597
