"Date","LFEAMNTTCAM647N"
1976-01-01,1766900
1976-02-01,1781100
1976-03-01,1811600
1976-04-01,1814100
1976-05-01,1856000
1976-06-01,1918300
1976-07-01,1945400
1976-08-01,1965600
1976-09-01,1913000
1976-10-01,1876800
1976-11-01,1860400
1976-12-01,1822500
1977-01-01,1800200
1977-02-01,1812200
1977-03-01,1806700
1977-04-01,1798200
1977-05-01,1841000
1977-06-01,1875200
1977-07-01,1896600
1977-08-01,1915700
1977-09-01,1874200
1977-10-01,1856800
1977-11-01,1864800
1977-12-01,1851400
1978-01-01,1794700
1978-02-01,1817500
1978-03-01,1849500
1978-04-01,1863600
1978-05-01,1916200
1978-06-01,1972400
1978-07-01,1977800
1978-08-01,1994900
1978-09-01,1938300
1978-10-01,1957700
1978-11-01,1951200
1978-12-01,1938700
1979-01-01,1905300
1979-02-01,1946300
1979-03-01,1964100
1979-04-01,1973500
1979-05-01,2014600
1979-06-01,2075700
1979-07-01,2132500
1979-08-01,2144400
1979-09-01,2082200
1979-10-01,2088000
1979-11-01,2059300
1979-12-01,2035900
1980-01-01,1996600
1980-02-01,2006800
1980-03-01,2045200
1980-04-01,2041400
1980-05-01,2064200
1980-06-01,2142700
1980-07-01,2153900
1980-08-01,2164900
1980-09-01,2114200
1980-10-01,2107600
1980-11-01,2082100
1980-12-01,2042000
1981-01-01,1993000
1981-02-01,2045800
1981-03-01,2048400
1981-04-01,2044800
1981-05-01,2108300
1981-06-01,2168900
1981-07-01,2179300
1981-08-01,2196300
1981-09-01,2097800
1981-10-01,2070700
1981-11-01,2043900
1981-12-01,1962600
1982-01-01,1907000
1982-02-01,1912500
1982-03-01,1920300
1982-04-01,1890900
1982-05-01,1909400
1982-06-01,1915900
1982-07-01,1922800
1982-08-01,1908200
1982-09-01,1845700
1982-10-01,1825200
1982-11-01,1776100
1982-12-01,1736100
1983-01-01,1710700
1983-02-01,1734200
1983-03-01,1750500
1983-04-01,1767200
1983-05-01,1838900
1983-06-01,1885400
1983-07-01,1926900
1983-08-01,1948800
1983-09-01,1912400
1983-10-01,1901400
1983-11-01,1890100
1983-12-01,1847100
1984-01-01,1818200
1984-02-01,1846000
1984-03-01,1867300
1984-04-01,1870400
1984-05-01,1933700
1984-06-01,1989200
1984-07-01,2006500
1984-08-01,2003100
1984-09-01,1946500
1984-10-01,1951300
1984-11-01,1919400
1984-12-01,1888700
1985-01-01,1856300
1985-02-01,1868500
1985-03-01,1889300
1985-04-01,1899300
1985-05-01,1970200
1985-06-01,1990200
1985-07-01,2048300
1985-08-01,2050800
1985-09-01,2007000
1985-10-01,1998800
1985-11-01,1997300
1985-12-01,1993600
1986-01-01,1960100
1986-02-01,1987400
1986-03-01,2000500
1986-04-01,2027100
1986-05-01,2067200
1986-06-01,2098700
1986-07-01,2099100
1986-08-01,2095700
1986-09-01,2041800
1986-10-01,2033600
1986-11-01,2017100
1986-12-01,1976000
1987-01-01,1925600
1987-02-01,1945800
1987-03-01,1965100
1987-04-01,1985300
1987-05-01,2069100
1987-06-01,2109000
1987-07-01,2128200
1987-08-01,2125600
1987-09-01,2063500
1987-10-01,2077100
1987-11-01,2060900
1987-12-01,2036600
1988-01-01,1998200
1988-02-01,2025500
1988-03-01,2025700
1988-04-01,2064700
1988-05-01,2121300
1988-06-01,2151200
1988-07-01,2183500
1988-08-01,2185500
1988-09-01,2129400
1988-10-01,2130400
1988-11-01,2105500
1988-12-01,2082800
1989-01-01,2068900
1989-02-01,2079500
1989-03-01,2074100
1989-04-01,2102100
1989-05-01,2146300
1989-06-01,2200900
1989-07-01,2214600
1989-08-01,2222100
1989-09-01,2135000
1989-10-01,2128500
1989-11-01,2106700
1989-12-01,2077200
1990-01-01,2017300
1990-02-01,2041800
1990-03-01,2034200
1990-04-01,2047000
1990-05-01,2075600
1990-06-01,2135300
1990-07-01,2138000
1990-08-01,2145400
1990-09-01,2059900
1990-10-01,2019700
1990-11-01,1965900
1990-12-01,1920700
1991-01-01,1876600
1991-02-01,1837800
1991-03-01,1828300
1991-04-01,1852900
1991-05-01,1911100
1991-06-01,1950100
1991-07-01,1954800
1991-08-01,1958000
1991-09-01,1928600
1991-10-01,1902700
1991-11-01,1856400
1991-12-01,1825300
1992-01-01,1778800
1992-02-01,1777400
1992-03-01,1759700
1992-04-01,1797700
1992-05-01,1831000
1992-06-01,1874700
1992-07-01,1897300
1992-08-01,1883900
1992-09-01,1832100
1992-10-01,1811200
1992-11-01,1778200
1992-12-01,1752000
1993-01-01,1703400
1993-02-01,1722600
1993-03-01,1733100
1993-04-01,1751800
1993-05-01,1775500
1993-06-01,1828700
1993-07-01,1854700
1993-08-01,1841600
1993-09-01,1804100
1993-10-01,1798100
1993-11-01,1788400
1993-12-01,1748200
1994-01-01,1695500
1994-02-01,1712700
1994-03-01,1739300
1994-04-01,1767900
1994-05-01,1815500
1994-06-01,1877800
1994-07-01,1905900
1994-08-01,1903500
1994-09-01,1869100
1994-10-01,1876600
1994-11-01,1868500
1994-12-01,1845800
1995-01-01,1819700
1995-02-01,1832900
1995-03-01,1839700
1995-04-01,1862000
1995-05-01,1930500
1995-06-01,1958100
1995-07-01,1965000
1995-08-01,1970700
1995-09-01,1945200
1995-10-01,1933300
1995-11-01,1911800
1995-12-01,1876500
1996-01-01,1834700
1996-02-01,1843400
1996-03-01,1840100
1996-04-01,1874600
1996-05-01,1928700
1996-06-01,1956000
1996-07-01,1986600
1996-08-01,2013900
1996-09-01,1987300
1996-10-01,1951500
1996-11-01,1949700
1996-12-01,1927400
1997-01-01,1905200
1997-02-01,1918000
1997-03-01,1940500
1997-04-01,1960300
1997-05-01,2016000
1997-06-01,2068800
1997-07-01,2079700
1997-08-01,2105800
1997-09-01,2073400
1997-10-01,2074500
1997-11-01,2059100
1997-12-01,2052900
1998-01-01,2008200
1998-02-01,2035500
1998-03-01,2042300
1998-04-01,2063200
1998-05-01,2112100
1998-06-01,2156200
1998-07-01,2169400
1998-08-01,2182300
1998-09-01,2129400
1998-10-01,2131900
1998-11-01,2119400
1998-12-01,2089400
1999-01-01,2076100
1999-02-01,2085900
