"Date","M1010AM144NNBR"
1919-01-01,18.5
1919-02-01,62.18
1919-03-01,15.63
1919-04-01,5.82
1919-05-01,10.72
1919-06-01,52.44
1919-07-01,19.28
1919-08-01,44.68
1919-09-01,58.86
1919-10-01,15.23
1919-11-01,15.39
1919-12-01,5.64
1920-01-01,26.53
1920-02-01,14.04
1920-03-01,103.54
1920-04-01,146.22
1920-05-01,38.39
1920-06-01,15.39
1920-07-01,24
1920-08-01,10.35
1920-09-01,8.22
1920-10-01,96.03
1920-11-01,31.03
1920-12-01,27.68
1921-01-01,14.55
1921-02-01,57.4
1921-03-01,32.66
1921-04-01,2.08
1921-05-01,5.1
1921-06-01,14.08
1921-07-01,8.54
1921-08-01,4.12
1921-09-01,4.74
1921-10-01,1.3
1921-11-01,13.13
1921-12-01,3.87
1922-01-01,28.85
1922-02-01,4
1922-03-01,28.03
1922-04-01,31.96
1922-05-01,2.5
1922-06-01,4.04
1922-07-01,0.04
1922-08-01,5.29
1922-09-01,0.42
1922-10-01,6
1922-11-01,2
1922-12-01,2.52
1923-01-01,17.37
1923-02-01,21.3
1923-03-01,2.08
1923-04-01,21
1923-05-01,28.48
1923-06-01,24.56
1923-07-01,4.67
1923-08-01,2.89
1923-09-01,3.15
1923-10-01,8.21
1923-11-01,1.26
1923-12-01,8.3
1924-01-01,19.12
1924-02-01,31.01
1924-03-01,32.49
1924-04-01,33.15
1924-05-01,8.72
1924-06-01,41.05
1924-07-01,43.86
1924-08-01,7.63
1924-09-01,13.94
1924-10-01,27.38
1924-11-01,27.71
1924-12-01,13.76
1925-01-01,44
1925-02-01,42.24
1925-03-01,14.46
1925-04-01,19.98
1925-05-01,5.58
1925-06-01,9.95
1925-07-01,11.41
1925-08-01,7.41
1925-09-01,20.18
1925-10-01,15.81
1925-11-01,11.94
1925-12-01,37.65
1926-01-01,43.06
1926-02-01,28.21
1926-03-01,24.15
1926-04-01,28.66
1926-05-01,27.23
1926-06-01,17.61
1926-07-01,10.54
1926-08-01,8.98
1926-09-01,12.51
1926-10-01,15.23
1926-11-01,21.24
1926-12-01,13.02
1927-01-01,10.82
1927-02-01,12.45
1927-03-01,14.5
1927-04-01,10.74
1927-05-01,22.08
1927-06-01,37
1927-07-01,21.43
1927-08-01,29.28
1927-09-01,4.45
1927-10-01,25.67
1927-11-01,14.24
1927-12-01,20.03
1928-01-01,16.46
1928-02-01,21.81
1928-03-01,16.17
1928-04-01,12.75
1928-05-01,17.53
1928-06-01,6.58
1928-07-01,14.16
1928-08-01,45.88
1928-09-01,6.79
1928-10-01,6.16
1928-11-01,20.32
1928-12-01,26.15
1929-01-01,10.83
1929-02-01,19.43
1929-03-01,7.38
1929-04-01,29.48
1929-05-01,24.55
1929-06-01,21.93
1929-07-01,7.58
1929-08-01,6.62
1929-09-01,15.55
1929-10-01,10.37
1929-11-01,31.84
1929-12-01,19.15
1930-01-01,48.27
1930-02-01,14.14
1930-03-01,25
1930-04-01,69.82
1930-05-01,64.54
1930-06-01,73.99
1930-07-01,55.74
1930-08-01,8.51
1930-09-01,45.18
1930-10-01,20.06
1930-11-01,61.75
1930-12-01,38.75
1931-01-01,17
1931-02-01,6.06
1931-03-01,32.05
1931-04-01,55.13
1931-05-01,29.55
1931-06-01,16.53
1931-07-01,90.98
1931-08-01,12.55
1931-09-01,17.72
1931-10-01,0
1931-11-01,7.72
1931-12-01,3.4
1932-01-01,0.9
1932-02-01,6.85
1932-03-01,5
1932-04-01,1.5
1932-05-01,2.3
1932-06-01,0.04
1932-07-01,0.34
1932-08-01,9.3
1932-09-01,0
1932-10-01,6.38
1932-11-01,0.75
1932-12-01,0.76
1933-01-01,0.5
1933-02-01,0
1933-03-01,0
1933-04-01,16
1933-05-01,0
1933-06-01,0.1
1933-07-01,0
1933-08-01,0
1933-09-01,0
1933-10-01,0
1933-11-01,0.08
1933-12-01,0
1934-01-01,0
1934-02-01,12
1934-03-01,0.25
1934-04-01,0.5
1934-05-01,0
1934-06-01,0
1934-07-01,18.3
1934-08-01,0
1934-09-01,0.5
1934-10-01,0
1934-11-01,0
1934-12-01,0
1935-01-01,2.48
1935-02-01,0
1935-03-01,0
1935-04-01,6
1935-05-01,0
1935-06-01,0
1935-07-01,0
1935-08-01,0
1935-09-01,0
1935-10-01,0
1935-11-01,0
1935-12-01,2.81
1936-01-01,0.71
1936-02-01,0
1936-03-01,1.25
1936-04-01,15
1936-05-01,0
1936-06-01,1.74
1936-07-01,0
1936-08-01,0
1936-09-01,0
1936-10-01,0
1936-11-01,0.75
1936-12-01,3.58
1937-01-01,2.45
1937-02-01,4.35
1937-03-01,0
1937-04-01,0.6
1937-05-01,0
1937-06-01,37.68
1937-07-01,0.2
1937-08-01,0
1937-09-01,0.1
1937-10-01,0.24
1937-11-01,0
1937-12-01,2.2
1938-01-01,0.32
1938-02-01,0.03
1938-03-01,0.29
1938-04-01,0
1938-05-01,2
1938-06-01,0
1938-07-01,0.6
1938-08-01,0
1938-09-01,0
1938-10-01,0.3
1938-11-01,0.04
1938-12-01,0
1939-01-01,2.6
1939-02-01,0
1939-03-01,0
1939-04-01,0
1939-05-01,0
1939-06-01,0.45
1939-07-01,0
1939-08-01,1.46
1939-09-01,0
1939-10-01,0
1939-11-01,0
1939-12-01,0
1940-01-01,0
1940-02-01,10
1940-03-01,0
1940-04-01,0.1
1940-05-01,0
1940-06-01,0.91
1940-07-01,0
1940-08-01,0
1940-09-01,0
1940-10-01,0
1940-11-01,0
1940-12-01,1
1941-01-01,0.33
1941-02-01,15.64
1941-03-01,0
1941-04-01,0.64
1941-05-01,0.05
1941-06-01,2.01
1941-07-01,0
1941-08-01,0
1941-09-01,0
1941-10-01,0
1941-11-01,0.58
1941-12-01,5
1942-01-01,0
1942-02-01,0
1942-03-01,0
1942-04-01,0
1942-05-01,0
1942-06-01,0
1942-07-01,0
1942-08-01,1.2
1942-09-01,0
1942-10-01,0
