"Date","LFINTTMACAM647N"
1976-01-01,2014000
1976-02-01,2021000
1976-03-01,2005700
1976-04-01,1965200
1976-05-01,1855400
1976-06-01,1695300
1976-07-01,1535200
1976-08-01,1632700
1976-09-01,1920600
1976-10-01,1940600
1976-11-01,1984400
1976-12-01,2022700
1977-01-01,2092100
1977-02-01,2076200
1977-03-01,2054300
1977-04-01,2034100
1977-05-01,1866200
1977-06-01,1763700
1977-07-01,1607800
1977-08-01,1659800
1977-09-01,1962200
1977-10-01,1986300
1977-11-01,2021500
1977-12-01,2068200
1978-01-01,2161400
1978-02-01,2120900
1978-03-01,2052500
1978-04-01,2054100
1978-05-01,1881600
1978-06-01,1751800
1978-07-01,1594900
1978-08-01,1635700
1978-09-01,1956700
1978-10-01,1964900
1978-11-01,2006800
1978-12-01,2062100
1979-01-01,2107000
1979-02-01,2120700
1979-03-01,2056200
1979-04-01,2023600
1979-05-01,1858300
1979-06-01,1760100
1979-07-01,1609900
1979-08-01,1652400
1979-09-01,1958900
1979-10-01,1967000
1979-11-01,2015600
1979-12-01,2085000
1980-01-01,2130900
1980-02-01,2117100
1980-03-01,2090700
1980-04-01,2077500
1980-05-01,1948900
1980-06-01,1756900
1980-07-01,1674800
1980-08-01,1696300
1980-09-01,1997800
1980-10-01,2023400
1980-11-01,2051500
1980-12-01,2119800
1981-01-01,2159900
1981-02-01,2139300
1981-03-01,2083300
1981-04-01,2095300
1981-05-01,1941100
1981-06-01,1768100
1981-07-01,1674100
1981-08-01,1723600
1981-09-01,2016100
1981-10-01,2051900
1981-11-01,2127900
1981-12-01,2187300
1982-01-01,2300100
1982-02-01,2300400
1982-03-01,2228500
1982-04-01,2249700
1982-05-01,2100000
1982-06-01,1952800
1982-07-01,1813100
1982-08-01,1928700
1982-09-01,2208700
1982-10-01,2208200
1982-11-01,2287600
1982-12-01,2325200
1983-01-01,2404900
1983-02-01,2381100
1983-03-01,2292900
1983-04-01,2293100
1983-05-01,2115700
1983-06-01,1984900
1983-07-01,1860700
1983-08-01,1925100
1983-09-01,2222800
1983-10-01,2270200
1983-11-01,2320600
1983-12-01,2368400
1984-01-01,2463000
1984-02-01,2428600
1984-03-01,2365000
1984-04-01,2348000
1984-05-01,2161300
1984-06-01,2041800
1984-07-01,1910400
1984-08-01,1970900
1984-09-01,2236600
1984-10-01,2275200
1984-11-01,2340800
1984-12-01,2414800
1985-01-01,2447000
1985-02-01,2456100
1985-03-01,2352400
1985-04-01,2358400
1985-05-01,2195100
1985-06-01,2084900
1985-07-01,1945700
1985-08-01,2000100
1985-09-01,2331500
1985-10-01,2323000
1985-11-01,2343100
1985-12-01,2407200
1986-01-01,2455200
1986-02-01,2448000
1986-03-01,2393200
1986-04-01,2353100
1986-05-01,2222700
1986-06-01,2073300
1986-07-01,1979600
1986-08-01,2025500
1986-09-01,2316800
1986-10-01,2344600
1986-11-01,2380100
1986-12-01,2437700
1987-01-01,2503800
1987-02-01,2480200
1987-03-01,2420000
1987-04-01,2416100
1987-05-01,2249600
1987-06-01,2109700
1987-07-01,2012100
1987-08-01,2052300
1987-09-01,2336900
1987-10-01,2339600
1987-11-01,2401800
1987-12-01,2443700
1988-01-01,2515400
1988-02-01,2507500
1988-03-01,2462900
1988-04-01,2476000
1988-05-01,2270200
1988-06-01,2196900
1988-07-01,2057800
1988-08-01,2111000
1988-09-01,2393800
1988-10-01,2408200
1988-11-01,2469200
1988-12-01,2515100
1989-01-01,2552800
1989-02-01,2531500
1989-03-01,2471800
1989-04-01,2481900
1989-05-01,2293000
1989-06-01,2188300
1989-07-01,2071000
1989-08-01,2116100
1989-09-01,2403000
1989-10-01,2437800
1989-11-01,2485300
1989-12-01,2563700
1990-01-01,2590100
1990-02-01,2603400
1990-03-01,2606100
1990-04-01,2576800
1990-05-01,2416400
1990-06-01,2327100
1990-07-01,2187000
1990-08-01,2228900
1990-09-01,2491100
1990-10-01,2521400
1990-11-01,2605700
1990-12-01,2679100
1991-01-01,2751100
1991-02-01,2734000
1991-03-01,2713700
1991-04-01,2715600
1991-05-01,2548000
1991-06-01,2440300
1991-07-01,2311800
1991-08-01,2376300
1991-09-01,2684100
1991-10-01,2700300
1991-11-01,2780200
1991-12-01,2870600
1992-01-01,2954000
1992-02-01,2954800
1992-03-01,2872700
1992-04-01,2934700
1992-05-01,2735100
1992-06-01,2578500
1992-07-01,2482200
1992-08-01,2552900
1992-09-01,2839100
1992-10-01,2862100
1992-11-01,2873300
1992-12-01,2964200
1993-01-01,3056600
1993-02-01,3042300
1993-03-01,2971100
1993-04-01,2992800
1993-05-01,2823300
1993-06-01,2665900
1993-07-01,2548800
1993-08-01,2656700
1993-09-01,2920700
1993-10-01,2969300
1993-11-01,2993700
1993-12-01,3054300
1994-01-01,3123900
1994-02-01,3082700
1994-03-01,3083000
1994-04-01,3059400
1994-05-01,2852100
1994-06-01,2771900
1994-07-01,2629800
1994-08-01,2691900
1994-09-01,2959600
1994-10-01,3005700
1994-11-01,3018800
1994-12-01,3114800
1995-01-01,3176100
1995-02-01,3191200
1995-03-01,3125200
1995-04-01,3166400
1995-05-01,2973500
1995-06-01,2878700
1995-07-01,2735600
1995-08-01,2813700
1995-09-01,3114600
1995-10-01,3118600
1995-11-01,3206000
1995-12-01,3209300
1996-01-01,3252700
1996-02-01,3248200
1996-03-01,3241300
1996-04-01,3240200
1996-05-01,3069700
1996-06-01,2955000
1996-07-01,2816400
1996-08-01,2897900
1996-09-01,3176700
1996-10-01,3188900
1996-11-01,3225600
1996-12-01,3279600
1997-01-01,3344200
1997-02-01,3316800
1997-03-01,3319400
1997-04-01,3310900
1997-05-01,3097000
1997-06-01,2994700
1997-07-01,2880900
1997-08-01,2904400
1997-09-01,3152500
1997-10-01,3166400
1997-11-01,3219200
1997-12-01,3294600
1998-01-01,3374400
1998-02-01,3361800
1998-03-01,3360300
1998-04-01,3329700
1998-05-01,3156500
1998-06-01,3035700
1998-07-01,2907500
1998-08-01,2978900
1998-09-01,3228600
1998-10-01,3255600
1998-11-01,3285700
1998-12-01,3346600
1999-01-01,3407500
1999-02-01,3381900
