"Date","LFAC24FECAM647S"
1976-01-01,1292300
1976-02-01,1298300
1976-03-01,1298800
1976-04-01,1305000
1976-05-01,1316500
1976-06-01,1318300
1976-07-01,1316300
1976-08-01,1323000
1976-09-01,1323900
1976-10-01,1318600
1976-11-01,1326600
1976-12-01,1340700
1977-01-01,1344400
1977-02-01,1352500
1977-03-01,1343800
1977-04-01,1359500
1977-05-01,1350500
1977-06-01,1341200
1977-07-01,1364100
1977-08-01,1363300
1977-09-01,1368200
1977-10-01,1378500
1977-11-01,1372900
1977-12-01,1370500
1978-01-01,1377800
1978-02-01,1381800
1978-03-01,1388900
1978-04-01,1387400
1978-05-01,1386700
1978-06-01,1390300
1978-07-01,1398900
1978-08-01,1403400
1978-09-01,1416500
1978-10-01,1423700
1978-11-01,1427500
1978-12-01,1436900
1979-01-01,1438000
1979-02-01,1433200
1979-03-01,1439800
1979-04-01,1444100
1979-05-01,1438900
1979-06-01,1448000
1979-07-01,1454600
1979-08-01,1470100
1979-09-01,1471800
1979-10-01,1489100
1979-11-01,1488000
1979-12-01,1485700
1980-01-01,1489100
1980-02-01,1478200
1980-03-01,1494300
1980-04-01,1500400
1980-05-01,1494100
1980-06-01,1510700
1980-07-01,1500900
1980-08-01,1499700
1980-09-01,1516400
1980-10-01,1510600
1980-11-01,1498900
1980-12-01,1499200
1981-01-01,1512400
1981-02-01,1528000
1981-03-01,1512200
1981-04-01,1514300
1981-05-01,1541100
1981-06-01,1555600
1981-07-01,1532700
1981-08-01,1517300
1981-09-01,1527200
1981-10-01,1507600
1981-11-01,1511500
1981-12-01,1495700
1982-01-01,1495800
1982-02-01,1486500
1982-03-01,1486200
1982-04-01,1493200
1982-05-01,1473800
1982-06-01,1471500
1982-07-01,1478700
1982-08-01,1468000
1982-09-01,1464600
1982-10-01,1474300
1982-11-01,1473000
1982-12-01,1482200
1983-01-01,1479800
1983-02-01,1471100
1983-03-01,1471100
1983-04-01,1466300
1983-05-01,1453800
1983-06-01,1467200
1983-07-01,1463000
1983-08-01,1474000
1983-09-01,1463400
1983-10-01,1463200
1983-11-01,1448800
1983-12-01,1455800
1984-01-01,1446000
1984-02-01,1455300
1984-03-01,1442500
1984-04-01,1446200
1984-05-01,1456700
1984-06-01,1441500
1984-07-01,1444400
1984-08-01,1438800
1984-09-01,1452200
1984-10-01,1438600
1984-11-01,1449100
1984-12-01,1441600
1985-01-01,1415200
1985-02-01,1426200
1985-03-01,1428400
1985-04-01,1436800
1985-05-01,1420500
1985-06-01,1429600
1985-07-01,1427300
1985-08-01,1433700
1985-09-01,1441400
1985-10-01,1448100
1985-11-01,1445800
1985-12-01,1439700
1986-01-01,1444500
1986-02-01,1435700
1986-03-01,1426700
1986-04-01,1448300
1986-05-01,1428800
1986-06-01,1462100
1986-07-01,1445300
1986-08-01,1428200
1986-09-01,1415600
1986-10-01,1401600
1986-11-01,1396100
1986-12-01,1391100
1987-01-01,1397400
1987-02-01,1409300
1987-03-01,1402100
1987-04-01,1400600
1987-05-01,1399300
1987-06-01,1401000
1987-07-01,1395200
1987-08-01,1396300
1987-09-01,1380200
1987-10-01,1394300
1987-11-01,1401700
1987-12-01,1389700
1988-01-01,1381400
1988-02-01,1369700
1988-03-01,1373200
1988-04-01,1370200
1988-05-01,1376600
1988-06-01,1353200
1988-07-01,1376300
1988-08-01,1369200
1988-09-01,1369900
1988-10-01,1369200
1988-11-01,1368300
1988-12-01,1357500
1989-01-01,1380500
1989-02-01,1361400
1989-03-01,1353600
1989-04-01,1355200
1989-05-01,1343100
1989-06-01,1345200
1989-07-01,1338800
1989-08-01,1350300
1989-09-01,1323000
1989-10-01,1319600
1989-11-01,1317200
1989-12-01,1317200
1990-01-01,1310800
1990-02-01,1321500
1990-03-01,1299800
1990-04-01,1303900
1990-05-01,1296400
1990-06-01,1308500
1990-07-01,1304900
1990-08-01,1297100
1990-09-01,1293000
1990-10-01,1290000
1990-11-01,1282500
1990-12-01,1282300
1991-01-01,1280400
1991-02-01,1273600
1991-03-01,1278700
1991-04-01,1265300
1991-05-01,1284100
1991-06-01,1281800
1991-07-01,1273100
1991-08-01,1261100
1991-09-01,1256100
1991-10-01,1252600
1991-11-01,1246700
1991-12-01,1241700
1992-01-01,1244000
1992-02-01,1239200
1992-03-01,1239500
1992-04-01,1234100
1992-05-01,1225000
1992-06-01,1223700
1992-07-01,1221400
1992-08-01,1225000
1992-09-01,1224000
1992-10-01,1207000
1992-11-01,1213300
1992-12-01,1215100
1993-01-01,1190200
1993-02-01,1180500
1993-03-01,1202500
1993-04-01,1189100
1993-05-01,1177100
1993-06-01,1178200
1993-07-01,1175100
1993-08-01,1182400
1993-09-01,1187600
1993-10-01,1184500
1993-11-01,1198200
1993-12-01,1199800
1994-01-01,1203900
1994-02-01,1191300
1994-03-01,1189800
1994-04-01,1177000
1994-05-01,1179500
1994-06-01,1168300
1994-07-01,1168400
1994-08-01,1166700
1994-09-01,1185100
1994-10-01,1179400
1994-11-01,1175700
1994-12-01,1183600
1995-01-01,1183000
1995-02-01,1170000
1995-03-01,1174900
1995-04-01,1177700
1995-05-01,1176500
1995-06-01,1180200
1995-07-01,1180800
1995-08-01,1173100
1995-09-01,1159600
1995-10-01,1170800
1995-11-01,1157700
1995-12-01,1160200
1996-01-01,1154400
1996-02-01,1167300
1996-03-01,1157800
1996-04-01,1157600
1996-05-01,1162700
1996-06-01,1171800
1996-07-01,1163100
1996-08-01,1156400
1996-09-01,1158400
1996-10-01,1151800
1996-11-01,1155900
1996-12-01,1147400
1997-01-01,1151700
1997-02-01,1148700
1997-03-01,1155500
1997-04-01,1150600
1997-05-01,1129900
1997-06-01,1147900
1997-07-01,1137400
1997-08-01,1155400
1997-09-01,1137900
1997-10-01,1125200
1997-11-01,1127300
1997-12-01,1116700
1998-01-01,1136800
1998-02-01,1136700
1998-03-01,1142900
1998-04-01,1152300
1998-05-01,1160800
1998-06-01,1148600
1998-07-01,1165300
1998-08-01,1170900
1998-09-01,1191200
1998-10-01,1199100
1998-11-01,1201000
1998-12-01,1212500
1999-01-01,1218700
1999-02-01,1205000
1999-03-01,1199400
1999-04-01,1219500
1999-05-01,1219900
1999-06-01,1205900
1999-07-01,1213900
1999-08-01,1207500
1999-09-01,1213400
1999-10-01,1209500
1999-11-01,1203300
1999-12-01,1210200
2000-01-01,1215200
2000-02-01,1237000
2000-03-01,1242200
2000-04-01,1221100
2000-05-01,1237500
2000-06-01,1245300
2000-07-01,1249100
2000-08-01,1260800
2000-09-01,1279700
2000-10-01,1276700
2000-11-01,1270300
2000-12-01,1273900
2001-01-01,1272400
2001-02-01,1265000
2001-03-01,1267500
2001-04-01,1265700
2001-05-01,1259400
2001-06-01,1263100
2001-07-01,1274300
2001-08-01,1266700
2001-09-01,1273900
2001-10-01,1269600
2001-11-01,1290600
2001-12-01,1295500
2002-01-01,1293800
2002-02-01,1292400
2002-03-01,1304700
2002-04-01,1310300
2002-05-01,1323300
2002-06-01,1327600
2002-07-01,1336200
2002-08-01,1352300
2002-09-01,1332100
2002-10-01,1350400
2002-11-01,1354500
2002-12-01,1347400
2003-01-01,1354800
2003-02-01,1361300
2003-03-01,1363600
2003-04-01,1365200
2003-05-01,1359800
2003-06-01,1360100
2003-07-01,1359600
2003-08-01,1360500
2003-09-01,1366900
2003-10-01,1360200
2003-11-01,1360100
2003-12-01,1376500
2004-01-01,1364200
2004-02-01,1369800
2004-03-01,1371000
2004-04-01,1363700
2004-05-01,1369500
2004-06-01,1383800
2004-07-01,1380400
2004-08-01,1374300
2004-09-01,1376000
2004-10-01,1378500
2004-11-01,1376700
2004-12-01,1373100
2005-01-01,1381100
2005-02-01,1370700
2005-03-01,1359000
2005-04-01,1379900
2005-05-01,1378200
