"Date","CANCP010000IXNBM"
1961-01-01,15.4
1961-02-01,15.4
1961-03-01,15.4
1961-04-01,15.4
1961-05-01,15.2
1961-06-01,15.3
1961-07-01,15.5
1961-08-01,15.5
1961-09-01,15.2
1961-10-01,15.3
1961-11-01,15.3
1961-12-01,15.4
1962-01-01,15.5
1962-02-01,15.5
1962-03-01,15.4
1962-04-01,15.6
1962-05-01,15.4
1962-06-01,15.6
1962-07-01,15.8
1962-08-01,15.9
1962-09-01,15.7
1962-10-01,15.8
1962-11-01,15.8
1962-12-01,15.8
1963-01-01,16
1963-02-01,16.1
1963-03-01,16
1963-04-01,16
1963-05-01,15.9
1963-06-01,16.1
1963-07-01,16.4
1963-08-01,16.5
1963-09-01,16.3
1963-10-01,16.1
1963-11-01,16.2
1963-12-01,16.2
1964-01-01,16.2
1964-02-01,16.2
1964-03-01,16.2
1964-04-01,16.2
1964-05-01,16.2
1964-06-01,16.4
1964-07-01,16.8
1964-08-01,16.7
1964-09-01,16.4
1964-10-01,16.1
1964-11-01,16.2
1964-12-01,16.4
1965-01-01,16.3
1965-02-01,16.4
1965-03-01,16.4
1965-04-01,16.4
1965-05-01,16.6
1965-06-01,17
1965-07-01,17.3
1965-08-01,17
1965-09-01,16.8
1965-10-01,16.7
1965-11-01,17
1965-12-01,17.3
1966-01-01,17.3
1966-02-01,17.5
1966-03-01,17.8
1966-04-01,17.8
1966-05-01,17.8
1966-06-01,17.9
1966-07-01,17.9
1966-08-01,18.4
1966-09-01,18.1
1966-10-01,17.9
1966-11-01,17.8
1966-12-01,17.8
1967-01-01,17.8
1967-02-01,17.6
1967-03-01,17.5
1967-04-01,17.5
1967-05-01,17.5
1967-06-01,17.7
1967-07-01,18.2
1967-08-01,18.5
1967-09-01,18.1
1967-10-01,17.9
1967-11-01,18
1967-12-01,18.1
1968-01-01,18.4
1968-02-01,18.3
1968-03-01,18.1
1968-04-01,18.3
1968-05-01,18.1
1968-06-01,18.2
1968-07-01,18.5
1968-08-01,18.8
1968-09-01,18.7
1968-10-01,18.5
1968-11-01,18.7
1968-12-01,18.9
1969-01-01,18.9
1969-02-01,18.7
1969-03-01,18.7
1969-04-01,18.9
1969-05-01,18.9
1969-06-01,19.4
1969-07-01,19.4
1969-08-01,19.8
1969-09-01,19.4
1969-10-01,19.2
1969-11-01,19.4
1969-12-01,19.5
1970-01-01,19.5
1970-02-01,19.8
1970-03-01,19.6
1970-04-01,19.9
1970-05-01,19.5
1970-06-01,19.7
1970-07-01,19.8
1970-08-01,19.9
1970-09-01,19.4
1970-10-01,19.2
1970-11-01,18.9
1970-12-01,18.7
1971-01-01,18.8
1971-02-01,18.9
1971-03-01,19
1971-04-01,19.3
1971-05-01,19.4
1971-06-01,19.4
1971-07-01,19.9
1971-08-01,20.4
1971-09-01,20
1971-10-01,19.9
1971-11-01,19.9
1971-12-01,20.2
1972-01-01,20.4
1972-02-01,20.6
1972-03-01,20.4
1972-04-01,20.6
1972-05-01,20.4
1972-06-01,20.4
1972-07-01,21.3
1972-08-01,21.9
1972-09-01,21.9
1972-10-01,21.7
1972-11-01,21.7
1972-12-01,21.9
1973-01-01,22.4
1973-02-01,22.8
1973-03-01,22.8
1973-04-01,23.4
1973-05-01,23.6
1973-06-01,24.1
1973-07-01,24.6
1973-08-01,25.4
1973-09-01,25.5
1973-10-01,25.4
1973-11-01,25.6
1973-12-01,25.6
1974-01-01,26
1974-02-01,26.6
1974-03-01,27
1974-04-01,27
1974-05-01,27.8
1974-06-01,28.1
1974-07-01,28.4
1974-08-01,28.8
1974-09-01,28.8
1974-10-01,29.2
1974-11-01,29.5
1974-12-01,30
1975-01-01,30
1975-02-01,30.3
1975-03-01,30.2
1975-04-01,30.3
1975-05-01,30.6
1975-06-01,31.8
1975-07-01,32.6
1975-08-01,32.9
1975-09-01,32.6
1975-10-01,32.7
1975-11-01,32.9
1975-12-01,32.6
1976-01-01,32.5
1976-02-01,32.3
1976-03-01,32
1976-04-01,31.8
1976-05-01,32.3
1976-06-01,32.4
1976-07-01,32.5
1976-08-01,32.2
1976-09-01,32
1976-10-01,32
1976-11-01,31.7
1976-12-01,31.8
1977-01-01,32.3
1977-02-01,33
1977-03-01,33.3
1977-04-01,33.8
1977-05-01,34.3
1977-06-01,34.8
1977-07-01,35.5
1977-08-01,35.8
1977-09-01,35.9
1977-10-01,36.5
1977-11-01,36.8
1977-12-01,37.5
1978-01-01,37.8
1978-02-01,38.1
1978-03-01,38.7
1978-04-01,39.5
1978-05-01,41
1978-06-01,41.9
1978-07-01,43.8
1978-08-01,43
1978-09-01,41.7
1978-10-01,42.2
1978-11-01,42.3
1978-12-01,42.6
1979-01-01,43.6
1979-02-01,44.7
1979-03-01,46
1979-04-01,46.5
1979-05-01,46.6
1979-06-01,46.6
1979-07-01,47.6
1979-08-01,47.1
1979-09-01,47.1
1979-10-01,47.5
1979-11-01,47.5
1979-12-01,48.2
1980-01-01,48.3
1980-02-01,49.1
1980-03-01,49.6
1980-04-01,49.6
1980-05-01,50.2
1980-06-01,51.6
1980-07-01,52
1980-08-01,52.9
1980-09-01,53.8
1980-10-01,54.1
1980-11-01,54.7
1980-12-01,55.4
1981-01-01,55.7
1981-02-01,56.7
1981-03-01,57.1
1981-04-01,57.6
1981-05-01,57.2
1981-06-01,58.4
1981-07-01,59.2
1981-08-01,59.2
1981-09-01,59
1981-10-01,58.9
1981-11-01,58.6
1981-12-01,57.9
1982-01-01,58.5
1982-02-01,59.7
1982-03-01,60.2
1982-04-01,60.7
1982-05-01,62.2
1982-06-01,63.6
1982-07-01,63.9
1982-08-01,63
1982-09-01,62.3
1982-10-01,61.9
1982-11-01,62.2
1982-12-01,61.7
1983-01-01,61.7
1983-02-01,62.2
1983-03-01,62
1983-04-01,62.7
1983-05-01,64.1
1983-06-01,64.2
1983-07-01,64.5
1983-08-01,64.5
1983-09-01,63.5
1983-10-01,64.3
1983-11-01,63.8
1983-12-01,64
1984-01-01,65.5
1984-02-01,66.5
1984-03-01,67.2
1984-04-01,67.3
1984-05-01,67.1
1984-06-01,68.1
1984-07-01,68.8
1984-08-01,68.1
1984-09-01,67.3
1984-10-01,67.3
1984-11-01,67.3
1984-12-01,67.2
1985-01-01,68.1
1985-02-01,69
1985-03-01,68.8
1985-04-01,69.8
1985-05-01,69.1
1985-06-01,69.5
1985-07-01,70
1985-08-01,69.3
1985-09-01,68.2
1985-10-01,67.9
1985-11-01,68.3
1985-12-01,69.5
1986-01-01,70.8
1986-02-01,70.3
1986-03-01,70.3
1986-04-01,71.1
1986-05-01,71.9
1986-06-01,72
1986-07-01,72.9
1986-08-01,73.3
1986-09-01,73.8
1986-10-01,74
1986-11-01,74.5
1986-12-01,74.3
1987-01-01,75.2
1987-02-01,75.2
1987-03-01,75
1987-04-01,75
1987-05-01,75.8
1987-06-01,77.1
1987-07-01,77.2
1987-08-01,76
1987-09-01,75.4
1987-10-01,75.5
1987-11-01,75.8
1987-12-01,75.5
1988-01-01,76.5
1988-02-01,76.2
1988-03-01,75.8
1988-04-01,76.3
1988-05-01,76.8
1988-06-01,77.6
1988-07-01,78.3
1988-08-01,78.5
1988-09-01,78.2
1988-10-01,78.1
1988-11-01,77.5
1988-12-01,77
1989-01-01,78.2
1989-02-01,78.9
1989-03-01,78.8
1989-04-01,79.2
1989-05-01,79.8
1989-06-01,80.4
1989-07-01,81.1
1989-08-01,80.4
1989-09-01,79.8
1989-10-01,80
1989-11-01,79.9
1989-12-01,79.2
1990-01-01,81.8
1990-02-01,82.7
1990-03-01,82.9
1990-04-01,81.9
1990-05-01,82
1990-06-01,83.6
1990-07-01,84.1
1990-08-01,82.9
1990-09-01,82.6
1990-10-01,83
1990-11-01,83.1
1990-12-01,82.4
1991-01-01,84.8
1991-02-01,84.7
1991-03-01,84.9
1991-04-01,85.4
1991-05-01,85.4
1991-06-01,87.7
1991-07-01,86.9
