"Date","LFHUADFECAM647S"
1976-01-01,169600
1976-02-01,166400
1976-03-01,152500
1976-04-01,166600
1976-05-01,170100
1976-06-01,162500
1976-07-01,179100
1976-08-01,180000
1976-09-01,182300
1976-10-01,173800
1976-11-01,175900
1976-12-01,174800
1977-01-01,192000
1977-02-01,188300
1977-03-01,187700
1977-04-01,191500
1977-05-01,188200
1977-06-01,195000
1977-07-01,190600
1977-08-01,202000
1977-09-01,205300
1977-10-01,217900
1977-11-01,225900
1977-12-01,225600
1978-01-01,219100
1978-02-01,221600
1978-03-01,225100
1978-04-01,216200
1978-05-01,229900
1978-06-01,226400
1978-07-01,232400
1978-08-01,231700
1978-09-01,229700
1978-10-01,227500
1978-11-01,230000
1978-12-01,228800
1979-01-01,227000
1979-02-01,219700
1979-03-01,220800
1979-04-01,217300
1979-05-01,211100
1979-06-01,209400
1979-07-01,212800
1979-08-01,206300
1979-09-01,204900
1979-10-01,220400
1979-11-01,204800
1979-12-01,206600
1980-01-01,212900
1980-02-01,217600
1980-03-01,213800
1980-04-01,215000
1980-05-01,221300
1980-06-01,214500
1980-07-01,208200
1980-08-01,217600
1980-09-01,207000
1980-10-01,202800
1980-11-01,203800
1980-12-01,208000
1981-01-01,218600
1981-02-01,216500
1981-03-01,216100
1981-04-01,211500
1981-05-01,208700
1981-06-01,218800
1981-07-01,222700
1981-08-01,223000
1981-09-01,257300
1981-10-01,270400
1981-11-01,266000
1981-12-01,265200
1982-01-01,245300
1982-02-01,261100
1982-03-01,272300
1982-04-01,288400
1982-05-01,304200
1982-06-01,315200
1982-07-01,328800
1982-08-01,325100
1982-09-01,330500
1982-10-01,353500
1982-11-01,370800
1982-12-01,383100
1983-01-01,380000
1983-02-01,382900
1983-03-01,380500
1983-04-01,370800
1983-05-01,365900
1983-06-01,364500
1983-07-01,354500
1983-08-01,349800
1983-09-01,346600
1983-10-01,350500
1983-11-01,345100
1983-12-01,357700
1984-01-01,361300
1984-02-01,368900
1984-03-01,369000
1984-04-01,377100
1984-05-01,386800
1984-06-01,381500
1984-07-01,379900
1984-08-01,377500
1984-09-01,408700
1984-10-01,397900
1984-11-01,400600
1984-12-01,389600
1985-01-01,363800
1985-02-01,382200
1985-03-01,389300
1985-04-01,392800
1985-05-01,389500
1985-06-01,382000
1985-07-01,386200
1985-08-01,382300
1985-09-01,382300
1985-10-01,380300
1985-11-01,396900
1985-12-01,381100
1986-01-01,365500
1986-02-01,367300
1986-03-01,362700
1986-04-01,368600
1986-05-01,355700
1986-06-01,371300
1986-07-01,371700
1986-08-01,373400
1986-09-01,360000
1986-10-01,372200
1986-11-01,371800
1986-12-01,371300
1987-01-01,386200
1987-02-01,382700
1987-03-01,388300
1987-04-01,387800
1987-05-01,372000
1987-06-01,376000
1987-07-01,371300
1987-08-01,363800
1987-09-01,372500
1987-10-01,358800
1987-11-01,350600
1987-12-01,352200
1988-01-01,359800
1988-02-01,349000
1988-03-01,343400
1988-04-01,338300
1988-05-01,340200
1988-06-01,350000
1988-07-01,353800
1988-08-01,367600
1988-09-01,357600
1988-10-01,346800
1988-11-01,362700
1988-12-01,331600
1989-01-01,342700
1989-02-01,347100
1989-03-01,353500
1989-04-01,366900
1989-05-01,362200
1989-06-01,340400
1989-07-01,351900
