"Date","LFAC64MACAM647S"
1976-01-01,6368600
1976-02-01,6371600
1976-03-01,6360100
1976-04-01,6410100
1976-05-01,6398600
1976-06-01,6419300
1976-07-01,6453500
1976-08-01,6426400
1976-09-01,6449700
1976-10-01,6444300
1976-11-01,6475600
1976-12-01,6502300
1977-01-01,6519400
1977-02-01,6524300
1977-03-01,6511000
1977-04-01,6537200
1977-05-01,6537900
1977-06-01,6533400
1977-07-01,6556500
1977-08-01,6571200
1977-09-01,6585000
1977-10-01,6577000
1977-11-01,6615900
1977-12-01,6629300
1978-01-01,6624600
1978-02-01,6648000
1978-03-01,6677300
1978-04-01,6689300
1978-05-01,6696800
1978-06-01,6719900
1978-07-01,6737500
1978-08-01,6754100
1978-09-01,6753700
1978-10-01,6753200
1978-11-01,6788100
1978-12-01,6791300
1979-01-01,6838300
1979-02-01,6803900
1979-03-01,6828400
1979-04-01,6855200
1979-05-01,6872600
1979-06-01,6864900
1979-07-01,6888900
1979-08-01,6896500
1979-09-01,6909700
1979-10-01,6917600
1979-11-01,6930600
1979-12-01,6943700
1980-01-01,6959400
1980-02-01,6975600
1980-03-01,6967000
1980-04-01,6981100
1980-05-01,6970800
1980-06-01,7009300
1980-07-01,6999200
1980-08-01,7027800
1980-09-01,7042800
1980-10-01,7037400
1980-11-01,7075900
1980-12-01,7088100
1981-01-01,7112300
1981-02-01,7134200
1981-03-01,7131900
1981-04-01,7133000
1981-05-01,7142600
1981-06-01,7155200
1981-07-01,7156800
1981-08-01,7157400
1981-09-01,7179900
1981-10-01,7161500
1981-11-01,7151900
1981-12-01,7159300
1982-01-01,7122400
1982-02-01,7109400
1982-03-01,7125500
1982-04-01,7113500
1982-05-01,7126200
1982-06-01,7113800
1982-07-01,7138700
1982-08-01,7092800
1982-09-01,7119800
1982-10-01,7141500
1982-11-01,7130900
1982-12-01,7155900
1983-01-01,7156000
1983-02-01,7166100
1983-03-01,7188400
1983-04-01,7191800
1983-05-01,7195800
1983-06-01,7209000
1983-07-01,7210600
1983-08-01,7220700
1983-09-01,7225900
1983-10-01,7195200
1983-11-01,7215300
1983-12-01,7223500
1984-01-01,7211900
1984-02-01,7227700
1984-03-01,7229200
1984-04-01,7239600
1984-05-01,7275400
1984-06-01,7284000
1984-07-01,7293100
1984-08-01,7287700
1984-09-01,7329400
1984-10-01,7311100
1984-11-01,7299000
1984-12-01,7302500
1985-01-01,7322300
1985-02-01,7319600
1985-03-01,7364500
1985-04-01,7349500
1985-05-01,7363300
1985-06-01,7365700
1985-07-01,7370700
1985-08-01,7376500
1985-09-01,7352000
1985-10-01,7376600
1985-11-01,7408700
1985-12-01,7423300
1986-01-01,7440200
1986-02-01,7440600
1986-03-01,7449200
1986-04-01,7486700
1986-05-01,7460300
1986-06-01,7469200
1986-07-01,7468600
1986-08-01,7473100
1986-09-01,7472900
1986-10-01,7470300
1986-11-01,7488000
1986-12-01,7498400
1987-01-01,7499500
1987-02-01,7517700
1987-03-01,7529100
1987-04-01,7536700
1987-05-01,7541100
1987-06-01,7545800
1987-07-01,7543500
1987-08-01,7557000
1987-09-01,7570100
1987-10-01,7596000
1987-11-01,7592700
1987-12-01,7618800
1988-01-01,7619600
1988-02-01,7609000
1988-03-01,7608300
1988-04-01,7611900
1988-05-01,7627800
1988-06-01,7609600
1988-07-01,7623900
1988-08-01,7642800
1988-09-01,7637400
1988-10-01,7659500
1988-11-01,7654700
1988-12-01,7664200
1989-01-01,7690900
1989-02-01,7710800
1989-03-01,7727200
1989-04-01,7737700
1989-05-01,7737200
1989-06-01,7752800
1989-07-01,7741400
1989-08-01,7768600
1989-09-01,7766600
1989-10-01,7765700
1989-11-01,7770800
1989-12-01,7765500
1990-01-01,7795900
1990-02-01,7771800
1990-03-01,7734700
1990-04-01,7775200
1990-05-01,7755300
1990-06-01,7763400
1990-07-01,7793100
1990-08-01,7808000
1990-09-01,7829400
1990-10-01,7835800
1990-11-01,7804200
1990-12-01,7806200
1991-01-01,7797900
1991-02-01,7804100
1991-03-01,7788900
1991-04-01,7797400
1991-05-01,7786200
1991-06-01,7795300
1991-07-01,7793200
1991-08-01,7784300
1991-09-01,7764300
1991-10-01,7790400
1991-11-01,7759400
1991-12-01,7743100
1992-01-01,7740700
1992-02-01,7724000
1992-03-01,7767600
1992-04-01,7731800
1992-05-01,7763100
1992-06-01,7783400
1992-07-01,7767700
1992-08-01,7762000
1992-09-01,7774300
1992-10-01,7799500
1992-11-01,7840000
1992-12-01,7807800
1993-01-01,7798000
1993-02-01,7790800
1993-03-01,7818700
1993-04-01,7816300
1993-05-01,7810300
1993-06-01,7838000
1993-07-01,7835200
1993-08-01,7800500
1993-09-01,7821000
1993-10-01,7802800
1993-11-01,7827600
1993-12-01,7820300
1994-01-01,7827100
1994-02-01,7838300
1994-03-01,7803000
1994-04-01,7855800
1994-05-01,7860300
1994-06-01,7846100
1994-07-01,7870400
1994-08-01,7889800
1994-09-01,7903200
1994-10-01,7895500
1994-11-01,7933800
1994-12-01,7888700
1995-01-01,7886700
1995-02-01,7881500
1995-03-01,7923100
1995-04-01,7900900
1995-05-01,7896000
1995-06-01,7911700
1995-07-01,7917200
1995-08-01,7919900
1995-09-01,7898600
1995-10-01,7928800
1995-11-01,7902700
1995-12-01,7940700
1996-01-01,7962200
1996-02-01,7962300
1996-03-01,7960600
1996-04-01,7953000
1996-05-01,7951300
1996-06-01,7987700
1996-07-01,7994100
1996-08-01,7987300
1996-09-01,7983600
1996-10-01,8002800
1996-11-01,8015400
1996-12-01,8030900
1997-01-01,8037400
1997-02-01,8046600
1997-03-01,8039200
1997-04-01,8026500
1997-05-01,8069900
1997-06-01,8063300
1997-07-01,8078200
1997-08-01,8115500
1997-09-01,8146300
1997-10-01,8150000
1997-11-01,8155100
1997-12-01,8139400
1998-01-01,8140800
1998-02-01,8136100
1998-03-01,8127700
1998-04-01,8135600
