"Date","LFACTTMACAM647N"
1960-01-01,4635000
1960-02-01,4638000
1960-03-01,4636000
1960-04-01,4688000
1960-05-01,4756000
1960-06-01,4805000
1960-07-01,4936000
1960-08-01,4931000
1960-09-01,4783000
1960-10-01,4779000
1960-11-01,4750000
1960-12-01,4713000
1961-01-01,4702000
1961-02-01,4680000
1961-03-01,4679000
1961-04-01,4722000
1961-05-01,4791000
1961-06-01,4832000
1961-07-01,4971000
1961-08-01,4958000
1961-09-01,4795000
1961-10-01,4783000
1961-11-01,4745000
1961-12-01,4726000
1962-01-01,4688000
1962-02-01,4713000
1962-03-01,4708000
1962-04-01,4741000
1962-05-01,4818000
1962-06-01,4913000
1962-07-01,5032000
1962-08-01,5023000
1962-09-01,4825000
1962-10-01,4800000
1962-11-01,4786000
1962-12-01,4777000
1963-01-01,4740000
1963-02-01,4738000
1963-03-01,4751000
1963-04-01,4793000
1963-05-01,4855000
1963-06-01,4968000
1963-07-01,5111000
1963-08-01,5094000
1963-09-01,4891000
1963-10-01,4894000
1963-11-01,4868000
1963-12-01,4841000
1964-01-01,4811000
1964-02-01,4802000
1964-03-01,4811000
1964-04-01,4850000
1964-05-01,4948000
1964-06-01,5058000
1964-07-01,5226000
1964-08-01,5215000
1964-09-01,4985000
1964-10-01,4968000
1964-11-01,4950000
1964-12-01,4909000
1965-01-01,4895000
1965-02-01,4887000
1965-03-01,4905000
1965-04-01,4935000
1965-05-01,5056000
1965-06-01,5185000
1965-07-01,5353000
1965-08-01,5344000
1965-09-01,5075000
1965-10-01,5057000
1965-11-01,5047000
1965-12-01,5046000
1966-01-01,4925000
1966-02-01,4959000
1966-03-01,4965000
1966-04-01,5021000
1966-05-01,5141000
1966-06-01,5246000
1966-07-01,5432000
1966-08-01,5436000
1966-09-01,5187000
1966-10-01,5177000
1966-11-01,5151000
1966-12-01,5124000
1967-01-01,5051000
1967-02-01,5036000
1967-03-01,5081000
1967-04-01,5115000
1967-05-01,5284000
1967-06-01,5390000
1967-07-01,5580000
1967-08-01,5587000
1967-09-01,5304000
1967-10-01,5263000
1967-11-01,5243000
1967-12-01,5202000
1968-01-01,5098000
1968-02-01,5107000
1968-03-01,5122000
1968-04-01,5209000
1968-05-01,5354000
1968-06-01,5553000
1968-07-01,5680000
1968-08-01,5665000
1968-09-01,5391000
1968-10-01,5383000
1968-11-01,5370000
1968-12-01,5318000
1969-01-01,5260000
1969-02-01,5254000
1969-03-01,5277000
1969-04-01,5349000
1969-05-01,5524000
1969-06-01,5656000
1969-07-01,5775000
1969-08-01,5750000
1969-09-01,5456000
1969-10-01,5445000
1969-11-01,5440000
1969-12-01,5400000
1970-01-01,5298000
