"Date","MANMM101CAM189S"
1960-01-01,9.7e+09
1960-02-01,9.7e+09
1960-03-01,9.7e+09
1960-04-01,9.8e+09
1960-05-01,9.8e+09
1960-06-01,1e+10
1960-07-01,9.8e+09
1960-08-01,9.9e+09
1960-09-01,1e+10
1960-10-01,1.01e+10
1960-11-01,1.01e+10
1960-12-01,1.01e+10
1961-01-01,1.02e+10
1961-02-01,1.03e+10
1961-03-01,1.04e+10
1961-04-01,1.02e+10
1961-05-01,1.02e+10
1961-06-01,1.03e+10
1961-07-01,1.04e+10
1961-08-01,1.06e+10
1961-09-01,1.05e+10
1961-10-01,1.05e+10
1961-11-01,1.07e+10
1961-12-01,1.07e+10
1962-01-01,1.06e+10
1962-02-01,1.07e+10
1962-03-01,1.06e+10
1962-04-01,1.07e+10
1962-05-01,1.07e+10
1962-06-01,1.07e+10
1962-07-01,1.06e+10
1962-08-01,1.06e+10
1962-09-01,1.08e+10
1962-10-01,1.1e+10
1962-11-01,1.1e+10
1962-12-01,1.12e+10
1963-01-01,1.11e+10
1963-02-01,1.11e+10
1963-03-01,1.11e+10
1963-04-01,1.13e+10
1963-05-01,1.15e+10
1963-06-01,1.14e+10
1963-07-01,1.15e+10
1963-08-01,1.14e+10
1963-09-01,1.15e+10
1963-10-01,1.15e+10
1963-11-01,1.15e+10
1963-12-01,1.16e+10
1964-01-01,1.18e+10
1964-02-01,1.17e+10
1964-03-01,1.19e+10
1964-04-01,1.19e+10
1964-05-01,1.19e+10
1964-06-01,1.2e+10
1964-07-01,1.2e+10
1964-08-01,1.2e+10
1964-09-01,1.2e+10
1964-10-01,1.21e+10
1964-11-01,1.21e+10
1964-12-01,1.23e+10
1965-01-01,1.23e+10
1965-02-01,1.23e+10
1965-03-01,1.24e+10
1965-04-01,1.26e+10
1965-05-01,1.26e+10
1965-06-01,1.28e+10
1965-07-01,1.29e+10
1965-08-01,1.31e+10
1965-09-01,1.29e+10
1965-10-01,1.29e+10
1965-11-01,1.3e+10
1965-12-01,1.31e+10
1966-01-01,1.31e+10
1966-02-01,1.33e+10
1966-03-01,1.34e+10
1966-04-01,1.34e+10
1966-05-01,1.35e+10
1966-06-01,1.35e+10
1966-07-01,1.36e+10
1966-08-01,1.36e+10
1966-09-01,1.37e+10
1966-10-01,1.39e+10
1966-11-01,1.41e+10
