"Date","LRIN64FECAM156S"
1995-01-01,31.6975769556397
1995-02-01,31.9378161611913
1995-03-01,31.802245499894
1995-04-01,32.3061410406388
1995-05-01,32.2774651591597
1995-06-01,32.2393728845987
1995-07-01,32.170181164576
1995-08-01,32.3041145730946
1995-09-01,32.2908179785703
1995-10-01,32.2980773191243
1995-11-01,32.5759847149876
1995-12-01,32.4816390861816
1996-01-01,32.3181174130569
1996-02-01,32.1465702265409
1996-03-01,32.3000157659019
1996-04-01,32.4082403896991
1996-05-01,32.3956337091554
1996-06-01,32.0863302843008
1996-07-01,31.9760490183735
1996-08-01,32.1231635258254
1996-09-01,31.8437423454021
1996-10-01,32.0341247604822
1996-11-01,32.1172408308095
1996-12-01,32.1435865095302
1997-01-01,31.9950544200102
1997-02-01,32.0009100770393
1997-03-01,31.9810850604542
1997-04-01,31.7649582525921
1997-05-01,31.870854309856
1997-06-01,31.4621507664454
1997-07-01,31.7360945485187
1997-08-01,31.5350158772139
1997-09-01,31.6802395971749
1997-10-01,31.5631168172777
1997-11-01,31.4752872429615
1997-12-01,31.7819854152348
1998-01-01,31.4739953673968
1998-02-01,31.2584436834287
1998-03-01,31.2354273232146
1998-04-01,31.1398170914998
1998-05-01,31.1947768292247
1998-06-01,31.1477809709447
1998-07-01,31.0340262305374
1998-08-01,30.9853991295242
1998-09-01,30.5582278716226
1998-10-01,30.6202038641526
1998-11-01,30.4910440476465
1998-12-01,30.3316803985188
1999-01-01,30.3279318209972
1999-02-01,30.4236387530974
1999-03-01,30.5252036894339
1999-04-01,30.0356919902279
1999-05-01,30.0668780457655
1999-06-01,30.2674993723566
1999-07-01,30.0238589686613
1999-08-01,30.1598526003213
1999-09-01,30.1865788421702
1999-10-01,30.3341032168733
1999-11-01,30.3879542586055
1999-12-01,30.2925623881707
2000-01-01,30.2767354012806
2000-02-01,29.8220935330896
2000-03-01,29.8181328353087
2000-04-01,29.9152934562048
2000-05-01,29.8252152947241
2000-06-01,29.7787560825188
2000-07-01,29.645354095953
2000-08-01,29.4756253584523
2000-09-01,29.3537974963845
2000-10-01,29.1423930769321
2000-11-01,29.2257837315996
2000-12-01,29.2618779691748
2001-01-01,29.2434200784273
2001-02-01,29.4104551843325
2001-03-01,29.2500757098416
2001-04-01,29.0987932226501
2001-05-01,29.1975852352788
2001-06-01,29.4058938465551
2001-07-01,29.2997259903616
2001-08-01,29.3954711756998
2001-09-01,29.32896721004
2001-10-01,29.3810077820221
2001-11-01,29.0632351585703
2001-12-01,28.9275631716062
2002-01-01,28.6722707698054
2002-02-01,28.8281537158754
2002-03-01,28.5722290210407
2002-04-01,28.3613095549349
2002-05-01,28.2269211139996
2002-06-01,28.0591209696357
2002-07-01,27.7545846133813
2002-08-01,27.4026852179406
2002-09-01,27.3668250278499
2002-10-01,27.2952632283824
2002-11-01,27.1834845081265
2002-12-01,27.0574167801461
2003-01-01,27.1751932034483
2003-02-01,27.0340461253993
2003-03-01,26.9944449083447
2003-04-01,27.0333807769759
2003-05-01,26.8780933421361
2003-06-01,26.7967131931896
2003-07-01,26.6819927850927
2003-08-01,26.4818363652115
2003-09-01,26.5103563673505
2003-10-01,26.5625132885791
2003-11-01,26.4769527718188
2003-12-01,26.2483911238402
2004-01-01,26.6201616965569
2004-02-01,26.6445158983337
2004-03-01,26.690777425914
2004-04-01,26.6139593591883
2004-05-01,26.428588939104
2004-06-01,26.2405700181287
2004-07-01,26.5124899289711
2004-08-01,26.7110288819885
2004-09-01,26.7193190549697
2004-10-01,26.7243394527759
2004-11-01,26.4919772551015
2004-12-01,26.6821138763168
2005-01-01,26.8490063342317
2005-02-01,26.7504131847927
2005-03-01,27.0678493437044
2005-04-01,27.0842186329785
2005-05-01,27.0208797275116
2005-06-01,27.0473277764556
2005-07-01,27.2595635832841
2005-08-01,27.0828245861332
2005-09-01,27.0714209392569
2005-10-01,26.861157735474
2005-11-01,27.0808835407654
2005-12-01,26.9607166600215
2006-01-01,26.6028577180228
2006-02-01,26.8647434419864
2006-03-01,26.824072271917
2006-04-01,26.5890318034013
2006-05-01,26.4566956756819
2006-06-01,26.5489417899508
2006-07-01,26.3052754146223
2006-08-01,26.7847423741255
2006-09-01,26.7510378795848
2006-10-01,26.5952843582577
2006-11-01,26.5827285905102
2006-12-01,26.3634967170838
2007-01-01,26.1973214262546
2007-02-01,26.1833857672428
2007-03-01,25.8992927941519
2007-04-01,26.174468271074
2007-05-01,26.148710371716
2007-06-01,26.1363450549445
2007-07-01,25.7942570626636
2007-08-01,25.7778427260037
2007-09-01,25.66065690635
2007-10-01,25.6420173771234
2007-11-01,25.7280910919617
2007-12-01,25.8242452026127
2008-01-01,25.9481351947736
2008-02-01,25.7360072171923
2008-03-01,25.9421157429658
2008-04-01,26.0111929449972
2008-05-01,25.7368068025448
2008-06-01,25.906987765717
2008-07-01,26.0746122948735
2008-08-01,25.9838441688959
2008-09-01,25.9747862755898
2008-10-01,25.6683790781337
2008-11-01,25.804977852434
2008-12-01,25.5294813036372
2009-01-01,25.9088264310008
2009-02-01,25.7447650065523
2009-03-01,25.5541469972002
2009-04-01,25.5951483605128
2009-05-01,25.4785367485048
2009-06-01,25.6214488215241
2009-07-01,25.8025618048863
2009-08-01,25.5720211771574
2009-09-01,25.7166063855665
2009-10-01,25.9923646751474
2009-11-01,25.5076585723765
2009-12-01,25.8581353314306
2010-01-01,25.6923430631577
2010-02-01,25.8030069129969
2010-03-01,25.8109018752646
2010-04-01,25.7375416043706
2010-05-01,25.7589848306118
2010-06-01,25.4534604590232
