"Date","LFUN64MACAM647N"
1976-01-01,490200
1976-02-01,483800
1976-03-01,468600
1976-04-01,457900
1976-05-01,405300
1976-06-01,393200
1976-07-01,430400
1976-08-01,356400
1976-09-01,321100
1976-10-01,364600
1976-11-01,390500
1976-12-01,445600
1977-01-01,534300
1977-02-01,557200
1977-03-01,566200
1977-04-01,546900
1977-05-01,477400
1977-06-01,452900
1977-07-01,487900
1977-08-01,435600
1977-09-01,415000
1977-10-01,408500
1977-11-01,459700
1977-12-01,521100
1978-01-01,591500
1978-02-01,601000
1978-03-01,629900
1978-04-01,615700
1978-05-01,535400
1978-06-01,490400
1978-07-01,504700
1978-08-01,461100
1978-09-01,428500
1978-10-01,414600
1978-11-01,461400
1978-12-01,507300
1979-01-01,592300
1979-02-01,586700
1979-03-01,591900
1979-04-01,570600
1979-05-01,486100
1979-06-01,425500
1979-07-01,408600
1979-08-01,380800
1979-09-01,354800
1979-10-01,379200
1979-11-01,421900
1979-12-01,461900
1980-01-01,563800
1980-02-01,565300
1980-03-01,581500
1980-04-01,567700
1980-05-01,521500
1980-06-01,496900
1980-07-01,480500
1980-08-01,446800
1980-09-01,404600
1980-10-01,411900
1980-11-01,447700
1980-12-01,487600
1981-01-01,572300
1981-02-01,560900
1981-03-01,601400
1981-04-01,534700
1981-05-01,499600
1981-06-01,475700
1981-07-01,467600
1981-08-01,420700
1981-09-01,466200
1981-10-01,489700
1981-11-01,518500
1981-12-01,613400
1982-01-01,699600
1982-02-01,704500
1982-03-01,781900
1982-04-01,780400
1982-05-01,763000
1982-06-01,785500
1982-07-01,851200
1982-08-01,821500
1982-09-01,806600
1982-10-01,861800
1982-11-01,907800
1982-12-01,975000
1983-01-01,1043800
1983-02-01,1040900
1983-03-01,1079300
1983-04-01,1029600
1983-05-01,947400
1983-06-01,902700
1983-07-01,875500
1983-08-01,809700
1983-09-01,727000
1983-10-01,729400
1983-11-01,787100
1983-12-01,835500
1984-01-01,916100
1984-02-01,916200
1984-03-01,966800
1984-04-01,932000
1984-05-01,884800
1984-06-01,799600
1984-07-01,773300
1984-08-01,760500
1984-09-01,753800
1984-10-01,734300
1984-11-01,807300
1984-12-01,806700
1985-01-01,901600
1985-02-01,886800
1985-03-01,953400
1985-04-01,868400
1985-05-01,785400
1985-06-01,749800
1985-07-01,727600
1985-08-01,695800
1985-09-01,638200
1985-10-01,683700
1985-11-01,722800
1985-12-01,742500
1986-01-01,812800
1986-02-01,819300
1986-03-01,841200
1986-04-01,784900
1986-05-01,716000
1986-06-01,683600
1986-07-01,687300
1986-08-01,657000
1986-09-01,614200
1986-10-01,611100
1986-11-01,659900
1986-12-01,700900
1987-01-01,788300
1987-02-01,793100
1987-03-01,821400
1987-04-01,745300
1987-05-01,660900
1987-06-01,612100
1987-07-01,616400
1987-08-01,572900
1987-09-01,530100
1987-10-01,533200
1987-11-01,558700
1987-12-01,591600
1988-01-01,662500
1988-02-01,651700
1988-03-01,676400
1988-04-01,634800
1988-05-01,582100
1988-06-01,520700
1988-07-01,550400
1988-08-01,510300
1988-09-01,490100
1988-10-01,511300
1988-11-01,529900
1988-12-01,564700
1989-01-01,644000
1989-02-01,657300
1989-03-01,679700
1989-04-01,654900
1989-05-01,586500
1989-06-01,539000
1989-07-01,560400
1989-08-01,502700
1989-09-01,469600
1989-10-01,484200
1989-11-01,562500
1989-12-01,594100
1990-01-01,702600
1990-02-01,680000
1990-03-01,663800
1990-04-01,643800
1990-05-01,614400
1990-06-01,557200
1990-07-01,598700
1990-08-01,595500
1990-09-01,574800
1990-10-01,616500
1990-11-01,713600
1990-12-01,775200
1991-01-01,888500
1991-02-01,952500
1991-03-01,993100
1991-04-01,921600
1991-05-01,863900
1991-06-01,822100
1991-07-01,840600
1991-08-01,805900
1991-09-01,723300
1991-10-01,746700
1991-11-01,821100
1991-12-01,853400
1992-01-01,954900
1992-02-01,984100
1992-03-01,1058600
1992-04-01,971400
1992-05-01,944500
1992-06-01,936600
1992-07-01,938600
1992-08-01,919500
1992-09-01,834700
1992-10-01,851600
1992-11-01,968900
1992-12-01,967900
1993-01-01,1012100
1993-02-01,1003200
1993-03-01,1063700
1993-04-01,1014200
1993-05-01,966600
1993-06-01,942400
1993-07-01,964200
1993-08-01,876900
1993-09-01,822000
1993-10-01,818300
1993-11-01,885400
1993-12-01,933500
1994-01-01,1033700
1994-02-01,1027000
1994-03-01,996900
1994-04-01,981400
1994-05-01,887300
1994-06-01,817300
1994-07-01,846800
1994-08-01,791700
1994-09-01,721000
1994-10-01,721300
1994-11-01,763000
1994-12-01,798800
1995-01-01,879200
1995-02-01,864400
1995-03-01,899100
1995-04-01,854200
1995-05-01,809200
1995-06-01,752200
1995-07-01,817400
1995-08-01,735700
1995-09-01,641500
1995-10-01,683400
1995-11-01,698100
1995-12-01,764800
1996-01-01,886000
