"Date","LFAC25MACAM647S"
1976-01-01,4110200
1976-02-01,4127400
1976-03-01,4124900
1976-04-01,4136400
1976-05-01,4136300
1976-06-01,4132100
1976-07-01,4144700
1976-08-01,4140300
1976-09-01,4142400
1976-10-01,4158800
1976-11-01,4168400
1976-12-01,4180000
1977-01-01,4181200
1977-02-01,4199200
1977-03-01,4203300
1977-04-01,4209200
1977-05-01,4210000
1977-06-01,4209700
1977-07-01,4216300
1977-08-01,4223300
1977-09-01,4237800
1977-10-01,4244900
1977-11-01,4258600
1977-12-01,4275100
1978-01-01,4278300
1978-02-01,4291800
1978-03-01,4303300
1978-04-01,4308500
1978-05-01,4310900
1978-06-01,4334400
1978-07-01,4326000
1978-08-01,4342100
1978-09-01,4344800
1978-10-01,4356800
1978-11-01,4364500
1978-12-01,4369400
1979-01-01,4391500
1979-02-01,4380600
1979-03-01,4400000
1979-04-01,4395800
1979-05-01,4409100
1979-06-01,4411700
1979-07-01,4418100
1979-08-01,4426500
1979-09-01,4435700
1979-10-01,4442900
1979-11-01,4454600
1979-12-01,4461800
1980-01-01,4472900
1980-02-01,4492300
1980-03-01,4483400
1980-04-01,4494500
1980-05-01,4496000
1980-06-01,4500000
1980-07-01,4501900
1980-08-01,4517500
1980-09-01,4533500
1980-10-01,4532800
1980-11-01,4565200
1980-12-01,4581600
1981-01-01,4598800
1981-02-01,4616600
1981-03-01,4621200
1981-04-01,4633900
1981-05-01,4627200
1981-06-01,4629500
1981-07-01,4626800
1981-08-01,4626900
1981-09-01,4642200
1981-10-01,4647300
1981-11-01,4637000
1981-12-01,4658100
1982-01-01,4658100
1982-02-01,4660500
1982-03-01,4676600
1982-04-01,4674500
1982-05-01,4691900
1982-06-01,4698700
1982-07-01,4709200
1982-08-01,4696700
1982-09-01,4718300
1982-10-01,4737700
1982-11-01,4720900
1982-12-01,4724100
1983-01-01,4714600
1983-02-01,4726600
1983-03-01,4745000
1983-04-01,4752600
1983-05-01,4782500
1983-06-01,4810200
1983-07-01,4807200
1983-08-01,4808300
1983-09-01,4821300
1983-10-01,4815900
1983-11-01,4816900
1983-12-01,4818500
1984-01-01,4812000
1984-02-01,4819400
1984-03-01,4824200
1984-04-01,4836800
1984-05-01,4867200
1984-06-01,4874900
1984-07-01,4880900
1984-08-01,4905300
1984-09-01,4938800
1984-10-01,4924300
1984-11-01,4923000
1984-12-01,4930500
1985-01-01,4940700
1985-02-01,4952800
1985-03-01,4966700
1985-04-01,4974500
1985-05-01,4989200
1985-06-01,4984800
