"Date","LFEAICTTCAM647N"
1970-01-01,2348000
1970-02-01,2347000
1970-03-01,2329000
1970-04-01,2347000
1970-05-01,2483000
1970-06-01,2565000
1970-07-01,2594000
1970-08-01,2610000
1970-09-01,2523000
1970-10-01,2484000
1970-11-01,2427000
1970-12-01,2359000
1971-01-01,2275000
1971-02-01,2295000
1971-03-01,2306000
1971-04-01,2319000
1971-05-01,2474000
1971-06-01,2571000
1971-07-01,2635000
1971-08-01,2690000
1971-09-01,2578000
1971-10-01,2591000
1971-11-01,2537000
1971-12-01,2456000
1972-01-01,2376000
1972-02-01,2395000
1972-03-01,2425000
1972-04-01,2427000
1972-05-01,2561000
1972-06-01,2679000
1972-07-01,2718000
1972-08-01,2703000
1972-09-01,2573000
1972-10-01,2561000
1972-11-01,2556000
1972-12-01,2489000
1973-01-01,2403000
1973-02-01,2444000
1973-03-01,2521000
1973-04-01,2575000
1973-05-01,2722000
1973-06-01,2857000
1973-07-01,2902000
1973-08-01,2949000
1973-09-01,2799000
1973-10-01,2810000
1973-11-01,2777000
1973-12-01,2707000
1974-01-01,2616000
1974-02-01,2635000
1974-03-01,2651000
1974-04-01,2677000
1974-05-01,2794000
1974-06-01,2916000
1974-07-01,3023000
1974-08-01,3050000
1974-09-01,2930000
1974-10-01,2909000
1974-11-01,2838000
1974-12-01,2745000
1975-01-01,2566000
1975-02-01,2549000
1975-03-01,2562000
1975-04-01,2623000
1975-05-01,2748000
1975-06-01,2855000
1975-07-01,2927000
1975-08-01,2938000
1975-09-01,2849000
1975-10-01,2826000
1975-11-01,2809000
1975-12-01,2725000
1976-01-01,2586000
1976-02-01,2606000
1976-03-01,2641000
1976-04-01,2683000
1976-05-01,2817000
1976-06-01,2938000
1976-07-01,3021000
1976-08-01,3026000
1976-09-01,2922000
1976-10-01,2887000
1976-11-01,2857000
1976-12-01,2755000
1977-01-01,2646000
1977-02-01,2653000
1977-03-01,2642000
1977-04-01,2664000
1977-05-01,2802000
1977-06-01,2889000
1977-07-01,2899000
1977-08-01,2938000
1977-09-01,2870000
1977-10-01,2839000
1977-11-01,2821000
1977-12-01,2726000
1978-01-01,2612000
1978-02-01,2636000
1978-03-01,2669000
1978-04-01,2709000
1978-05-01,2878000
1978-06-01,2992000
1978-07-01,3054000
1978-08-01,3092000
1978-09-01,2963000
1978-10-01,2979000
1978-11-01,2959000
1978-12-01,2887000
1979-01-01,2784000
1979-02-01,2780000
1979-03-01,2816000
1979-04-01,2855000
1979-05-01,2967000
1979-06-01,3065000
1979-07-01,3195000
1979-08-01,3239000
1979-09-01,3120000
1979-10-01,3139000
1979-11-01,3079000
1979-12-01,2988000
1980-01-01,2880000
1980-02-01,2892000
1980-03-01,2914000
1980-04-01,2939000
1980-05-01,3050000
1980-06-01,3190000
1980-07-01,3220000
1980-08-01,3239000
1980-09-01,3154000
1980-10-01,3141000
1980-11-01,3061000
1980-12-01,2975000
1981-01-01,2888000
1981-02-01,2937000
1981-03-01,2964000
1981-04-01,2998000
1981-05-01,3149000
1981-06-01,3242000
1981-07-01,3342000
1981-08-01,3359000
1981-09-01,3221000
1981-10-01,3175000
1981-11-01,3110000
1981-12-01,2948000
1982-01-01,2815000
1982-02-01,2800000
1982-03-01,2801000
1982-04-01,2777000
1982-05-01,2868000
1982-06-01,2931000
1982-07-01,2968000
1982-08-01,2954000
1982-09-01,2817000
1982-10-01,2765000
1982-11-01,2691000
1982-12-01,2598000
1983-01-01,2501000
1983-02-01,2506000
1983-03-01,2547000
1983-04-01,2569000
1983-05-01,2734000
1983-06-01,2820000
1983-07-01,2909000
1983-08-01,2939000
1983-09-01,2872000
1983-10-01,2837000
1983-11-01,2792000
1983-12-01,2689000
1984-01-01,2558000
1984-02-01,2614000
1984-03-01,2622000
1984-04-01,2683000
1984-05-01,2828000
1984-06-01,2940000
1984-07-01,3021000
1984-08-01,3026000
1984-09-01,2928000
1984-10-01,2943000
1984-11-01,2855000
1984-12-01,2775000
1985-01-01,2625000
1985-02-01,2646000
1985-03-01,2682000
1985-04-01,2715000
1985-05-01,2882000
1985-06-01,2939000
1985-07-01,3031000
1985-08-01,3049000
1985-09-01,2919000
1985-10-01,2945000
1985-11-01,2919000
1985-12-01,2849000
1986-01-01,2774000
1986-02-01,2807000
1986-03-01,2812000
1986-04-01,2839000
1986-05-01,2906000
1986-06-01,3012000
1986-07-01,3049000
1986-08-01,3039000
1986-09-01,2951000
1986-10-01,2955000
1986-11-01,2908000
1986-12-01,2842000
1987-01-01,2817200
1987-02-01,2834700
1987-03-01,2870900
1987-04-01,2925300
1987-05-01,3091400
1987-06-01,3198000
1987-07-01,3250000
1987-08-01,3266200
1987-09-01,3162400
1987-10-01,3177600
1987-11-01,3130700
1987-12-01,3076800
1988-01-01,2971400
1988-02-01,3006900
1988-03-01,3004500
1988-04-01,3059200
1988-05-01,3212100
1988-06-01,3295800
1988-07-01,3360600
1988-08-01,3375900
1988-09-01,3278800
1988-10-01,3266600
1988-11-01,3221500
1988-12-01,3156300
1989-01-01,3091000
1989-02-01,3096900
1989-03-01,3100600
1989-04-01,3149900
1989-05-01,3298700
1989-06-01,3393500
1989-07-01,3457400
1989-08-01,3474800
1989-09-01,3342800
1989-10-01,3336400
1989-11-01,3273500
1989-12-01,3179500
1990-01-01,3075300
1990-02-01,3097300
1990-03-01,3090600
1990-04-01,3134600
1990-05-01,3249800
1990-06-01,3348400
1990-07-01,3396200
1990-08-01,3403800
1990-09-01,3270300
1990-10-01,3228600
1990-11-01,3095900
1990-12-01,2991200
1991-01-01,2862800
1991-02-01,2818100
1991-03-01,2799600
1991-04-01,2847100
1991-05-01,3002700
1991-06-01,3091300
1991-07-01,3134500
1991-08-01,3129100
1991-09-01,3050400
1991-10-01,3012700
1991-11-01,2918100
1991-12-01,2832200
1992-01-01,2715100
1992-02-01,2709100
1992-03-01,2697400
1992-04-01,2747100
1992-05-01,2868400
1992-06-01,2984300
1992-07-01,3030800
1992-08-01,3018300
1992-09-01,2929300
1992-10-01,2890700
1992-11-01,2809800
1992-12-01,2734000
1993-01-01,2626600
1993-02-01,2639000
1993-03-01,2643700
1993-04-01,2665600
1993-05-01,2777400
1993-06-01,2901700
1993-07-01,2942700
1993-08-01,2920900
1993-09-01,2852200
1993-10-01,2824400
1993-11-01,2783400
1993-12-01,2682800
1994-01-01,2558400
1994-02-01,2587200
1994-03-01,2632400
1994-04-01,2698600
1994-05-01,2856400
1994-06-01,2969000
1994-07-01,3033000
1994-08-01,3030300
1994-09-01,2974600
1994-10-01,2963400
1994-11-01,2930300
1994-12-01,2856200
1995-01-01,2762200
1995-02-01,2766000
1995-03-01,2783400
1995-04-01,2816700
1995-05-01,2967500
1995-06-01,3040100
1995-07-01,3074400
1995-08-01,3081500
1995-09-01,3028000
1995-10-01,2998000
1995-11-01,2941500
1995-12-01,2864800
1996-01-01,2754100
1996-02-01,2758300
1996-03-01,2769100
1996-04-01,2823200
1996-05-01,2938400
1996-06-01,3027000
1996-07-01,3101700
1996-08-01,3139300
1996-09-01,3063300
1996-10-01,3022000
1996-11-01,2971400
1996-12-01,2910700
1997-01-01,2831600
