"Date","INTGSBCAM193N"
1950-01-01,2.83
1950-02-01,2.81
1950-03-01,2.82
1950-04-01,2.82
1950-05-01,2.81
1950-06-01,2.83
1950-07-01,2.93
1950-08-01,2.81
1950-09-01,2.84
1950-10-01,2.82
1950-11-01,2.96
1950-12-01,3.01
1951-01-01,3
1951-02-01,3.01
1951-03-01,3.22
1951-04-01,3.23
1951-05-01,3.24
1951-06-01,3.24
1951-07-01,3.23
1951-08-01,3.23
1951-09-01,3.24
1951-10-01,3.24
1951-11-01,3.42
1951-12-01,3.49
1952-01-01,3.48
1952-02-01,3.52
1952-03-01,3.53
1952-04-01,3.5
1952-05-01,3.46
1952-06-01,3.54
1952-07-01,3.61
1952-08-01,3.65
1952-09-01,3.65
1952-10-01,3.61
1952-11-01,3.6
1952-12-01,3.61
1953-01-01,3.68
1953-02-01,3.67
1953-03-01,3.68
1953-04-01,3.69
1953-05-01,3.73
1953-06-01,3.76
1953-07-01,3.75
1953-08-01,3.77
1953-09-01,3.77
1953-10-01,3.7
1953-11-01,3.65
1953-12-01,3.61
1954-01-01,3.55
1954-02-01,3.39
1954-03-01,3.11
1954-04-01,3.15
1954-05-01,3.14
1954-06-01,3.12
1954-07-01,3.09
1954-08-01,3.08
1954-09-01,3.11
1954-10-01,3.12
1954-11-01,3.12
1954-12-01,3.13
1955-01-01,3.13
1955-02-01,3.06
1955-03-01,3.02
1955-04-01,3.06
1955-05-01,3.06
1955-06-01,3.05
1955-07-01,2.89
1955-08-01,3.19
1955-09-01,3.22
1955-10-01,3.22
1955-11-01,3.34
1955-12-01,3.4
1956-01-01,3.3
1956-02-01,3.28
1956-03-01,3.41
1956-04-01,3.54
1956-05-01,3.52
1956-06-01,3.4
1956-07-01,3.6
1956-08-01,3.79
1956-09-01,3.88
1956-10-01,3.88
1956-11-01,3.93
1956-12-01,3.97
1957-01-01,4.14
1957-02-01,3.98
1957-03-01,4
1957-04-01,4.06
1957-05-01,4.24
1957-06-01,4.22
1957-07-01,4.27
1957-08-01,4.34
1957-09-01,4.31
1957-10-01,4.1
1957-11-01,3.85
1957-12-01,3.82
1958-01-01,3.91
1958-02-01,3.99
1958-03-01,3.99
1958-04-01,3.97
1958-05-01,3.84
1958-06-01,4.01
1958-07-01,4.08
1958-08-01,4.14
1958-09-01,4.29
1958-10-01,4.38
1958-11-01,4.56
1958-12-01,4.63
1959-01-01,4.65
1959-02-01,4.73
1959-03-01,4.84
1959-04-01,4.87
1959-05-01,4.93
1959-06-01,5.03
1959-07-01,5.01
1959-08-01,5.3
1959-09-01,5.49
1959-10-01,5.3
1959-11-01,5.3
1959-12-01,5.45
1960-01-01,5.56
1960-02-01,5.42
1960-03-01,5.31
1960-04-01,5.3
1960-05-01,5.2
1960-06-01,5.02
1960-07-01,5.1
1960-08-01,4.81
1960-09-01,4.8
1960-10-01,5.07
1960-11-01,5.32
1960-12-01,5.31
1961-01-01,5.24
1961-02-01,5.08
1961-03-01,5.18
1961-04-01,5.22
1961-05-01,5.17
1961-06-01,4.95
1961-07-01,4.96
1961-08-01,4.98
1961-09-01,5.01
1961-10-01,4.93
1961-11-01,4.9
1961-12-01,4.93
1962-01-01,4.97
1962-02-01,4.94
1962-03-01,4.86
1962-04-01,4.79
1962-05-01,4.99
1962-06-01,5.3
1962-07-01,5.44
1962-08-01,5.4
1962-09-01,5.38
1962-10-01,5.11
1962-11-01,5.08
