"Date","LFIN64MACAM647N"
1997-03-01,1999200
1997-04-01,1990700
1997-05-01,1780200
1997-06-01,1671800
1997-07-01,1551100
1997-08-01,1572500
1997-09-01,1818000
1997-10-01,1836400
1997-11-01,1880500
1997-12-01,1959500
1998-01-01,2036500
1998-02-01,2025200
1998-03-01,2021900
1998-04-01,1991400
1998-05-01,1821700
1998-06-01,1691100
1998-07-01,1553300
1998-08-01,1617100
1998-09-01,1866700
1998-10-01,1898200
1998-11-01,1922900
1998-12-01,1974300
1999-01-01,2033700
1999-02-01,2013500
1999-03-01,1992900
1999-04-01,1910000
1999-05-01,1758500
1999-06-01,1693700
1999-07-01,1547800
1999-08-01,1614200
1999-09-01,1839700
1999-10-01,1852100
1999-11-01,1899800
1999-12-01,1943900
2000-01-01,2032800
2000-02-01,2003500
2000-03-01,1994600
2000-04-01,1955600
2000-05-01,1773700
2000-06-01,1722100
2000-07-01,1577100
2000-08-01,1618300
2000-09-01,1877100
2000-10-01,1882200
2000-11-01,1912900
2000-12-01,1951900
2001-01-01,2030800
2001-02-01,2002600
2001-03-01,1989000
2001-04-01,1957200
2001-05-01,1784200
2001-06-01,1733800
2001-07-01,1630400
2001-08-01,1656700
2001-09-01,1929900
2001-10-01,1934000
2001-11-01,1972400
2001-12-01,1995800
2002-01-01,2012500
2002-02-01,2004100
2002-03-01,1965900
2002-04-01,1954500
2002-05-01,1737900
2002-06-01,1690800
2002-07-01,1533100
2002-08-01,1574000
2002-09-01,1829500
2002-10-01,1854500
2002-11-01,1878200
2002-12-01,1914700
2003-01-01,1981700
2003-02-01,1934400
2003-03-01,1947700
2003-04-01,1910500
2003-05-01,1712000
2003-06-01,1650500
2003-07-01,1516800
2003-08-01,1562200
2003-09-01,1830800
2003-10-01,1847700
2003-11-01,1876200
2003-12-01,1951400
2004-01-01,2003300
2004-02-01,2001800
2004-03-01,1989900
2004-04-01,1945400
2004-05-01,1771700
2004-06-01,1683900
2004-07-01,1579600
2004-08-01,1631100
2004-09-01,1882900
2004-10-01,1868600
2004-11-01,1908100
2004-12-01,1970800
2005-01-01,2062300
2005-02-01,2042000
2005-03-01,2035700
2005-04-01,2032900
2005-05-01,1807800
2005-06-01,1765300
2005-07-01,1625900
2005-08-01,1665700
2005-09-01,1945300
2005-10-01,1950800
2005-11-01,2012600
2005-12-01,2063000
2006-01-01,2110800
2006-02-01,2111100
2006-03-01,2072600
2006-04-01,2056800
2006-05-01,1834600
2006-06-01,1795900
2006-07-01,1644300
2006-08-01,1686000
2006-09-01,1937000
2006-10-01,1979900
2006-11-01,1999700
2006-12-01,2054200
2007-01-01,2095000
2007-02-01,2107700
2007-03-01,2095500
2007-04-01,2039100
2007-05-01,1846400
2007-06-01,1782900
2007-07-01,1660100
2007-08-01,1725500
2007-09-01,1996900
2007-10-01,1976900
2007-11-01,1984200
2007-12-01,2030200
2008-01-01,2087200
2008-02-01,2106100
2008-03-01,2039900
2008-04-01,2016500
2008-05-01,1852200
2008-06-01,1765400
2008-07-01,1694400
2008-08-01,1732200
2008-09-01,1951700
2008-10-01,1960400
2008-11-01,1991400
2008-12-01,2090800
2009-01-01,2161300
2009-02-01,2146500
2009-03-01,2128500
2009-04-01,2097400
2009-05-01,1917800
2009-06-01,1876800
2009-07-01,1775000
2009-08-01,1850200
2009-09-01,2134300
2009-10-01,2124600
2009-11-01,2121200
2009-12-01,2200300
2010-01-01,2300300
2010-02-01,2290300
2010-03-01,2258200
2010-04-01,2186100
2010-05-01,1993500
2010-06-01,1946600
2010-07-01,1821000
2010-08-01,1850700
2010-09-01,2115700
