"Date","LFHUADMACAM647N"
2008-09-01,398100
2008-10-01,407100
2008-11-01,471700
2008-12-01,523900
2009-01-01,666000
2009-02-01,714900
2009-03-01,770300
2009-04-01,750400
2009-05-01,679100
2009-06-01,620400
2009-07-01,633500
2009-08-01,623400
2009-09-01,589000
2009-10-01,590200
2009-11-01,630300
2009-12-01,676200
2010-01-01,735200
2010-02-01,712300
2010-03-01,732000
2010-04-01,689800
2010-05-01,645700
2010-06-01,555000
2010-07-01,585900
2010-08-01,596000
2010-09-01,519900
2010-10-01,513700
2010-11-01,552300
2010-12-01,592900
2011-01-01,659500
2011-02-01,654400
2011-03-01,682200
2011-04-01,651500
2011-05-01,555300
2011-06-01,508500
2011-07-01,502300
2011-08-01,512000
2011-09-01,451500
2011-10-01,464400
2011-11-01,510400
2011-12-01,564100
2012-01-01,643600
2012-02-01,605700
2012-03-01,629400
2012-04-01,608100
2012-05-01,541200
2012-06-01,489900
2012-07-01,510600
2012-08-01,513200
2012-09-01,449400
2012-10-01,490600
2012-11-01,511500
2012-12-01,518700
2013-01-01,611200
2013-02-01,576800
2013-03-01,614600
2013-04-01,591400
2013-05-01,532900
2013-06-01,495700
2013-07-01,507800
2013-08-01,502200
2013-09-01,458400
2013-10-01,479800
2013-11-01,512800
2013-12-01,580200
2014-01-01,632500
2014-02-01,632900
2014-03-01,631600
2014-04-01,607000
2014-05-01,546600
2014-06-01,499000
2014-07-01,518500
2014-08-01,494700
2014-09-01,447900
2014-10-01,457200
2014-11-01,471500
2014-12-01,497400
2015-01-01,591100
2015-02-01,607700
2015-03-01,622300
2015-04-01,589300
2015-05-01,547800
2015-06-01,491800
2015-07-01,508200
2015-08-01,524500
2015-09-01,485100
2015-10-01,484000
2015-11-01,546600
2015-12-01,590100
2016-01-01,684000
2016-02-01,700500
2016-03-01,696900
2016-04-01,668200
2016-05-01,542200
2016-06-01,506200
2016-07-01,514700
2016-08-01,561600
2016-09-01,493300
2016-10-01,512800
2016-11-01,524200
2016-12-01,569800
2017-01-01,624200
2017-02-01,610500
2017-03-01,638800
2017-04-01,604500
2017-05-01,532400
2017-06-01,487400
2017-07-01,464000
2017-08-01,476700
2017-09-01,448900
2017-10-01,458600
2017-11-01,455300
2017-12-01,477700
2018-01-01,539600
2018-02-01,534100
2018-03-01,536700
2018-04-01,524200
2018-05-01,449500
2018-06-01,420800
2018-07-01,433500
2018-08-01,463900
2018-09-01,395100
2018-10-01,391300
2018-11-01,421000
2018-12-01,439100
2019-01-01,553700
2019-02-01,552300
2019-03-01,548500
2019-04-01,542900
2019-05-01,452400
2019-06-01,431300
2019-07-01,425500
2019-08-01,448700
2019-09-01,361600
2019-10-01,380900
2019-11-01,441300
2019-12-01,453300
2020-01-01,524900
2020-02-01,527400
2020-03-01,664700
2020-04-01,1110700
2020-05-01,1029600
2020-06-01,810100
2020-07-01,783300
2020-08-01,733400
2020-09-01,647000
2020-10-01,641800
2020-11-01,646600
2020-12-01,689800
2021-01-01,799400
2021-02-01,725600
2021-03-01,710900
2021-04-01,692600
2021-05-01,651900
2021-06-01,616700
2021-07-01,604100
2021-08-01,613500
2021-09-01,527100
2021-10-01,507000
2021-11-01,495100
2021-12-01,470000
2022-01-01,575700
2022-02-01,510400
2022-03-01,482600
2022-04-01,466400
2022-05-01,410400
2022-06-01,361000
2022-07-01,368400
2022-08-01,421400
2022-09-01,353300
2022-10-01,350700
2022-11-01,383400
2022-12-01,399800
2023-01-01,495300
2023-02-01,457700
2023-03-01,477600
2023-04-01,472800
2023-05-01,401600
2023-06-01,390100
2023-07-01,419500
2023-08-01,428900
2023-09-01,412800
2023-10-01,441000
2023-11-01,458200
