"Date","LFEM24TTCAM647S"
1997-01-01,2050300
1997-02-01,2034200
1997-03-01,2021500
1997-04-01,2012500
1997-05-01,2008800
1997-06-01,2015300
1997-07-01,2016700
1997-08-01,2038300
1997-09-01,2033500
1997-10-01,2028500
1997-11-01,2036400
1997-12-01,2023800
1998-01-01,2020900
1998-02-01,2033400
1998-03-01,2042100
1998-04-01,2057300
1998-05-01,2071800
1998-06-01,2058900
1998-07-01,2095900
1998-08-01,2107400
1998-09-01,2120200
1998-10-01,2114800
1998-11-01,2137200
1998-12-01,2144000
1999-01-01,2169000
1999-02-01,2160300
1999-03-01,2172600
1999-04-01,2168100
1999-05-01,2177600
1999-06-01,2184700
1999-07-01,2198800
1999-08-01,2203200
1999-09-01,2212600
1999-10-01,2218000
1999-11-01,2232700
1999-12-01,2245500
2000-01-01,2249700
2000-02-01,2249800
2000-03-01,2254500
2000-04-01,2269600
2000-05-01,2271000
2000-06-01,2274500
2000-07-01,2278500
2000-08-01,2288400
2000-09-01,2328900
2000-10-01,2329700
2000-11-01,2329000
2000-12-01,2351300
2001-01-01,2333400
2001-02-01,2315800
2001-03-01,2315100
2001-04-01,2325800
2001-05-01,2329200
2001-06-01,2314100
2001-07-01,2321700
2001-08-01,2321900
2001-09-01,2329100
2001-10-01,2319000
2001-11-01,2316200
2001-12-01,2313000
2002-01-01,2345400
2002-02-01,2343100
2002-03-01,2356600
2002-04-01,2366000
2002-05-01,2374200
2002-06-01,2386300
2002-07-01,2402300
2002-08-01,2424300
2002-09-01,2397100
2002-10-01,2408100
2002-11-01,2412300
2002-12-01,2430600
2003-01-01,2431100
2003-02-01,2456400
2003-03-01,2463800
2003-04-01,2445500
2003-05-01,2429300
2003-06-01,2439000
2003-07-01,2425900
2003-08-01,2424900
2003-09-01,2419300
2003-10-01,2430100
2003-11-01,2439800
2003-12-01,2439100
2004-01-01,2439400
2004-02-01,2423100
2004-03-01,2426600
2004-04-01,2446900
2004-05-01,2446200
2004-06-01,2474300
2004-07-01,2470100
2004-08-01,2459000
2004-09-01,2491700
2004-10-01,2478700
2004-11-01,2481800
2004-12-01,2483900
2005-01-01,2471100
2005-02-01,2470900
2005-03-01,2443800
2005-04-01,2461100
2005-05-01,2461200
2005-06-01,2453900
2005-07-01,2476800
2005-08-01,2500500
2005-09-01,2496100
2005-10-01,2511200
2005-11-01,2529400
2005-12-01,2528600
2006-01-01,2543400
2006-02-01,2561700
2006-03-01,2587000
2006-04-01,2571500
2006-05-01,2596400
2006-06-01,2586900
2006-07-01,2582300
2006-08-01,2581100
2006-09-01,2576500
2006-10-01,2605000
2006-11-01,2600200
2006-12-01,2604400
2007-01-01,2620300
2007-02-01,2624600
2007-03-01,2637000
2007-04-01,2622000
2007-05-01,2641700
2007-06-01,2651300
2007-07-01,2670400
2007-08-01,2666400
2007-09-01,2651600
2007-10-01,2661500
2007-11-01,2661100
2007-12-01,2670500
2008-01-01,2661500
2008-02-01,2667500
2008-03-01,2663100
2008-04-01,2672600
2008-05-01,2653600
2008-06-01,2659100
2008-07-01,2657600
2008-08-01,2663600
2008-09-01,2685100
2008-10-01,2672200
2008-11-01,2642100
2008-12-01,2615700
2009-01-01,2565000
2009-02-01,2546500
2009-03-01,2537600
2009-04-01,2520200
2009-05-01,2522000
2009-06-01,2496800
2009-07-01,2466400
2009-08-01,2456500
2009-09-01,2467700
2009-10-01,2456500
2009-11-01,2464400
2009-12-01,2460100
2010-01-01,2486000
2010-02-01,2485000
2010-03-01,2483200
2010-04-01,2502000
2010-05-01,2497400
2010-06-01,2509500
2010-07-01,2505900
2010-08-01,2502900
2010-09-01,2465900
2010-10-01,2477800
2010-11-01,2487200
2010-12-01,2511600
2011-01-01,2515400
2011-02-01,2515900
2011-03-01,2504300
2011-04-01,2503100
2011-05-01,2501300
2011-06-01,2516100
2011-07-01,2540800
2011-08-01,2550800
2011-09-01,2542700
2011-10-01,2526900
2011-11-01,2529100
2011-12-01,2501000
2012-01-01,2483900
2012-02-01,2451500
2012-03-01,2490700
2012-04-01,2528100
2012-05-01,2487800
2012-06-01,2480400
2012-07-01,2494400
2012-08-01,2493300
2012-09-01,2505100
2012-10-01,2503400
2012-11-01,2512500
2012-12-01,2529400
2013-01-01,2546200
2013-02-01,2556800
2013-03-01,2523200
2013-04-01,2519800
2013-05-01,2540500
2013-06-01,2545400
2013-07-01,2502200
2013-08-01,2503200
2013-09-01,2509400
2013-10-01,2501600
2013-11-01,2488200
2013-12-01,2482000
2014-01-01,2475600
2014-02-01,2480800
2014-03-01,2493300
2014-04-01,2481900
2014-05-01,2496600
2014-06-01,2500200
2014-07-01,2525400
2014-08-01,2500900
2014-09-01,2511300
2014-10-01,2525000
2014-11-01,2521100
2014-12-01,2528700
2015-01-01,2523000
2015-02-01,2521600
2015-03-01,2529800
2015-04-01,2495500
2015-05-01,2518300
2015-06-01,2486300
2015-07-01,2487400
2015-08-01,2487600
2015-09-01,2496500
2015-10-01,2489800
2015-11-01,2465100
2015-12-01,2454500
2016-01-01,2456800
2016-02-01,2460700
2016-03-01,2451300
2016-04-01,2472300
2016-05-01,2428000
2016-06-01,2440600
2016-07-01,2432200
2016-08-01,2475100
2016-09-01,2474500
2016-10-01,2489800
2016-11-01,2490900
2016-12-01,2503600
2017-01-01,2507200
2017-02-01,2509900
2017-03-01,2518000
2017-04-01,2527300
2017-05-01,2545100
2017-06-01,2547600
2017-07-01,2552600
2017-08-01,2526100
2017-09-01,2543900
2017-10-01,2563200
2017-11-01,2598300
2017-12-01,2594400
2018-01-01,2572300
2018-02-01,2553800
2018-03-01,2575000
2018-04-01,2553100
2018-05-01,2557800
2018-06-01,2569000
2018-07-01,2590800
2018-08-01,2585300
2018-09-01,2580400
2018-10-01,2560000
2018-11-01,2569100
2018-12-01,2574000
2019-01-01,2618200
2019-02-01,2633600
2019-03-01,2616700
2019-04-01,2682400
2019-05-01,2642200
2019-06-01,2642700
2019-07-01,2611400
2019-08-01,2630900
2019-09-01,2602500
2019-10-01,2622000
2019-11-01,2615300
2019-12-01,2621800
2020-01-01,2619800
2020-02-01,2632800
2020-03-01,2192400
2020-04-01,1723300
2020-05-01,1729400
2020-06-01,2025900
2020-07-01,2155000
2020-08-01,2225500
2020-09-01,2385700
2020-10-01,2368300
2020-11-01,2365600
2020-12-01,2320200
2021-01-01,2223400
2021-02-01,2332700
2021-03-01,2449200
2021-04-01,2364700
2021-05-01,2302100
2021-06-01,2469800
2021-07-01,2531000
2021-08-01,2579600
2021-09-01,2607500
2021-10-01,2612800
2021-11-01,2622300
2021-12-01,2629000
2022-01-01,2518800
2022-02-01,2654300
2022-03-01,2659000
2022-04-01,2661400
2022-05-01,2655400
2022-06-01,2645000
2022-07-01,2636500
2022-08-01,2633000
2022-09-01,2588900
2022-10-01,2613700
2022-11-01,2624900
2022-12-01,2679000
2023-01-01,2686300
2023-02-01,2699100
2023-03-01,2715600
2023-04-01,2724100
2023-05-01,2646800
2023-06-01,2676600
2023-07-01,2695000
2023-08-01,2697700
2023-09-01,2695400
2023-10-01,2689700
2023-11-01,2676400
