"Date","LFEM25MACAM647S"
1997-02-01,5505700
1997-03-01,5520600
1997-04-01,5505300
1997-05-01,5549000
1997-06-01,5572600
1997-07-01,5593300
1997-08-01,5618100
1997-09-01,5642000
1997-10-01,5646200
1997-11-01,5656100
1997-12-01,5663400
1998-01-01,5653600
1998-02-01,5667700
1998-03-01,5677300
1998-04-01,5690300
1998-05-01,5673100
1998-06-01,5684100
1998-07-01,5683600
1998-08-01,5698700
1998-09-01,5700700
1998-10-01,5711600
1998-11-01,5713500
1998-12-01,5718900
1999-01-01,5729500
1999-02-01,5735800
1999-03-01,5735500
1999-04-01,5750900
1999-05-01,5768400
1999-06-01,5748700
1999-07-01,5761400
1999-08-01,5758000
1999-09-01,5764400
1999-10-01,5779500
1999-11-01,5801500
1999-12-01,5839400
2000-01-01,5839300
2000-02-01,5856600
2000-03-01,5862600
2000-04-01,5856200
2000-05-01,5855100
2000-06-01,5851600
2000-07-01,5869500
2000-08-01,5863900
2000-09-01,5871500
2000-10-01,5877200
2000-11-01,5883900
2000-12-01,5891600
2001-01-01,5896700
2001-02-01,5897900
2001-03-01,5875500
2001-04-01,5884900
2001-05-01,5881800
2001-06-01,5874900
2001-07-01,5870200
2001-08-01,5868800
2001-09-01,5869700
2001-10-01,5876500
2001-11-01,5875300
2001-12-01,5843000
2002-01-01,5814200
2002-02-01,5837400
2002-03-01,5870900
2002-04-01,5881800
2002-05-01,5901200
2002-06-01,5927100
2002-07-01,5929700
2002-08-01,5944800
2002-09-01,5941200
2002-10-01,5941000
2002-11-01,5949000
2002-12-01,5948600
2003-01-01,5955400
2003-02-01,5967200
2003-03-01,5949900
2003-04-01,5952000
2003-05-01,5948100
2003-06-01,5942900
2003-07-01,5950800
2003-08-01,5928700
2003-09-01,5950500
2003-10-01,5954700
2003-11-01,5980900
2003-12-01,5992600
2004-01-01,5995800
2004-02-01,5973200
2004-03-01,5988600
2004-04-01,5992600
2004-05-01,5990700
2004-06-01,6e+06
2004-07-01,6016600
2004-08-01,6033900
2004-09-01,6010800
2004-10-01,6036100
2004-11-01,6013500
2004-12-01,6014000
2005-01-01,6026900
2005-02-01,6026600
2005-03-01,6039500
2005-04-01,6028400
2005-05-01,6031300
2005-06-01,6042900
2005-07-01,6037200
2005-08-01,6055900
2005-09-01,6059800
2005-10-01,6062900
2005-11-01,6056300
2005-12-01,6065800
2006-01-01,6037100
2006-02-01,6052100
2006-03-01,6068700
2006-04-01,6093400
2006-05-01,6102100
2006-06-01,6096700
2006-07-01,6088900
2006-08-01,6093300
2006-09-01,6097700
2006-10-01,6074800
2006-11-01,6063200
2006-12-01,6081100
2007-01-01,6105400
2007-02-01,6097600
2007-03-01,6082700
2007-04-01,6083300
2007-05-01,6091000
2007-06-01,6101000
2007-07-01,6119200
2007-08-01,6096600
2007-09-01,6118900
2007-10-01,6108100
2007-11-01,6135700
2007-12-01,6134400
2008-01-01,6161300
2008-02-01,6168700
2008-03-01,6182900
2008-04-01,6177700
2008-05-01,6179000
2008-06-01,6165700
2008-07-01,6147000
2008-08-01,6157600
2008-09-01,6145800
2008-10-01,6170500
2008-11-01,6143800
2008-12-01,6114800
2009-01-01,6041800
2009-02-01,6011300
2009-03-01,5983100
2009-04-01,5962700
2009-05-01,5962400
2009-06-01,5963500
2009-07-01,5984600
2009-08-01,5977400
2009-09-01,5972200
2009-10-01,6004900
2009-11-01,6002200
2009-12-01,5983200
2010-01-01,5980600
2010-02-01,5970900
2010-03-01,5992200
2010-04-01,6014900
2010-05-01,6016100
2010-06-01,6046400
2010-07-01,6047800
2010-08-01,6064200
2010-09-01,6073400
2010-10-01,6054400
2010-11-01,6065700
2010-12-01,6066900
2011-01-01,6088800
2011-02-01,6085200
