"Date","CANLOLITOTRGYSAM"
1962-02-01,7.73950160211258
1962-03-01,7.03957100999035
1962-04-01,6.26993136828735
1962-05-01,5.51030832743087
1962-06-01,4.82890561449235
1962-07-01,4.29040904363527
1962-08-01,3.94690067119612
1962-09-01,3.83002944782531
1962-10-01,3.90970267643621
1962-11-01,4.12949290422744
1962-12-01,4.44982018057572
1963-01-01,4.85350131522163
1963-02-01,5.31645703485779
1963-03-01,5.83656556643556
1963-04-01,6.39420140818778
1963-05-01,6.9050774104582
1963-06-01,7.28999976529104
1963-07-01,7.53836505016684
1963-08-01,7.66510276866867
1963-09-01,7.69877956939686
1963-10-01,7.64703751775067
1963-11-01,7.55127313319115
1963-12-01,7.46082566260648
1964-01-01,7.39268535740105
1964-02-01,7.32301006862832
1964-03-01,7.23739280690661
1964-04-01,7.11649676857309
1964-05-01,7.0105072814137
1964-06-01,6.9639536436492
1964-07-01,6.94963363865138
1964-08-01,6.93630440028929
1964-09-01,6.88838365159616
1964-10-01,6.81411134146849
1964-11-01,6.72255744730117
1964-12-01,6.6058737182459
1965-01-01,6.46526140323926
1965-02-01,6.32290716312806
1965-03-01,6.18184849558354
1965-04-01,6.03941473355902
1965-05-01,5.88695914138904
1965-06-01,5.73135223577591
1965-07-01,5.60255064030181
1965-08-01,5.50423253711515
1965-09-01,5.43857284391364
1965-10-01,5.41265432854538
1965-11-01,5.40755311520122
1965-12-01,5.4017699761211
1966-01-01,5.36066819364888
1966-02-01,5.25344905364743
1966-03-01,5.06918352828043
1966-04-01,4.83861144900327
1966-05-01,4.59444316255393
1966-06-01,4.35797939445288
1966-07-01,4.11934301516611
1966-08-01,3.88308061848815
1966-09-01,3.66873883096787
1966-10-01,3.47758610412864
1966-11-01,3.30604797161338
1966-12-01,3.17313308279937
1967-01-01,3.11427762844578
1967-02-01,3.16341148602361
1967-03-01,3.33037799942829
1967-04-01,3.60993458422051
1967-05-01,3.97018229434374
1967-06-01,4.37758330316343
1967-07-01,4.79296122604394
1967-08-01,5.1749704518011
1967-09-01,5.46854254477592
1967-10-01,5.64562882800169
1967-11-01,5.72622183189903
1967-12-01,5.7218493022787
1968-01-01,5.64131987488408
1968-02-01,5.524278913216
1968-03-01,5.43199735042053
1968-04-01,5.38986692061317
1968-05-01,5.37561830438216
1968-06-01,5.37776502904333
1968-07-01,5.41114933570312
1968-08-01,5.48728268667996
1968-09-01,5.61676326913991
1968-10-01,5.7923544811521
1968-11-01,5.97211683522332
1968-12-01,6.12490070041503
1969-01-01,6.24757625048165
1969-02-01,6.28874747918808
1969-03-01,6.19067465221442
1969-04-01,5.92152597998971
1969-05-01,5.52129774079602
1969-06-01,5.00389043035814
1969-07-01,4.42149655247615
1969-08-01,3.83209247071913
1969-09-01,3.26047209563939
1969-10-01,2.71972631829896
1969-11-01,2.21890008538679
1969-12-01,1.77260626830247
1970-01-01,1.38898791858591
1970-02-01,1.10331797658484
1970-03-01,0.913461393763924
1970-04-01,0.840283271132431
1970-05-01,0.893957373022382
1970-06-01,1.07610271391886
1970-07-01,1.32308412572763
1970-08-01,1.60470683915298
1970-09-01,1.93101853641928
1970-10-01,2.36299667304182
1970-11-01,2.97528815972509
1970-12-01,3.75695377407668
1971-01-01,4.6301920064962
1971-02-01,5.50139297891087
1971-03-01,6.30443671048951
1971-04-01,7.00033566623084
1971-05-01,7.55157948233493
1971-06-01,7.95147087344132
1971-07-01,8.22614884446133
1971-08-01,8.37540599659985
1971-09-01,8.40698451127846
1971-10-01,8.31445238161859
1971-11-01,8.10200641537753
1971-12-01,7.80542793412492
1972-01-01,7.45961560334574
1972-02-01,7.09147617642828
1972-03-01,6.75906942048151
1972-04-01,6.49255636616152
1972-05-01,6.31300330435739
1972-06-01,6.23165459383715
1972-07-01,6.27118842617337
1972-08-01,6.44900163519347
1972-09-01,6.72076920773795
1972-10-01,7.00106591222794
1972-11-01,7.18952592351565
1972-12-01,7.21593803787279
1973-01-01,7.08697263049116
1973-02-01,6.83929210746671
1973-03-01,6.50300927481585
1973-04-01,6.09856040549815
1973-05-01,5.66058185936297
1973-06-01,5.22388438855206
1973-07-01,4.7885566506514
1973-08-01,4.32818667623807
1973-09-01,3.88142669081196
1973-10-01,3.44676645610649
1973-11-01,3.01168035421762
1973-12-01,2.61907021290004
1974-01-01,2.29801306594975
1974-02-01,2.0339551128475
1974-03-01,1.79218154958903
1974-04-01,1.53598511647224
1974-05-01,1.23416289040789
1974-06-01,0.860385991607908
1974-07-01,0.410523105291006
1974-08-01,-0.0981923139160756
1974-09-01,-0.629993422429458
1974-10-01,-1.08928267336071
1974-11-01,-1.37300358551459
1974-12-01,-1.41669049994277
1975-01-01,-1.17494571863625
1975-02-01,-0.655669367362928
1975-03-01,0.086786092081555
1975-04-01,1.01218856792232
1975-05-01,2.04894667060796
1975-06-01,3.13331030475541
1975-07-01,4.19795467020767
1975-08-01,5.19502265543613
1975-09-01,6.06997045303288
1975-10-01,6.79710675849507
1975-11-01,7.35554624866243
1975-12-01,7.69721272925331
1976-01-01,7.77492189122026
1976-02-01,7.59807585202562
1976-03-01,7.21957387883825
1976-04-01,6.68384181829384
1976-05-01,6.05028245721691
1976-06-01,5.37997468986908
1976-07-01,4.75417000830641
1976-08-01,4.24315240186203
1976-09-01,3.8562245034741
1976-10-01,3.60278640599867
1976-11-01,3.47839266950015
1976-12-01,3.45908689175758
1977-01-01,3.48523926650161
1977-02-01,3.5521085362622
1977-03-01,3.66233488010562
1977-04-01,3.80064936803827
1977-05-01,3.97665118625326
