"Date","EXP0006"
1994-01-01,2859.1
1994-02-01,2995
1994-03-01,3886
1994-04-01,3390.4
1994-05-01,3738.5
1994-06-01,3872
1994-07-01,3358.4
1994-08-01,3821.2
1994-09-01,3832.8
1994-10-01,4060.9
1994-11-01,3887
1994-12-01,3772.7
1995-01-01,3764
1995-02-01,3861.4
1995-03-01,4413.4
1995-04-01,3965.2
1995-05-01,4317.5
1995-06-01,4254.8
1995-07-01,3611.8
1995-08-01,4192.9
1995-09-01,4161.3
1995-10-01,4306.2
1995-11-01,4144.8
1995-12-01,3546.8
1996-01-01,3822.9
1996-02-01,3994.9
1996-03-01,4462.2
1996-04-01,4294.6
1996-05-01,4237.1
1996-06-01,4356.3
1996-07-01,4154.8
1996-08-01,4229.7
1996-09-01,4519.9
1996-10-01,5050.4
1996-11-01,4621.7
1996-12-01,3979.1
1997-01-01,4616.6
1997-02-01,4735.4
1997-03-01,5051.1
1997-04-01,5323
1997-05-01,5114.2
1997-06-01,5008.7
1997-07-01,5082.7
1997-08-01,5059.8
1997-09-01,5465.6
1997-10-01,5896.7
1997-11-01,5086.3
1997-12-01,5009.7
1998-01-01,4861.2
1998-02-01,4675.6
1998-03-01,5320.7
1998-04-01,5126.2
1998-05-01,5096.1
1998-06-01,5210.9
1998-07-01,4580.3
1998-08-01,4665.4
1998-09-01,4917.9
1998-10-01,5078.7
1998-11-01,4588.3
1998-12-01,4222.1
1999-01-01,4067.4
1999-02-01,4247.4
1999-03-01,5087.3
1999-04-01,4797.7
1999-05-01,4908.4
1999-06-01,4948.6
1999-07-01,4517.6
1999-08-01,4836.1
1999-09-01,5099.8
1999-10-01,5146
1999-11-01,4942.1
1999-12-01,4629.5
2000-01-01,4452.3
2000-02-01,4780
2000-03-01,5455.5
2000-04-01,4873
2000-05-01,5097.8
2000-06-01,4517.6
2000-07-01,4469.2
2000-08-01,5165.7
2000-09-01,4934.8
2000-10-01,5173.8
2000-11-01,4809.1
2000-12-01,4116.7
2001-01-01,4699.3
2001-02-01,4435.8
2001-03-01,5438.6
2001-04-01,5261.6
2001-05-01,5551.1
2001-06-01,5522.6
2001-07-01,4827.5
2001-08-01,5330.7
2001-09-01,4972
2001-10-01,5431.5
2001-11-01,4872.1
2001-12-01,4120.1
2002-01-01,4371.2
2002-02-01,4696.5
2002-03-01,5463.8
2002-04-01,5371.4
2002-05-01,5741.3
2002-06-01,5513.3
2002-07-01,4432.7
2002-08-01,5216.9
