"Date","LFAC64TTCAM647N"
1976-01-01,9903400
1976-02-01,9949700
1976-03-01,10027300
1976-04-01,10097100
1976-05-01,10309400
1976-06-01,10570700
1976-07-01,10842000
1976-08-01,10756300
1976-09-01,10356800
1976-10-01,10358500
1976-11-01,10342600
1976-12-01,10316400
1977-01-01,10220300
1977-02-01,10301200
1977-03-01,10370400
1977-04-01,10407400
1977-05-01,10661500
1977-06-01,10834700
1977-07-01,11088600
1977-08-01,11045800
1977-09-01,10646700
1977-10-01,10660400
1977-11-01,10626400
1977-12-01,10580300
1978-01-01,10453600
1978-02-01,10571900
1978-03-01,10718500
1978-04-01,10725100
1978-05-01,11007600
1978-06-01,11225200
1978-07-01,11503500
1978-08-01,11470700
1978-09-01,11060000
1978-10-01,11070700
1978-11-01,11054600
1978-12-01,11000700
1979-01-01,10925800
1979-02-01,10982000
1979-03-01,11107100
1979-04-01,11147900
1979-05-01,11381200
1979-06-01,11578700
1979-07-01,11836200
1979-08-01,11820900
1979-09-01,11387800
1979-10-01,11465800
1979-11-01,11423600
1979-12-01,11334900
1980-01-01,11315500
1980-02-01,11347700
1980-03-01,11456000
1980-04-01,11499000
1980-05-01,11708700
1980-06-01,12018800
1980-07-01,12149000
1980-08-01,12145400
1980-09-01,11750500
1980-10-01,11768000
1980-11-01,11719400
1980-12-01,11640300
1981-01-01,11610900
1981-02-01,11718800
1981-03-01,11829700
1981-04-01,11821300
1981-05-01,12114800
1981-06-01,12423900
1981-07-01,12537400
1981-08-01,12496200
1981-09-01,12147500
1981-10-01,12119800
1981-11-01,12036900
1981-12-01,11921000
1982-01-01,11777000
1982-02-01,11813100
1982-03-01,11964200
1982-04-01,11936600
1982-05-01,12187800
1982-06-01,12429000
1982-07-01,12625100
1982-08-01,12492200
1982-09-01,12094200
1982-10-01,12132700
1982-11-01,12060800
1982-12-01,12012600
1983-01-01,11911600
1983-02-01,11984800
1983-03-01,12167000
1983-04-01,12166800
1983-05-01,12459900
1983-06-01,12697800
1983-07-01,12858200
1983-08-01,12802800
1983-09-01,12388600
1983-10-01,12349900
1983-11-01,12283500
1983-12-01,12231900
1984-01-01,12086800
1984-02-01,12204100
1984-03-01,12338900
1984-04-01,12344200
1984-05-01,12680900
1984-06-01,12859100
1984-07-01,13053000
1984-08-01,12991200
1984-09-01,12661100
1984-10-01,12630100
1984-11-01,12576700
1984-12-01,12476200
1985-01-01,12409200
1985-02-01,12474800
1985-03-01,12661200
1985-04-01,12665400
1985-05-01,12930600
1985-06-01,13105300
1985-07-01,13310700
1985-08-01,13274000
1985-09-01,12846500
1985-10-01,12874500
1985-11-01,12868500
1985-12-01,12797500
1986-01-01,12744100
1986-02-01,12797000
1986-03-01,12922200
1986-04-01,12980500
1986-05-01,13184100
1986-06-01,13455600
1986-07-01,13584900
1986-08-01,13528800
1986-09-01,13088200
1986-10-01,13086700
1986-11-01,13038400
1986-12-01,12968100
1987-01-01,12902400
1987-02-01,12983800
1987-03-01,13143000
1987-04-01,13150800
1987-05-01,13418300
1987-06-01,13655900
1987-07-01,13800200
1987-08-01,13760200
1987-09-01,13356500
1987-10-01,13392400
1987-11-01,13333800
1987-12-01,13309300
1988-01-01,13194800
1988-02-01,13266000
1988-03-01,13381600
1988-04-01,13375200
1988-05-01,13714000
1988-06-01,13858300
1988-07-01,14068800
1988-08-01,14034100
1988-09-01,13612300
1988-10-01,13636500
1988-11-01,13563300
1988-12-01,13503200
1989-01-01,13505300
1989-02-01,13540300
1989-03-01,13671400
1989-04-01,13664400
1989-05-01,13963300
1989-06-01,14120600
1989-07-01,14304400
1989-08-01,14295100
1989-09-01,13875300
1989-10-01,13882000
1989-11-01,13843700
1989-12-01,13774500
1990-01-01,13727900
1990-02-01,13759300
1990-03-01,13770700
1990-04-01,13839100
1990-05-01,14113800
1990-06-01,14300000
1990-07-01,14519400
1990-08-01,14489700
1990-09-01,14091300
1990-10-01,14106300
1990-11-01,14003400
1990-12-01,13905100
1991-01-01,13808000
1991-02-01,13871000
1991-03-01,13974300
1991-04-01,13956700
1991-05-01,14252800
1991-06-01,14447600
1991-07-01,14644600
1991-08-01,14582200
1991-09-01,14100700
1991-10-01,14120200
1991-11-01,14004900
1991-12-01,13884100
1992-01-01,13771900
1992-02-01,13827500
1992-03-01,13950500
1992-04-01,13871900
1992-05-01,14194000
1992-06-01,14464400
1992-07-01,14617500
1992-08-01,14553500
1992-09-01,14113800
1992-10-01,14112100
1992-11-01,14156700
1992-12-01,14021700
1993-01-01,13848000
1993-02-01,13906300
1993-03-01,14054300
1993-04-01,14026400
1993-05-01,14322900
1993-06-01,14590100
1993-07-01,14759000
1993-08-01,14646800
1993-09-01,14255100
1993-10-01,14204600
1993-11-01,14188900
1993-12-01,14095900
1994-01-01,13961900
1994-02-01,14027000
1994-03-01,14073700
1994-04-01,14113000
1994-05-01,14481100
1994-06-01,14635000
1994-07-01,14842300
1994-08-01,14809800
1994-09-01,14419800
1994-10-01,14387500
1994-11-01,14357400
1994-12-01,14263500
1995-01-01,14199200
1995-02-01,14201300
1995-03-01,14327500
1995-04-01,14244500
1995-05-01,14582300
1995-06-01,14775700
1995-07-01,14978700
1995-08-01,14909300
1995-09-01,14465600
1995-10-01,14472800
1995-11-01,14355800
1995-12-01,14338400
1996-01-01,14291500
1996-02-01,14345700
1996-03-01,14385300
1996-04-01,14387000
1996-05-01,14699500
1996-06-01,14928100
1996-07-01,15138800
1996-08-01,15074700
1996-09-01,14676600
1996-10-01,14660800
1996-11-01,14610300
1996-12-01,14536900
1997-01-01,14462400
1997-02-01,14517900
1997-03-01,14556100
1997-04-01,14603300
1997-05-01,14941700
1997-06-01,15174400
1997-07-01,15311700
1997-08-01,15330700
1997-09-01,14926600
1997-10-01,14926200
1997-11-01,14886200
1997-12-01,14755900
1998-01-01,14680900
1998-02-01,14749300
1998-03-01,14788900
1998-04-01,14847100
1998-05-01,15149900
1998-06-01,15363500
1998-07-01,15551200
1998-08-01,15513500
1998-09-01,15158000
1998-10-01,15124600
1998-11-01,15109400
1998-12-01,15057200
1999-01-01,14967700
1999-02-01,15011700
1999-03-01,15055000
1999-04-01,15211600
1999-05-01,15500400
1999-06-01,15619600
1999-07-01,15830300
1999-08-01,15782400
1999-09-01,15405100
1999-10-01,15385800
1999-11-01,15334300
1999-12-01,15288900
2000-01-01,15170800
2000-02-01,15284000
2000-03-01,15327100
2000-04-01,15383200
2000-05-01,15727000
2000-06-01,15852600
2000-07-01,16052100
2000-08-01,16066700
2000-09-01,15671300
2000-10-01,15700300
2000-11-01,15668000
2000-12-01,15619300
2001-01-01,15506000
2001-02-01,15549000
2001-03-01,15615300
2001-04-01,15700000
2001-05-01,16016700
2001-06-01,16115300
2001-07-01,16273900
2001-08-01,16279700
2001-09-01,15857600
2001-10-01,15860300
2001-11-01,15863700
2001-12-01,15849700
2002-01-01,15832400
2002-02-01,15854800
2002-03-01,15955200
2002-04-01,16026900
2002-05-01,16414400
2002-06-01,16544900
2002-07-01,16772100
2002-08-01,16806400
2002-09-01,16402200
2002-10-01,16394700
2002-11-01,16389900
2002-12-01,16361300
2003-01-01,16245900
2003-02-01,16334800
2003-03-01,16353400
2003-04-01,16418700
2003-05-01,16786000
2003-06-01,16920300
2003-07-01,17093200
2003-08-01,17112000
2003-09-01,16691800
2003-10-01,16684100
2003-11-01,16674500
2003-12-01,16621900
2004-01-01,16495500
2004-02-01,16524800
2004-03-01,16557800
2004-04-01,16641800
2004-05-01,16993700
2004-06-01,17165800
2004-07-01,17265800
2004-08-01,17246100
2004-09-01,16834600
2004-10-01,16866300
2004-11-01,16861200
2004-12-01,16775700
2005-01-01,16634100
2005-02-01,16698400
2005-03-01,16695600
2005-04-01,16729100
2005-05-01,17132500
2005-06-01,17232800
2005-07-01,17372700
2005-08-01,17408300
2005-09-01,16963300
2005-10-01,17000800
2005-11-01,16922900
2005-12-01,16883400
2006-01-01,16849300
2006-02-01,16847900
2006-03-01,16915400
2006-04-01,16988600
2006-05-01,17394500
2006-06-01,17478300
2006-07-01,17674300
2006-08-01,17640300
2006-09-01,17222000
2006-10-01,17216800
2006-11-01,17205400
2006-12-01,17173700
2007-01-01,17124300
2007-02-01,17141500
2007-03-01,17209200
2007-04-01,17265500
2007-05-01,17624000
2007-06-01,17740700
2007-07-01,17918500
2007-08-01,17913100
2007-09-01,17485200
2007-10-01,17526900
2007-11-01,17517200
2007-12-01,17456600
2008-01-01,17357900
2008-02-01,17394800
2008-03-01,17461600
2008-04-01,17511300
2008-05-01,17871400
2008-06-01,17996500
2008-07-01,18059800
2008-08-01,18097500
2008-09-01,17705000
2008-10-01,17750700
2008-11-01,17713300
2008-12-01,17640400
2009-01-01,17499500
2009-02-01,17568800
2009-03-01,17634000
2009-04-01,17695100
2009-05-01,18051200
2009-06-01,18133800
2009-07-01,18222500
2009-08-01,18244100
2009-09-01,17767000
2009-10-01,17760300
2009-11-01,17829000
2009-12-01,17699500
2010-01-01,17595000
2010-02-01,17624400
2010-03-01,17679200
2010-04-01,17797400
2010-05-01,18149900
2010-06-01,18289400
2010-07-01,18413200
2010-08-01,18472200
2010-09-01,17996000
2010-10-01,17939800
2010-11-01,17931800
2010-12-01,17857600
2011-01-01,17819000
2011-02-01,17852200
2011-03-01,17882600
2011-04-01,18000200
2011-05-01,18301800
2011-06-01,18412900
2011-07-01,18496800
2011-08-01,18544300
2011-09-01,18081200
2011-10-01,18048800
2011-11-01,18016900
2011-12-01,17939100
2012-01-01,17860800
2012-02-01,17871400
2012-03-01,17939800
2012-04-01,18131800
2012-05-01,18472800
2012-06-01,18498800
2012-07-01,18595700
2012-08-01,18714600
2012-09-01,18290500
2012-10-01,18276600
2012-11-01,18253200
2012-12-01,18226000
2013-01-01,18101300
2013-02-01,18168500
2013-03-01,18164000
2013-04-01,18260000
2013-05-01,18630700
2013-06-01,18701000
2013-07-01,18786100
2013-08-01,18844000
2013-09-01,18362600
2013-10-01,18366700
2013-11-01,18310100
2013-12-01,18237600
2014-01-01,18120400
2014-02-01,18155600
2014-03-01,18193100
2014-04-01,18235200
2014-05-01,18627200
2014-06-01,18723400
2014-07-01,18809200
2014-08-01,18796000
2014-09-01,18405500
2014-10-01,18385600
2014-11-01,18337900
2014-12-01,18267100
2015-01-01,18158500
2015-02-01,18252900
2015-03-01,18310800
2015-04-01,18333000
2015-05-01,18708500
2015-06-01,18787100
2015-07-01,18873200
2015-08-01,18943100
2015-09-01,18504400
2015-10-01,18475900
2015-11-01,18402200
2015-12-01,18374700
2016-01-01,18268200
2016-02-01,18334500
2016-03-01,18387100
2016-04-01,18469200
2016-05-01,18806000
2016-06-01,18854800
2016-07-01,18902300
2016-08-01,18975400
2016-09-01,18571400
2016-10-01,18602500
2016-11-01,18547000
2016-12-01,18530300
2017-01-01,18524900
2017-02-01,18506800
2017-03-01,18594700
2017-04-01,18601800
2017-05-01,19017200
2017-06-01,19128000
2017-07-01,19192900
2017-08-01,19221800
2017-09-01,18765000
2017-10-01,18833400
2017-11-01,18815100
2017-12-01,18781900
2018-01-01,18609800
2018-02-01,18646700
2018-03-01,18733000
2018-04-01,18773000
2018-05-01,19140200
2018-06-01,19319600
2018-07-01,19415400
2018-08-01,19480200
2018-09-01,19059200
2018-10-01,19066600
2018-11-01,19068400
2018-12-01,19012400
2019-01-01,18929000
2019-02-01,18991400
2019-03-01,19031600
2019-04-01,19176700
2019-05-01,19498800
2019-06-01,19642000
2019-07-01,19698900
2019-08-01,19776300
2019-09-01,19374700
2019-10-01,19336200
2019-11-01,19320500
2019-12-01,19225700
2020-01-01,19100900
2020-02-01,19182700
2020-03-01,18615100
2020-04-01,17641500
2020-05-01,18420900
2020-06-01,19286100
2020-07-01,19507800
2020-08-01,19658100
2020-09-01,19351800
2020-10-01,19401900
2020-11-01,19309800
2020-12-01,19213900
2021-01-01,19022500
2021-02-01,19140800
2021-03-01,19283800
2021-04-01,19230000
2021-05-01,19525600
2021-06-01,19786500
2021-07-01,19878500
2021-08-01,19945100
2021-09-01,19634400
2021-10-01,19582000
2021-11-01,19607600
2021-12-01,19562600
2022-01-01,19350900
2022-02-01,19517900
2022-03-01,19556700
2022-04-01,19623700
2022-05-01,20007500
2022-06-01,20011300
2022-07-01,20049700
2022-08-01,20105500
2022-09-01,19701100
2022-10-01,19786200
2022-11-01,19758100
2022-12-01,19722500
2023-01-01,19777700
2023-02-01,19836900
2023-03-01,19923100
2023-04-01,19965400
2023-05-01,20362600
2023-06-01,20536900
2023-07-01,20611500
2023-08-01,20628100
2023-09-01,20259000
2023-10-01,20335100
2023-11-01,20314900
