"Date","LRAC55TTCAM156N"
1976-01-01,52.2285229741905
1976-02-01,52.1718452758402
1976-03-01,52.6346295710823
1976-04-01,53.1263135771332
1976-05-01,52.7926228649272
1976-06-01,53.0146290491118
1976-07-01,53.305892773407
1976-08-01,53.6551150828701
1976-09-01,54.1679626749611
1976-10-01,53.7450858679909
1976-11-01,52.9912765188665
1976-12-01,52.9229976822045
1977-01-01,52.3963630759747
1977-02-01,51.9956960598453
1977-03-01,52.2034764826176
1977-04-01,52.1654848747641
1977-05-01,52.477614977615
1977-06-01,52.0255863539446
1977-07-01,52.1910937737474
1977-08-01,52.360016171417
1977-09-01,52.5869894099849
1977-10-01,52.8639017515603
1977-11-01,52.4718649517685
1977-12-01,51.7931484175152
1978-01-01,50.725798378216
1978-02-01,51.2613017633248
1978-03-01,51.7979153159443
1978-04-01,51.8247448344536
1978-05-01,52.2678722241542
1978-06-01,52.3037246441502
1978-07-01,52.3177496038035
1978-08-01,52.6047844998023
1978-09-01,53.1533754441374
1978-10-01,52.8255407203035
1978-11-01,52.3390230704904
1978-12-01,52.0681862841423
1979-01-01,52.2754021184778
1979-02-01,52.6676456191875
1979-03-01,53.4069801544628
1979-04-01,53.7542079328682
1979-05-01,53.7120031176929
1979-06-01,53.8959143968872
1979-07-01,52.8940468097504
1979-08-01,52.7660606060606
1979-09-01,52.8976034858388
1979-10-01,52.7666360605035
1979-11-01,52.5622466705269
1979-12-01,52.0262130776273
1980-01-01,52.6262626262626
1980-02-01,52.6055424811488
1980-03-01,52.8940679998082
1980-04-01,52.4821676480444
1980-05-01,53.2855436081242
1980-06-01,52.5535262982214
1980-07-01,52.6375928394591
1980-08-01,52.4336914155337
1980-09-01,52.3524947827736
1980-10-01,52.8762842668434
1980-11-01,52.1765845819351
1980-12-01,51.8425895342801
1981-01-01,51.106611414579
1981-02-01,51.9127737569321
1981-03-01,52.017264027022
1981-04-01,51.8077931809667
1981-05-01,52.2814399251987
1981-06-01,52.1923686911092
1981-07-01,51.9349881246216
1981-08-01,52.3920219443023
1981-09-01,53.4332374501252
1981-10-01,52.8112263801408
1981-11-01,52.6009155222638
1981-12-01,52.1813397350076
1982-01-01,51.5641557244874
1982-02-01,51.3794371896267
1982-03-01,51.5997245811338
1982-04-01,51.6863715516451
1982-05-01,52.1430858606651
1982-06-01,51.9600237302058
1982-07-01,51.4717944044473
1982-08-01,51.4775413711584
1982-09-01,51.9308435812497
1982-10-01,51.768648942434
1982-11-01,51.7157195171572
1982-12-01,51.2501128260673
1983-01-01,50.7655588579663
1983-02-01,50.9639149777558
1983-03-01,51.3344996187144
1983-04-01,51.9231630322841
1983-05-01,51.8652548809364
1983-06-01,51.4473038669105
1983-07-01,50.5366288131819
1983-08-01,50.82885205102
1983-09-01,51.2600940633597
1983-10-01,51.3954106494197
1983-11-01,50.5506656641161
1983-12-01,50.704411959546
1984-01-01,50.3989772076004
1984-02-01,50.5941378399789
1984-03-01,51.3931616419091
1984-04-01,50.868802106187
1984-05-01,50.988124972613
1984-06-01,51.1246280413093
1984-07-01,50.1092561839
1984-08-01,49.683502859388
1984-09-01,50.6039858706554
1984-10-01,50.7447735191638
1984-11-01,50.3220191470844
1984-12-01,49.6913043478261
1985-01-01,49.9587333304374
1985-02-01,50.327733645874
1985-03-01,50.8978919059599
1985-04-01,50.9404524573113
1985-05-01,50.5824275754558
1985-06-01,50.484596746279
1985-07-01,50.3134321905668
1985-08-01,49.9935202384552
1985-09-01,50.1553599171414
1985-10-01,50.6360774505153
1985-11-01,50.91786606912
1985-12-01,50.3768140906938
1986-01-01,49.5417186625931
1986-02-01,49.9483915362119
1986-03-01,50.3932946486138
1986-04-01,50.1481767813426
1986-05-01,50.4420600858369
1986-06-01,49.9935674771645
1986-07-01,49.4620429508337
1986-08-01,49.0490061686086
1986-09-01,49.2658704678738
1986-10-01,49.1379679144385
1986-11-01,48.9417197588404
1986-12-01,48.7456728920039
1987-01-01,48.6076706244128
1987-02-01,49.1869051175893
1987-03-01,49.6907392398584
1987-04-01,50.1001747730082
1987-05-01,49.7891373801917
1987-06-01,48.7168574711665
1987-07-01,48.915447431099
1987-08-01,48.7545694125648
1987-09-01,49.7536527353041
1987-10-01,49.5331069609508
1987-11-01,49.2046659597031
1987-12-01,49.7286755977616
1988-01-01,48.8942552109812
1988-02-01,49.1341716414751
1988-03-01,49.2975031739314
1988-04-01,49.4332120801963
1988-05-01,49.9154620001691
1988-06-01,49.5205103290947
1988-07-01,49.2525337837838
1988-08-01,49.6010806703533
1988-09-01,50.4663037515297
1988-10-01,49.7721518987342
1988-11-01,48.9136396236763
1988-12-01,49.0234127821135
1989-01-01,49.1225109686129
1989-02-01,49.5254165787808
1989-03-01,49.6372226440564
1989-04-01,49.67314748429
1989-05-01,49.131388092427
1989-06-01,49.6838111298482
1989-07-01,48.0463645943098
1989-08-01,48.004887709097
1989-09-01,49.5218435354089
1989-10-01,49.3282230552163
1989-11-01,49.1809491725271
1989-12-01,48.8989010063582
1990-01-01,49.2505894240485
1990-02-01,48.8276152388971
1990-03-01,48.8109768929669
1990-04-01,49.2048801009676
1990-05-01,49.047398746688
1990-06-01,49.3252616975659
1990-07-01,48.7310924369748
1990-08-01,49.2104821098606
1990-09-01,49.9727154430592
1990-10-01,49.5238095238095
1990-11-01,49.1297236086063
1990-12-01,48.9015596176421
1991-01-01,48.0932025815104
1991-02-01,48.2195224130708
1991-03-01,48.8777219430486
1991-04-01,48.8239725454089
1991-05-01,48.6425434009621
1991-06-01,49.2431211842435
