"Date","CANPRINTO01MLM"
1961-01-01,6121653212.1671
1961-02-01,6444539118.94448
1961-03-01,6353933379.79777
1961-04-01,6541734366.39278
1961-05-01,6660345515.8212
1961-06-01,6594450432.80541
1961-07-01,6566445022.5237
1961-08-01,6731182730.06318
1961-09-01,7108432080.32859
1961-10-01,7085368801.27306
1961-11-01,7133142736.45952
1961-12-01,6726240598.837
1962-01-01,6747656500.81713
1962-02-01,7159500769.66583
1962-03-01,7245164377.58636
1962-04-01,7255048640.03873
1962-05-01,7449439134.93532
1962-06-01,7202332573.6261
1962-07-01,7320943723.05452
1962-08-01,7413196839.27663
1962-09-01,7754203893.88336
1962-10-01,7645477006.9073
1962-11-01,7675129794.26441
1962-12-01,7136437490.6103
1963-01-01,7233632738.0586
1963-02-01,7640534875.68112
1963-03-01,7615824219.55019
1963-04-01,7724551106.52625
1963-05-01,7915646847.27205
1963-06-01,7727845860.67704
1963-07-01,7414844216.35203
1963-08-01,7660303400.58585
1963-09-01,8177579802.25982
1963-10-01,8185816687.6368
1963-11-01,8431275871.87062
1963-12-01,7945299634.62915
1964-01-01,8011194717.64495
1964-02-01,8483991938.28326
1964-03-01,8454339150.92615
1964-04-01,8556476529.60063
1964-05-01,8759103909.87419
1964-06-01,8347259641.02549
1964-07-01,8179227179.33522
1964-08-01,8502113086.1126
1964-09-01,8946904896.4692
1964-10-01,8955141781.84617
1964-11-01,9189069326.55224
1964-12-01,8609192596.01326
1965-01-01,8768988172.32656
1965-02-01,9091874079.10394
1965-03-01,9215427359.75855
1965-04-01,9258259163.71881
1965-05-01,9424644248.33369
1965-06-01,9180832441.17526
1965-07-01,8943610142.31841
1965-08-01,9210485228.53237
1965-09-01,9587734578.79778
1965-10-01,9851314910.86095
1965-11-01,10035821143.3052
1965-12-01,9574555562.19462
1966-01-01,9548197528.9883
1966-02-01,10032526389.1544
1966-03-01,9936978518.78148
1966-04-01,10080300324.3408
1966-05-01,10068768684.8131
1966-06-01,9699756219.92462
1966-07-01,9391696706.8258
1966-08-01,9745882778.03568
1966-09-01,10193969342.5431
1966-10-01,10342233279.3286
1966-11-01,10408128362.3444
1966-12-01,9892499337.74582
1967-01-01,9851314910.86095
1967-02-01,10226916884.051
1967-03-01,10190674588.3923
1967-04-01,10375180820.8365
1967-05-01,10317522623.1977
1967-06-01,10034173766.2298
1967-07-01,9587734578.79778
1967-08-01,10063826553.5869
1967-09-01,10571218692.8085
1967-10-01,10526739511.7728
1967-11-01,10861157058.078
1967-12-01,10506970986.8681
1968-01-01,10235153769.4279
1968-02-01,10612403119.6933
1968-03-01,10676650825.6337
1968-04-01,11017657880.2405
1968-05-01,11126384767.2165
1968-06-01,10938583780.6215
1968-07-01,10259864425.5589
1968-08-01,10648645415.352
1968-09-01,11497044609.1804
1968-10-01,11640366414.7397
1968-11-01,11961604944.4417
1968-12-01,11304301491.3592
1969-01-01,11266411818.6251
