"Date","LFHU24MACAM647S"
1976-01-01,205400
1976-02-01,200700
1976-03-01,196500
1976-04-01,198500
1976-05-01,201500
1976-06-01,209900
1976-07-01,227000
1976-08-01,204600
1976-09-01,191100
1976-10-01,205800
1976-11-01,206500
1976-12-01,213500
1977-01-01,219300
1977-02-01,223700
1977-03-01,218600
1977-04-01,220100
1977-05-01,225300
1977-06-01,232300
1977-07-01,248700
1977-08-01,249800
1977-09-01,257200
1977-10-01,247900
1977-11-01,256500
1977-12-01,252000
1978-01-01,244900
1978-02-01,242300
1978-03-01,245800
1978-04-01,251900
1978-05-01,247000
1978-06-01,245900
1978-07-01,247200
1978-08-01,247600
1978-09-01,244900
1978-10-01,229600
1978-11-01,245000
1978-12-01,240000
1979-01-01,239900
1979-02-01,246000
1979-03-01,233300
1979-04-01,244300
1979-05-01,229400
1979-06-01,214200
1979-07-01,209100
1979-08-01,198200
1979-09-01,202900
1979-10-01,216300
1979-11-01,213600
1979-12-01,218300
1980-01-01,223800
1980-02-01,221700
1980-03-01,238800
1980-04-01,239000
1980-05-01,239200
1980-06-01,254000
1980-07-01,242300
1980-08-01,238100
1980-09-01,228900
1980-10-01,222400
1980-11-01,221300
1980-12-01,229100
1981-01-01,234200
1981-02-01,234200
1981-03-01,239000
1981-04-01,223500
1981-05-01,226700
1981-06-01,230100
1981-07-01,225400
1981-08-01,214700
1981-09-01,265800
1981-10-01,264200
1981-11-01,267300
1981-12-01,272400
1982-01-01,282100
1982-02-01,286700
1982-03-01,294600
1982-04-01,311400
1982-05-01,328200
1982-06-01,351500
1982-07-01,383900
1982-08-01,382000
1982-09-01,390800
1982-10-01,399500
1982-11-01,379700
1982-12-01,387700
1983-01-01,373300
1983-02-01,376200
1983-03-01,373700
1983-04-01,382000
1983-05-01,378900
1983-06-01,372200
1983-07-01,354000
1983-08-01,360400
1983-09-01,333500
1983-10-01,325100
1983-11-01,339200
1983-12-01,332500
1984-01-01,327800
1984-02-01,318100
1984-03-01,316400
1984-04-01,329600
1984-05-01,333600
1984-06-01,319800
1984-07-01,309900
1984-08-01,303200
1984-09-01,306800
1984-10-01,291700
1984-11-01,296300
1984-12-01,282400
1985-01-01,277900
1985-02-01,273600
1985-03-01,3e+05
1985-04-01,283000
1985-05-01,279400
1985-06-01,301000
1985-07-01,272900
1985-08-01,271500
1985-09-01,275900
1985-10-01,276800
1985-11-01,273500
1985-12-01,275700
1986-01-01,266300
1986-02-01,277200
1986-03-01,268500
1986-04-01,253900
1986-05-01,254700
1986-06-01,256100
1986-07-01,258600
1986-08-01,254500
1986-09-01,251900
1986-10-01,239900
1986-11-01,231600
1986-12-01,240300
1987-01-01,244800
1987-02-01,249800
1987-03-01,247100
1987-04-01,232600
1987-05-01,227400
1987-06-01,219700
1987-07-01,220000
1987-08-01,217200
1987-09-01,206200
1987-10-01,209400
1987-11-01,203200
1987-12-01,197700
1988-01-01,201700
1988-02-01,183900
1988-03-01,186400
1988-04-01,189600
1988-05-01,195900
1988-06-01,179900
1988-07-01,178200
1988-08-01,183600
1988-09-01,193100
1988-10-01,200700
1988-11-01,192600
1988-12-01,186000
1989-01-01,183000
1989-02-01,186400
1989-03-01,183400
1989-04-01,191000
1989-05-01,182800
1989-06-01,179400
1989-07-01,171400
1989-08-01,166100
1989-09-01,171000
1989-10-01,180800
1989-11-01,183100
1989-12-01,187300
1990-01-01,204600
1990-02-01,187400
1990-03-01,166500
1990-04-01,179600
1990-05-01,184400
1990-06-01,173000
1990-07-01,189700
1990-08-01,201100
1990-09-01,210400
1990-10-01,213900
1990-11-01,215700
1990-12-01,232800
1991-01-01,246800
1991-02-01,256800
1991-03-01,259000
1991-04-01,260700
1991-05-01,259100
1991-06-01,273000
1991-07-01,277400
1991-08-01,269000
1991-09-01,263600
1991-10-01,246800
1991-11-01,243100
1991-12-01,247300
1992-01-01,247100
1992-02-01,244800
1992-03-01,256400
1992-04-01,252100
1992-05-01,266100
1992-06-01,283700
1992-07-01,267200
1992-08-01,286600
1992-09-01,262100
1992-10-01,252500
1992-11-01,272300
1992-12-01,265400
1993-01-01,254200
1993-02-01,243200
1993-03-01,261600
1993-04-01,266900
1993-05-01,262300
1993-06-01,285400
1993-07-01,268700
1993-08-01,250800
1993-09-01,249600
1993-10-01,249500
1993-11-01,258500
1993-12-01,244500
1994-01-01,256400
1994-02-01,258100
1994-03-01,242000
1994-04-01,239800
1994-05-01,244500
1994-06-01,230700
1994-07-01,226600
1994-08-01,232300
1994-09-01,221000
1994-10-01,225900
1994-11-01,213200
1994-12-01,210900
1995-01-01,199200
1995-02-01,197900
1995-03-01,207800
1995-04-01,209900
1995-05-01,206600
