"Date","XTNTVA01CAM667S"
1960-01-01,6346518.5262397
1960-02-01,8847018.4136939
1960-03-01,565436.615037555
1960-04-01,-61736738.7091285
1960-05-01,-7589177.30259085
1960-06-01,-15695461.8093388
1960-07-01,13645879.2368487
1960-08-01,9339312.26979371
1960-09-01,-7928141.26736288
1960-10-01,21586126.2427907
1960-11-01,-27423402.5381843
1960-12-01,-29056702.1010107
1961-01-01,14720375.4715669
1961-02-01,-1912529.04756141
1961-03-01,12222254.401003
1961-04-01,67536729.5917028
1961-05-01,-57407921.0605642
1961-06-01,22368720.764223
1961-07-01,41693447.6406154
1961-08-01,7336604.04012223
1961-09-01,38130151.278983
1961-10-01,-5881265.61510771
1961-11-01,-15322672.3916271
1961-12-01,17197390.5886433
1962-01-01,1221968.86842513
1962-02-01,-1492653.27939593
1962-03-01,-28136440.0272053
1962-04-01,13924176.2748734
1962-05-01,-15631762.6440652
1962-06-01,22813574.5206284
1962-07-01,-24492971.7043386
1962-08-01,7379435.99833525
1962-09-01,-9539110.30756374
1962-10-01,42468401.4593267
1962-11-01,42556224.4651752
1962-12-01,36898166.6531098
1963-01-01,31151212.8638604
1963-02-01,29689031.3760435
1963-03-01,45635619.409632
1963-04-01,34085946.6918793
1963-05-01,49171934.8938115
1963-06-01,26146996.8987083
1963-07-01,-242249.378833466
1963-08-01,7756852.13659043
1963-09-01,22375281.7334039
1963-10-01,21211238.9282178
1963-11-01,63808794.3620015
1963-12-01,61391026.8711922
1964-01-01,57595441.7513737
1964-02-01,60324292.9740013
1964-03-01,46445886.040941
1964-04-01,32425298.725585
1964-05-01,15852841.0408517
1964-06-01,117102599.900784
1964-07-01,102932457.509558
1964-08-01,95155071.9463416
1964-09-01,92377716.4675627
1964-10-01,52964824.3123979
1964-11-01,40914330.8810578
1964-12-01,46788747.5668614
1965-01-01,20639543.3145631
1965-02-01,14091682.7025677
1965-03-01,8408276.88683024
1965-04-01,24528679.3001561
1965-05-01,20057028.510858
1965-06-01,-27346999.8124275
1965-07-01,21216918.7004003
1965-08-01,13158740.1359014
1965-09-01,-33380976.8443288
1965-10-01,29631771.5660455
1965-11-01,36983595.1459155
1965-12-01,-1479620.68794864
1966-01-01,42344816.1096287
1966-02-01,23446425.6146587
1966-03-01,-6189845.94369191
1966-04-01,16953788.5833111
1966-05-01,-5433534.95642662
1966-06-01,-5463582.79110928
1966-07-01,13026016.6112526
1966-08-01,102223289.037656
1966-09-01,44765874.823727
1966-10-01,-19760987.9621913
1966-11-01,33128670.6290651
1966-12-01,26245002.2764777
1967-01-01,97380471.1013654
1967-02-01,50061003.5480914
1967-03-01,8077905.4683554
1967-04-01,18209113.7738966
1967-05-01,28583765.1101368
1967-06-01,65039292.9183292
1967-07-01,2542863.51829248
1967-08-01,42778245.6968804
1967-09-01,-33614157.2996335
1967-10-01,63434909.4243927
1967-11-01,79788105.8407656
1967-12-01,80054746.4704044
1968-01-01,63060516.6996551
1968-02-01,29380513.9678376
1968-03-01,125410794.152014
1968-04-01,100468942.029061
1968-05-01,125166066.515877
1968-06-01,137099416.849884
1968-07-01,120646578.720862
1968-08-01,132352877.00317
1968-09-01,117755140.168533
1968-10-01,109475712.365904
1968-11-01,73131368.5553231
1968-12-01,89675208.4834929
1969-01-01,54880455.7144379
1969-02-01,43097519.1894283
1969-03-01,96333450.8940236
1969-04-01,47307093.819
