"Date","LCEAMN06CAM189S"
1961-01-01,472761000
1961-02-01,474124000
1961-03-01,474200000
1961-04-01,474099000
1961-05-01,477799000
1961-06-01,484728000
1961-07-01,490087000
1961-08-01,492747000
1961-09-01,493095000
1961-10-01,497317000
1961-11-01,498226000
1961-12-01,501080000
1962-01-01,502890000
1962-02-01,506145000
1962-03-01,509153000
1962-04-01,515540000
1962-05-01,518722000
1962-06-01,521715000
1962-07-01,526928000
1962-08-01,526684000
1962-09-01,529137000
1962-10-01,530001000
1962-11-01,532023000
1962-12-01,532556000
1963-01-01,536267000
1963-02-01,538548000
1963-03-01,541748000
1963-04-01,548632000
1963-05-01,552575000
1963-06-01,554036000
1963-07-01,552941000
1963-08-01,560397000
1963-09-01,564949000
1963-10-01,569917000
1963-11-01,577458000
1963-12-01,583264000
1964-01-01,588922000
1964-02-01,591696000
1964-03-01,593881000
1964-04-01,594035000
1964-05-01,602336000
1964-06-01,605298000
1964-07-01,606654000
1964-08-01,622488000
1964-09-01,624936000
1964-10-01,619536000
1964-11-01,626331000
1964-12-01,628187000
1965-01-01,642692000
1965-02-01,640066000
1965-03-01,654996000
1965-04-01,658686000
1965-05-01,663914000
1965-06-01,671079000
1965-07-01,670665000
1965-08-01,677651000
1965-09-01,684836000
1965-10-01,700514000
1965-11-01,710390000
1965-12-01,719183000
1966-01-01,717805000
1966-02-01,729439000
1966-03-01,734779000
1966-04-01,741770000
1966-05-01,746512000
1966-06-01,751969000
1966-07-01,763682000
1966-08-01,762576000
1966-09-01,766284000
1966-10-01,771469000
1966-11-01,771544000
1966-12-01,767132000
1967-01-01,791916000
1967-02-01,793841000
1967-03-01,797103000
1967-04-01,795083000
1967-05-01,791387000
1967-06-01,791307000
1967-07-01,802228000
1967-08-01,803428000
1967-09-01,800287000
1967-10-01,803864000
1967-11-01,811531000
1967-12-01,816238000
1968-01-01,821427000
1968-02-01,818102000
1968-03-01,818714000
1968-04-01,853388000
1968-05-01,846008000
1968-06-01,844550000
1968-07-01,848713000
1968-08-01,863565000
1968-09-01,875720000
1968-10-01,881952000
1968-11-01,892938000
1968-12-01,894547000
1969-01-01,898866000
1969-02-01,908694000
1969-03-01,917905000
1969-04-01,930155000
1969-05-01,938257000
1969-06-01,942349000
1969-07-01,943316000
1969-08-01,935733000
1969-09-01,942140000
1969-10-01,942944000
1969-11-01,960145000
1969-12-01,977498000
1970-01-01,974966000
1970-02-01,976359000
1970-03-01,976344000
1970-04-01,979185000
1970-05-01,975044000
1970-06-01,983205000
1970-07-01,983290000
1970-08-01,990024000
1970-09-01,976307000
1970-10-01,976226000
1970-11-01,982002000
1970-12-01,992112000
1971-01-01,1012099000
1971-02-01,1026332000
1971-03-01,1017021000
1971-04-01,1025503000
1971-05-01,1033924000
1971-06-01,1043787000
1971-07-01,1045428000
1971-08-01,1062111000
1971-09-01,1066597000
1971-10-01,1062421000
1971-11-01,1071328000
1971-12-01,1086130000
1972-01-01,1096818000
1972-02-01,1102953000
1972-03-01,1117332000
1972-04-01,1145899000
1972-05-01,1141521000
1972-06-01,1141872000
1972-07-01,1148789000
1972-08-01,1176007000
1972-09-01,1186497000
1972-10-01,1195790000
1972-11-01,1211578000
1972-12-01,1219399000
1973-01-01,1237237000
1973-02-01,1256339000
1973-03-01,1268709000
1973-04-01,1277775000
1973-05-01,1280663000
1973-06-01,1296395000
1973-07-01,1.299e+09
1973-08-01,1302735000
1973-09-01,1321831000
1973-10-01,1353001000
1973-11-01,1378388000
1973-12-01,1396831000
1974-01-01,1424171000
1974-02-01,1428042000
1974-03-01,1451444000
1974-04-01,1476484000
1974-05-01,1491143000
1974-06-01,1499086000
1974-07-01,1525332000
1974-08-01,1548524000
1974-09-01,1574574000
1974-10-01,1587394000
1974-11-01,1601568000
1974-12-01,1603513000
1975-01-01,1601108000
1975-02-01,1598301000
1975-03-01,1617811000
1975-04-01,1636808000
1975-05-01,1662851000
1975-06-01,1667646000
1975-07-01,1666214000
1975-08-01,1671757000
1975-09-01,1681236000
1975-10-01,1713997000
1975-11-01,1744150000
1975-12-01,1775890000
1976-01-01,1794919000
1976-02-01,1840255000
1976-03-01,1880234000
1976-04-01,1899962000
1976-05-01,1903755000
1976-06-01,1903903000
1976-07-01,1917233000
1976-08-01,1920057000
1976-09-01,1916506000
1976-10-01,1913514000
1976-11-01,1956915000
1976-12-01,2000752000
1977-01-01,1974437000
1977-02-01,1994835000
1977-03-01,2012858000
1977-04-01,2023909000
1977-05-01,2033611000
1977-06-01,2053149000
1977-07-01,2069458000
1977-08-01,2094650000
1977-09-01,2104440000
1977-10-01,2124504000
1977-11-01,2139519000
1977-12-01,2144371000
1978-01-01,2144404000
1978-02-01,2196343000
1978-03-01,2214936000
1978-04-01,2231592000
1978-05-01,2260200000
1978-06-01,2287093000
1978-07-01,2278785000
1978-08-01,2317531000
1978-09-01,2351966000
1978-10-01,2371026000
1978-11-01,2404732000
1978-12-01,2400765000
1979-01-01,2463246000
1979-02-01,2479760000
1979-03-01,2494025000
1979-04-01,2517356000
1979-05-01,2557680000
1979-06-01,2560472000
1979-07-01,2580869000
1979-08-01,2633208000
1979-09-01,2652695000
1979-10-01,2683573000
1979-11-01,2707736000
1979-12-01,2783181000
1980-01-01,2771679000
1980-02-01,2780051000
1980-03-01,2825286000
1980-04-01,2806191000
1980-05-01,2794564000
1980-06-01,2794405000
1980-07-01,2816322000
1980-08-01,2828326000
1980-09-01,2915269000
1980-10-01,2963125000
1980-11-01,2988995000
1980-12-01,3056299000
1981-01-01,3011021000
1981-02-01,3053161000
1981-03-01,3083833000
1981-04-01,3135557000
1981-05-01,3186543000
1981-06-01,3216856000
1981-07-01,3166418000
1981-08-01,3135113000
1981-09-01,3222933000
1981-10-01,3256298000
1981-11-01,3259248000
1981-12-01,3269827000
1982-01-01,3256268000
1982-02-01,3288174000
1982-03-01,3290053000
1982-04-01,3301832000
1982-05-01,3266438000
1982-06-01,3256693000
1982-07-01,3264866000
1982-08-01,3178876000
1982-09-01,3181968000
1982-10-01,3132961000
1982-11-01,3127841000
1982-12-01,3147419000
1983-01-01,3177913000
1983-02-01,3211057000
1983-03-01,3245695000
1983-04-01,3309827000
1983-05-01,3357046000
1983-06-01,3393113000
1983-07-01,3430674000
1983-08-01,3471827000
1983-09-01,3484749000
1983-10-01,3518575000
1983-11-01,3524551000
1983-12-01,3531995000
1984-01-01,3576435000
1984-02-01,3564770000
1984-03-01,3543699000
1984-04-01,3597897000
1984-05-01,3652096000
1984-06-01,3674939000
1984-07-01,3697351000
1984-08-01,3730763000
1984-09-01,3746686000
1984-10-01,3729793000
1984-11-01,3791001000
1984-12-01,3799819000
1985-01-01,3795888000
1985-02-01,3831323000
1985-03-01,3857020000
1985-04-01,3871468000
1985-05-01,3899974000
1985-06-01,3906561000
1985-07-01,3989593000
1985-08-01,3967716000
1985-09-01,3971519000
1985-10-01,3979766000
1985-11-01,4061048000
1985-12-01,4084764000
1986-01-01,4094369000
1986-02-01,4105101000
1986-03-01,4114582000
1986-04-01,4133378000
1986-05-01,4147833000
1986-06-01,4144102000
1986-07-01,4173736000
1986-08-01,4104495000
1986-09-01,4126162000
1986-10-01,4158161000
1986-11-01,4183031000
1986-12-01,4238119000
1987-01-01,4246962000
1987-02-01,4294719000
1987-03-01,4313555000
1987-04-01,4332428000
1987-05-01,4341670000
1987-06-01,4378888000
1987-07-01,4383099000
1987-08-01,4429783000
1987-09-01,4490121000
1987-10-01,4511212000
1987-11-01,4517157000
1987-12-01,4586520000
1988-01-01,4632676000
1988-02-01,4661352000
1988-03-01,4716933000
1988-04-01,4758044000
1988-05-01,4785143000
1988-06-01,4827177000
1988-07-01,4845046000
1988-08-01,4855641000
1988-09-01,4902449000
1988-10-01,4944216000
1988-11-01,4960022000
1988-12-01,5004097000
1989-01-01,5022346000
1989-02-01,5050326000
1989-03-01,5046720000
1989-04-01,5083847000
1989-05-01,5087798000
1989-06-01,5105884000
1989-07-01,5135961000
1989-08-01,5152404000
1989-09-01,5158120000
1989-10-01,5139446000
1989-11-01,5183788000
1989-12-01,5196424000
1990-01-01,5149328000
1990-02-01,5186205000
1990-03-01,5202417000
1990-04-01,5182919000
1990-05-01,5166637000
1990-06-01,5142298000
1990-07-01,5114390000
1990-08-01,5047961000
1990-09-01,5017006000
1990-10-01,4998588000
1990-11-01,4968552000
1990-12-01,4974244000
1991-01-01,4957083000
1991-02-01,4891780000
1991-03-01,4891813000
1991-04-01,4907234000
1991-05-01,4946261000
1991-06-01,4937184000
1991-07-01,4939741000
1991-08-01,4953604000
1991-09-01,4942041000
1991-10-01,4959550000
1991-11-01,4931053000
1991-12-01,4942894000
1992-01-01,4884781000
1992-02-01,4897908000
1992-03-01,4855548000
1992-04-01,4938118000
1992-05-01,5005692000
1992-06-01,4913868000
1992-07-01,4933315000
1992-08-01,4962939000
1992-09-01,4957811000
1992-10-01,4961048000
1992-11-01,4973286000
1992-12-01,5001787000
1993-01-01,4971381000
1993-02-01,5010138000
1993-03-01,4999796000
1993-04-01,4993341000
1993-05-01,4976557000
1993-06-01,4992531000
1993-07-01,5029223000
1993-08-01,5019284000
1993-09-01,5043891000
1993-10-01,5028666000
1993-11-01,5027352000
1993-12-01,5033154000
1994-01-01,5055697000
1994-02-01,5092608000
1994-03-01,5142481000
1994-04-01,5195081000
1994-05-01,5193555000
1994-06-01,5264387000
1994-07-01,5237683000
1994-08-01,5248686000
1994-09-01,5318758000
1994-10-01,5373871000
1994-11-01,5391914000
1994-12-01,5387224000
1995-01-01,5454831000
1995-02-01,5470571000
1995-03-01,5470084000
1995-04-01,5485025000
1995-05-01,5477516000
1995-06-01,5503885000
1995-07-01,5457791000
1995-08-01,5554754000
1995-09-01,5636838000
1995-10-01,5590594000
1995-11-01,5569586000
1995-12-01,5564720000
1996-01-01,5603601000
1996-02-01,5629129000
1996-03-01,5647629000
1996-04-01,5647694000
1996-05-01,5638095000
1996-06-01,5736610000
1996-07-01,5702646000
1996-08-01,5768300000
1996-09-01,5803981000
1996-10-01,5748692000
1996-11-01,5865058000
1996-12-01,5885876000
1997-01-01,5815311000
1997-02-01,5844214000
1997-03-01,5910267000
1997-04-01,5928797000
1997-05-01,6003220000
1997-06-01,6000406000
1997-07-01,5999549000
1997-08-01,6024336000
1997-09-01,6090112000
1997-10-01,6123627000
1997-11-01,6167133000
1997-12-01,6122989000
1998-01-01,6183229000
1998-02-01,6237440000
1998-03-01,6284196000
1998-04-01,6347103000
1998-05-01,6341393000
1998-06-01,6454494000
1998-07-01,6285449000
1998-08-01,6344326000
1998-09-01,6401897000
1998-10-01,6478584000
1998-11-01,6502003000
1998-12-01,6512136000
1999-01-01,6510017000
1999-02-01,6456876000
1999-03-01,6507487000
1999-04-01,6593661000
1999-05-01,6624543000
1999-06-01,6664644000
1999-07-01,6718171000
1999-08-01,6750194000
1999-09-01,6798952000
1999-10-01,6858935000
1999-11-01,6915711000
1999-12-01,7007261000
2000-01-01,7065763000
2000-02-01,7158632000
2000-03-01,7195463000
2000-04-01,7207487000
2000-05-01,7240230000
2000-06-01,7248078000
2000-07-01,7238539000
