"Date","LFAC25TTCAM647S"
1997-01-01,11117600
1997-02-01,11124900
1997-03-01,11135400
1997-04-01,11162100
1997-05-01,11199900
1997-06-01,11193000
1997-07-01,11210300
1997-08-01,11259100
1997-09-01,11284900
1997-10-01,11304900
1997-11-01,11318700
1997-12-01,11296700
1998-01-01,11325500
1998-02-01,11338800
1998-03-01,11338400
1998-04-01,11350500
1998-05-01,11354100
1998-06-01,11353200
1998-07-01,11366900
1998-08-01,11369600
1998-09-01,11393200
1998-10-01,11395800
1998-11-01,11408200
1998-12-01,11433400
1999-01-01,11441000
1999-02-01,11444100
1999-03-01,11440500
1999-04-01,11482900
1999-05-01,11485000
1999-06-01,11471400
1999-07-01,11492000
1999-08-01,11509000
1999-09-01,11498000
1999-10-01,11499100
1999-11-01,11505400
1999-12-01,11511800
2000-01-01,11537800
2000-02-01,11562600
2000-03-01,11584200
2000-04-01,11567900
2000-05-01,11567300
2000-06-01,11592200
2000-07-01,11603200
2000-08-01,11613500
2000-09-01,11623400
2000-10-01,11646800
2000-11-01,11673900
2000-12-01,11677100
2001-01-01,11710500
2001-02-01,11712500
2001-03-01,11713300
2001-04-01,11742700
2001-05-01,11761500
2001-06-01,11735900
2001-07-01,11705600
2001-08-01,11739500
2001-09-01,11741100
2001-10-01,11757300
2001-11-01,11771300
2001-12-01,11811100
2002-01-01,11812000
2002-02-01,11817700
2002-03-01,11859100
2002-04-01,11879600
2002-05-01,11904200
2002-06-01,11931700
2002-07-01,11957500
2002-08-01,11950200
2002-09-01,11991700
2002-10-01,11966300
2002-11-01,11953600
2002-12-01,11991100
2003-01-01,11967600
2003-02-01,11986500
2003-03-01,11974600
2003-04-01,11980000
2003-05-01,12014700
2003-06-01,12005800
2003-07-01,12048000
2003-08-01,12053200
2003-09-01,12058300
2003-10-01,12066600
2003-11-01,12069800
2003-12-01,12075300
2004-01-01,12070400
2004-02-01,12075000
2004-03-01,12096200
2004-04-01,12099000
2004-05-01,12079800
2004-06-01,12129800
2004-07-01,12096000
2004-08-01,12096300
2004-09-01,12078600
2004-10-01,12103700
2004-11-01,12121000
2004-12-01,12121300
2005-01-01,12118800
2005-02-01,12136100
2005-03-01,12132800
2005-04-01,12106600
2005-05-01,12107300
2005-06-01,12111600
2005-07-01,12097100
2005-08-01,12135700
2005-09-01,12124000
2005-10-01,12139600
2005-11-01,12115600
2005-12-01,12127300
2006-01-01,12153200
2006-02-01,12138900
2006-03-01,12134900
2006-04-01,12191700
2006-05-01,12196900
2006-06-01,12177900
2006-07-01,12194600
2006-08-01,12178000
2006-09-01,12206600
2006-10-01,12193800
2006-11-01,12195900
2006-12-01,12234300
2007-01-01,12265900
2007-02-01,12259800
2007-03-01,12269000
2007-04-01,12253800
2007-05-01,12256100
2007-06-01,12264800
2007-07-01,12288700
2007-08-01,12280600
2007-09-01,12302700
2007-10-01,12298100
2007-11-01,12324900
2007-12-01,12323500
2008-01-01,12329200
2008-02-01,12345900
2008-03-01,12357000
2008-04-01,12344400
2008-05-01,12354900
2008-06-01,12348500
2008-07-01,12359300
2008-08-01,12377000
2008-09-01,12359600
2008-10-01,12393500
2008-11-01,12391400
2008-12-01,12422300
2009-01-01,12389900
2009-02-01,12419300
2009-03-01,12421100
2009-04-01,12410100
2009-05-01,12421800
2009-06-01,12426600
2009-07-01,12406800
2009-08-01,12406400
2009-09-01,12430200
2009-10-01,12447900
2009-11-01,12476500
2009-12-01,12438100
2010-01-01,12429100
2010-02-01,12429500
2010-03-01,12437800
2010-04-01,12457900
