"Date","LFINTTFECAM647S"
1995-01-01,4835162.73323765
1995-02-01,4862081.05574223
1995-03-01,4855054.56267814
1995-04-01,4909876.96978184
1995-05-01,4913098.82550187
1995-06-01,4914512.43676243
1995-07-01,4906210.89322549
1995-08-01,4928303.3012401
1995-09-01,4935349.08629663
1995-10-01,4940399.10010639
1995-11-01,4974122.72127471
1995-12-01,4966583.08628404
1996-01-01,4959967.15218135
1996-02-01,4947851.4944035
1996-03-01,4970123.40286617
1996-04-01,4986943.67992615
1996-05-01,4992447.60260345
1996-06-01,4971091.98235643
1996-07-01,4967812.86444425
1996-08-01,4986956.677342
1996-09-01,4966430.61686726
1996-10-01,4984539.50231197
1996-11-01,4997012.50303594
1996-12-01,5007685.53103083
1997-01-01,4997678.10324069
1997-02-01,5001895.04061075
1997-03-01,5006488.07236332
1997-04-01,4993589.94473746
1997-05-01,4998047.80643012
1997-06-01,4963046.25029243
1997-07-01,4999236.34307859
1997-08-01,4987158.13216309
1997-09-01,5004867.6791547
1997-10-01,5002186.36728239
1997-11-01,4999469.40331985
1997-12-01,5036347.97124652
1998-01-01,5015033.77925421
1998-02-01,5000050.08783802
1998-03-01,5004405.76689864
1998-04-01,4993557.63502643
1998-05-01,4998753.17619554
1998-06-01,4998523.70367173
1998-07-01,4991387.29915143
1998-08-01,4984238.47691439
1998-09-01,4946573.66282198
1998-10-01,4960678.00965566
1998-11-01,4953324.64271227
1998-12-01,4942124.00322094
1999-01-01,4950533.02158694
1999-02-01,4960310.65358383
1999-03-01,4980041.3249873
1999-04-01,4935888.57966324
1999-05-01,4939952.00815207
1999-06-01,4969067.25832851
1999-07-01,4949133.1866803
1999-08-01,4971394.45803513
1999-09-01,4984410.19588319
1999-10-01,5002153.07162853
1999-11-01,5018766.12098235
1999-12-01,5010859.80155526
2000-01-01,5011512.4302772
2000-02-01,4970559.32271255
2000-03-01,4973301.18847976
2000-04-01,4983305.25056694
2000-05-01,4985533.78766062
2000-06-01,4981144.90726102
2000-07-01,4977242.85906386
2000-08-01,4967516.95301297
2000-09-01,4961386.73207274
2000-10-01,4948795.35093052
2000-11-01,4958063.42168421
2000-12-01,4965604.17098685
2001-01-01,4966581.99114662
2001-02-01,4994480.47837997
2001-03-01,4981995.16860556
2001-04-01,4973297.625488
2001-05-01,4983951.89589451
2001-06-01,5011972.5547459
2001-07-01,5004874.26972188
2001-08-01,5010119.07142746
2001-09-01,5007347.90101605
2001-10-01,5017574.35427902
2001-11-01,4995593.46740774
2001-12-01,4987884.27237088
2002-01-01,4965307.25439901
2002-02-01,4990655.97420545
2002-03-01,4965956.28009091
2002-04-01,4953618.68508547
2002-05-01,4944872.29949293
2002-06-01,4934916.48454582
2002-07-01,4914216.44472842
2002-08-01,4881215.13568605
2002-09-01,4879496.79552307
2002-10-01,4875495.83692137
2002-11-01,4865861.81042518
2002-12-01,4854283.22105419
2003-01-01,4869576.23877774
2003-02-01,4858198.15757953
2003-03-01,4860206.41643659
2003-04-01,4870338.23166939
2003-05-01,4861049.54985896
2003-06-01,4857798.15297893
2003-07-01,4859711.61865936
2003-08-01,4841187.19356938
2003-09-01,4843036.38512205
2003-10-01,4854286.00187383
2003-11-01,4850219.55140418
2003-12-01,4829862.06997748
2004-01-01,4872291.09563118
2004-02-01,4881562.53672566
2004-03-01,4899145.90781837
2004-04-01,4896836.76451692
2004-05-01,4884466.99214134
2004-06-01,4870123.84092293
2004-07-01,4896874.73205611
2004-08-01,4928314.15281072
2004-09-01,4940083.65234436
2004-10-01,4942292.44030042
2004-11-01,4916515.15654639
2004-12-01,4941431.04456206
2005-01-01,4974937.65005814
2005-02-01,4963843.24642066
2005-03-01,5003482.66224444
2005-04-01,5005732.09151093
2005-05-01,5004149.88544515
2005-06-01,5015658.20551839
2005-07-01,5039394.47801382
2005-08-01,5027805.93792412
2005-09-01,5036766.18416911
2005-10-01,5020014.69864711
2005-11-01,5051182.42081825
2005-12-01,5042570.6526721
2006-01-01,5016508.6675984
2006-02-01,5051049.65751338
2006-03-01,5048764.30461572
2006-04-01,5034883.6435825
2006-05-01,5031921.83885696
2006-06-01,5049823.9606605
2006-07-01,5024702.24788972
2006-08-01,5085086.37313198
2006-09-01,5093105.63022572
2006-10-01,5085988.34147274
2006-11-01,5085005.15203168
2006-12-01,5074793.67978893
2007-01-01,5057127.48206666
2007-02-01,5063806.61865632
2007-03-01,5036253.79356629
2007-04-01,5074283.19710672
2007-05-01,5083626.92634055
2007-06-01,5082790.59368316
2007-07-01,5055429.12252666
2007-08-01,5057997.40417578
2007-09-01,5047001.11454613
2007-10-01,5049227.85598328
2007-11-01,5056191.54503925
2007-12-01,5075418.08673604
2008-01-01,5093339.51086788
2008-02-01,5068972.90574458
2008-03-01,5098557.83132884
2008-04-01,5117270.09067006
2008-05-01,5086215.22457772
2008-06-01,5118779.30720652
2008-07-01,5144337.32464682
2008-08-01,5144265.24254441
2008-09-01,5151482.61027575
2008-10-01,5120247.93232241
2008-11-01,5154530.83372816
2008-12-01,5123911.92191515
2009-01-01,5187532.3820041
2009-02-01,5169584.10741586
2009-03-01,5157227.80659721
2009-04-01,5168469.62998499
2009-05-01,5153810.74067337
2009-06-01,5179723.69183155
2009-07-01,5206319.22588026
2009-08-01,5184683.4714854
2009-09-01,5213635.90443698
2009-10-01,5252518.07851426
2009-11-01,5205130.85161406
2009-12-01,5245608.90805012
2010-01-01,5236964.24736699
2010-02-01,5258535.3428077
2010-03-01,5260576.34435744
2010-04-01,5256695.30060701
2010-05-01,5263788.05612217
2010-06-01,5244302.19579288
2010-07-01,5252196.18980777
2010-08-01,5240728.0791299
2010-09-01,5274464.03335795
2010-10-01,5287283.00186321
2010-11-01,5326050.36395083
2010-12-01,5335871.5211056
2011-01-01,5289913.43847215
2011-02-01,5305863.75748993
2011-03-01,5346777.65311325
2011-04-01,5325195.32141714
2011-05-01,5353248.08507877
2011-06-01,5357599.95704107
2011-07-01,5364420.25450943
2011-08-01,5371098.31526406
2011-09-01,5408525.27549906
2011-10-01,5422775.39038455
2011-11-01,5411416.14511504
2011-12-01,5434078.25897223
2012-01-01,5402680.84198898
2012-02-01,5429830.06521052
2012-03-01,5422723.63715457
2012-04-01,5378991.79820091
2012-05-01,5411091.25424717
2012-06-01,5438125.90604858
2012-07-01,5454132.15317109
2012-08-01,5411809.9335669
2012-09-01,5417026.82401682
2012-10-01,5416781.8078043
2012-11-01,5402335.41075083
2012-12-01,5402948.925511
2013-01-01,5404709.88709909
2013-02-01,5384165.9136202
2013-03-01,5419783.74575998
2013-04-01,5443725.0314802
2013-05-01,5460655.45857433
2013-06-01,5460208.54361814
2013-07-01,5471831.56116017
2013-08-01,5451528.99453096
2013-09-01,5483536.664567
2013-10-01,5494710.71182438
2013-11-01,5518892.07122659
2013-12-01,5527768.69198316
2014-01-01,5548324.96493704
2014-02-01,5559410.64865266
2014-03-01,5580814.35938816
2014-04-01,5582676.66174351
2014-05-01,5559763.50275928
2014-06-01,5570851.25299393
2014-07-01,5580440.50607713
2014-08-01,5634982.42956269
2014-09-01,5630862.63274024
2014-10-01,5649925.39454821
2014-11-01,5642861.28439493
2014-12-01,5682979.47467442
2015-01-01,5666343.89509962
2015-02-01,5664394.98481726
2015-03-01,5631492.4491918
2015-04-01,5659257.83140752
2015-05-01,5673231.53370677
2015-06-01,5704922.10492487
2015-07-01,5704824.41040829
2015-08-01,5685804.89618833
2015-09-01,5681020.94721386
2015-10-01,5690724.32429701
2015-11-01,5695853.76798977
2015-12-01,5696538.49965004
2016-01-01,5711513.79104445
2016-02-01,5733888.38353848
2016-03-01,5717934.96750804
2016-04-01,5713628.13951505
2016-05-01,5734279.30140521
2016-06-01,5748914.06032392
2016-07-01,5766693.95155722
2016-08-01,5795275.05507914
2016-09-01,5776287.04062642
2016-10-01,5769522.07149298
2016-11-01,5801957.33128583
2016-12-01,5774360.1016157
2017-01-01,5745995.08589385
2017-02-01,5786622.25191577
2017-03-01,5791369.60036996
2017-04-01,5818824.92646619
2017-05-01,5786597.24620221
2017-06-01,5763417.06015196
2017-07-01,5769113.26889079
2017-08-01,5820902.62536396
2017-09-01,5842513.68427793
2017-10-01,5832603.42059488
2017-11-01,5837803.50586994
2017-12-01,5823854.28658988
2018-01-01,5874294.65983937
2018-02-01,5895318.0296051
2018-03-01,5909830.88448656
2018-04-01,5920410.77142432
2018-05-01,5904346.04108747
2018-06-01,5909428.48341408
2018-07-01,5896183.20478059
2018-08-01,5881247.94134675
2018-09-01,5908094.5091202
2018-10-01,5918202.36881732
2018-11-01,5926159.36311403
2018-12-01,5909696.65005318
2019-01-01,5922128.21221795
2019-02-01,5910778.89482332
2019-03-01,5944593.17225932
2019-04-01,5910224.37602117
2019-05-01,5932308.72728752
2019-06-01,5942481.16682328
2019-07-01,5983442.1493072
2019-08-01,5976456.96847661
2019-09-01,5950985.58859428
2019-10-01,5966628.97130491
2019-11-01,5974904.02760442
2019-12-01,5992482.56807565
2020-01-01,5995183.65663235
2020-02-01,6034323.57367363
2020-03-01,6426673.093086
2020-04-01,6965473.2187524
2020-05-01,6790417.58957742
2020-06-01,6389203.08560813
2020-07-01,6297649.65320803
2020-08-01,6226665.60097673
2020-09-01,6177092.2014662
2020-10-01,6155978.12718405
2020-11-01,6156689.40018428
2020-12-01,6198095.37093051
2021-01-01,6248047.20118252
2021-02-01,6217794.15511938
2021-03-01,6187837.98775497
2021-04-01,6229696.20103986
2021-05-01,6238757.25896344
2021-06-01,6165177.38380133
2021-07-01,6163009.30615517
2021-08-01,6138162.88569796
2021-09-01,6105151.56149171
2021-10-01,6145544.04788441
2021-11-01,6131388.1679519
2021-12-01,6127047.28622729
2022-01-01,6174259.79797627
2022-02-01,6142247.26924107
2022-03-01,6136674.35167105
2022-04-01,6144806.17522515
2022-05-01,6114637.84347296
