"Date","LFIN55FECAM647S"
2004-12-01,875357.929963665
2005-01-01,891924.140727094
2005-02-01,884321.11674793
2005-03-01,891875.993677435
2005-04-01,893183.665391668
2005-05-01,883361.136588808
2005-06-01,890420.305226911
2005-07-01,897395.687550518
2005-08-01,898284.557685776
2005-09-01,901359.614083665
2005-10-01,902781.800331684
2005-11-01,910772.227884426
2005-12-01,909701.354634427
2006-01-01,916310.270950183
2006-02-01,907639.81491471
2006-03-01,907407.697500694
2006-04-01,916218.282094101
2006-05-01,903998.935334758
2006-06-01,914756.773370289
2006-07-01,896920.541970696
2006-08-01,910376.929381897
2006-09-01,911695.16843318
2006-10-01,930520.87798793
2006-11-01,927575.695986531
2006-12-01,924411.274961956
2007-01-01,923433.135989088
2007-02-01,920296.458033189
2007-03-01,912440.093374905
2007-04-01,906866.710981226
2007-05-01,918965.321680197
2007-06-01,920017.514665848
2007-07-01,918202.533841727
2007-08-01,909700.532371982
2007-09-01,912068.432406524
2007-10-01,904665.747106198
2007-11-01,914877.217545076
2007-12-01,920132.84768927
2008-01-01,913330.998972361
2008-02-01,921187.056612426
2008-03-01,898956.902715289
2008-04-01,917059.742989096
2008-05-01,906561.117206679
2008-06-01,916900.836138961
2008-07-01,931266.747390912
2008-08-01,944131.106833452
2008-09-01,936182.511369586
2008-10-01,928885.482825964
2008-11-01,928646.866645901
2008-12-01,928415.491482766
2009-01-01,916173.648657348
2009-02-01,915388.577890108
2009-03-01,904226.209058295
2009-04-01,902875.259737321
2009-05-01,905467.27859949
2009-06-01,901987.024463263
2009-07-01,914061.105018388
2009-08-01,914591.447379716
2009-09-01,918115.69477308
2009-10-01,918738.193458068
2009-11-01,930567.262915771
2009-12-01,943459.657247093
2010-01-01,951472.926476202
2010-02-01,955762.706011554
2010-03-01,962248.452083871
2010-04-01,963222.575015858
2010-05-01,956408.718517597
2010-06-01,940386.682383762
2010-07-01,927537.240368118
2010-08-01,933053.339704113
2010-09-01,928105.855759248
2010-10-01,919231.624014017
2010-11-01,920292.180375409
2010-12-01,931686.56884036
2011-01-01,919032.604087062
2011-02-01,924892.60627979
2011-03-01,949219.392696438
2011-04-01,928629.805524597
2011-05-01,934817.873957635
2011-06-01,947585.004466829
2011-07-01,966044.312630613
2011-08-01,970451.055335154
2011-09-01,985082.567796299
2011-10-01,988464.970187897
2011-11-01,980312.997969469
2011-12-01,957264.668884758
2012-01-01,950833.988178514
2012-02-01,958006.419824724
2012-03-01,940189.786281739
2012-04-01,936142.168640766
2012-05-01,946466.5640197
2012-06-01,954047.248230212
2012-07-01,969111.552675699
2012-08-01,956725.894860719
2012-09-01,957993.810731466
2012-10-01,971370.775872162
2012-11-01,969880.109305156
2012-12-01,963501.047497546
2013-01-01,952024.029033376
2013-02-01,936723.874943314
2013-03-01,954801.170102323
2013-04-01,953929.591328413
2013-05-01,941572.425950312
2013-06-01,956741.482593591
2013-07-01,953566.297913142
2013-08-01,947081.140075638
2013-09-01,953446.532106224
2013-10-01,958902.360179099
2013-11-01,955388.179127508
2013-12-01,951220.64878228
2014-01-01,948800.658752744
2014-02-01,957439.761239005
2014-03-01,976254.651366684
2014-04-01,958777.774229756
2014-05-01,965558.372163344
2014-06-01,968066.656562059
2014-07-01,973540.835185239
2014-08-01,991944.735527745
2014-09-01,997816.829947069
2014-10-01,1004182.13699719
2014-11-01,1004651.03487166
2014-12-01,1012828.09839446
2015-01-01,1004191.28541764
2015-02-01,994474.419563562
2015-03-01,977452.819845791
2015-04-01,999576.772513626
2015-05-01,1002603.93382309
2015-06-01,1005235.81187839
2015-07-01,1019268.63463649
2015-08-01,1014821.47400364
2015-09-01,1024392.70424426
2015-10-01,1012500.75137074
2015-11-01,1013553.27661837
2015-12-01,1009825.31392396
2016-01-01,1008856.06250148
2016-02-01,1006838.05605688
2016-03-01,1002862.43606223
2016-04-01,997963.407626627
2016-05-01,986954.134108101
2016-06-01,1000748.17070989
2016-07-01,1003414.22829513
2016-08-01,991194.958674085
2016-09-01,988043.452589904
2016-10-01,991407.325754411
2016-11-01,1015504.63617242
2016-12-01,1012589.31727564
2017-01-01,1008709.21941975
2017-02-01,1012077.57902359
2017-03-01,1021609.33528392
2017-04-01,1023850.63095776
2017-05-01,1026258.78386843
2017-06-01,1001830.83006582
2017-07-01,1004868.39785942
2017-08-01,995171.756349923
2017-09-01,1010077.59126768
2017-10-01,1007201.52570562
2017-11-01,995714.963818022
2017-12-01,977616.93456449
2018-01-01,995983.071491603
2018-02-01,1009815.99872821
2018-03-01,1021983.39347229
2018-04-01,1030386.80639106
2018-05-01,1025258.26684769
2018-06-01,1023261.38710634
2018-07-01,1013925.09571718
2018-08-01,1004031.35176655
2018-09-01,995148.8774669
2018-10-01,997669.479889448
2018-11-01,995102.203910909
2018-12-01,1020361.53321491
2019-01-01,1050007.48828159
2019-02-01,1061179.16870494
2019-03-01,1043910.59705083
2019-04-01,1041341.86726425
2019-05-01,1041154.42159973
2019-06-01,1019133.44340394
2019-07-01,1025886.54650333
2019-08-01,1023606.45283027
2019-09-01,997884.404757937
2019-10-01,995081.439009679
2019-11-01,996315.733803889
2019-12-01,1009977.79010211
2020-01-01,1018032.7322889
2020-02-01,1008807.69351162
2020-03-01,1069324.47121057
2020-04-01,1146364.01954187
2020-05-01,1141825.37040107
2020-06-01,1097217.26194555
2020-07-01,1065829.89367123
2020-08-01,1040695.40147907
2020-09-01,1053223.37010908
2020-10-01,1024369.99020299
2020-11-01,1017516.99903308
2020-12-01,1002677.31791923
2021-01-01,1002322.69601707
2021-02-01,995162.224815924
2021-03-01,989127.322049857
2021-04-01,984295.056077888
2021-05-01,988390.996112046
2021-06-01,984228.835383365
2021-07-01,990819.196779586
2021-08-01,976614.291434934
2021-09-01,978442.193230971
2021-10-01,992340.003479454
2021-11-01,988917.852375856
2021-12-01,1000703.99997957
2022-01-01,1007177.68666134
2022-02-01,1011387.55789025
2022-03-01,1009795.93120961
2022-04-01,1016584.67363601
2022-05-01,1010294.75288586
2022-06-01,1028694.01902431
2022-07-01,1023741.78157219
2022-08-01,1019411.06219695
2022-09-01,993966.219335795
2022-10-01,988151.068597814
2022-11-01,1000148.18188264
2022-12-01,1000670.14607778
2023-01-01,982839.58799182
2023-02-01,958826.535746328
2023-03-01,961505.351697954
2023-04-01,958550.423036327
2023-05-01,952661.438164759
2023-06-01,946527.389222053
2023-07-01,948565.79829432
2023-08-01,984315.020280851
2023-09-01,975185.115598925
2023-10-01,977509.533282466
2023-11-01,972808.64448435
