"Date","LFEAAGTTCAM647S"
1970-01-01,509692.995195458
1970-02-01,519022.803880377
1970-03-01,512601.303141157
1970-04-01,511517.448514735
1970-05-01,515483.207666302
1970-06-01,514688.567557876
1970-07-01,514552.300780594
1970-08-01,511562.017765342
1970-09-01,505681.218100521
1970-10-01,504469.433726507
1970-11-01,514667.628240495
1970-12-01,516406.989759928
1971-01-01,524409.703388334
1971-02-01,519722.708151875
1971-03-01,514368.953155679
1971-04-01,531246.211810254
1971-05-01,515130.354235627
1971-06-01,504928.601100254
1971-07-01,512817.293752991
1971-08-01,516844.666834754
1971-09-01,508245.87546512
1971-10-01,505671.884801297
1971-11-01,504188.600890044
1971-12-01,500467.098591649
1972-01-01,501455.892941769
1972-02-01,487237.568149704
1972-03-01,480826.098554219
1972-04-01,489386.875805415
1972-05-01,492191.528954638
1972-06-01,488114.930981623
1972-07-01,481136.39468922
1972-08-01,479842.870773687
1972-09-01,483015.441612616
1972-10-01,481036.694266341
1972-11-01,466960.266869916
1972-12-01,473784.610436598
1973-01-01,484441.930336647
1973-02-01,482309.675852407
1973-03-01,500072.597885979
1973-04-01,496531.881874804
1973-05-01,486221.958987335
1973-06-01,473011.169644302
1973-07-01,464653.293806704
1973-08-01,465159.960837313
1973-09-01,448614.25281019
1973-10-01,444890.403153763
1973-11-01,448393.634220457
1973-12-01,452358.830079924
1974-01-01,467464.380621627
1974-02-01,485189.252651552
1974-03-01,492465.161869828
1974-04-01,496751.300674142
1974-05-01,477077.674448278
1974-06-01,485335.910625454
1974-07-01,471824.161394367
1974-08-01,461492.121304763
1974-09-01,462188.084782738
1974-10-01,475896.398988414
1974-11-01,458091.226437316
1974-12-01,468016.451684551
1975-01-01,561198.699118977
1975-02-01,557726.886485043
1975-03-01,558167.220893783
1975-04-01,552992.115761918
1975-05-01,576977.038985467
1975-06-01,584132.407248948
1975-07-01,569431.685602024
1975-08-01,575910.234515789
1975-09-01,564299.736854828
1975-10-01,555990.246641489
1975-11-01,563594.654007923
1975-12-01,560078.914269808
1976-01-01,551362.07419527
1976-02-01,553853.832670936
1976-03-01,543128.532626265
1976-04-01,544727.291833733
1976-05-01,538999.073804047
1976-06-01,548812.445771173
1976-07-01,561522.726363986
1976-08-01,569172.11575678
1976-09-01,578077.590526077
1976-10-01,571984.215930892
1976-11-01,585857.688716114
1976-12-01,566294.740032876
1977-01-01,548164.01092196
1977-02-01,540870.770202627
1977-03-01,532070.249497094
1977-04-01,544448.48045864
1977-05-01,547922.363482558
1977-06-01,554000.163833829
1977-07-01,563253.3787839
1977-08-01,557649.502390156
1977-09-01,567717.815268117
1977-10-01,565330.361222025
1977-11-01,556762.87767991
1977-12-01,545052.889603386
1978-01-01,540909.342919526
1978-02-01,545207.815877377
1978-03-01,546959.044425241
1978-04-01,537938.612215218
1978-05-01,558003.289405206
1978-06-01,569728.504380977
1978-07-01,584538.228310857
1978-08-01,586117.51382284
1978-09-01,599127.947572759
1978-10-01,603684.876752006
1978-11-01,592960.338559473
1978-12-01,598587.847899696
1979-01-01,587616.634685382
1979-02-01,593087.364541042
1979-03-01,596439.439582066
1979-04-01,587966.627019053
1979-05-01,592181.77216765
1979-06-01,588281.459273496
1979-07-01,580716.2738601
1979-08-01,582712.835532002
1979-09-01,579776.336440805
1979-10-01,584561.791444354
1979-11-01,600870.652036912
1979-12-01,603245.543967297
1980-01-01,604002.649961486
1980-02-01,599391.592471266
1980-03-01,599046.384377442
1980-04-01,597821.780040142
1980-05-01,584935.314381775
1980-06-01,571489.157349577
1980-07-01,570619.435768925
1980-08-01,560769.093284738
1980-09-01,566296.733731254
1980-10-01,577151.540549966
1980-11-01,580561.324447821
1980-12-01,599389.630595758
1981-01-01,594802.540169549
1981-02-01,598226.705094345
1981-03-01,601673.543763426
1981-04-01,605852.503188899
1981-05-01,598248.618135525
1981-06-01,607014.379004019
1981-07-01,606408.420583435
1981-08-01,609446.241475221
1981-09-01,602832.564700669
1981-10-01,589435.396568321
1981-11-01,589482.725724382
1981-12-01,574382.899884661
1982-01-01,565459.79310074
1982-02-01,550958.294465946
1982-03-01,551317.552999078
1982-04-01,539276.468845314
1982-05-01,551236.667679132
1982-06-01,548778.790939438
1982-07-01,555881.67663557
1982-08-01,565138.113423425
1982-09-01,574336.942329649
1982-10-01,578764.817323407
1982-11-01,572509.388106862
1982-12-01,570236.500303642
1983-01-01,572253.135590692
1983-02-01,578341.524257903
1983-03-01,573071.444511762
1983-04-01,565416.450537004
1983-05-01,575844.268635575
1983-06-01,590383.585060365
1983-07-01,595190.794078366
1983-08-01,601531.237364504
1983-09-01,602360.470755529
1983-10-01,602832.705015172
1983-11-01,604305.98915266
1983-12-01,600392.493513579
1984-01-01,586613.81263892
1984-02-01,590444.332466292
1984-03-01,596178.42948639
1984-04-01,600897.495697591
1984-05-01,594408.596589864
1984-06-01,594466.940588299
1984-07-01,597437.936946563
1984-08-01,589563.72972524
1984-09-01,581574.03041282
1984-10-01,577688.830798332
1984-11-01,570178.421002925
1984-12-01,574111.890229742
1985-01-01,579923.284774127
1985-02-01,566180.430480951
1985-03-01,579083.042233978
1985-04-01,571769.344525901
1985-05-01,577033.272419409
1985-06-01,566547.288130284
1985-07-01,567658.722012061
1985-08-01,581517.715321387
1985-09-01,574528.200471928
1985-10-01,578595.796843484
1985-11-01,578440.737999884
1985-12-01,572778.989613259
1986-01-01,581091.674882116
1986-02-01,577473.547258886
1986-03-01,569022.330621302
1986-04-01,580521.337267007
1986-05-01,572771.940389339
1986-06-01,580984.994247523
1986-07-01,564773.033412757
1986-08-01,563186.343031311
1986-09-01,562109.829788568
1986-10-01,568633.95214339
1986-11-01,558868.572423387
1986-12-01,557307.254580157
1987-01-01,567161.666889856
1987-02-01,569494.072901567
1987-03-01,566615.972605793
1987-04-01,567884.484288326
1987-05-01,565109.791976078
1987-06-01,569969.872330815
1987-07-01,569985.594318138
1987-08-01,566873.504748563
1987-09-01,569920.508703212
1987-10-01,560668.103224502
1987-11-01,565129.466926993
1987-12-01,560951.761679763
1988-01-01,559550.291240008
1988-02-01,564127.926308005
1988-03-01,563273.366788865
1988-04-01,557868.937457565
1988-05-01,559061.875375883
1988-06-01,555549.357640466
1988-07-01,562630.860431694
1988-08-01,559113.920471579
1988-09-01,565383.62688503
1988-10-01,564161.836391106
1988-11-01,566334.907578822
1988-12-01,567238.081941093
1989-01-01,563587.856819101
1989-02-01,557533.160519394
1989-03-01,560251.710842507
1989-04-01,554271.65628061
1989-05-01,560169.892267071
1989-06-01,549525.714754014
1989-07-01,550868.926872406
1989-08-01,553560.596378678
1989-09-01,556500.228376489
1989-10-01,549441.806728423
1989-11-01,548270.675602672
1989-12-01,555585.644352206
1990-01-01,560776.935052127
1990-02-01,559643.015441695
1990-03-01,557560.111104467
1990-04-01,557529.368176814
1990-05-01,547494.449981239
1990-06-01,545037.710288649
1990-07-01,548063.407758095
1990-08-01,545602.500712354
1990-09-01,547935.04880688
1990-10-01,541914.155161922
1990-11-01,547032.805125866
1990-12-01,553365.19749824
1991-01-01,555743.530793078
1991-02-01,560103.080979809
1991-03-01,559816.249861968
1991-04-01,563709.839298866
1991-05-01,569206.534363018
1991-06-01,561502.814743594
1991-07-01,563793.321719617
1991-08-01,558361.33678853
1991-09-01,561470.977804201
1991-10-01,558909.52439639
1991-11-01,556890.827537683
1991-12-01,556000.949390778
1992-01-01,556660.908934213
1992-02-01,558114.72159363
1992-03-01,550380.694399044
1992-04-01,548087.748437142
1992-05-01,547208.423892001
1992-06-01,546356.02242855
1992-07-01,544450.549011009
1992-08-01,543826.46268638
1992-09-01,540740.19093103
1992-10-01,539316.278653227
1992-11-01,543784.236652643
1992-12-01,538197.344408803
1993-01-01,541214.07767444
1993-02-01,544386.32828336
1993-03-01,545718.042196002
1993-04-01,544037.024801129
1993-05-01,555649.735701667
1993-06-01,552012.450491964
1993-07-01,558809.750314305
1993-08-01,557411.129505457
1993-09-01,551019.75279
1993-10-01,562662.418981481
1993-11-01,564352.904720151
1993-12-01,559592.241311283
1994-01-01,556750.774379767
1994-02-01,554799.201512365
1994-03-01,556109.418594363
1994-04-01,556250.526805082
1994-05-01,562044.695547555
1994-06-01,556467.043292952
1994-07-01,555516.424020011
1994-08-01,549550.374859923
1994-09-01,562936.446263345
1994-10-01,554945.466133381
1994-11-01,562591.348409576
1994-12-01,557132.850720105
1995-01-01,558006.312921604
1995-02-01,553288.807390842
1995-03-01,553766.798032528
1995-04-01,544836.359949642
1995-05-01,545068.741142019
1995-06-01,544794.273840197
1995-07-01,539006.075387131
1995-08-01,535339.091465416
1995-09-01,530378.943260715
1995-10-01,533936.783614376
1995-11-01,525940.688555225
1995-12-01,532218.938354923
1996-01-01,529276.843978763
1996-02-01,534866.576145264
1996-03-01,531812.420957155
1996-04-01,530711.107567735
1996-05-01,528862.689633903
1996-06-01,528160.2226927
1996-07-01,529138.864045896
1996-08-01,527215.545905998
1996-09-01,526141.338413789
1996-10-01,532678.481426551
1996-11-01,536463.708254382
1996-12-01,539798.957182084
1997-01-01,538804.228710959
1997-02-01,531684.489954831
1997-03-01,524557.676259943
1997-04-01,521125.7840173
1997-05-01,511657.499212786
1997-06-01,520999.929283105
1997-07-01,516669.190325862
1997-08-01,524803.862097177
1997-09-01,525551.026860606
1997-10-01,526481.559427479
1997-11-01,530287.65600818
1997-12-01,531926.028425976
1998-01-01,536304.530161121
1998-02-01,538439.598581167
1998-03-01,544105.819879626
1998-04-01,546408.9448512
1998-05-01,538024.660520004
1998-06-01,532384.322604803
1998-07-01,530216.685836803
1998-08-01,536541.867969357
1998-09-01,534107.454310951
1998-10-01,528214.886581909
1998-11-01,514556.783941613
1998-12-01,523457.198214971
1999-01-01,514365.544431804
1999-02-01,523580.385731543
1999-03-01,513624.01919392
1999-04-01,516305.762742389
1999-05-01,511435.017963093
1999-06-01,512458.462095846
1999-07-01,510848.702647227
1999-08-01,508728.655463157
1999-09-01,510527.671736999
1999-10-01,508004.264712422
1999-11-01,518283.587366354
1999-12-01,512410.073183898
2000-01-01,515135.801003356
2000-02-01,513266.112565948
2000-03-01,509662.962102083
2000-04-01,496021.832540418
2000-05-01,496378.894306004
2000-06-01,490084.202327225
2000-07-01,484382.672323689
2000-08-01,477596.726132919
2000-09-01,469347.220722107
2000-10-01,464089.663929417
2000-11-01,460444.438005342
2000-12-01,453980.346141981
2001-01-01,448640.697923972
2001-02-01,440734.900475626
2001-03-01,434318.157979631
2001-04-01,434497.57357005
2001-05-01,426972.453556227
2001-06-01,421501.775599979
2001-07-01,424449.147777092
2001-08-01,419159.190081975
2001-09-01,414852.175446733
2001-10-01,408965.26997627
2001-11-01,408016.086266565
2001-12-01,395439.159159261
2002-01-01,399791.332660887
2002-02-01,392758.34893901
2002-03-01,406793.877046806
2002-04-01,408588.512424278
2002-05-01,410780.944607943
2002-06-01,419177.383278909
2002-07-01,429634.25746303
2002-08-01,431679.425896446
2002-09-01,441983.40966103
2002-10-01,443995.913791059
2002-11-01,447231.965168795
2002-12-01,443383.945314424
2003-01-01,444243.032864364
2003-02-01,438050.422172453
2003-03-01,433822.14366728
2003-04-01,430581.364471287
2003-05-01,424502.091938705
2003-06-01,429440.607709193
2003-07-01,428293.174292058
2003-08-01,430744.102446886
2003-09-01,428596.329723986
2003-10-01,430377.422654602
2003-11-01,436217.901747056
2003-12-01,436061.474768349
2004-01-01,429837.720695565
2004-02-01,427477.715816915
2004-03-01,426223.275292575
2004-04-01,425186.901286746
2004-05-01,423207.570142229
2004-06-01,428223.999953953
2004-07-01,421674.298794017
2004-08-01,416784.30744668
2004-09-01,411785.641148632
2004-10-01,410399.268175104
2004-11-01,412365.50552584
2004-12-01,418226.071011049
2005-01-01,412626.743085285
2005-02-01,424473.757869539
