"Date","LFAC55TTCAM647N"
1976-01-01,985500
1976-02-01,987300
1976-03-01,998900
1976-04-01,1011100
1976-05-01,1007600
1976-06-01,1014700
1976-07-01,1023100
1976-08-01,1032700
1976-09-01,1044900
1976-10-01,1039000
1976-11-01,1026600
1976-12-01,1027500
1977-01-01,1020000
1977-02-01,1014800
1977-03-01,1021100
1977-04-01,1022600
1977-05-01,1031500
1977-06-01,1024800
1977-07-01,1030200
1977-08-01,1036100
1977-09-01,1042800
1977-10-01,1050300
1977-11-01,1044400
1977-12-01,1032600
1978-01-01,1013400
1978-02-01,1026200
1978-03-01,1038600
1978-04-01,1040900
1978-05-01,1052100
1978-06-01,1054600
1978-07-01,1056400
1978-08-01,1064300
1978-09-01,1077100
1978-10-01,1072200
1978-11-01,1064000
1978-12-01,1059900
1979-01-01,1066000
1979-02-01,1076000
1979-03-01,1092600
1979-04-01,1101800
1979-05-01,1102600
1979-06-01,1108100
1979-07-01,1089300
1979-08-01,1088300
1979-09-01,1092600
1979-10-01,1091900
1979-11-01,1089300
1979-12-01,1079700
1980-01-01,1094100
1980-02-01,1095300
1980-03-01,1103000
1980-04-01,1096300
1980-05-01,1115000
1980-06-01,1102100
1980-07-01,1105600
1980-08-01,1103100
1980-09-01,1103800
1980-10-01,1116800
1980-11-01,1103900
1980-12-01,1098700
1981-01-01,1085300
1981-02-01,1104600
1981-03-01,1108800
1981-04-01,1106200
1981-05-01,1118300
1981-06-01,1118900
1981-07-01,1115200
1981-08-01,1126900
1981-09-01,1151700
1981-10-01,1140300
1981-11-01,1137600
1981-12-01,1130300
1982-01-01,1119200
1982-02-01,1117400
1982-03-01,1124100
1982-04-01,1127900
1982-05-01,1139900
1982-06-01,1138600
1982-07-01,1129600
1982-08-01,1132300
1982-09-01,1144400
1982-10-01,1143000
1982-11-01,1143900
1982-12-01,1135600
1983-01-01,1127300
1983-02-01,1134100
1983-03-01,1144400
1983-04-01,1159600
1983-05-01,1160900
1983-06-01,1153500
1983-07-01,1134800
1983-08-01,1143700
1983-09-01,1155300
1983-10-01,1160200
1983-11-01,1142900
1983-12-01,1148100
1984-01-01,1143200
1984-02-01,1149600
1984-03-01,1169400
1984-04-01,1159300
1984-05-01,1163600
1984-06-01,1168300
1984-07-01,1146600
1984-08-01,1138100
1984-09-01,1160400
1984-10-01,1165100
1984-11-01,1156400
1984-12-01,1142900
1985-01-01,1150100
1985-02-01,1159400
1985-03-01,1173400
1985-04-01,1175400
1985-05-01,1168100
1985-06-01,1166800
1985-07-01,1163800
1985-08-01,1157300
1985-09-01,1162200
1985-10-01,1174200
1985-11-01,1181600
1985-12-01,1169800
1986-01-01,1151300
1986-02-01,1161400
1986-03-01,1172400
1986-04-01,1167600
1986-05-01,1175300
1986-06-01,1165800
1986-07-01,1153900
1986-08-01,1145000
1986-09-01,1150900
1986-10-01,1148600
1986-11-01,1144600
1986-12-01,1140600
1987-01-01,1138100
1987-02-01,1152400
1987-03-01,1164900
1987-04-01,1175300
1987-05-01,1168800
1987-06-01,1144700
1987-07-01,1150100
1987-08-01,1147000
1987-09-01,1171400
1987-10-01,1167000
