"Date","M10028M144NNBR"
1906-01-01,98.9
1906-02-01,241.3
1906-03-01,41.4
1906-04-01,66.1
1906-05-01,77.6
1906-06-01,96.4
1906-07-01,24.8
1906-08-01,34.2
1906-09-01,13.5
1906-10-01,20.5
1906-11-01,20.3
1906-12-01,47.2
1907-01-01,171.9
1907-02-01,125.4
1907-03-01,36
1907-04-01,117.9
1907-05-01,48.8
1907-06-01,100.3
1907-07-01,80
1907-08-01,19.2
1907-09-01,39.6
1907-10-01,60.7
1907-11-01,52.2
1907-12-01,107.8
1908-01-01,118.8
1908-02-01,66
1908-03-01,44.5
1908-04-01,182.2
1908-05-01,134.8
1908-06-01,113.6
1908-07-01,51.4
1908-08-01,43.1
1908-09-01,47.3
1908-10-01,79.4
1908-11-01,155.9
1908-12-01,45
1909-01-01,124.3
1909-02-01,117.7
1909-03-01,62.6
1909-04-01,162.3
1909-05-01,142.4
1909-06-01,114.5
1909-07-01,78.1
1909-08-01,58.1
1909-09-01,26.4
1909-10-01,52.8
1909-11-01,57.2
1909-12-01,74.6
1910-01-01,85.8
1910-02-01,61.6
1910-03-01,301
1910-04-01,72.6
1910-05-01,186
1910-06-01,85.2
1910-07-01,37
1910-08-01,39.8
1910-09-01,44.8
1910-10-01,45.5
1910-11-01,82.1
1910-12-01,71.7
1911-01-01,178
1911-02-01,175.8
1911-03-01,189.4
1911-04-01,155.9
1911-05-01,132.4
1911-06-01,173
1911-07-01,89.3
1911-08-01,37.6
1911-09-01,29.2
1911-10-01,60.2
1911-11-01,100.4
1911-12-01,66.4
1912-01-01,220.6
1912-02-01,133.9
1912-03-01,149.9
1912-04-01,194.9
1912-05-01,148.1
1912-06-01,149.4
1912-07-01,17.8
1912-08-01,60
1912-09-01,56
1912-10-01,83.1
1912-11-01,111
1912-12-01,25.5
1913-01-01,103
1913-02-01,180.3
1913-03-01,60.5
1913-04-01,175.4
1913-05-01,93.4
1913-06-01,150
1913-07-01,79.9
1913-08-01,53.3
1913-09-01,68.6
1913-10-01,97.5
1913-11-01,73.9
