"Date","CANPRMNTO01MLSAM"
1961-01-01,4156682343.29939
1961-02-01,4150746390.75518
1961-03-01,4168049060.93724
1961-04-01,4228545258.14314
1961-05-01,4228545258.14314
1961-06-01,4312532671.80059
1961-07-01,4362419932.54449
1961-08-01,4325920139.24072
1961-09-01,4438576940.71809
1961-10-01,4480002311.66492
1961-11-01,4505387981.05612
1961-12-01,4549086695.53053
1962-01-01,4573967177.47116
1962-02-01,4641662295.84769
1962-03-01,4710367789.12537
1962-04-01,4743710160.86306
1962-05-01,4819993465.8993
1962-06-01,4908527566.6119
1962-07-01,4954373327.75123
1962-08-01,4798270405.52475
1962-09-01,4961572248.92187
1962-10-01,4943638094.42659
1962-11-01,4934797314.0416
1962-12-01,4933913236.0031
1963-01-01,4944016985.01452
1963-02-01,4952478874.81159
1963-03-01,5024594383.38062
1963-04-01,5032424788.86447
1963-05-01,5085216877.44916
1963-06-01,5204946303.23452
1963-07-01,5105298078.60936
1963-08-01,5056673786.49189
1963-09-01,5291964841.5954
1963-10-01,5291080763.5569
1963-11-01,5362059600.36215
1963-12-01,5397801612.49005
1964-01-01,5470674902.23494
1964-02-01,5581689844.49795
1964-03-01,5539380395.51262
1964-04-01,5548473769.6229
1964-05-01,5624125590.34593
1964-06-01,5608843669.96615
1964-07-01,5549989331.97461
1964-08-01,5628545980.53842
1964-09-01,5780354809.43506
1964-10-01,5734256454.57044
1964-11-01,5850702161.92709
1964-12-01,5840724709.7783
1965-01-01,5945551105.77182
1965-02-01,5910693171.68241
1965-03-01,6056566048.03483
1965-04-01,6046967486.47398
1965-05-01,6142195320.90664
1965-06-01,6153814632.26978
1965-07-01,6331640614.87082
1965-08-01,6102664402.89944
1965-09-01,6267608105.51092
1965-10-01,6437729979.49076
1965-11-01,6443034447.72176
1965-12-01,6557459405.27612
1966-01-01,6557838295.86405
1966-02-01,6602673682.10224
1966-03-01,6572867622.51854
1966-04-01,6608988525.23438
1966-05-01,6591054370.7391
1966-06-01,6569457607.22718
1966-07-01,6636900131.87843
1966-08-01,6445560384.97461
1966-09-01,6637279022.46636
1966-10-01,6718361608.28303
1966-11-01,6664306551.07192
1966-12-01,6687418876.93555
1967-01-01,6717603827.10717
1967-02-01,6663927660.48399
1967-03-01,6676052159.2977
1967-04-01,6721392732.98646
1967-05-01,6646877584.02721
1967-06-01,6685145533.40798
1967-07-01,6734780200.42659
1967-08-01,6786940804.69806
1967-09-01,6777468539.99985
1967-10-01,6691712970.2654
1967-11-01,6835691393.67818
1967-12-01,6914626932.82992
1968-01-01,6894166841.08179
1968-02-01,6810684614.87491
1968-03-01,6859308906.99238
1968-04-01,7065046496.23748
1968-05-01,7152317628.32364
1968-06-01,7201320811.02905
1968-07-01,7149791691.07079
1968-08-01,7247040275.30573
1968-09-01,7342268109.7384
1968-10-01,7405921728.51036
1968-11-01,7506959218.62459
1968-12-01,7496097688.43731
1969-01-01,7480436877.4696
1969-02-01,7605470771.48596
1969-03-01,7741871383.14017
1969-04-01,7640076111.85009
1969-05-01,7718127572.96333
1969-06-01,7750206976.0746
1969-07-01,7845434810.50726
1969-08-01,7689205591.41813
1969-09-01,7666219562.41714
1969-10-01,7570233946.80863
1969-11-01,7636287205.9708
1969-12-01,7645001689.49316
1970-01-01,7534365637.81807
1970-02-01,7604712990.3101
1970-03-01,7476647971.59032
1970-04-01,7375231590.88816
1970-05-01,7338984391.30968
1970-06-01,7284171552.92271
1970-07-01,7288339349.38993
1970-08-01,7349845921.49696
1970-09-01,7161032111.846
1970-10-01,7173661798.11028
1970-11-01,7263079976.86137
1970-12-01,7299579770.16513
1971-01-01,7444442271.61641
1971-02-01,7548763480.15935
1971-03-01,7567455415.83048
1971-04-01,7592967382.08433
1971-05-01,7713454589.04554
1971-06-01,7775592645.4658
1971-07-01,7746670663.9206
1971-08-01,8009873325.66816
1971-09-01,8070495819.7367
1971-10-01,8134528329.0966
1971-11-01,8045489040.93343
1971-12-01,8133265360.47017
1972-01-01,8164081794.95501
1972-02-01,8034753807.60879
1972-03-01,8156630280.05908
1972-04-01,8373860883.80468
1972-05-01,8303260937.58736
1972-06-01,8410108083.38316
1972-07-01,8437640799.43928
1972-08-01,8511019276.63474
1972-09-01,8663838480.43251
1972-10-01,8725723943.12748
1972-11-01,8856946383.41333
