"Date","CANPRINTO01MLSAM"
1961-01-01,6442989172.88242
1961-02-01,6449477163.86509
1961-03-01,6424491496.46372
1961-04-01,6559220841.12527
1961-05-01,6592351007.84532
1961-06-01,6701128388.57616
1961-07-01,6766974594.93227
1961-08-01,6730393369.17888
1961-09-01,6890246423.60314
1961-10-01,6951261147.31257
1961-11-01,6979835916.10862
1961-12-01,7022905132.84469
1962-01-01,7051894028.72473
1962-02-01,7119948912.86218
1962-03-01,7219201370.661
1962-04-01,7245153334.59171
1962-05-01,7365664316.03591
1962-06-01,7451388622.42405
1962-07-01,7540149860.76152
1962-08-01,7388855432.73994
1962-09-01,7563064892.74289
1962-10-01,7513507685.02415
1962-11-01,7519995676.00682
1962-12-01,7513507685.02415
1963-01-01,7520409803.09082
1963-02-01,7583081035.13626
1963-03-01,7666872748.46573
1963-04-01,7678882433.90174
1963-05-01,7783932670.87658
1963-06-01,7891329627.99409
1963-07-01,7737964564.55251
1963-08-01,7741001496.50185
1963-09-01,8060983690.07303
1963-10-01,8055461995.61969
1963-11-01,8193090229.86924
1963-12-01,8279366705.70272
1964-01-01,8343970530.80682
1964-02-01,8485049824.08972
1964-03-01,8432731769.1443
1964-04-01,8493470408.13106
1964-05-01,8591066357.59389
1964-06-01,8598934772.1899
1964-07-01,8537505921.39647
1964-08-01,8610944457.62592
1964-09-01,8801304873.90489
1964-10-01,8785844129.43554
1964-11-01,8941003743.57445
1964-12-01,8943074378.99446
1965-01-01,9072696156.28667
1965-02-01,9022172652.03859
1965-03-01,9210876559.98156
1965-04-01,9200937509.96554
1965-05-01,9260019640.6163
1965-06-01,9275204300.36299
1965-07-01,9516916475.05805
1965-08-01,9304193196.24304
1965-09-01,9506977425.04204
1965-10-01,9719838746.21838
1965-11-01,9764702513.65179
1965-12-01,9910613289.58135
1966-01-01,9904539425.68268
1966-02-01,9957409650.07343
1966-03-01,9926626203.49604
1966-04-01,9990263732.07082
1966-05-01,9994128918.18816
1966-06-01,10001721248.0615
1966-07-01,9959204200.77077
1966-08-01,9799489188.70784
1966-09-01,10050312159.2509
1966-10-01,10163506895.5444
1966-11-01,10121403975.3377
1966-12-01,10133827787.8577
1967-01-01,10208646747.7005
1967-02-01,10116710535.0524
1967-03-01,10131481067.715
1967-04-01,10232251991.4885
1967-05-01,10197189231.7098
1967-06-01,10245918185.2606
1967-07-01,10284432004.0726
1967-08-01,10458503421.7142
1967-09-01,10425097170.2715
1967-10-01,10354419481.2687
1967-11-01,10511649730.8277
1967-12-01,10629537907.4065
1968-01-01,10574182920.5118
1968-02-01,10532770212.1117
1968-03-01,10592266469.8465
1968-04-01,10866694684.1776
1968-05-01,11004322918.4271
1968-06-01,11090875478.9833
1968-07-01,11046839965.7179
1968-08-01,11195235504.1514
1968-09-01,11316850824.4863
1968-10-01,11389046979.4637
1968-11-01,11528607806.772
1968-12-01,11512180765.7733
1969-01-01,11554283685.98
1969-02-01,11713584570.9589
1969-03-01,11914850333.7833
1969-04-01,11802345809.2964
1969-05-01,11792268716.9191
1969-06-01,11810214223.8924
1969-07-01,11911399274.7499
1969-08-01,11693568428.5656
1969-09-01,11730011611.9576
1969-10-01,11638075399.3095
1969-11-01,11779154692.5924
1969-12-01,11885861437.9032
1970-01-01,11810628350.9764
1970-02-01,11919405731.7073
1970-03-01,11721176900.8323
1970-04-01,11552075008.1987
1970-05-01,11576922633.2387
1970-06-01,11542274000.544
